note,velocity,time,anomalies
81,60,127,0
79,66,127,2
86,55,0,1
88,21,60,1
86,23,127,1
84,23,127,1
86,57,127,0
88,34,127,1
89,100,0,2
105,67,112,2
88,86,127,1
89,64,127,1
96,61,120,1
86,59,60,0
88,55,60,0
86,67,127,0
84,60,127,0
75,57,127,1
57,50,127,0
68,51,127,1
64,54,127,0
79,57,127,1
74,38,127,2
76,95,127,1
69,50,127,0
80,26,127,2
76,54,127,0
81,57,127,0
85,58,127,0
88,64,127,0
83,60,127,1
81,91,127,1
76,57,24,1
87,25,127,2
69,53,127,0
76,51,127,1
73,48,127,0
69,74,127,1
64,44,127,1
66,44,0,2
57,42,127,0
73,51,127,1
88,56,127,0
86,46,60,0
88,41,60,0
86,52,127,0
84,86,127,2
86,82,127,1
88,24,0,2
89,54,127,0
91,56,127,0
88,96,127,2
103,76,127,2
88,51,120,0
84,51,127,2
83,24,60,2
86,56,127,0
84,51,127,0
71,48,127,1
81,44,127,1
82,46,127,0
84,80,61,2
86,50,127,0
89,52,127,0
86,49,60,0
99,42,60,1
86,56,127,0
84,51,127,0
82,69,127,1
81,46,127,0
74,24,127,2
76,9,127,3
86,75,127,1
94,79,89,3
91,57,127,0
89,55,120,0
86,46,60,0
88,40,0,1
86,86,0,2
84,50,127,0
83,45,127,1
86,19,127,1
85,79,127,1
60,16,127,2
61,0,127,2
82,46,127,2
61,29,127,0
70,21,127,1
69,45,127,0
61,5,127,1
70,51,127,0
69,45,127,0
62,27,127,0
69,48,127,0
67,41,127,0
69,48,127,1
62,27,127,0
67,40,127,0
62,0,127,1
60,47,0,2
67,61,127,1
61,29,127,0
70,26,127,1
69,79,127,2
70,52,127,0
63,19,72,3
65,83,127,2
61,42,127,0
70,51,127,0
69,45,127,0
70,48,127,0
64,7,127,3
69,41,127,0
62,21,127,2
52,27,127,1
76,1,127,3
67,47,0,1
62,0,127,2
72,6,127,3
61,68,127,1
70,89,0,2
69,48,127,0
65,35,127,2
61,0,127,2
58,16,127,3
70,29,0,2
61,31,127,1
69,21,127,2
67,57,127,0
57,32,127,0
65,50,127,0
66,33,127,2
67,58,127,0
65,48,127,0
61,20,127,2
47,70,127,2
65,49,127,0
60,34,127,0
65,60,127,0
64,53,127,0
65,61,127,0
60,35,127,0
63,51,127,2
67,6,127,2
65,99,127,1
64,52,127,0
56,94,127,2
55,33,127,1
75,14,127,2
64,55,127,0
58,65,0,2
62,82,127,1
64,19,0,2
58,29,127,0
62,42,127,0
61,29,127,0
70,51,127,0
59,18,127,3
61,29,0,1
70,52,127,0
69,45,127,0
57,0,127,3
70,51,127,0
81,45,127,1
57,9,104,3
66,27,127,2
78,41,127,1
62,27,127,0
57,48,127,1
67,40,0,1
62,27,127,1
73,22,127,3
67,40,127,0
70,25,127,1
61,29,127,0
69,46,127,0
61,29,127,0
70,52,127,0
69,45,127,0
70,51,127,0
61,65,0,2
57,45,127,2
83,48,127,1
50,27,127,1
67,41,127,0
56,27,127,2
69,48,127,0
67,40,127,0
69,47,127,0
71,54,127,3
67,40,127,0
81,53,127,0
77,56,0,2
85,57,61,1
88,59,127,1
88,81,127,1
89,62,127,0
88,55,0,1
89,51,127,1
89,61,127,1
86,57,127,0
84,56,127,0
86,59,127,0
88,57,0,1
89,59,127,0
91,86,114,2
88,92,0,2
89,59,127,1
86,84,0,3
86,55,60,0
88,51,60,0
81,61,127,2
84,56,127,0
82,52,127,0
81,57,127,1
83,58,127,0
85,91,127,1
89,61,65,2
88,63,127,0
89,64,127,1
91,71,127,0
93,75,120,0
94,73,60,0
98,71,60,1
94,79,127,0
93,46,127,1
91,74,127,0
93,78,127,0
93,79,127,0
91,76,127,0
94,83,127,0
93,78,120,0
82,64,0,2
91,56,60,0
89,72,0,1
87,64,127,0
85,69,0,2
88,61,127,0
84,62,127,1
82,51,127,0
61,29,127,0
70,26,127,2
69,46,127,0
56,24,127,2
61,29,127,0
69,83,127,1
71,29,127,1
70,51,127,0
69,45,127,1
69,23,127,1
62,27,127,0
59,71,127,2
69,48,127,0
62,27,127,0
67,40,127,0
69,70,0,2
50,5,127,3
67,40,127,0
65,29,127,1
70,51,127,0
69,46,127,0
70,52,127,1
69,29,127,1
62,45,127,1
70,51,127,0
61,60,127,2
69,7,127,2
70,78,127,1
62,27,127,0
60,41,127,2
62,27,127,0
69,48,127,0
66,1,127,3
67,47,127,0
62,63,127,2
52,40,0,2
61,0,127,1
70,53,0,1
69,48,127,0
77,79,127,2
66,31,127,2
69,48,127,0
61,31,127,0
70,31,127,1
69,76,0,2
67,53,127,0
68,30,127,1
65,46,127,0
67,54,127,0
57,30,127,0
65,46,127,0
67,21,127,1
57,31,127,0
65,46,127,0
60,32,127,0
52,80,127,2
58,73,127,2
59,60,0,3
65,58,127,0
64,26,0,2
60,33,127,1
68,57,0,2
64,49,127,0
64,54,127,0
57,30,127,2
73,77,127,2
58,0,127,2
64,52,127,0
62,42,127,0
60,8,127,3
64,48,127,0
62,40,127,0
64,51,127,1
48,51,127,2
48,87,127,3
64,51,127,0
62,51,0,1
61,30,127,2
64,51,127,0
58,45,127,0
64,24,81,2
62,45,127,0
70,49,127,0
66,84,127,2
68,88,127,2
84,51,127,0
86,27,127,1
87,73,104,3
86,56,127,0
84,53,0,1
92,9,127,3
75,42,127,2
84,45,127,0
82,71,127,2
77,48,127,0
91,43,127,2
79,24,127,3
80,16,127,2
77,43,127,1
88,83,23,3
74,42,127,0
57,40,127,0
61,41,127,0
64,44,127,0
69,82,127,1
73,72,127,1
76,50,127,0
69,40,127,0
74,41,0,2
65,69,0,3
81,46,127,0
85,47,127,0
88,51,127,0
57,12,127,3
73,41,127,0
76,44,127,0
94,69,127,2
85,83,127,1
88,17,127,1
81,46,127,0
85,12,127,1
77,42,127,2
93,40,127,1
97,38,127,0
107,36,127,2
93,36,127,0
119,36,127,1
