note,velocity,time,anomalies
57,49,120,0
69,55,127,0
66,49,127,0
62,49,127,0
54,80,1,1
64,81,127,1
78,75,127,1
75,88,127,1
60,17,127,1
62,45,127,0
53,88,127,1
66,60,127,0
67,36,127,1
73,76,0,1
69,49,30,0
67,58,127,0
61,84,0,1
52,14,127,1
72,63,127,1
66,38,127,0
72,88,127,1
71,32,0,1
74,63,120,0
85,38,127,1
73,31,127,1
71,39,127,1
73,67,120,0
76,55,60,0
74,75,127,0
74,16,127,1
71,68,127,0
60,84,0,1
67,12,127,1
67,60,127,0
61,90,127,1
69,85,0,1
66,50,120,0
76,32,127,1
71,26,127,1
58,102,127,1
85,40,0,1
59,77,127,1
73,57,127,0
76,68,127,0
85,21,0,1
66,34,25,1
71,56,60,0
74,67,60,0
73,49,60,0
76,58,60,0
71,51,120,0
69,100,16,1
73,56,127,0
69,47,127,0
73,56,120,0
76,67,120,0
67,49,120,0
83,18,0,1
59,25,127,1
74,64,127,0
66,48,90,0
72,25,127,1
69,51,120,0
73,61,120,0
64,45,120,0
62,16,0,1
54,14,0,1
71,58,127,0
57,33,127,1
66,45,127,0
60,31,127,1
61,96,0,1
61,81,127,1
74,76,127,0
78,100,0,1
71,66,127,0
67,36,127,0
62,36,127,0
84,110,127,1
71,66,127,0
74,75,127,0
62,54,127,0
66,66,127,0
67,57,60,0
60,97,127,1
65,61,127,0
65,87,0,1
73,90,127,1
67,71,127,0
82,97,127,1
74,68,127,0
73,71,127,0
67,35,0,1
74,72,127,0
52,24,127,1
78,18,127,1
68,54,127,0
78,68,127,0
69,51,127,0
78,72,127,0
76,67,127,0
67,55,127,0
81,89,127,1
68,50,127,0
74,73,127,0
71,65,127,0
69,49,127,0
86,95,0,1
76,81,127,1
72,26,0,1
61,46,127,0
52,9,62,1
69,64,127,0
61,38,53,1
79,95,127,1
69,36,127,0
64,14,127,1
76,72,127,0
74,68,127,0
73,65,127,0
73,66,127,0
67,8,127,1
62,47,127,0
84,89,127,1
61,46,127,0
69,62,127,0
57,41,127,0
50,65,127,1
66,69,127,0
66,60,127,0
70,79,127,1
65,88,0,1
67,68,0,1
67,58,127,0
63,29,90,1
60,0,127,1
44,59,127,1
66,34,127,0
78,88,127,1
74,17,127,1
79,104,127,1
73,93,127,1
78,75,127,0
73,64,120,0
89,89,0,1
63,105,127,1
65,45,120,0
71,66,127,0
53,24,127,1
61,48,127,0
78,21,127,1
54,20,0,1
60,40,0,1
67,89,0,1
63,97,127,1
71,25,127,1
71,68,127,0
57,26,0,1
69,42,127,1
76,70,127,0
73,54,127,0
74,67,127,0
61,19,0,1
64,25,127,1
64,47,127,0
66,47,127,0
70,47,127,0
74,70,127,0
73,64,127,0
66,56,127,0
79,28,127,1
72,68,120,0
58,99,93,1
84,51,96,1
74,71,120,0
88,39,127,1
74,97,127,1
76,71,127,0
64,23,127,1
62,83,127,1
73,65,127,0
61,27,127,1
74,70,127,0
79,109,127,1
67,41,127,0
74,9,127,1
73,76,127,0
66,89,75,1
67,43,127,1
76,71,127,0
71,66,127,0
53,26,127,1
74,23,127,1
87,92,127,1
87,114,0,1
67,41,127,0
85,79,127,1
73,76,127,0
66,37,127,1
88,102,127,1
76,71,127,0
71,69,127,0
66,50,127,0
62,77,127,1
79,102,127,1
79,39,86,1
54,63,127,1
66,38,127,0
71,71,127,0
74,107,0,1
74,64,127,0
71,70,127,0
61,44,127,1
66,47,127,0
61,47,127,0
70,68,127,0
70,57,127,0
68,57,127,0
55,16,127,1
70,63,127,0
73,45,60,0
84,16,127,1
80,100,127,1
68,52,127,0
81,81,127,1
63,74,127,1
66,44,127,0
59,16,127,1
70,48,127,0
67,85,127,1
65,34,127,0
73,74,127,1
77,51,127,0
75,53,60,0
69,20,127,1
66,80,0,1
73,51,127,0
70,34,127,0
65,76,0,1
63,53,127,0
68,90,0,1
68,13,0,1
62,58,127,1
58,2,127,1
65,7,127,1
70,22,0,1
66,78,127,1
61,62,127,1
66,48,127,0
65,52,127,0
69,78,0,1
62,18,74,1
66,16,0,1
50,15,127,1
66,34,127,0
62,79,0,1
71,53,127,0
79,14,127,1
73,57,127,0
77,46,60,0
89,16,127,1
85,28,0,1
65,34,127,0
71,48,127,0
73,53,127,0
77,51,127,0
75,55,60,0
77,48,60,0
75,47,120,0
73,51,127,0
71,13,127,1
61,44,127,0
76,31,98,1
52,24,127,1
66,44,127,0
56,35,47,1
74,84,0,1
71,50,127,0
62,40,127,0
69,52,127,0
67,44,127,0
81,78,107,1
68,24,127,1
61,35,127,0
65,15,127,1
50,73,127,1
66,48,127,0
49,83,127,1
63,51,127,0
64,28,127,1
69,53,127,0
67,53,127,0
66,81,127,1
66,56,127,0
76,14,0,1
70,70,0,1
64,50,127,0
61,42,127,0
65,46,127,0
57,32,127,0
62,32,127,0
66,51,127,0
75,19,0,1
66,45,100,0
66,40,30,0
72,75,127,1
65,21,127,1
65,86,127,1
58,1,127,1
46,68,127,1
62,30,127,0
62,88,127,1
58,10,39,1
72,16,127,1
72,27,127,1
74,25,127,1
78,60,127,0
84,23,127,1
76,42,60,0
74,58,127,0
71,52,127,0
66,3,0,1
66,41,120,0
61,42,127,0
69,86,127,1
55,21,127,1
53,69,0,1
72,73,0,1
69,46,120,0
67,47,127,0
71,51,127,0
75,24,127,1
62,27,0,1
