note,velocity,time,anomalies
69,52,127,2
79,52,127,0
77,50,127,0
60,50,94,2
80,52,127,0
91,88,127,3
77,52,127,0
74,52,127,0
75,50,127,0
79,50,127,0
72,52,127,0
87,52,6,2
72,49,127,0
68,49,127,0
67,47,127,0
70,47,127,0
72,51,127,0
68,51,127,0
74,17,2,2
77,55,24,1
68,31,127,2
74,55,127,0
70,51,127,0
67,51,127,0
72,11,127,2
79,84,127,2
79,52,127,0
72,50,127,0
67,47,127,0
70,47,127,0
80,64,127,1
70,64,127,0
70,35,127,1
67,55,127,0
72,51,127,0
69,60,127,0
65,88,127,2
81,60,127,0
70,87,127,1
79,64,127,0
74,56,127,0
72,58,127,0
69,51,127,0
74,53,127,0
67,47,127,0
70,47,127,0
70,51,127,0
77,60,127,0
66,37,127,2
69,20,127,2
75,57,127,0
77,60,127,0
79,64,127,0
81,61,127,0
70,58,127,0
77,69,127,1
68,48,127,0
74,57,127,0
75,34,33,2
69,52,127,0
65,46,127,0
73,54,127,0
60,83,127,3
72,52,127,0
54,38,127,2
71,46,127,0
70,43,0,1
75,77,127,1
79,52,127,0
74,50,127,0
86,50,0,2
80,21,127,2
77,52,127,0
77,52,127,0
74,52,127,1
75,80,127,1
79,50,127,0
75,52,127,0
72,52,127,0
68,49,127,0
72,49,127,0
67,47,127,0
70,47,127,0
72,51,127,0
68,27,127,2
74,56,127,0
77,55,127,0
68,55,127,0
74,16,127,1
70,51,127,0
72,51,127,0
67,51,127,0
74,49,57,1
79,52,127,0
72,50,127,0
70,47,127,0
75,47,127,1
74,64,127,0
70,64,127,0
70,55,127,0
67,55,127,0
72,51,127,0
69,60,127,0
83,101,0,3
81,60,127,0
75,98,127,3
70,57,127,0
74,34,127,1
69,51,127,0
62,92,127,2
74,53,127,0
67,16,127,2
70,47,127,0
64,52,127,1
70,58,127,0
82,57,127,2
66,51,127,0
70,35,127,1
75,55,127,0
72,60,127,0
66,54,127,0
70,47,127,0
75,53,127,0
78,60,127,0
72,54,127,0
75,91,127,2
70,48,127,0
69,54,127,0
74,54,127,0
68,53,127,1
74,49,127,0
70,47,127,0
65,47,127,0
77,82,127,2
74,52,127,0
72,50,127,0
68,12,0,2
75,52,127,0
72,52,127,0
70,52,127,0
74,52,127,0
70,50,127,0
67,50,127,0
70,52,127,0
75,52,127,2
72,49,127,0
68,49,127,0
65,47,127,0
68,9,127,1
66,110,127,2
77,72,127,0
79,57,127,0
76,57,127,0
76,63,127,0
73,24,127,1
79,56,127,0
76,56,127,0
74,61,127,0
77,61,127,0
71,56,127,0
74,56,127,0
77,60,127,0
74,60,127,0
73,24,127,3
72,53,127,0
68,53,127,0
72,53,127,0
68,50,127,0
65,50,127,0
62,17,127,2
65,48,127,0
69,51,127,0
78,57,127,0
70,47,127,0
71,52,127,0
76,80,127,2
85,52,127,1
78,60,80,0
80,49,80,0
78,75,80,1
77,55,127,0
65,56,127,2
77,49,127,0
86,57,127,2
64,51,127,0
65,47,127,0
68,46,60,0
66,52,127,0
73,52,127,0
65,40,127,0
64,66,127,2
70,40,127,0
73,60,127,0
72,55,127,0
62,56,127,2
72,49,127,0
68,51,127,0
72,51,127,0
69,56,127,1
75,23,127,3
73,52,127,1
77,82,127,1
73,55,127,0
70,55,127,0
67,51,127,0
73,51,127,2
67,51,127,0
64,51,127,0
68,52,127,0
65,15,127,2
67,57,127,0
70,57,127,0
59,17,127,2
73,52,127,0
63,84,127,2
68,47,127,0
68,69,127,0
72,69,127,0
75,65,127,0
72,65,127,0
71,59,127,1
80,59,127,0
63,34,127,3
77,63,127,0
73,60,127,0
82,25,127,2
67,95,127,2
70,65,127,0
72,60,127,0
68,60,127,0
70,70,127,0
73,70,127,0
73,59,127,0
70,23,127,3
75,53,127,0
