note,velocity,time,anomalies
67,53,127,0
71,29,127,2
65,87,127,3
62,46,1,0
67,49,120,0
71,22,127,2
66,49,120,0
65,53,127,0
71,49,127,0
64,49,120,0
71,46,127,0
65,23,120,2
71,84,0,3
61,51,15,2
72,51,127,0
66,75,120,1
72,48,127,1
62,51,120,0
62,53,127,0
67,59,127,0
71,53,127,0
76,29,120,2
67,53,120,0
73,49,127,1
60,53,120,1
65,58,127,0
71,52,127,0
64,20,120,1
71,46,127,0
63,50,120,0
62,57,127,0
72,51,0,2
72,51,127,0
78,50,120,1
72,47,127,1
62,84,127,2
63,44,127,1
71,83,127,1
61,51,127,2
79,68,127,0
66,40,127,0
72,49,127,0
78,59,127,1
87,96,120,2
76,61,127,0
67,51,127,0
71,51,127,0
76,18,80,1
90,53,80,1
76,53,80,0
74,58,127,1
60,35,127,1
72,51,127,0
62,35,127,1
66,35,127,0
69,1,127,2
71,82,120,2
71,57,120,0
62,39,127,0
67,39,127,0
71,84,120,2
77,74,127,2
74,53,127,0
59,38,120,0
62,34,120,0
53,38,120,1
62,34,120,0
60,38,120,0
62,34,120,0
59,42,127,0
59,38,127,0
63,38,120,1
66,35,0,2
62,40,120,0
64,36,120,0
67,42,120,0
64,39,120,0
52,40,127,2
66,46,127,1
64,78,120,1
62,42,120,0
61,48,127,2
71,48,127,1
74,57,127,0
79,51,127,1
66,40,127,0
72,53,127,0
78,60,127,0
74,37,120,1
76,91,127,2
54,16,127,2
77,15,127,3
76,53,80,0
78,53,80,0
72,83,127,3
74,58,127,0
60,35,127,0
72,51,127,0
70,35,0,2
78,0,127,2
55,35,127,2
69,48,120,0
71,80,120,1
69,76,127,3
53,74,127,3
72,80,0,2
74,53,127,0
86,53,127,2
69,38,127,2
73,34,120,1
60,38,120,0
62,34,120,0
51,38,120,1
63,34,0,2
59,42,127,0
59,3,127,1
62,38,127,1
64,35,120,0
73,40,0,2
61,61,19,3
67,79,120,1
64,39,120,0
60,38,127,0
74,46,127,1
64,71,15,2
71,82,127,3
59,83,127,2
74,33,127,1
71,70,127,1
65,42,127,0
65,50,127,1
77,62,127,0
72,91,120,1
74,43,127,1
65,53,127,0
70,53,127,0
60,96,0,3
75,88,120,1
77,64,127,0
65,59,127,2
65,62,127,1
69,57,127,2
72,49,120,0
76,64,120,1
70,41,127,0
65,70,127,1
68,57,127,2
74,60,120,0
67,80,120,2
77,62,120,0
79,56,127,1
81,61,120,0
79,81,56,2
69,39,127,0
77,61,0,1
75,61,120,0
74,67,120,0
72,61,120,0
84,69,0,2
77,79,127,2
65,45,127,0
75,59,120,0
74,64,120,0
75,55,120,0
77,62,0,1
79,56,120,0
81,61,120,0
79,32,127,2
69,55,127,0
72,19,120,2
83,59,120,1
74,57,120,0
61,22,127,3
64,64,127,3
70,52,127,0
74,67,127,0
72,50,127,0
62,42,127,0
64,14,127,2
74,33,127,1
74,51,120,0
84,51,0,2
52,21,127,2
67,25,127,1
71,90,127,1
72,80,120,1
74,90,120,1
67,2,127,1
79,8,127,2
75,56,127,0
77,51,120,0
75,51,120,0
67,52,127,0
74,67,127,0
68,19,0,3
72,51,127,1
71,47,127,0
67,75,127,2
74,60,127,0
71,49,127,1
72,85,120,1
62,40,127,0
66,40,127,1
71,53,127,0
69,49,120,0
71,49,120,0
62,49,127,0
67,53,127,0
62,46,120,0
72,49,0,2
71,46,127,0
66,49,120,0
65,53,127,0
71,49,127,0
64,49,120,0
71,46,127,0
54,53,120,1
62,57,127,0
54,51,127,1
72,51,127,0
66,51,127,1
72,48,127,0
62,51,120,0
62,53,127,0
62,59,127,2
58,13,127,2
57,49,120,1
67,53,120,0
71,49,127,0
66,53,120,0
68,92,0,3
59,18,127,2
64,49,120,0
71,46,127,0
63,50,120,0
62,57,127,0
66,87,127,1
72,51,127,0
66,50,120,0
72,82,127,1
62,79,120,1
62,53,127,0
67,59,127,0
71,53,127,0
75,17,120,2
67,53,127,1
71,49,127,0
66,53,127,1
62,82,127,2
67,52,127,0
57,58,127,2
71,49,120,0
67,46,120,0
87,16,39,3
70,50,120,0
67,51,127,0
71,51,127,0
74,96,127,1
71,47,120,0
74,50,120,0
79,69,127,1
73,27,127,2
88,29,127,2
79,59,127,0
83,53,127,0
74,49,120,0
79,53,120,0
83,49,127,0
78,53,120,0
74,52,127,0
79,52,127,0
83,88,127,2
97,72,127,3
88,46,120,1
99,68,127,2
73,50,120,1
79,50,127,0
77,71,0,3
73,72,0,3
83,46,120,0
86,10,120,1
