note,velocity,time,anomalies
58,38,127,1
67,83,127,1
51,8,127,2
57,37,127,0
52,60,127,2
53,45,127,2
67,50,127,1
63,50,127,0
55,47,127,0
58,66,127,1
58,38,127,2
62,14,127,1
68,19,127,1
49,38,127,2
60,15,127,1
61,39,127,0
73,38,0,2
54,88,127,2
58,16,127,1
62,20,127,3
58,36,127,1
63,38,127,0
57,38,127,0
58,42,127,0
55,5,127,2
60,71,127,2
63,80,127,2
61,12,127,2
58,41,127,0
49,3,127,3
57,3,0,2
68,46,127,1
65,37,127,2
72,73,0,3
56,42,0,2
74,38,127,1
68,85,127,1
58,3,127,1
63,47,127,0
87,16,127,2
65,41,127,0
72,41,127,1
79,76,127,1
82,83,127,3
82,52,127,1
70,81,127,2
86,43,127,1
68,85,127,2
76,76,127,2
76,50,127,2
76,18,127,3
76,55,127,1
87,90,0,3
83,54,127,1
77,29,127,2
86,53,127,0
69,85,127,3
82,16,108,3
72,31,0,2
74,27,127,1
86,53,0,1
72,78,127,2
96,46,127,2
70,51,127,1
75,91,127,3
64,43,127,1
79,12,127,1
65,52,127,0
77,52,127,1
53,73,127,2
80,21,127,2
73,55,127,2
80,55,0,1
82,91,94,2
81,53,127,2
76,53,0,2
65,53,127,1
79,55,127,1
56,22,127,3
65,50,127,0
77,89,127,2
63,46,127,0
66,46,0,2
49,8,127,3
70,46,127,0
69,18,127,3
70,80,127,1
62,46,127,1
65,52,127,1
64,69,127,3
68,55,127,0
64,83,127,2
68,53,120,0
67,49,60,0
68,76,60,1
63,72,127,2
67,55,127,0
65,16,127,1
68,25,0,3
68,51,127,1
60,50,127,0
63,50,127,0
56,11,0,2
62,55,127,0
65,50,127,0
62,67,120,1
62,74,60,2
62,41,0,1
60,50,127,0
56,24,127,2
57,45,127,1
58,38,127,0
67,49,127,0
63,41,127,0
62,8,127,2
58,41,127,0
68,47,0,2
67,30,127,1
63,76,127,1
56,47,0,2
58,42,127,0
57,38,0,1
62,67,127,2
68,69,127,2
56,38,127,1
60,42,127,0
61,39,127,0
62,69,127,1
68,48,127,0
59,40,127,1
58,57,127,1
67,83,127,1
63,38,127,0
57,44,127,1
58,44,127,0
55,47,127,0
74,90,127,3
63,85,127,1
43,17,0,3
61,41,127,2
57,66,127,1
62,38,127,0
68,46,127,0
58,77,127,2
73,75,127,2
61,39,127,0
57,38,127,1
68,48,127,0
46,40,127,1
63,47,127,0
89,73,0,3
67,41,127,2
77,16,127,1
67,80,127,3
70,54,127,0
72,26,127,3
