note,velocity,time,anomalies
62,61,127,2
70,105,127,2
54,82,127,2
73,75,127,1
85,82,127,2
72,51,127,2
50,82,127,1
73,98,127,0
64,89,127,0
76,71,127,2
73,57,119,1
62,82,0,2
64,113,34,2
86,105,127,2
64,81,0,1
73,127,56,2
83,69,127,3
64,122,0,2
64,82,119,0
73,97,127,1
73,127,127,1
64,89,127,0
72,53,119,2
73,97,45,1
70,114,127,2
73,105,65,1
85,50,120,0
82,90,127,3
88,93,120,2
94,75,120,2
82,76,120,1
80,50,120,0
79,54,120,0
92,78,127,3
79,78,127,2
77,50,120,0
64,25,127,3
63,82,127,3
72,50,120,0
79,86,120,2
64,50,64,2
72,50,0,2
68,24,127,2
67,53,120,0
61,50,120,1
57,83,127,3
65,50,120,0
64,52,127,1
73,15,120,1
72,29,120,1
70,51,120,0
72,85,127,2
76,52,0,2
68,52,127,1
67,53,120,0
68,77,0,2
62,54,0,2
53,55,120,1
71,29,120,2
65,32,120,1
64,57,127,1
53,57,120,1
60,25,0,2
61,61,127,1
68,62,37,2
68,63,120,1
54,64,120,1
51,65,0,2
58,66,0,1
57,67,0,2
55,68,0,1
70,32,120,2
55,70,0,1
53,106,0,2
52,97,0,2
50,71,120,1
38,72,120,1
49,71,120,0
48,55,127,1
51,75,127,2
35,75,127,1
47,55,127,1
53,75,127,1
36,75,127,1
53,111,127,2
42,99,127,2
48,75,127,0
49,75,127,0
48,75,127,1
47,75,127,1
48,49,0,2
49,50,127,1
48,75,127,0
35,101,30,3
48,44,127,2
49,99,127,1
48,48,127,1
37,75,9,2
58,74,127,2
56,44,127,2
46,74,127,1
45,74,127,1
46,111,127,1
48,39,127,1
46,74,127,0
58,74,127,2
46,107,0,2
34,74,73,2
46,113,127,1
45,46,0,2
46,73,0,1
40,51,0,3
43,73,127,1
41,113,127,2
57,101,127,2
48,72,127,0
46,70,127,1
45,68,127,0
46,35,127,1
48,65,127,0
46,63,127,0
52,99,127,2
52,60,127,1
35,24,127,2
50,81,127,2
46,54,127,0
48,53,127,0
46,51,127,0
44,49,127,0
46,47,0,2
48,40,120,0
53,9,120,1
58,65,120,2
59,20,120,2
64,38,127,2
54,61,120,2
56,38,127,2
56,10,127,2
58,70,120,1
56,70,120,1
55,37,120,0
53,3,120,1
61,37,127,2
53,37,120,1
57,2,127,3
48,71,127,2
46,8,0,3
56,37,120,0
65,4,120,2
61,4,0,2
69,38,127,2
58,38,120,0
66,40,120,1
44,37,0,2
59,37,120,1
55,37,120,0
53,40,120,0
55,0,120,1
56,64,120,1
53,37,120,0
56,44,127,2
54,62,0,2
58,40,0,1
51,44,127,2
63,41,120,0
61,16,127,2
60,75,127,2
44,44,0,2
60,40,0,1
45,60,120,2
56,62,0,2
50,11,120,2
58,70,0,3
40,75,120,2
53,7,127,2
54,5,120,2
53,3,120,1
44,75,127,3
52,40,127,1
53,44,57,1
55,40,120,0
56,0,120,1
53,73,120,1
55,73,0,2
56,11,127,2
44,75,31,3
50,76,0,3
52,15,0,2
53,37,120,0
49,38,120,1
