note,velocity,time,anomalies
66,56,120,1
72,60,120,0
85,94,108,2
63,50,0,2
78,47,120,1
80,47,120,1
67,56,120,0
84,20,0,3
71,62,36,2
58,50,0,2
72,11,120,1
82,77,127,3
68,56,127,2
62,20,120,2
70,65,127,2
62,51,0,2
74,85,127,2
69,50,120,1
69,58,120,0
74,34,120,1
77,44,108,1
64,29,127,3
74,50,120,0
88,50,120,1
67,56,120,0
74,60,0,1
77,65,108,0
67,51,120,0
72,15,0,3
77,50,120,0
79,28,120,2
87,32,0,3
86,65,108,1
67,32,0,2
74,50,120,0
71,50,127,2
70,15,0,3
68,26,120,2
76,60,108,0
67,50,0,1
72,47,120,0
76,47,127,1
67,94,127,2
83,57,127,2
69,90,0,3
67,50,120,0
72,22,127,2
77,25,0,3
74,21,127,3
76,66,120,0
81,105,108,1
69,55,0,1
90,51,120,1
67,51,120,1
62,61,120,1
63,65,120,1
81,68,108,0
75,55,120,1
76,21,0,2
81,52,120,0
66,56,120,0
57,60,120,1
79,63,108,1
66,50,120,0
69,82,120,1
87,47,120,1
66,56,120,0
69,60,0,1
82,91,108,2
69,50,120,1
61,48,120,1
74,48,120,0
67,58,120,0
74,63,120,0
79,37,108,1
67,51,120,0
74,50,127,1
79,50,120,0
67,58,120,0
74,62,67,1
79,65,108,0
67,52,120,0
74,50,127,1
79,50,120,0
64,56,120,0
55,92,120,2
66,88,108,2
64,70,120,1
77,47,37,2
72,14,127,2
64,56,120,0
68,60,120,1
60,62,48,2
64,50,120,0
67,48,120,0
67,81,120,2
64,56,120,0
72,60,120,1
62,63,108,1
75,22,120,2
67,47,120,0
72,47,120,0
64,86,0,2
67,20,0,2
72,62,127,1
64,15,127,2
67,48,127,1
63,73,58,3
62,56,120,0
66,60,120,0
72,103,108,1
60,11,127,3
76,17,120,2
72,77,0,2
62,34,29,2
66,60,120,0
72,35,108,1
75,50,120,1
66,79,0,2
61,48,0,2
62,93,120,1
67,56,120,0
67,95,108,2
62,46,120,0
67,45,120,0
71,45,120,0
62,53,120,0
67,23,127,2
84,18,108,2
62,47,127,1
67,75,127,2
76,6,127,3
64,26,120,1
67,56,120,0
73,95,108,1
68,74,0,3
67,45,120,0
73,83,127,2
64,53,0,1
67,56,120,0
76,88,108,2
68,20,120,2
78,45,0,2
73,45,120,0
61,88,120,2
78,85,120,2
74,23,108,1
62,50,120,0
69,81,127,2
74,47,120,0
72,18,127,3
68,80,120,2
79,62,127,2
62,50,120,0
69,72,127,2
74,48,120,0
63,33,127,3
65,56,120,0
66,60,108,1
62,46,120,0
68,65,120,2
58,16,120,2
62,53,120,0
65,56,31,1
83,21,108,2
71,68,127,3
65,45,120,0
81,24,127,3
65,28,120,2
67,56,120,0
72,60,108,0
49,46,0,2
81,45,0,2
72,45,127,1
60,53,127,1
67,56,120,0
72,58,108,0
60,47,0,1
60,5,0,3
70,79,0,3
45,50,60,2
60,53,120,0
78,56,0,2
56,19,0,3
51,13,0,3
65,75,0,2
57,23,120,1
62,30,120,2
62,24,108,2
57,21,127,2
60,79,120,1
65,43,127,1
57,50,120,0
74,80,120,2
65,56,108,0
57,45,120,0
60,42,127,1
59,4,127,3
57,84,0,2
60,87,120,1
65,55,108,0
57,45,0,1
60,43,0,1
65,43,120,0
55,79,127,2
51,53,55,2
65,91,127,2
68,68,0,3
59,42,120,0
65,81,120,1
51,50,120,1
59,53,120,0
54,81,108,2
41,45,120,1
59,19,120,1
65,21,120,1
41,50,120,1
60,87,120,1
68,56,108,1
55,45,120,0
52,42,120,1
73,42,127,2
55,88,120,1
60,53,120,0
64,55,108,0
55,45,120,0
60,23,127,2
50,43,127,2
58,47,120,0
60,50,120,0
64,53,108,0
63,41,120,1
60,40,120,0
64,40,127,1
58,80,127,2
74,50,127,2
64,52,108,0
62,42,120,1
70,40,0,2
57,79,120,2
57,47,120,0
69,50,120,1
64,53,108,0
57,41,120,0
60,40,120,0
65,40,0,2
70,47,127,2
60,50,120,0
64,52,108,0
63,42,120,1
60,68,120,1
64,74,127,2
55,19,127,3
60,53,120,0
69,18,108,2
57,45,0,1
69,22,0,3
63,42,0,1
53,25,120,2
46,78,120,2
63,55,108,0
