note,velocity,time,anomalies
70,35,127,2
76,57,127,0
78,25,127,1
69,93,120,1
78,79,127,2
81,20,127,2
83,83,0,3
81,62,120,0
74,58,127,0
82,78,127,3
78,58,127,0
65,61,120,1
78,28,127,2
70,57,127,1
74,57,127,0
79,60,120,0
79,58,0,2
70,58,127,1
79,58,0,1
71,60,120,0
85,90,127,3
78,58,127,1
71,83,127,1
73,22,120,1
76,21,0,2
78,58,127,0
79,58,127,0
57,39,127,3
79,58,127,0
87,86,127,2
76,58,127,0
64,62,120,1
74,57,127,0
76,56,127,1
78,56,127,0
69,61,120,0
73,16,0,2
71,80,127,2
69,56,48,1
71,42,120,1
87,56,127,1
76,89,127,2
78,16,127,2
71,61,120,0
81,56,127,0
80,56,127,0
78,56,127,0
93,61,120,1
76,56,127,0
78,56,0,1
80,56,127,0
71,22,120,1
60,90,127,2
73,56,127,0
71,56,127,0
69,60,0,1
73,26,127,1
85,56,127,1
76,56,127,0
66,92,120,1
76,26,127,2
74,95,0,2
73,56,127,0
74,60,120,0
71,56,127,0
78,56,127,1
74,56,127,0
69,37,120,2
69,55,127,0
68,55,127,0
66,54,127,0
68,59,120,0
71,54,127,1
73,19,127,1
74,54,127,0
64,39,120,1
74,53,127,0
61,53,40,2
71,53,127,0
73,57,120,0
61,54,127,1
69,85,127,3
73,54,127,0
64,87,127,2
67,53,127,0
66,53,127,0
64,53,0,1
66,55,120,0
71,31,0,3
71,52,127,0
73,52,127,0
58,55,0,2
76,51,127,0
78,51,66,2
73,51,127,1
75,54,120,0
83,77,127,3
73,19,127,1
75,51,127,0
58,54,120,1
79,73,127,3
67,52,127,0
66,13,127,1
64,55,120,0
56,53,127,2
58,30,127,2
64,83,127,3
51,95,127,3
74,54,127,0
73,54,127,0
71,17,127,2
70,57,127,1
75,34,127,2
66,55,127,0
67,55,127,0
61,59,127,1
67,55,127,0
60,56,24,2
64,56,127,0
50,37,0,3
71,57,127,0
65,94,0,3
74,85,127,2
66,62,120,0
69,58,0,1
68,31,127,1
66,58,127,0
65,37,120,1
68,58,127,0
69,59,127,0
71,59,0,1
65,63,120,0
73,21,127,2
73,21,127,2
84,60,127,2
80,63,120,0
77,60,127,0
78,60,127,0
80,37,127,1
73,65,120,0
84,61,127,1
81,62,66,1
86,62,127,1
81,67,120,0
84,62,0,2
80,62,127,0
81,62,127,0
73,67,120,0
76,82,127,1
75,62,127,0
73,62,127,0
75,67,120,0
78,62,0,1
79,62,127,0
81,62,127,0
71,38,120,1
81,31,127,2
79,62,127,0
78,62,127,0
79,93,120,1
76,62,127,0
78,62,127,0
79,62,127,1
71,66,120,0
82,28,127,2
72,36,0,2
63,31,127,3
68,90,120,2
75,62,127,0
76,62,127,0
78,62,127,0
64,66,120,1
72,62,127,1
71,62,127,0
69,62,0,1
67,66,120,0
76,22,127,1
78,62,127,0
79,61,127,0
85,66,127,2
74,100,127,1
73,62,127,0
81,28,0,3
73,66,127,1
76,24,127,1
87,95,127,2
79,62,127,0
69,64,120,0
79,62,127,0
69,87,0,3
76,62,127,0
78,67,120,0
73,62,127,1
76,62,127,0
78,62,127,0
69,65,120,0
72,39,127,1
71,22,127,2
58,60,127,2
72,95,120,2
67,35,127,1
73,59,127,1
71,59,127,0
56,27,127,3
83,58,0,2
69,93,127,1
67,58,127,0
77,27,0,3
62,57,127,0
64,79,127,1
66,57,127,0
57,62,120,0
69,57,127,2
59,56,127,0
57,56,127,0
59,89,0,2
62,56,127,0
64,56,127,0
54,55,0,2
59,60,120,0
69,54,127,0
68,54,127,0
77,54,73,2
68,58,120,0
64,54,127,0
66,53,127,0
68,53,127,0
59,57,120,0
56,53,127,1
60,53,127,0
46,52,127,1
57,56,120,0
60,19,127,1
62,28,127,2
64,79,40,2
57,55,120,0
67,16,0,2
66,87,58,2
64,24,0,2
63,54,120,0
57,50,127,0
59,50,127,1
60,50,127,0
57,54,120,0
66,50,127,1
59,81,127,2
57,50,127,0
55,92,0,2
64,50,127,0
66,14,127,1
67,25,127,2
59,54,120,0
48,50,0,2
62,50,127,2
59,50,127,0
52,20,120,2
61,50,127,0
62,50,127,0
64,50,127,0
58,54,120,0
64,50,0,2
54,70,127,2
64,51,0,1
73,55,120,0
63,83,127,2
71,52,127,0
73,52,127,0
66,55,120,0
64,79,127,2
74,52,127,0
73,92,127,2
74,57,120,0
65,73,127,2
73,77,127,2
74,16,127,1
66,58,120,0
69,53,127,0
68,53,127,0
66,54,127,1
68,83,0,2
80,18,127,2
72,81,127,1
74,28,127,1
64,80,127,2
80,20,0,3
81,21,127,3
71,55,0,1
72,61,120,0
69,55,127,0
71,86,127,1
72,53,127,0
78,59,120,1
67,52,127,0
66,52,127,0
64,28,127,1
67,85,0,3
57,50,127,1
71,50,127,0
72,49,127,0
62,54,120,0
76,72,0,3
71,47,127,0
63,76,127,2
71,71,120,1
81,16,127,2
69,46,127,0
71,46,127,0
62,51,120,0
71,46,127,0
75,8,127,2
67,46,0,1
68,83,127,3
67,46,127,0
69,46,127,0
79,16,127,2
62,51,127,1
71,46,127,1
76,26,127,2
67,46,127,0
77,51,0,2
69,48,127,0
71,48,127,0
72,48,127,0
69,51,127,2
67,48,127,0
66,75,0,2
52,77,127,2
66,12,120,1
68,86,78,3
82,48,127,1
58,48,127,1
62,51,120,0
72,81,127,1
71,48,127,0
69,73,127,2
71,28,127,2
67,48,127,0
69,48,127,0
71,48,127,0
58,21,120,2
76,48,127,2
64,48,127,0
62,48,127,0
64,51,120,0
67,48,127,0
69,48,127,0
71,48,0,1
53,51,120,1
74,48,127,0
73,48,127,1
82,48,127,1
73,51,120,0
69,24,0,2
83,82,0,3
72,48,127,1
64,51,120,0
67,49,127,0
66,49,127,0
63,88,127,3
62,29,0,2
79,11,127,2
67,49,127,0
