note,velocity,time,anomalies
74,122,127,2
77,52,120,1
82,62,120,1
86,127,120,1
68,53,127,3
89,79,127,1
74,79,127,1
86,61,0,2
69,101,45,2
87,100,0,1
77,80,45,0
82,55,45,1
95,74,127,3
74,115,45,1
82,105,45,1
77,82,45,0
77,88,0,1
69,88,120,1
86,88,120,1
86,105,0,1
64,59,127,3
75,108,0,3
88,110,120,2
82,127,127,2
96,113,120,2
86,88,0,1
85,62,0,3
89,125,120,1
64,79,127,1
82,79,127,0
86,79,127,0
88,66,0,3
75,80,45,1
83,111,45,2
91,100,127,1
77,43,45,1
77,82,45,0
94,82,45,1
90,57,0,3
86,82,45,0
86,105,120,1
77,88,120,0
82,88,0,1
86,88,120,0
74,112,120,1
77,112,120,1
82,43,0,2
86,118,127,2
57,50,127,2
83,71,19,3
74,50,127,0
75,73,127,2
75,33,0,2
75,39,127,1
68,67,127,1
72,15,127,2
73,46,127,2
75,23,127,1
69,67,127,2
69,13,127,1
84,72,127,2
74,76,127,1
76,39,0,2
74,47,120,0
75,27,120,1
65,45,127,1
91,84,127,3
70,45,0,1
77,52,120,1
66,68,127,3
77,13,120,1
75,43,0,1
69,3,0,2
77,78,0,2
70,0,127,1
65,35,127,1
75,49,120,0
74,41,120,0
72,30,127,0
77,43,127,1
67,30,127,0
75,67,127,2
69,30,0,1
61,35,127,2
82,50,127,1
82,45,120,1
86,50,127,0
79,39,127,0
81,33,0,1
72,76,127,2
84,50,120,0
80,42,106,1
86,46,19,1
90,23,127,3
87,88,127,1
88,70,127,3
87,75,127,2
79,70,127,2
79,73,127,2
86,51,120,0
76,90,0,3
89,32,127,1
77,45,127,0
79,80,127,3
90,31,127,3
89,20,120,1
90,42,127,2
83,47,127,1
81,43,127,1
78,75,127,3
87,97,120,1
77,44,127,0
86,87,34,2
80,74,127,3
100,80,120,2
86,37,0,2
76,69,0,3
86,55,120,0
81,78,127,1
77,85,0,2
78,71,127,3
77,21,127,1
91,67,120,0
82,17,127,1
77,27,0,3
83,38,127,3
82,41,127,0
89,59,127,1
89,38,120,1
69,16,127,2
87,55,0,1
81,13,127,1
95,36,120,2
87,56,127,1
87,112,127,2
77,97,127,1
72,57,120,1
87,35,30,2
82,45,127,1
86,58,117,0
89,106,127,3
84,87,120,1
86,30,0,2
77,47,127,0
81,47,127,0
87,40,120,1
91,96,0,2
68,58,127,2
73,58,127,2
89,70,120,0
86,60,127,1
88,76,127,0
91,72,0,1
85,67,127,2
96,46,127,2
84,91,127,2
87,113,127,2
93,77,120,0
79,73,0,2
96,50,15,2
86,98,127,2
94,52,127,2
82,71,127,1
93,84,0,1
73,71,127,2
77,114,0,3
89,51,127,2
86,72,120,0
94,72,0,2
86,117,0,3
93,80,120,0
82,30,120,2
70,34,0,3
94,109,127,2
96,85,127,1
86,85,127,1
91,101,127,2
70,63,127,0
82,75,127,0
83,63,127,1
77,50,60,0
79,34,127,3
67,28,60,2
82,84,0,2
78,51,127,2
