note,velocity,time,anomalies
60,42,127,2
61,5,127,1
61,40,127,1
56,40,127,2
73,15,127,2
69,40,127,0
69,42,127,0
61,39,0,1
69,47,127,0
61,34,127,0
66,41,127,0
54,73,0,3
56,34,127,1
77,14,127,2
61,34,127,0
57,42,127,0
66,42,127,0
69,50,127,0
61,42,127,0
59,47,127,0
71,56,127,0
66,13,0,2
66,46,127,0
61,81,127,3
74,55,127,0
62,52,127,0
74,62,127,0
66,52,127,0
62,26,127,2
86,24,67,3
61,48,127,0
66,53,127,0
67,39,127,2
50,53,127,1
65,49,127,0
71,49,127,0
73,49,127,0
77,60,127,0
73,57,127,0
69,52,127,0
66,52,127,0
78,68,127,1
80,72,127,0
73,61,127,0
68,61,127,0
60,51,127,2
57,43,127,2
61,43,127,2
68,42,127,0
71,42,127,0
74,50,127,0
62,42,127,0
71,71,127,3
69,36,127,0
59,17,127,2
59,35,127,0
72,35,127,1
54,59,127,3
71,42,127,0
59,40,127,0
73,40,127,1
60,80,127,2
71,48,127,0
59,39,127,0
65,39,127,0
62,39,127,0
71,47,127,0
66,66,127,1
57,34,127,0
61,5,0,2
69,41,127,0
56,34,127,0
62,13,127,1
66,34,127,0
61,41,127,1
73,40,127,1
56,40,127,0
63,64,127,1
68,71,127,1
64,36,127,1
56,36,127,0
66,16,127,1
68,6,103,2
75,45,0,2
66,45,127,0
56,81,0,2
68,53,127,0
66,40,127,0
63,40,127,0
57,40,127,0
69,49,127,0
54,42,127,0
57,42,127,0
63,42,127,0
66,15,127,1
54,44,127,0
50,44,127,1
63,44,127,1
66,53,127,0
60,45,127,0
61,46,127,0
56,36,127,0
55,55,127,1
53,36,127,0
75,46,0,2
68,57,127,0
71,59,127,0
62,50,127,0
65,50,127,1
71,60,127,0
65,50,127,1
61,45,127,0
69,50,127,0
66,45,127,0
69,89,127,1
61,28,127,1
66,26,127,2
67,42,0,2
68,51,127,0
59,42,127,0
62,42,127,0
66,51,127,0
75,81,0,3
57,42,120,0
60,20,0,2
58,13,127,3
74,60,127,2
57,50,127,0
70,50,127,2
65,50,127,0
61,45,127,0
42,45,127,1
65,66,127,0
75,60,127,1
63,64,127,2
57,63,0,2
68,42,127,0
74,63,119,0
71,50,127,0
74,107,86,2
65,2,127,1
68,36,127,0
66,48,127,0
76,93,127,3
69,48,127,0
73,55,127,0
69,46,127,0
66,24,120,1
51,12,0,3
64,74,127,2
71,47,127,0
65,39,127,0
60,5,127,2
66,39,127,0
69,76,127,1
63,39,127,0
66,45,127,0
68,54,127,1
60,44,127,0
63,44,127,0
61,38,127,0
71,0,127,2
74,44,127,1
68,43,127,0
65,35,127,0
61,35,127,0
64,34,0,1
67,39,127,0
61,34,127,0
74,53,127,2
83,65,127,0
81,62,127,0
67,55,127,0
79,65,127,0
78,64,127,0
67,55,127,0
76,65,127,0
79,41,127,2
67,55,127,0
79,65,127,0
66,64,127,0
63,91,127,2
66,45,127,0
69,53,127,0
66,43,127,0
63,14,127,2
73,51,127,0
73,54,127,0
65,45,127,0
68,68,48,2
73,43,127,0
60,36,127,1
65,36,0,1
68,40,127,0
65,40,127,0
73,48,127,0
63,65,0,3
69,71,127,2
66,37,127,0
69,79,127,1
61,37,22,1
66,45,127,0
68,44,120,0
65,44,120,0
61,44,127,0
66,47,120,0
69,47,120,0
68,51,127,0
71,51,127,0
62,50,127,1
68,80,0,3
66,47,127,0
69,58,127,0
59,51,95,1
60,35,127,2
54,80,127,3
49,51,127,1
68,57,127,0
66,54,127,0
63,45,127,0
54,13,127,3
57,50,127,0
51,50,127,1
66,60,127,0
59,50,127,1
54,23,127,3
67,27,127,3
65,56,127,0
56,50,127,0
61,50,127,0
75,59,127,1
78,60,120,1
71,63,120,0
74,66,119,0
68,60,127,1
71,50,127,1
73,71,127,1
65,15,127,2
62,36,127,0
65,36,127,0
68,36,127,0
69,48,127,0
73,54,127,0
65,75,69,2
62,39,127,0
73,55,127,0
68,39,127,0
80,73,127,3
67,62,127,2
72,2,127,2
69,47,127,0
64,45,127,1
63,68,127,1
65,24,127,3
69,92,127,1
60,39,127,0
63,17,127,1
61,38,127,0
65,38,127,0
67,44,127,1
71,35,127,2
70,11,127,2
68,43,127,0
64,34,127,1
75,39,127,1
63,54,71,3
69,53,127,2
70,36,127,2
81,60,127,0
81,65,127,0
78,65,127,1
79,46,127,0
78,54,127,0
90,64,127,0
90,109,127,1
78,78,127,1
76,56,127,0
88,67,127,0
78,60,127,0
90,71,127,0
90,75,127,0
85,63,0,2
91,72,127,0
79,22,127,1
78,64,119,0
66,57,119,0
66,54,127,0
86,28,127,2
92,22,127,3
69,52,127,0
85,59,127,1
59,59,127,1
73,62,127,0
85,37,127,1
73,57,127,1
73,57,127,0
85,63,127,0
73,53,127,0
74,79,127,2
86,62,127,0
67,47,127,0
79,56,127,0
83,63,127,0
74,76,127,2
61,48,127,0
73,57,127,0
65,47,127,0
68,56,0,2
78,63,127,0
66,53,127,0
73,57,127,0
85,89,127,2
68,41,120,0
80,49,120,0
81,53,127,0
76,14,127,2
69,8,0,2
81,54,127,0
65,37,120,0
77,44,120,0
73,44,127,0
73,44,127,0
86,44,127,2
78,55,127,0
73,44,127,0
78,63,127,0
85,44,0,2
68,84,127,2
73,48,127,0
85,68,127,0
63,50,0,2
85,95,127,1
77,52,127,0
83,52,127,0
79,0,127,3
84,6,127,2
88,75,120,0
86,67,120,0
76,41,127,2
71,44,127,0
68,64,127,2
72,81,127,2
83,64,127,0
71,44,127,0
83,74,127,0
65,44,127,0
71,55,127,0
65,39,127,0
73,63,120,0
65,37,0,1
74,65,119,0
71,40,127,0
74,95,127,1
65,37,127,0
71,44,120,0
73,63,127,0
71,44,127,0
70,37,127,1
65,37,120,0
71,66,120,0
71,63,120,0
69,54,127,0
71,63,127,1
78,67,127,0
81,66,80,0
93,67,127,2
90,70,80,0
92,71,80,0
93,75,80,0
90,73,80,0
85,63,80,0
85,40,0,2
86,63,60,0
85,59,30,0
86,60,30,0
85,101,30,1
86,63,30,0
78,42,30,2
81,90,30,2
85,66,60,0
84,69,60,0
85,71,60,0
88,74,80,0
85,69,80,0
86,70,79,0
82,76,127,2
76,62,80,0
77,62,80,0
83,70,127,2
86,59,80,0
85,60,79,0
85,67,80,0
82,58,80,0
87,53,79,1
83,59,60,0
65,46,60,0
66,20,127,2
68,48,127,1
69,49,60,0
70,50,60,0
78,79,0,3
72,52,60,0
76,80,80,2
60,29,80,2
75,57,80,0
86,58,80,1
73,60,80,0
74,61,79,0
74,64,60,0
96,62,0,2
80,79,0,2
77,56,60,0
74,62,60,0
72,57,60,0
74,55,60,0
73,20,127,2
86,20,0,3
66,48,127,0
78,62,127,0
66,48,127,0
73,56,120,0
74,62,127,0
71,43,127,0
65,36,127,0
65,36,127,0
71,43,0,1
73,56,127,1
65,36,120,0
71,43,120,0
73,62,80,0
85,57,80,0
80,57,80,0
83,63,60,0
81,65,60,0
77,68,60,0
78,70,60,0
85,35,60,2
87,70,60,1
81,68,40,0
78,67,0,1
73,65,40,0
76,66,120,0
75,62,120,0
71,13,127,1
65,43,127,0
74,62,120,0
74,58,127,0
71,48,127,0
67,2,127,2
59,41,120,1
71,48,120,0
73,58,120,0
73,60,127,0
66,40,127,0
78,62,127,0
78,63,127,0
66,40,127,0
78,65,127,0
78,67,127,0
71,71,127,1
83,69,127,0
83,41,127,2
71,61,127,0
65,24,127,2
83,73,127,0
71,63,127,0
83,75,127,0
73,64,127,1
83,76,127,0
71,65,127,0
83,38,127,1
71,66,119,0
78,78,127,1
88,80,127,0
83,68,127,0
76,68,127,0
86,81,127,0
88,81,127,0
96,68,127,1
76,68,127,0
102,82,0,2
93,96,119,2
77,47,119,2
76,69,119,0
76,56,127,0
88,73,120,0
80,57,120,0
76,54,127,0
83,64,120,0
81,60,120,0
78,51,127,0
80,60,0,1
81,60,120,0
84,69,127,1
78,60,120,0
81,65,127,0
83,55,127,0
79,57,120,0
78,60,120,0
79,95,0,2
77,56,127,0
80,57,120,0
76,91,127,1
82,64,120,0
81,60,120,0
85,83,127,3
81,60,120,0
83,69,127,0
76,60,120,0
81,90,120,2
81,55,127,1
78,25,120,1
77,60,120,0
78,55,120,0
75,50,127,0
78,53,120,0
76,51,127,0
81,61,0,1
79,55,120,0
73,51,127,0
90,31,120,2
87,16,127,3
79,63,120,0
73,53,127,0
76,57,120,0
74,94,29,2
79,67,120,0
78,58,120,0
76,68,120,0
80,57,127,1
77,61,119,0
77,71,76,1
57,81,127,3
64,57,127,0
71,43,120,2
76,68,127,0
69,59,120,0
66,58,127,0
61,30,0,3
74,69,127,0
69,60,120,0
79,74,127,0
79,102,120,2
80,88,127,3
78,71,127,0
74,35,127,1
89,58,127,1
83,69,127,0
65,58,0,2
71,61,127,0
80,72,127,0
75,29,127,2
74,62,127,0
69,24,127,2
81,74,127,0
74,80,127,0
86,91,127,0
69,82,127,2
79,82,127,0
64,73,127,1
73,73,127,0
85,49,127,1
79,73,127,0
85,78,127,0
79,78,127,1
91,95,127,0
88,80,127,0
67,50,120,0
64,54,120,0
70,45,120,0
68,52,120,0
69,45,120,0
76,25,127,3
71,45,120,0
69,49,120,0
67,45,120,0
66,49,127,0
38,29,127,1
38,52,120,0
33,46,120,0
33,52,127,0
33,52,127,0
33,52,127,1
22,27,127,3
86,61,127,0
74,53,127,0
83,55,127,2
74,27,120,1
81,48,119,0
69,42,119,0
81,55,127,0
69,48,127,0
81,55,127,0
69,48,127,0
81,55,127,0
69,48,127,0
70,53,127,1
66,45,127,0
38,58,127,0
38,56,127,0
39,56,127,2
37,71,0,2
38,50,60,0
33,52,127,0
47,32,127,3
33,52,0,1
30,52,127,0
86,70,127,1
74,61,127,0
74,61,127,0
86,70,127,0
85,99,81,2
74,59,81,0
73,53,80,0
86,60,0,2
74,53,80,0
72,60,0,2
