note,velocity,time,anomalies
67,40,127,0
66,36,120,0
69,40,127,0
67,40,127,0
66,59,127,2
69,40,127,0
69,46,127,0
75,42,114,0
75,52,127,0
62,29,127,0
74,40,127,0
67,36,114,0
67,41,127,0
60,29,127,0
66,40,127,0
69,36,114,0
69,44,127,0
71,40,127,0
59,25,127,0
62,30,127,0
59,20,127,0
62,24,127,0
72,14,127,2
71,30,80,0
69,30,80,0
71,39,127,0
72,46,127,0
75,36,127,1
74,52,120,0
77,60,127,0
74,41,60,0
77,42,60,0
75,58,127,0
74,53,120,0
77,61,127,0
74,63,127,0
80,61,114,0
80,70,127,0
67,33,127,0
79,48,127,0
72,41,114,0
72,47,127,0
65,33,127,0
71,46,127,0
74,41,114,0
69,21,0,3
75,46,127,0
63,36,127,0
63,29,127,0
68,38,127,0
67,43,127,0
68,49,127,0
79,59,127,1
70,44,60,0
72,44,60,0
70,44,60,0
69,44,60,0
70,52,127,0
72,55,120,0
73,61,127,0
72,56,120,0
82,64,120,0
79,58,114,0
79,67,127,0
82,45,120,0
80,45,120,0
68,45,127,0
67,39,127,0
57,37,127,0
60,37,127,0
67,52,127,0
66,45,120,0
61,58,127,1
62,51,127,0
69,60,127,0
67,52,114,0
60,52,127,0
62,52,127,0
67,62,127,0
66,50,120,0
58,54,127,0
62,54,127,0
69,64,127,0
67,54,120,0
57,58,127,0
62,58,127,0
70,69,127,0
69,45,120,0
66,51,120,0
69,46,120,0
72,42,120,0
75,48,127,1
74,54,120,0
72,43,120,0
74,7,127,3
69,43,120,0
72,53,120,0
78,45,120,0
81,45,120,0
84,45,120,0
82,54,120,0
81,45,120,0
79,45,120,0
78,45,120,0
81,18,0,2
84,53,120,0
90,85,120,2
87,57,120,0
86,60,120,0
84,51,0,1
82,52,120,0
69,78,120,2
84,58,120,0
81,48,120,0
79,49,120,0
78,71,120,1
84,60,120,0
71,53,127,2
79,55,120,0
78,56,120,0
81,69,90,0
78,59,90,0
75,63,90,0
74,65,90,0
74,97,127,2
69,58,127,0
71,64,127,0
67,53,127,0
79,39,79,3
66,55,60,0
67,55,60,0
66,55,60,0
64,55,60,0
66,64,127,0
67,59,127,1
69,57,127,0
71,62,127,0
72,64,120,0
73,57,115,0
73,64,120,0
74,59,120,0
73,64,120,0
74,57,120,0
81,57,127,2
74,57,120,0
69,64,127,0
71,64,60,0
69,80,60,1
65,99,0,3
69,54,60,0
72,64,60,0
71,55,60,0
72,64,60,0
71,56,60,0
74,64,60,0
73,57,60,0
74,52,30,0
73,52,30,0
83,15,30,2
70,16,127,3
67,60,117,0
67,64,127,0
66,56,34,0
67,50,34,0
66,56,34,0
67,89,0,2
66,56,34,0
64,51,34,0
66,51,34,0
67,57,127,0
69,59,127,0
70,64,127,0
72,64,120,0
73,58,116,0
73,64,120,0
74,56,115,0
74,71,127,0
82,76,127,0
74,64,127,0
82,73,127,0
74,62,127,0
81,67,127,0
72,56,127,0
79,61,127,0
70,51,127,0
79,66,127,0
69,56,127,1
76,22,127,2
79,64,127,0
75,54,127,0
67,54,127,0
77,56,127,0
74,47,127,0
67,47,127,0
75,48,127,0
72,40,127,0
67,35,104,1
73,30,127,0
70,30,127,0
67,30,127,0
77,50,127,0
76,45,120,0
79,50,127,0
83,1,127,3
70,30,127,0
67,30,127,0
77,50,127,0
76,45,120,0
79,50,127,0
73,30,127,0
79,60,127,0
76,91,116,2
78,65,127,1
72,29,127,0
84,50,127,0
77,45,114,0
77,51,127,0
70,29,127,0
76,50,127,0
79,45,114,0
79,55,127,0
80,50,127,0
72,30,127,0
72,24,127,0
73,38,127,0
72,43,127,0
73,79,72,2
77,59,127,0
75,44,60,0
77,44,60,0
75,44,60,0
74,44,60,0
75,52,127,0
63,55,120,1
78,61,127,0
77,56,120,0
87,64,120,0
84,85,0,2
84,67,127,0
87,45,120,0
85,45,120,0
66,45,127,0
65,39,127,0
61,37,127,0
65,52,127,0
55,56,127,1
58,32,127,0
64,45,120,0
67,58,127,0
56,39,127,0
60,51,127,0
67,60,127,0
65,52,114,0
58,52,127,0
60,52,127,0
65,62,127,0
64,50,114,0
56,54,127,0
60,54,127,0
67,64,127,0
77,54,0,2
55,58,127,0
60,58,127,0
68,69,127,0
67,45,114,0
64,51,120,0
67,46,120,0
70,42,120,0
73,48,120,0
72,54,120,0
70,43,120,0
68,43,120,0
67,43,120,0
79,53,120,1
81,45,127,2
79,45,120,0
82,45,120,0
80,54,120,0
79,45,120,0
77,45,120,0
76,45,120,0
79,51,120,0
82,53,120,0
84,55,120,0
85,57,120,0
84,60,120,0
82,51,120,0
80,52,120,0
79,52,120,0
82,58,120,0
79,48,120,0
77,82,127,2
76,49,120,0
82,60,120,0
79,53,120,0
77,55,120,0
76,56,120,0
91,69,90,0
79,69,90,0
88,59,90,0
88,59,90,1
85,34,90,1
73,63,90,0
84,65,90,0
61,102,0,3
84,64,127,0
72,54,127,0
79,58,127,0
67,49,127,1
81,64,0,1
69,54,127,0
77,53,127,1
65,45,127,0
77,64,127,0
65,54,127,0
76,28,60,1
77,55,60,0
76,55,60,0
74,55,60,0
76,64,127,0
64,54,127,0
77,59,127,0
65,50,127,0
79,62,127,0
67,48,127,0
81,62,127,0
69,52,0,1
82,64,120,0
70,81,0,2
83,57,114,0
71,48,114,0
83,64,120,0
71,54,120,0
84,59,120,0
72,50,120,0
83,64,120,0
84,57,120,0
86,57,120,0
84,57,120,0
79,64,127,0
81,84,60,1
79,55,60,0
81,64,60,0
79,54,60,0
82,64,0,1
70,55,127,2
82,64,60,0
81,56,60,0
84,64,60,0
83,57,60,0
84,52,30,0
83,45,30,0
86,52,30,0
84,48,30,0
89,60,60,0
77,54,57,0
77,64,127,0
65,54,127,0
76,55,60,0
77,55,60,0
76,31,127,2
74,55,60,0
76,64,127,0
61,19,127,3
77,59,127,1
65,50,127,0
79,59,0,1
67,50,127,0
80,64,127,0
68,54,127,0
82,64,120,0
66,54,127,2
83,58,114,0
71,49,114,0
83,64,120,0
71,54,120,0
84,56,114,0
72,47,114,0
84,71,127,0
80,60,127,0
72,60,127,0
84,64,127,0
80,64,127,0
92,76,127,0
80,73,127,0
72,62,127,0
79,67,127,0
70,56,127,0
68,51,127,0
77,61,127,0
77,71,127,0
68,63,127,0
80,64,127,0
77,64,127,0
92,76,127,1
65,59,127,0
77,70,127,0
68,59,127,0
65,53,127,0
75,63,127,0
72,53,127,0
60,47,0,2
62,56,127,1
70,47,127,0
68,30,127,0
65,30,127,0
62,30,127,0
72,10,127,2
71,45,120,0
74,50,127,0
72,85,127,2
71,45,120,0
74,50,127,0
74,50,127,0
72,45,120,0
75,50,127,0
68,30,127,0
65,30,127,0
75,50,127,0
74,45,120,0
77,50,127,0
75,50,127,0
74,45,120,0
77,50,127,0
77,50,127,0
75,45,120,0
79,50,127,0
68,40,127,0
74,40,127,0
79,50,127,0
77,45,120,0
80,50,127,0
77,45,120,0
80,71,127,3
92,45,120,1
89,50,127,0
86,9,0,2
92,53,127,0
