note,velocity,time,anomalies
89,77,120,0
86,77,120,0
80,77,120,0
92,88,120,0
58,66,120,0
57,57,120,0
58,57,120,0
62,56,120,0
65,67,120,0
62,76,0,2
65,54,120,0
68,55,120,0
65,55,120,0
68,55,120,1
68,88,127,2
63,56,120,1
68,57,120,0
70,56,120,0
68,78,127,2
65,76,120,1
70,27,127,2
68,55,127,1
66,82,120,2
74,55,120,0
66,55,127,2
68,55,120,0
77,100,127,2
61,54,0,2
77,55,120,0
80,95,0,2
77,84,0,2
74,54,0,1
80,65,120,0
74,93,120,2
80,54,120,0
82,76,127,2
80,88,120,1
77,53,120,0
82,62,0,1
81,13,120,2
82,54,120,0
94,54,127,2
82,18,120,1
78,33,120,2
86,33,120,1
85,53,127,2
86,52,120,0
89,52,120,0
86,52,120,0
82,77,120,1
89,57,120,0
86,49,120,0
89,50,120,0
92,49,120,0
89,48,0,1
86,48,120,0
82,58,127,1
81,48,120,0
82,47,120,0
76,85,0,3
89,47,120,0
86,47,120,0
84,54,120,1
86,46,0,1
91,47,120,1
79,47,120,1
89,46,120,0
74,45,120,1
86,75,120,2
81,45,120,0
91,45,0,2
77,71,120,2
89,12,120,1
94,44,48,2
89,21,120,2
74,44,120,0
77,45,120,0
83,17,127,3
65,82,120,2
74,43,120,0
70,52,120,0
78,69,0,3
70,42,120,0
74,42,120,0
77,42,120,0
74,42,120,0
77,48,120,0
74,41,120,0
87,13,120,2
80,17,127,2
77,12,127,2
74,40,120,0
83,18,120,2
71,40,127,2
70,40,120,0
80,40,120,1
84,39,0,2
74,39,120,0
75,120,120,2
77,77,127,2
77,110,0,2
68,77,120,0
49,96,127,3
57,57,120,0
57,56,17,2
65,74,127,3
60,64,120,0
58,53,120,0
63,51,120,0
62,51,120,0
67,51,120,0
65,50,120,0
70,60,120,0
69,51,120,0
72,59,120,0
61,50,0,2
75,50,120,0
74,48,127,1
66,57,120,1
77,23,127,2
82,45,120,0
89,83,52,3
84,45,120,0
82,44,120,0
83,45,127,2
79,20,127,2
64,39,108,2
74,45,127,0
77,40,127,0
93,10,0,3
82,45,127,0
79,41,127,0
75,41,127,1
75,45,127,0
79,39,127,0
77,78,127,2
