note,velocity,time,anomalies
51,76,127,1
64,16,127,1
60,40,127,0
62,82,127,1
64,11,0,1
76,21,127,1
60,40,127,0
69,12,127,1
48,12,127,1
68,45,120,0
81,16,127,1
67,21,127,1
50,67,127,1
59,45,127,0
55,17,0,1
70,72,0,1
73,2,0,1
72,45,127,0
81,82,127,1
72,45,60,0
71,40,60,0
61,66,0,1
75,50,127,0
74,45,127,0
77,56,127,0
75,53,127,0
88,23,127,1
65,75,0,1
64,25,12,1
55,40,127,0
54,45,127,0
52,78,0,1
60,45,120,0
55,62,127,1
47,15,114,1
56,15,127,1
65,66,0,1
52,60,0,1
63,45,120,0
74,18,127,1
62,45,127,0
55,45,120,0
59,51,120,0
62,45,120,0
78,80,0,1
60,65,0,1
69,90,127,1
74,53,120,0
87,33,13,1
69,27,57,1
70,89,127,1
78,83,0,1
75,55,120,0
72,75,127,1
59,97,127,1
74,79,127,1
69,30,127,1
74,32,0,1
79,30,0,1
84,52,120,0
77,23,127,1
89,59,127,0
77,36,0,1
86,95,127,1
84,66,127,0
79,22,0,1
81,37,127,1
90,32,127,1
64,24,127,1
71,57,127,0
74,16,0,1
84,60,120,0
84,52,120,0
88,40,127,1
86,60,60,0
84,60,60,0
83,60,60,0
84,60,60,0
94,24,44,1
89,35,92,1
86,60,127,0
89,102,127,1
83,28,127,1
84,69,120,0
83,91,127,1
95,31,127,1
76,85,0,1
95,38,15,1
94,111,0,1
86,72,120,0
77,34,127,1
83,72,120,0
73,33,127,1
91,93,0,1
88,91,0,1
89,32,0,1
64,83,0,1
85,102,127,1
76,88,127,1
63,34,127,1
63,40,127,1
60,43,0,1
71,83,0,1
72,66,120,0
64,42,55,1
74,70,120,0
72,67,120,0
71,45,127,1
72,63,120,0
76,99,0,1
54,86,0,1
67,69,120,0
65,63,120,0
52,24,0,1
62,63,120,0
60,77,120,0
62,69,120,0
57,37,4,1
53,98,0,1
60,77,120,0
51,105,127,1
62,101,0,1
61,39,127,1
48,49,0,1
62,90,0,1
62,69,120,0
65,105,127,1
50,114,0,1
67,69,120,0
73,34,0,1
50,44,127,1
45,45,127,1
67,69,120,0
54,42,127,1
68,33,0,1
60,112,0,1
59,95,127,1
66,92,127,1
60,69,120,0
55,80,120,0
67,69,120,0
57,99,0,1
59,69,120,0
60,103,0,1
67,69,120,0
63,69,120,0
60,69,120,0
55,74,127,0
45,104,127,1
62,74,127,0
67,89,127,0
68,64,127,1
60,37,120,0
62,8,0,1
44,17,127,1
47,8,127,1
63,46,120,0
58,67,0,1
67,40,120,0
58,38,120,0
64,70,127,1
60,6,0,1
44,58,127,1
59,16,0,1
54,6,127,1
71,0,127,1
63,16,127,1
73,75,127,1
49,1,0,1
60,37,120,0
62,37,120,0
55,39,127,0
58,39,127,0
63,46,120,0
54,6,0,1
67,40,120,0
63,78,0,1
60,38,120,0
65,45,120,0
60,62,0,1
54,64,0,1
74,10,127,1
56,64,127,1
41,4,127,1
64,13,127,1
59,4,127,1
58,57,127,1
65,67,127,1
46,17,127,1
58,39,127,0
68,86,127,1
65,40,120,0
67,40,120,0
67,3,0,1
75,78,127,1
53,7,127,1
50,1,127,1
63,39,120,0
70,70,127,1
67,90,127,1
56,83,127,1
63,109,127,1
73,25,0,1
83,18,127,1
72,87,127,1
79,76,0,1
65,48,127,0
63,48,120,0
50,17,127,1
67,17,127,1
46,81,127,1
58,90,127,1
44,23,18,1
58,72,127,1
64,14,127,1
64,25,127,1
77,11,0,1
63,24,0,1
66,17,127,1
67,53,127,0
60,19,0,1
63,48,120,0
61,20,0,1
53,45,127,0
56,45,127,0
61,80,127,1
65,27,127,1
50,90,127,1
46,75,127,1
58,90,127,1
77,82,127,1
69,22,0,1
69,32,2,1
54,89,127,1
79,50,120,0
67,50,120,0
76,90,127,1
55,28,127,1
70,82,127,1
76,75,0,1
85,69,0,1
67,71,127,1
81,84,0,1
70,79,127,1
51,84,70,1
72,55,120,0
47,9,0,1
70,48,120,0
68,14,0,1
80,69,127,1
76,85,127,1
74,48,120,0
63,48,120,0
75,43,120,0
51,15,127,1
75,42,120,0
61,71,0,1
80,21,127,1
50,77,127,1
81,74,127,1
58,17,0,1
75,44,120,0
63,52,120,0
85,27,127,1
63,53,120,0
75,47,120,0
63,53,120,0
75,47,120,0
58,14,0,1
75,48,120,0
63,55,120,0
76,73,0,1
74,29,127,1
63,84,127,1
63,26,127,1
62,88,127,1
61,78,0,1
77,23,62,1
63,58,120,0
73,74,0,1
63,59,120,0
75,54,120,0
63,36,0,1
84,91,0,1
63,70,127,0
61,103,127,1
81,39,127,1
74,84,127,0
84,50,127,1
91,53,127,1
80,86,120,0
68,39,0,1
91,102,127,1
79,67,0,1
92,119,127,1
71,98,127,1
83,103,127,1
79,72,120,0
86,34,0,1
75,72,120,0
69,33,127,1
72,70,120,0
81,89,127,1
76,30,127,1
78,103,0,1
82,92,127,1
67,66,127,0
68,62,127,0
70,85,0,1
68,66,127,0
78,23,0,1
57,95,127,1
63,66,127,0
60,99,0,1
59,97,64,1
58,66,127,0
56,60,127,0
49,36,0,1
53,59,120,0
56,63,120,0
56,44,127,1
67,39,127,1
40,91,0,1
56,66,120,0
58,69,120,0
66,49,0,1
68,46,127,1
89,21,127,1
78,43,127,1
83,93,127,1
82,45,127,1
86,59,120,0
75,46,127,1
85,34,0,1
66,31,0,1
87,80,127,1
60,101,0,1
88,25,127,1
74,30,0,1
86,59,120,0
67,38,127,1
88,81,127,1
75,67,120,0
87,60,120,0
75,69,120,0
80,100,0,1
77,36,127,1
101,86,127,1
75,72,120,0
77,45,0,1
83,46,59,1
78,103,127,1
83,104,127,1
87,69,120,0
68,108,0,1
87,34,127,1
76,81,120,0
90,108,127,1
81,101,0,1
80,76,120,0
84,81,120,0
88,66,0,1
74,75,120,0
76,107,127,1
80,82,120,0
72,63,127,1
75,80,127,0
85,104,127,1
66,54,127,1
87,94,127,0
88,97,127,1
82,63,120,0
77,43,0,1
96,24,0,1
94,35,0,1
95,32,127,1
62,27,127,1
46,32,0,1
51,110,127,1
67,56,127,1
56,33,120,0
68,15,10,1
55,37,120,0
63,45,120,0
60,35,120,0
70,63,0,1
65,41,120,0
52,61,127,1
53,62,0,1
67,45,120,0
55,0,0,1
75,63,0,1
65,39,120,0
46,9,0,1
63,45,120,0
82,63,120,0
81,29,127,1
82,63,120,0
81,59,120,0
91,45,127,1
92,24,127,1
84,58,120,0
86,97,127,1
79,84,127,1
72,101,85,1
53,60,127,0
55,81,0,1
65,111,0,1
51,55,127,0
62,79,127,1
57,55,127,0
74,92,127,1
67,64,0,1
63,35,120,0
56,14,127,1
58,37,120,0
63,37,120,0
79,10,0,1
56,33,120,0
62,33,120,0
65,39,120,0
66,77,0,1
70,65,127,1
52,0,88,1
81,75,0,1
75,4,0,1
81,61,0,1
64,7,0,1
83,1,127,1
67,27,127,0
75,32,127,0
93,74,127,1
85,9,24,1
89,0,0,1
90,72,127,1
86,9,127,1
80,36,127,0
83,0,127,1
87,36,127,0
69,73,127,1
46,81,127,1
52,96,75,1
68,19,127,1
45,65,127,1
60,40,127,0
79,22,0,1
61,69,0,1
75,80,127,1
60,40,127,0
59,14,127,1
60,40,127,0
57,68,127,1
59,61,127,1
67,45,127,0
60,40,127,0
59,45,127,0
72,65,27,1
72,45,120,0
70,71,127,1
72,45,127,0
72,6,127,1
85,14,0,1
61,6,127,1
66,85,127,1
82,11,29,1
74,45,127,0
69,24,0,1
64,89,0,1
66,19,0,1
72,47,127,0
61,22,116,1
55,40,127,0
54,45,127,0
56,5,127,1
74,13,0,1
52,65,0,1
65,16,127,1
55,40,127,0
56,75,0,1
58,3,127,1
77,18,127,1
60,16,0,1
62,45,127,0
44,83,0,1
67,89,127,1
62,45,120,0
59,12,127,1
56,9,0,1
57,76,65,1
80,74,0,1
66,78,0,1
80,60,120,0
75,24,5,1
66,81,0,1
74,18,127,1
74,54,120,0
65,93,127,1
80,17,117,1
76,85,127,1
81,82,127,1
97,37,127,1
70,32,127,1
84,60,127,0
95,91,127,1
87,65,127,0
92,95,0,1
90,94,122,1
70,34,127,1
86,69,127,0
91,26,127,1
72,50,127,0
71,77,127,1
75,18,0,1
84,60,120,0
84,52,120,0
84,60,127,0
86,60,60,0
83,25,0,1
69,87,0,1
87,30,0,1
89,59,127,0
87,65,127,0
86,60,127,0
70,86,0,1
83,60,127,0
82,42,0,1
80,24,0,1
84,63,120,0
83,63,120,0
79,106,0,1
94,34,127,1
86,72,120,0
89,40,127,1
96,94,127,1
76,95,127,1
74,43,0,1
89,100,127,1
87,31,127,1
87,40,0,1
75,63,120,0
64,25,127,1
72,69,120,0
74,63,120,0
73,84,127,1
66,87,0,1
72,66,120,0
75,72,120,0
66,95,4,1
68,87,127,1
65,99,127,1
82,95,48,1
71,63,120,0
68,63,120,0
68,31,127,1
62,94,127,1
76,27,127,1
62,63,120,0
60,77,120,0
62,69,120,0
64,94,127,1
59,69,120,0
60,77,120,0
54,48,127,1
62,69,120,0
60,69,120,0
59,77,120,0
67,69,120,0
62,69,120,0
59,69,120,0
62,118,0,1
81,43,0,1
63,69,120,0
51,35,127,1
55,103,127,1
67,44,0,1
75,90,127,1
65,33,0,1
55,80,120,0
62,97,127,1
63,69,120,0
60,69,120,0
55,80,120,0
55,45,127,1
62,69,120,0
57,32,127,1
55,80,120,0
63,34,0,1
57,35,127,1
57,105,0,1
64,45,127,1
52,39,127,1
62,74,127,0
67,89,127,0
58,40,120,0
60,37,120,0
62,37,120,0
51,70,127,1
70,14,127,1
74,86,0,1
65,40,120,0
76,71,15,1
71,1,127,1
51,0,127,1
65,45,120,0
46,9,127,1
63,39,120,0
46,5,127,1
60,59,127,1
62,37,127,0
68,45,127,0
58,40,120,0
60,37,120,0
74,6,127,1
55,39,127,0
57,15,127,1
63,46,120,0
52,2,0,1
61,7,0,1
55,11,127,1
61,5,127,1
65,45,120,0
50,56,0,1
41,0,0,1
63,39,120,0
46,68,127,1
53,31,127,0
49,71,127,1
58,40,120,0
56,77,127,1
62,37,120,0
60,16,127,1
70,12,127,1
64,68,0,1
66,8,127,1
57,73,127,1
70,17,0,1
64,16,0,1
65,45,120,0
58,33,120,0
50,3,127,1
57,74,127,1
73,74,127,1
76,39,127,1
63,109,127,1
79,70,127,1
64,29,127,1
79,79,127,1
65,16,0,1
65,48,127,0
57,28,0,1
62,48,120,0
53,45,127,0
56,45,127,0
59,28,127,1
54,11,127,1
51,41,127,0
55,41,127,0
58,49,127,0
70,48,120,0
68,53,120,0
80,70,127,1
61,17,127,1
65,48,127,0
60,13,14,1
62,48,120,0
53,45,127,0
69,71,127,1
47,82,127,1
56,73,127,1
51,30,127,1
55,54,127,0
58,54,127,0
77,15,127,1
70,48,120,0
89,77,0,1
68,53,120,0
79,50,120,0
71,70,127,1
78,18,27,1
67,55,127,0
67,25,127,1
77,11,127,1
82,24,127,1
63,48,120,0
74,15,0,1
50,8,0,1
60,55,120,0
72,55,120,0
62,14,127,1
70,48,120,0
52,71,127,1
58,77,0,1
64,28,127,1
74,68,127,1
57,73,0,1
71,4,127,1
65,27,127,1
84,19,0,1
63,49,120,0
75,70,58,1
63,50,120,0
64,70,0,1
69,21,0,1
89,15,127,1
70,22,0,1
64,9,0,1
65,26,127,1
65,71,127,1
65,76,0,1
74,18,127,1
76,25,127,1
72,25,0,1
61,88,0,1
75,48,120,0
62,29,127,1
65,83,127,1
63,56,120,0
78,31,0,1
51,30,127,1
67,73,0,1
49,93,127,1
79,85,127,1
73,91,127,1
83,14,0,1
68,36,127,1
84,28,127,1
49,50,127,1
75,70,127,0
64,108,0,1
74,84,127,0
66,42,127,1
84,86,120,0
80,86,120,0
80,79,120,0
84,79,120,0
86,60,127,1
84,92,127,0
88,100,127,1
94,39,127,1
79,72,120,0
79,108,127,1
75,72,120,0
74,71,120,0
77,35,0,1
82,47,127,1
70,68,120,0
57,39,2,1
68,66,120,0
67,66,127,0
74,30,0,1
64,85,127,1
68,66,127,0
78,34,127,1
62,23,0,1
63,66,127,0
57,83,127,1
60,62,127,0
71,87,0,1
56,60,127,0
55,63,127,0
53,59,120,0
56,63,120,0
57,28,44,1
69,103,127,1
57,30,0,1
65,106,0,1
58,69,120,0
62,72,127,0
66,90,0,1
80,34,127,1
82,107,0,1
80,27,0,1
74,67,120,0
83,95,127,1
88,97,0,1
86,40,127,1
77,94,0,1
94,89,61,1
76,88,0,1
86,59,120,0
74,67,120,0
88,99,0,1
74,67,120,0
93,20,127,1
65,27,127,1
87,20,0,1
72,45,0,1
81,90,127,1
89,33,0,1
87,63,120,0
75,72,120,0
87,67,120,0
71,106,127,1
93,47,127,1
76,117,127,1
87,69,120,0
88,40,0,1
88,71,120,0
62,46,127,1
88,73,120,0
77,71,120,0
80,76,120,0
71,117,127,1
89,86,127,0
77,46,0,1
76,109,0,1
78,60,127,1
86,86,127,0
75,80,127,0
82,80,127,0
91,118,127,1
87,94,127,0
80,97,127,1
82,63,120,0
95,44,125,1
80,86,30,1
70,43,0,1
82,69,127,0
58,31,127,1
66,96,127,1
62,72,127,0
40,58,127,1
56,33,120,0
69,0,127,1
55,37,120,0
69,65,0,1
60,35,120,0
63,35,120,0
65,41,120,0
58,37,120,0
63,65,0,1
67,45,120,0
65,56,0,1
62,33,120,0
65,39,120,0
55,37,120,0
70,14,127,1
87,28,0,1
71,89,127,1
71,83,127,1
81,59,120,0
69,43,127,1
82,63,120,0
84,58,120,0
82,63,120,0
84,24,127,1
82,69,127,0
55,81,127,1
56,60,127,0
71,105,120,1
63,28,127,1
54,55,127,0
54,31,127,1
62,92,127,1
59,66,0,1
63,35,120,0
56,77,0,1
58,37,120,0
63,37,120,0
53,75,25,1
56,33,120,0
75,58,0,1
65,39,120,0
57,62,127,1
62,72,127,1
68,0,127,1
58,75,0,1
75,0,0,1
71,68,127,1
68,31,127,0
63,75,0,1
65,58,127,1
81,0,127,1
77,61,0,1
74,31,127,0
74,58,85,1
79,32,127,0
86,43,127,0
80,36,127,0
75,7,127,1
100,58,127,1
55,48,127,0
46,28,127,1
63,57,127,0
60,63,20,1
74,23,127,1
63,40,127,0
70,45,120,0
70,38,120,0
55,7,127,1
68,73,0,1
77,22,127,1
83,5,127,1
54,77,65,1
52,65,127,1
72,64,127,1
68,85,127,1
76,74,127,1
77,73,0,1
63,60,0,1
70,45,120,0
70,38,120,0
64,45,127,0
53,69,127,1
75,70,0,1
79,65,9,1
74,8,127,1
70,9,127,1
65,83,0,1
73,41,120,0
72,49,127,0
63,19,0,1
69,47,127,0
70,42,127,0
67,49,127,0
68,44,127,0
90,86,0,1
66,24,67,1
71,52,127,0
84,26,95,1
76,14,0,1
76,18,127,1
76,56,127,0
87,23,127,1
70,29,0,1
95,19,0,1
79,63,127,0
89,16,0,1
76,96,0,1
86,60,120,0
83,117,127,1
86,72,127,0
89,69,120,0
89,64,120,0
89,76,127,0
78,38,0,1
68,65,127,0
68,65,127,0
71,101,127,1
44,64,127,0
39,97,127,1
37,38,0,1
35,78,127,0
38,48,67,1
44,70,127,0
44,70,127,0
35,48,127,1
64,60,0,1
59,45,127,0
57,15,19,1
65,45,120,0
64,60,127,1
54,11,127,1
60,69,127,1
69,13,7,1
70,69,78,1
57,10,127,1
76,77,127,1
57,76,127,1
66,68,127,1
65,80,127,1
69,4,0,1
84,66,0,1
63,16,0,1
71,80,127,1
62,79,0,1
74,85,0,1
71,40,60,0
72,45,60,0
81,19,0,1
86,82,127,1
77,56,127,0
72,22,2,1
74,50,127,0
72,47,127,0
60,12,127,1
68,67,127,1
54,45,127,0
55,40,127,0
60,17,127,1
60,38,120,0
73,69,68,1
57,70,23,1
48,9,127,1
55,40,127,0
64,79,0,1
77,72,0,1
62,45,127,0
52,19,127,1
59,51,120,0
62,45,120,0
65,45,120,0
66,76,127,1
82,75,0,1
82,31,127,1
77,56,120,0
80,60,120,0
75,27,0,1
82,35,127,1
75,55,120,0
69,81,0,1
83,85,127,1
75,23,127,1
71,20,0,1
72,53,127,0
84,60,120,0
84,52,120,0
90,90,127,1
83,81,127,1
91,40,127,1
86,60,127,0
87,89,127,1
83,60,127,0
86,69,127,0
84,88,127,1
67,20,127,1
70,83,127,1
59,26,127,1
73,55,96,0
74,56,96,0
80,25,0,1
71,33,127,1
77,58,120,0
80,35,0,1
78,80,0,1
80,60,120,0
81,61,120,0
73,99,0,1
83,62,120,0
76,30,127,1
94,29,127,1
89,41,127,1
86,60,127,0
73,93,74,1
83,60,127,0
79,95,0,1
86,63,120,0
70,42,0,1
82,85,0,1
91,43,0,1
86,108,127,1
79,50,0,1
84,71,120,0
76,32,127,1
83,87,0,1
88,42,22,1
80,65,120,0
88,42,49,1
77,63,120,0
75,63,120,0
88,27,127,1
75,40,127,1
74,63,120,0
72,63,120,0
71,61,120,0
75,102,127,1
74,41,127,1
74,70,120,0
80,102,0,1
68,37,127,1
72,63,120,0
71,63,120,0
79,40,127,1
59,92,127,1
60,100,127,1
63,63,120,0
62,63,120,0
60,77,120,0
62,69,120,0
61,30,127,1
47,45,0,1
53,54,127,1
55,48,36,1
62,69,120,0
60,69,120,0
51,39,0,1
67,69,120,0
68,44,0,1
72,44,0,1
41,119,127,1
67,69,120,0
64,104,127,1
63,40,127,1
55,81,120,0
78,39,0,1
62,69,120,0
59,69,120,0
55,80,120,0
55,32,127,1
69,40,127,1
60,69,120,0
53,56,127,1
79,43,0,1
76,36,26,1
53,30,127,1
57,54,127,1
74,94,0,1
63,69,120,0
52,107,70,1
59,40,127,1
61,36,127,1
62,74,127,0
65,56,127,1
75,9,127,1
62,0,127,1
71,37,120,0
52,1,127,1
62,74,127,1
81,7,0,1
61,17,127,1
67,11,0,1
62,38,120,0
68,0,127,1
74,45,120,0
64,33,120,0
67,33,120,0
72,39,120,0
76,8,127,1
67,37,127,0
71,37,127,0
77,45,127,0
75,2,0,1
72,12,127,1
77,4,0,1
64,39,127,0
67,39,127,0
82,76,127,1
79,6,127,1
76,40,120,0
76,14,0,1
63,58,0,1
66,7,127,1
58,57,5,1
62,33,120,0
66,61,127,1
59,31,127,0
55,1,127,1
67,37,127,0
67,74,0,1
73,13,127,1
71,37,120,0
52,73,127,1
63,77,127,1
79,12,127,1
66,80,0,1
76,40,120,0
54,66,0,1
63,61,0,1
69,12,127,1
64,33,120,0
67,33,120,0
72,39,120,0
56,17,127,1
71,83,127,1
63,93,127,1
85,118,127,1
68,76,127,1
93,25,127,1
77,50,120,0
68,80,101,1
68,21,127,1
72,48,120,0
82,71,0,1
