note,velocity,time,anomalies
67,38,127,0
68,36,60,0
67,39,120,0
65,36,120,0
77,71,70,3
68,36,120,0
59,80,127,3
70,51,127,0
63,70,127,3
70,49,120,0
69,65,0,2
70,51,120,0
71,46,120,0
73,50,127,2
79,39,101,2
72,4,127,3
65,14,30,2
71,37,0,1
74,77,127,1
72,44,60,0
65,55,127,0
76,73,60,2
65,46,120,0
64,42,120,0
63,86,120,2
67,46,120,0
55,55,127,2
67,47,120,0
65,48,120,0
76,44,127,2
65,49,120,0
67,44,120,0
68,50,120,0
70,15,120,1
72,54,120,0
65,45,120,1
72,48,120,0
68,39,120,0
66,58,127,0
67,55,127,1
63,55,120,0
67,59,120,0
70,62,120,0
88,66,120,1
79,69,120,0
82,72,127,0
79,69,127,0
75,65,127,0
71,65,127,2
75,37,127,2
66,66,127,2
60,100,127,2
87,93,127,3
82,67,120,0
80,61,120,0
79,67,120,0
77,60,110,0
77,67,127,0
80,87,127,3
81,56,127,1
75,54,127,0
75,53,30,0
84,43,127,2
75,54,30,0
77,46,30,0
78,28,127,3
77,44,30,0
75,51,20,0
74,43,20,0
75,43,20,0
77,54,127,0
82,80,0,3
89,47,127,1
70,43,127,0
70,43,127,0
70,49,127,0
82,41,127,1
68,32,127,0
62,13,127,2
67,43,127,0
68,37,127,0
62,27,127,0
65,32,127,0
71,80,127,2
58,38,127,0
60,11,127,2
72,72,30,2
66,2,30,2
58,34,30,0
65,61,0,3
58,33,30,0
48,0,30,2
47,9,127,3
57,27,0,1
58,27,20,0
60,34,127,0
56,67,127,1
51,28,127,0
55,7,30,1
53,27,127,2
55,34,30,0
56,29,30,0
55,33,30,0
56,27,30,0
55,58,127,2
67,59,20,2
55,27,20,0
56,34,127,0
53,28,53,1
51,28,92,1
50,33,127,0
56,2,127,2
51,28,127,0
50,34,127,0
53,40,127,0
51,0,127,1
50,36,127,0
53,36,127,0
58,43,127,0
50,23,127,1
53,23,127,0
49,28,127,2
51,25,88,1
59,32,0,2
58,37,127,0
63,42,127,0
55,38,127,0
69,62,127,3
63,38,127,0
67,45,127,0
58,36,127,0
63,36,127,0
67,43,127,0
63,35,127,0
67,42,127,0
63,23,127,0
61,34,127,2
68,27,30,0
67,34,30,0
68,0,30,1
67,33,30,0
68,27,30,0
67,32,20,0
65,27,20,0
67,27,20,0
65,38,127,0
68,17,0,2
58,32,127,0
62,32,127,0
55,60,0,3
58,28,127,0
62,28,127,1
65,64,127,2
63,32,32,1
54,36,127,1
58,43,127,1
58,40,127,0
75,71,127,2
63,45,127,0
67,54,127,0
67,51,127,0
70,38,127,2
81,105,127,3
