note,velocity,time,anomalies
67,78,120,0
54,66,127,2
59,66,120,0
55,38,120,1
55,70,127,0
51,70,127,1
64,70,127,0
75,108,127,2
54,116,127,3
64,68,120,0
55,80,0,2
57,96,127,1
66,70,127,0
69,84,127,0
69,37,127,0
69,71,127,3
66,37,127,0
81,45,127,1
67,40,127,0
69,41,127,0
66,35,127,0
71,15,127,2
62,75,127,3
62,78,120,1
67,66,120,0
62,66,127,1
59,86,120,1
62,30,127,2
59,70,127,0
67,70,127,0
71,84,127,1
69,77,0,1
67,68,120,0
54,89,120,2
60,42,127,2
70,70,127,0
73,84,127,0
73,37,127,0
70,31,127,0
70,37,127,0
71,77,127,3
71,63,127,1
73,41,127,0
70,35,127,0
66,19,127,3
71,36,127,0
74,70,127,0
79,70,127,1
76,62,127,0
74,66,127,0
72,56,127,1
72,61,127,0
81,61,127,0
72,52,127,0
71,61,127,1
71,55,127,0
67,50,127,0
67,44,127,0
64,43,127,0
64,41,127,0
55,36,127,0
56,0,127,2
51,59,127,2
59,28,127,0
76,15,127,2
90,61,127,2
84,45,127,2
87,53,127,0
76,48,127,0
88,19,127,2
59,51,127,2
64,51,127,0
66,61,127,0
66,66,60,1
64,56,127,0
57,56,127,1
44,88,127,3
63,60,127,0
66,95,127,1
80,24,112,3
69,56,127,0
67,82,104,2
66,47,127,0
74,18,127,3
68,77,127,2
88,61,127,0
75,52,0,1
87,93,127,1
76,56,127,0
85,29,127,3
60,91,127,1
64,51,127,0
66,61,127,1
68,27,127,2
64,44,127,0
55,84,127,3
57,46,127,0
63,46,127,0
66,34,127,1
76,13,0,3
67,41,0,1
65,32,127,1
55,30,119,1
64,0,127,1
59,30,120,0
75,58,120,2
71,41,127,0
59,34,127,0
68,69,120,2
76,36,120,0
76,42,127,1
64,35,127,1
71,30,120,0
92,36,120,1
83,40,127,0
71,34,127,0
88,36,120,0
76,30,120,0
76,34,127,0
88,41,127,0
68,49,127,3
83,70,120,0
86,70,120,0
89,57,120,1
77,56,127,1
83,76,127,0
86,76,127,0
98,90,127,2
88,70,127,1
94,69,0,2
85,68,127,1
83,68,127,0
81,68,127,0
79,66,127,0
77,64,127,0
73,30,127,2
74,64,127,0
72,64,127,0
68,63,127,2
69,63,88,0
67,63,88,0
65,63,88,0
64,83,88,1
50,41,88,2
60,94,127,2
59,103,106,1
57,102,127,2
55,87,106,1
54,62,0,1
55,89,127,0
55,40,127,2
62,34,120,0
55,34,120,0
64,45,127,0
51,70,127,2
62,17,127,3
74,99,127,2
80,76,120,0
83,76,120,0
79,56,127,3
74,84,127,0
80,84,127,0
96,84,127,2
82,98,127,2
84,34,127,1
83,69,127,0
81,107,0,2
80,68,127,0
91,68,127,1
76,66,127,0
74,64,127,0
73,101,127,3
67,86,127,2
73,102,127,2
68,63,88,0
55,28,127,3
64,63,88,0
62,63,88,0
60,63,88,0
73,63,0,2
57,63,127,1
56,63,106,0
54,63,106,0
52,62,127,1
51,62,106,0
52,89,127,0
65,40,120,1
59,34,120,0
40,0,120,2
56,45,127,1
57,38,127,0
52,38,127,0
82,57,127,0
82,60,127,0
81,79,127,1
79,53,127,0
77,71,0,2
70,86,127,2
74,51,127,0
72,51,127,0
70,51,127,0
69,50,127,0
67,73,127,2
65,49,127,0
63,53,127,0
50,78,127,3
60,44,127,0
58,53,71,1
58,53,127,0
67,53,0,1
67,59,127,0
67,53,127,0
73,63,127,1
73,68,127,0
67,57,127,0
84,58,127,1
76,87,127,2
79,69,127,0
69,31,127,2
77,39,127,3
79,78,127,0
78,107,127,2
81,105,127,3
86,46,127,2
