note,velocity,time,anomalies
57,48,127,0
64,55,127,0
68,91,0,1
68,21,0,1
67,51,127,0
65,51,127,0
61,88,127,1
53,16,105,1
56,78,127,1
57,48,127,0
69,58,127,0
55,48,127,0
62,76,127,1
64,50,120,0
67,55,127,0
65,51,127,0
51,71,0,1
62,55,127,0
64,52,127,0
62,51,127,0
64,55,127,0
61,44,127,0
69,22,127,1
61,42,127,0
59,47,127,0
57,42,127,0
57,48,127,0
50,84,127,1
61,88,0,1
69,25,0,1
58,89,0,1
65,51,127,0
70,92,127,1
65,52,127,0
61,19,127,1
62,52,127,0
77,35,127,1
69,57,127,0
62,50,127,0
71,52,120,0
60,97,127,1
78,87,0,1
71,53,127,0
69,57,127,0
57,86,127,1
68,77,127,1
68,85,127,1
52,26,127,1
67,59,127,0
69,22,0,1
78,37,127,1
75,93,127,1
65,57,127,0
59,50,127,0
66,82,127,1
71,57,127,0
60,17,99,1
67,53,127,0
58,19,127,1
59,87,80,1
67,55,127,0
47,79,127,1
64,57,127,0
82,25,127,1
73,96,127,1
81,66,127,0
72,60,127,0
67,47,127,0
68,34,127,1
80,85,127,1
71,48,127,0
67,46,127,0
79,60,127,0
67,48,127,0
89,28,127,1
72,57,127,0
53,69,127,0
48,99,0,1
48,89,127,1
56,64,127,0
47,98,127,1
53,69,127,0
55,66,127,0
73,32,127,1
68,59,127,0
77,66,120,0
82,32,127,1
79,69,127,0
77,69,127,0
75,71,127,0
77,70,127,0
67,55,127,0
73,71,127,0
87,104,42,1
92,92,127,1
73,39,0,1
61,44,127,1
73,71,127,0
88,92,127,1
63,55,127,0
60,55,127,0
64,39,127,1
60,55,127,0
65,19,127,1
72,61,127,0
70,33,0,1
65,51,127,0
70,11,127,1
67,90,127,1
68,66,127,0
80,35,127,1
72,66,127,0
73,62,127,0
78,37,127,1
70,87,127,1
72,63,127,0
70,70,127,0
72,66,127,0
73,64,127,0
69,34,0,1
77,73,127,0
79,78,127,0
58,29,127,1
70,58,127,0
61,26,127,1
69,68,127,0
76,83,127,0
77,77,120,0
72,41,64,1
78,39,127,1
87,95,27,1
76,77,127,0
77,75,127,0
75,107,78,1
69,63,127,0
95,64,127,1
74,84,127,0
67,68,127,0
76,73,120,0
84,111,0,1
77,73,127,0
88,93,0,1
67,62,127,0
74,78,127,0
76,74,127,0
67,46,0,1
67,68,127,0
87,44,127,1
73,64,127,0
71,69,127,0
68,101,127,1
71,69,127,0
74,91,0,1
72,121,127,1
69,68,127,0
83,100,127,1
81,75,127,0
79,73,127,0
77,72,127,0
85,50,127,1
77,74,127,0
73,106,127,1
58,111,127,1
77,112,127,1
65,57,127,0
66,32,127,1
67,57,127,0
76,62,120,0
79,67,127,0
91,22,0,1
76,60,127,0
81,93,25,1
77,87,127,1
62,86,127,1
69,47,127,0
58,12,127,1
74,51,127,0
84,26,127,1
74,19,52,1
87,94,0,1
81,33,127,1
73,78,127,1
68,95,127,1
72,52,120,0
74,37,0,1
74,53,127,0
72,53,127,0
70,57,127,0
84,29,121,1
63,42,127,0
69,48,127,0
62,55,127,0
69,52,127,0
72,13,127,1
67,57,127,0
72,22,127,1
78,81,127,1
74,60,127,0
57,47,127,0
75,67,127,1
72,80,127,1
72,60,127,0
70,60,127,0
65,40,127,1
72,60,127,0
72,76,127,1
74,9,127,1
79,57,127,0
78,17,49,1
84,57,127,0
82,53,127,0
81,53,127,0
84,18,0,1
75,88,127,1
77,57,127,0
85,26,127,1
83,24,0,1
79,53,127,0
81,59,127,0
82,55,127,0
79,17,0,1
87,74,0,1
66,83,127,1
77,53,127,0
83,78,127,1
74,57,127,0
83,30,105,1
77,57,127,0
75,95,127,1
81,12,127,1
59,21,127,1
77,57,127,0
73,91,127,1
63,87,127,1
77,50,127,0
91,76,127,1
89,56,127,0
69,11,127,1
96,55,127,0
89,49,127,0
84,83,127,1
58,45,127,0
51,71,127,1
60,48,127,0
79,24,127,1
61,50,127,0
65,57,127,0
58,44,127,0
81,13,127,1
59,75,127,1
54,13,126,1
52,21,127,1
63,50,127,0
50,19,0,1
63,30,127,1
61,50,127,0
65,57,127,0
58,44,127,0
68,49,127,0
65,42,127,0
69,83,127,1
63,49,127,0
60,88,127,1
77,82,127,1
71,33,112,1
66,55,127,0
80,33,127,1
63,48,127,0
69,25,127,1
65,12,127,1
67,78,127,1
63,49,127,0
68,55,127,0
66,72,127,1
60,28,127,1
60,85,127,1
68,55,127,0
61,44,127,0
65,49,127,0
63,21,127,1
66,52,127,0
47,71,127,1
63,48,127,0
44,79,127,1
64,5,127,1
60,53,127,0
65,41,127,0
61,55,127,0
65,42,127,0
58,49,127,0
68,37,127,0
61,47,127,0
67,73,127,1
59,83,127,1
50,65,127,1
60,48,127,0
65,8,127,1
47,10,127,1
65,38,127,0
48,18,127,1
67,64,127,1
65,41,127,0
81,9,127,1
66,27,127,1
67,55,127,0
66,23,127,1
80,19,127,1
65,88,104,1
69,62,127,0
68,28,127,1
72,53,127,0
60,77,42,1
80,80,127,1
66,91,127,1
67,44,127,0
62,85,127,1
62,84,127,1
65,60,127,0
61,83,127,1
76,21,127,1
72,45,127,0
69,53,127,0
74,42,127,0
84,51,127,0
79,45,127,0
74,39,127,0
74,20,127,1
72,30,127,1
89,11,127,1
77,39,127,0
87,18,127,1
77,12,127,1
82,51,127,0
88,15,127,1
72,78,127,1
81,24,127,1
61,17,127,1
62,39,127,0
60,13,118,1
70,17,46,1
67,45,127,0
65,39,127,0
69,44,127,0
62,45,127,0
70,51,127,0
64,37,127,0
62,8,127,1
60,48,127,0
61,90,127,1
58,60,127,1
65,44,127,0
48,87,127,1
67,51,127,0
59,19,127,1
67,44,127,0
62,42,127,0
72,17,127,1
65,45,127,0
56,79,0,1
62,30,127,0
52,13,127,1
57,48,127,0
59,92,127,1
65,51,120,0
69,55,127,0
67,51,127,0
65,51,127,0
56,29,127,1
74,86,127,1
46,15,127,1
62,52,127,0
69,58,127,0
55,48,127,0
62,55,127,0
50,85,0,1
67,55,127,0
73,86,0,1
74,16,127,1
62,55,127,0
64,28,0,1
64,88,59,1
58,23,127,1
61,44,127,0
59,47,127,0
61,42,127,0
59,47,127,0
58,73,127,1
57,82,127,1
64,55,127,0
65,51,120,0
57,79,127,1
67,51,127,0
65,51,127,0
63,27,0,1
52,80,0,1
57,48,127,0
62,52,127,0
68,94,127,1
62,50,127,0
65,17,0,1
71,52,120,0
71,27,54,1
69,31,0,1
71,53,127,0
69,57,127,0
79,80,92,1
67,57,127,0
61,82,127,1
50,19,127,1
57,81,0,1
69,74,0,1
71,59,127,0
72,55,127,0
59,50,127,0
65,57,127,0
57,24,0,1
71,57,127,0
69,53,127,0
80,75,127,1
61,25,127,1
74,24,0,1
67,55,127,0
59,50,127,0
64,57,127,0
69,47,127,0
74,62,127,0
81,67,127,0
72,60,127,0
57,25,127,1
66,86,127,1
74,83,29,1
81,36,127,1
67,46,127,0
79,60,127,0
67,48,127,0
79,62,127,0
61,27,127,1
60,34,127,1
55,63,127,0
58,69,127,0
56,64,127,0
44,34,127,1
53,69,127,0
62,35,75,1
64,36,127,1
81,92,127,1
83,46,0,1
94,46,127,1
79,69,127,0
77,69,127,0
75,71,127,0
89,33,127,1
57,24,127,1
73,71,127,0
72,87,0,1
87,38,0,1
77,69,127,0
83,45,127,1
78,36,122,1
75,70,127,0
60,55,127,0
63,55,127,0
80,23,127,1
60,55,127,0
64,55,127,0
72,61,127,0
60,51,127,0
53,89,127,1
68,66,127,0
81,98,127,1
68,66,127,0
77,82,127,1
66,38,127,1
84,95,0,1
65,51,127,0
70,72,127,0
64,83,127,1
57,102,127,1
80,44,127,1
59,84,127,1
71,107,0,1
77,73,127,0
55,35,48,1
73,94,127,1
86,56,127,1
64,59,127,0
65,40,127,1
76,46,127,1
77,77,120,0
87,44,0,1
68,96,0,1
64,40,127,1
63,49,12,1
77,75,127,0
78,50,0,1
80,34,127,1
81,84,127,0
67,68,127,0
74,84,127,0
76,73,120,0
93,51,127,1
65,111,32,1
81,46,0,1
67,62,127,0
70,108,127,1
88,44,127,1
79,32,127,1
75,98,127,1
66,39,127,1
74,25,0,1
67,46,127,1
73,62,127,0
71,69,127,0
69,62,127,0
69,68,127,0
63,61,127,1
63,106,0,1
83,111,0,1
88,105,0,1
77,72,127,0
76,75,127,0
64,105,127,1
66,106,127,1
69,73,127,0
86,40,127,1
61,34,127,1
67,57,127,0
74,71,127,0
74,95,0,1
82,36,54,1
72,97,127,1
82,95,83,1
85,102,127,1
62,86,127,1
69,47,127,0
64,13,127,1
72,57,127,0
76,20,127,1
72,59,127,0
65,75,0,1
76,59,127,0
77,55,127,0
57,83,127,1
70,57,127,0
72,52,120,0
76,57,127,0
74,53,127,0
70,33,0,1
70,57,127,0
72,55,127,0
63,42,127,0
66,74,127,1
69,52,127,0
62,55,127,0
64,53,120,0
64,19,127,1
62,75,127,1
64,50,127,0
74,60,127,0
57,47,127,0
53,15,127,1
76,91,127,1
79,26,127,1
82,98,127,1
64,38,127,1
72,60,127,0
65,42,127,0
69,27,127,1
72,36,0,1
69,18,53,1
98,77,0,1
82,53,127,0
93,22,127,1
81,84,0,1
81,55,127,0
77,57,127,0
79,51,127,0
77,59,127,0
79,53,127,0
70,28,0,1
82,55,127,0
74,57,127,0
83,75,127,1
79,57,127,0
77,53,127,0
76,53,127,0
67,96,119,1
73,86,52,1
64,17,127,1
91,85,127,1
71,74,127,1
73,83,127,1
73,86,127,1
74,78,127,1
67,79,127,1
81,82,127,1
89,56,127,0
82,49,127,0
71,21,127,1
85,26,127,1
100,19,127,1
98,81,127,1
