note,velocity,time,anomalies
57,48,127,0
64,55,127,0
65,51,120,0
69,55,127,0
67,51,127,0
65,51,127,0
64,53,127,0
65,52,127,1
62,52,127,0
57,48,127,0
69,58,127,0
55,48,127,0
62,87,127,1
64,50,127,1
67,55,62,1
67,79,0,3
64,51,127,0
62,55,127,0
64,52,127,0
50,11,127,2
64,55,127,0
61,44,127,0
55,84,127,3
61,42,127,0
59,47,127,0
57,42,127,0
59,48,127,2
64,34,127,1
65,51,120,0
69,55,127,0
67,51,127,0
77,18,0,3
64,53,127,0
65,52,127,0
57,48,127,0
62,52,127,0
69,57,127,0
69,57,127,0
72,85,127,2
71,52,120,0
74,57,127,0
72,89,127,2
71,53,127,0
69,77,127,2
71,55,127,0
67,57,127,0
58,51,127,1
65,47,127,1
67,59,127,0
69,53,127,0
71,59,127,0
84,55,127,1
65,57,127,0
59,50,127,0
67,52,120,0
71,57,127,0
69,53,127,0
67,53,127,0
67,57,127,1
59,48,127,0
67,55,127,0
70,70,127,3
64,57,127,0
69,47,127,0
80,25,126,3
81,66,127,0
72,60,127,0
67,47,127,0
72,97,127,3
77,62,127,0
71,48,127,0
67,46,127,0
79,60,127,0
67,9,127,1
79,62,127,0
72,57,127,0
42,69,52,2
55,63,127,0
58,90,0,2
56,64,127,0
55,64,127,0
43,98,127,2
55,66,127,0
75,72,127,0
68,59,127,0
77,66,127,1
80,71,127,0
82,48,127,2
76,106,127,3
65,32,127,2
77,70,127,0
67,55,127,0
73,71,127,0
75,66,120,0
79,71,127,0
71,69,0,2
63,39,127,3
73,106,0,2
75,70,127,0
63,55,127,0
60,55,127,0
72,61,127,0
60,55,127,0
78,80,127,3
83,61,127,1
68,66,127,0
65,81,127,1
60,51,127,0
70,61,127,0
68,66,127,0
70,62,127,0
72,66,127,0
73,62,127,0
70,72,127,0
65,51,127,0
72,37,127,1
70,70,127,0
72,66,127,0
73,39,127,1
75,70,127,0
77,73,127,0
87,108,127,2
65,59,127,0
70,58,127,0
64,59,127,0
69,68,127,0
76,83,127,0
77,77,120,0
81,73,127,0
79,74,127,0
74,73,127,2
76,77,127,0
77,75,127,0
79,78,127,1
69,63,127,0
81,61,127,1
83,84,127,2
67,68,127,0
76,73,120,0
79,73,127,0
77,73,127,0
76,72,127,0
61,62,127,1
74,78,127,0
68,42,127,2
74,77,127,0
67,68,127,0
76,71,127,0
73,64,127,0
71,69,127,0
73,62,127,0
71,38,127,2
70,28,0,3
76,84,127,0
69,68,127,0
77,77,120,0
85,75,0,2
79,73,127,0
77,112,0,2
87,75,127,1
77,74,127,0
74,78,127,0
69,73,127,0
79,49,127,3
65,57,127,1
74,71,127,0
67,57,127,0
76,62,120,0
79,67,127,0
77,62,127,0
76,60,127,0
74,62,127,0
75,58,127,1
72,57,127,0
69,21,127,1
65,47,127,0
74,12,0,2
73,81,127,2
74,53,127,0
76,59,127,0
86,55,37,2
64,50,127,1
70,57,127,0
72,52,120,0
69,57,127,2
73,53,127,1
72,53,127,0
70,57,127,1
72,55,127,0
63,42,127,0
69,48,127,0
57,20,27,3
69,52,127,0
64,53,120,0
80,57,127,1
65,53,127,0
64,50,127,0
74,60,127,0
57,47,127,0
67,47,127,2
65,60,127,0
72,60,127,0
70,23,127,1
64,60,127,0
68,99,127,3
72,48,127,0
65,42,127,0
79,57,127,0
81,52,120,0
84,57,127,0
82,20,127,1
81,53,127,0
79,57,127,0
81,55,127,1
77,57,127,0
79,51,127,0
77,59,127,0
79,53,127,0
81,88,127,1
82,55,127,0
74,87,127,2
76,52,120,0
93,22,127,2
77,53,127,0
66,53,127,1
74,77,127,1
76,55,127,0
77,57,127,0
72,57,127,0
70,73,127,2
65,50,127,0
77,57,127,0
84,57,127,0
72,50,127,0
90,25,127,2
77,49,127,0
89,56,127,0
82,49,127,0
96,55,127,0
78,25,127,2
84,89,127,1
58,45,127,0
63,78,127,1
60,48,127,0
65,53,127,1
61,50,127,0
65,57,127,0
58,44,127,0
68,49,127,0
61,42,127,0
65,48,127,1
58,45,127,1
76,10,127,2
71,48,127,1
65,17,127,2
61,50,127,0
65,57,127,0
58,44,127,0
68,49,127,0
65,42,127,0
69,13,127,2
73,49,127,2
68,55,127,0
65,52,127,0
61,58,127,1
66,55,127,0
70,62,127,0
63,48,127,0
79,53,127,1
66,46,127,0
70,52,127,0
63,49,127,0
68,55,127,0
58,42,127,0
65,48,127,0
63,48,127,0
68,55,127,0
61,44,127,1
65,49,127,0
58,47,127,0
66,52,127,0
60,42,127,0
59,88,127,2
58,50,127,1
60,70,127,2
60,53,127,0
68,41,127,2
61,55,127,0
65,42,127,0
58,49,127,0
68,37,127,0
63,47,127,1
65,35,127,0
51,45,127,1
70,0,127,3
60,48,127,1
57,69,127,2
61,49,127,0
65,38,127,0
55,66,127,3
68,33,127,0
63,41,127,1
70,30,127,0
62,49,127,0
67,55,127,0
77,52,127,2
69,58,127,0
65,55,127,0
69,62,127,0
61,19,127,2
72,53,127,1
77,78,127,3
62,26,127,2
62,55,127,0
60,74,127,3
64,57,127,0
69,45,127,0
65,60,127,0
69,16,127,1
65,57,127,0
72,45,127,0
69,53,127,0
74,42,127,0
93,51,127,1
68,45,127,1
74,39,127,0
81,72,127,2
84,51,127,0
79,45,127,0
77,39,127,0
81,44,127,0
74,45,127,0
82,51,31,1
76,37,127,0
79,41,127,0
72,51,127,0
72,45,127,2
62,14,127,1
69,44,127,0
72,51,127,0
67,45,127,0
65,39,127,0
69,44,127,0
62,45,127,0
70,51,127,0
64,37,127,0
67,41,127,0
60,68,127,1
69,51,127,0
62,40,127,0
65,76,127,2
58,48,127,0
67,51,127,0
58,40,127,0
67,44,127,0
62,42,127,0
64,42,127,0
65,45,127,0
64,39,127,0
57,6,0,3
64,33,127,0
57,48,127,0
64,55,127,0
65,51,120,0
69,55,127,0
67,51,127,0
65,20,127,2
67,91,127,2
56,16,127,2
57,48,127,0
62,52,127,1
68,58,127,2
55,48,127,0
62,55,127,0
64,50,120,0
67,55,127,0
65,51,127,0
64,51,127,0
62,85,127,2
64,52,127,0
63,51,127,1
64,21,127,2
61,44,127,0
59,47,127,0
61,42,127,0
45,83,127,2
57,42,127,0
57,48,127,1
64,55,127,0
65,51,120,0
79,90,0,3
67,51,127,0
65,51,127,0
50,53,127,1
65,52,127,0
57,48,127,0
62,52,127,0
69,57,127,0
62,50,127,0
69,57,127,0
71,52,120,0
74,57,127,0
72,53,127,0
71,53,127,0
69,57,127,0
73,29,127,2
67,57,127,0
69,51,127,0
60,47,127,0
67,59,127,0
69,53,127,0
71,59,127,0
72,55,127,0
59,50,127,0
65,57,127,0
67,52,127,1
71,57,127,0
69,53,127,0
67,53,127,0
59,48,127,0
65,57,127,0
67,55,127,0
59,50,127,0
64,57,127,0
56,47,127,1
74,62,127,0
81,67,127,0
72,60,127,0
67,47,127,0
79,62,127,1
71,48,127,0
77,62,127,0
67,46,127,0
79,60,127,0
67,48,127,0
79,62,127,0
72,57,127,0
53,69,127,0
44,63,127,1
58,69,127,0
56,64,127,0
58,84,127,3
53,69,127,0
54,29,127,2
66,25,127,3
75,72,127,1
65,94,120,2
80,71,87,1
79,69,127,0
77,69,127,0
75,71,127,0
77,70,127,0
67,55,127,0
83,107,127,2
75,66,120,0
79,71,127,0
77,69,127,0
85,104,23,3
73,71,127,0
75,70,127,0
60,55,127,0
63,55,127,0
72,61,127,0
60,55,127,0
64,55,127,1
81,88,127,3
60,51,127,0
65,51,127,0
68,66,127,0
70,61,127,0
68,66,127,0
70,62,127,0
72,66,127,0
73,62,127,0
75,90,127,2
70,102,127,1
72,63,127,0
70,33,127,2
72,100,127,2
81,103,0,3
75,70,127,0
77,73,127,0
65,59,127,0
70,58,127,0
79,78,127,0
64,59,127,0
69,68,127,0
76,83,127,0
77,77,120,0
81,73,127,0
79,74,127,0
77,73,127,0
79,37,127,2
77,75,127,0
74,78,127,0
69,63,127,0
76,84,127,1
67,95,127,2
74,118,127,2
76,107,0,2
79,73,127,0
77,73,127,0
76,72,127,0
67,62,127,0
74,78,127,0
76,74,127,0
67,68,127,0
79,77,127,1
85,103,127,3
73,64,127,0
71,69,127,0
73,62,127,0
71,69,127,0
82,62,127,1
69,68,127,0
76,84,127,0
77,77,120,0
81,75,127,0
79,73,127,0
77,72,127,0
76,75,127,0
77,95,127,1
88,78,127,1
69,73,127,0
85,100,127,3
65,57,127,0
67,57,127,0
63,43,127,2
76,62,120,0
90,67,0,2
77,62,127,0
76,60,127,0
74,62,127,0
76,58,127,0
62,47,127,1
77,73,127,2
72,57,127,0
74,51,127,0
72,59,127,0
74,53,127,0
76,59,127,0
67,23,127,2
74,50,127,1
70,57,127,0
72,52,120,0
76,57,127,0
74,33,7,2
72,53,127,0
70,57,127,0
72,55,127,0
63,78,127,1
69,48,127,0
69,52,127,0
49,55,127,2
64,53,120,0
67,57,127,0
65,53,127,0
64,50,127,0
74,60,127,0
57,47,127,0
65,47,127,0
65,24,127,1
58,21,127,3
70,60,127,0
52,22,127,3
72,60,127,0
65,42,127,0
72,11,127,2
79,57,127,0
81,52,120,0
84,57,127,1
82,53,127,0
81,53,127,0
79,57,127,0
81,55,127,0
77,33,127,2
79,25,127,2
77,59,127,0
79,14,127,1
67,39,127,3
89,76,127,3
74,57,127,0
80,86,120,2
79,57,127,0
77,53,127,0
76,53,127,0
74,57,127,0
87,55,127,1
70,80,127,2
77,86,127,1
64,50,127,1
70,50,127,0
77,57,127,0
84,57,127,0
72,50,127,0
77,50,127,0
89,56,127,0
82,87,127,1
77,49,127,0
96,55,127,0
89,49,127,0
73,49,127,2
