note,velocity,time,anomalies
54,29,127,0
58,36,127,0
49,29,127,0
49,24,120,0
54,24,120,0
58,29,120,0
54,29,127,0
61,36,127,0
58,29,127,0
49,29,127,0
61,67,120,1
50,25,120,1
54,25,120,0
49,25,120,0
53,30,127,0
62,7,0,3
49,30,127,0
49,25,120,0
53,25,120,0
56,29,120,0
35,29,46,2
61,36,127,0
53,29,127,0
61,29,120,0
53,24,120,0
49,49,120,1
49,58,127,1
54,37,127,0
51,30,127,0
51,25,120,0
49,25,120,0
54,29,120,0
47,37,0,2
54,30,127,0
51,30,127,1
49,30,127,0
54,25,120,0
61,29,120,0
53,25,127,2
49,47,127,2
73,0,127,2
53,28,127,0
49,28,127,0
53,46,62,2
61,30,127,0
39,61,127,3
61,28,127,0
53,23,127,0
42,23,127,1
44,52,0,3
61,24,127,0
53,19,127,0
56,22,127,1
53,0,127,1
58,48,127,3
54,38,120,0
58,49,120,0
54,40,127,0
58,53,127,0
66,48,127,1
63,50,120,0
58,41,127,0
54,41,127,0
64,90,127,2
60,48,127,0
55,38,120,1
56,14,127,2
61,46,120,0
51,39,127,1
61,48,127,0
64,47,127,2
56,45,127,0
53,42,127,0
51,38,120,0
54,15,120,1
51,40,127,1
61,53,127,1
58,21,127,1
60,50,120,0
54,41,127,0
51,74,127,1
60,55,127,0
56,48,127,0
56,38,127,1
64,46,0,2
53,39,127,0
61,48,127,0
60,45,120,0
53,39,127,0
60,47,127,0
54,38,120,0
58,49,120,0
54,40,127,0
58,53,127,0
60,48,127,0
63,50,120,0
58,41,127,0
54,41,127,0
63,55,127,0
60,48,127,0
53,38,0,1
58,68,127,3
61,46,120,0
53,39,127,1
49,70,127,2
60,47,120,0
61,42,60,0
60,38,60,0
56,45,0,1
53,42,127,0
58,38,120,0
54,38,120,0
63,49,120,0
63,53,127,0
54,40,127,0
58,53,127,0
65,53,127,0
63,36,0,3
58,41,127,1
66,57,127,0
50,19,127,3
65,52,127,0
67,71,127,3
61,46,127,0
59,56,127,0
62,56,127,0
65,56,127,0
68,72,127,0
59,86,127,1
62,60,127,0
65,60,127,0
68,79,127,0
70,71,120,0
72,73,0,2
62,55,120,0
59,55,120,0
66,72,120,0
72,78,127,3
62,80,127,2
65,71,120,0
66,68,0,1
58,57,127,0
63,57,127,0
66,71,127,0
65,61,60,0
68,55,127,2
65,61,60,0
63,52,57,0
63,66,127,0
58,51,127,0
54,48,127,0
57,72,127,0
65,101,127,1
63,66,60,0
65,57,60,0
67,73,127,1
65,57,127,0
57,55,127,0
61,69,127,0
60,69,127,0
61,68,120,0
65,52,127,0
58,52,127,0
61,111,127,1
60,66,120,0
65,53,127,0
56,51,127,0
60,69,127,0
59,56,127,0
62,56,127,0
65,56,127,0
64,72,127,1
59,60,127,0
62,60,127,0
65,60,127,0
68,79,127,0
70,71,120,0
68,73,120,0
62,55,120,0
59,55,120,0
66,72,120,0
59,55,120,0
62,57,120,0
65,71,120,0
66,68,127,0
58,57,127,0
63,78,127,2
66,71,127,0
65,61,60,0
66,55,60,0
65,61,60,0
63,52,57,0
63,66,127,0
72,28,127,3
54,48,127,0
57,72,127,0
65,110,127,2
53,29,127,3
65,57,60,0
63,73,127,0
65,57,127,0
57,55,127,0
61,69,127,0
60,69,127,0
61,68,120,0
65,52,127,0
58,90,127,2
61,71,127,0
60,66,120,0
71,83,127,3
56,51,127,0
48,45,127,3
66,50,120,0
78,31,0,3
66,52,127,0
70,69,127,0
72,62,127,0
75,46,127,2
80,86,127,3
66,53,127,0
75,72,127,0
72,62,60,1
65,50,120,0
68,50,120,0
59,60,0,2
64,81,127,3
65,30,127,2
73,62,127,0
72,56,80,0
73,52,80,0
72,52,80,0
68,58,127,0
79,55,127,1
63,50,120,0
78,41,120,2
63,52,127,0
66,69,127,0
70,32,127,1
72,66,120,0
66,53,127,0
59,53,127,2
72,69,127,0
68,62,127,0
65,50,120,0
73,60,127,1
68,51,127,0
65,51,127,0
73,62,127,0
72,19,127,2
68,51,127,0
65,51,127,0
72,61,127,0
66,50,120,0
70,64,120,0
66,52,127,0
70,69,127,0
72,62,127,0
75,66,120,0
70,53,127,0
66,53,127,1
81,48,127,2
72,62,127,0
65,50,120,0
68,50,120,0
73,60,120,0
68,51,127,0
65,51,127,0
73,62,127,1
72,56,80,0
73,52,80,0
72,52,80,0
68,58,127,0
65,55,127,0
68,25,0,3
66,50,120,0
75,64,120,0
70,52,127,0
66,52,127,0
75,70,127,0
77,94,126,2
78,72,120,0
70,53,127,0
78,72,127,0
68,51,127,0
77,66,0,1
65,10,127,2
73,60,127,0
65,2,127,2
73,51,127,0
65,5,127,1
73,46,120,0
78,25,120,1
83,55,120,1
73,47,127,0
78,47,127,0
82,57,127,0
72,47,120,0
75,47,120,0
80,53,120,0
72,47,127,0
75,47,127,0
80,56,127,1
77,55,120,0
70,46,120,0
73,46,120,0
70,47,127,0
73,47,127,0
77,57,127,0
71,47,127,0
77,47,127,0
80,53,120,0
82,51,120,0
80,53,120,0
71,47,127,0
81,81,127,2
91,30,60,2
80,50,127,1
78,53,120,0
77,51,120,0
61,66,120,2
75,46,120,0
78,55,120,0
70,86,127,2
66,47,127,1
81,19,127,2
68,47,120,0
72,47,120,0
77,53,120,0
68,47,127,0
