note,velocity,time,anomalies
71,39,127,0
59,31,127,0
67,31,127,0
72,33,90,0
79,40,127,0
71,32,127,0
76,32,127,0
70,33,0,1
71,39,127,0
45,31,127,1
67,31,127,0
68,59,90,2
79,40,127,0
75,32,127,1
76,58,127,1
64,33,90,0
72,42,127,0
60,34,127,1
69,34,127,0
74,36,90,0
81,42,127,0
72,33,127,0
78,33,127,0
84,65,90,2
72,39,127,0
60,31,127,0
69,31,127,0
74,33,90,0
78,2,127,3
72,32,127,0
78,32,127,0
66,33,90,0
74,46,127,0
62,37,127,0
71,37,127,0
76,39,120,0
83,52,127,0
74,13,127,1
80,42,127,0
68,58,120,0
76,55,127,0
64,45,127,0
76,14,127,2
77,58,120,0
85,60,127,0
67,47,127,1
82,47,127,0
70,64,120,0
77,50,127,0
65,40,127,0
74,40,127,0
79,50,127,0
85,46,127,0
78,36,127,0
67,35,127,0
83,43,127,0
76,34,127,0
66,33,127,0
82,41,127,0
74,32,127,0
70,70,0,3
78,52,127,0
66,42,127,0
74,20,127,1
83,44,120,0
88,60,127,0
81,46,127,0
85,46,127,0
73,25,120,1
86,50,127,0
79,39,127,0
83,39,127,0
71,2,127,2
85,40,127,0
78,32,127,0
92,32,127,1
70,33,127,0
76,33,127,0
70,12,127,3
70,32,127,0
73,39,127,0
63,36,127,0
69,39,127,0
72,39,127,0
71,39,127,0
59,31,127,0
67,31,127,0
72,12,90,1
79,40,127,0
71,32,127,0
76,32,127,0
70,33,90,0
71,39,127,0
59,31,127,0
67,31,127,0
72,33,90,0
79,40,127,0
71,32,127,0
76,32,127,0
64,33,90,0
72,42,127,0
60,34,127,0
69,34,127,0
74,36,90,0
81,42,127,0
72,33,127,0
78,33,127,0
71,34,90,0
72,39,127,0
60,0,127,1
65,31,127,2
74,33,90,0
81,40,127,0
72,32,127,0
78,32,127,0
66,33,16,1
74,46,127,0
62,37,127,0
71,37,127,0
76,39,120,0
83,89,0,2
74,42,127,0
80,42,127,0
68,58,120,0
73,76,127,3
64,45,127,0
72,45,127,0
77,58,120,0
85,60,127,0
76,47,127,0
82,47,127,0
70,64,120,0
70,83,127,2
65,40,127,0
74,40,127,0
79,50,127,0
85,46,127,0
78,36,127,0
67,35,127,0
83,43,127,0
76,34,127,0
66,33,127,0
82,41,127,0
74,32,127,0
73,34,120,0
78,52,127,0
66,42,127,0
74,42,127,0
83,44,120,0
88,60,127,0
81,46,127,0
73,22,127,2
86,18,120,2
86,50,127,0
79,39,127,0
83,39,127,0
71,40,120,0
85,40,127,0
78,32,127,0
75,53,0,3
70,33,0,1
76,33,127,0
64,32,127,0
70,32,127,0
80,39,127,2
63,16,2,2
66,43,127,0
71,36,127,0
75,39,127,0
68,73,127,3
68,45,127,0
60,6,127,2
63,44,127,0
53,41,127,0
56,45,127,0
61,36,127,0
59,44,127,0
54,36,127,0
58,42,127,0
70,45,127,0
73,49,127,0
66,7,127,2
59,40,127,0
74,47,127,2
75,50,127,0
68,41,127,0
60,48,127,0
72,56,127,0
75,60,127,0
68,49,127,0
61,79,127,1
73,63,127,0
80,71,127,1
70,66,127,0
66,68,127,0
78,101,127,2
76,80,127,0
69,30,127,1
63,68,127,0
76,73,127,1
72,80,127,0
63,66,127,1
57,68,127,0
69,73,127,0
66,81,127,0
69,66,127,1
57,68,127,0
63,73,127,1
72,81,127,0
63,66,127,0
57,68,127,0
69,73,127,0
66,81,127,0
63,66,127,0
57,68,127,0
71,106,127,2
63,59,127,3
71,44,127,0
69,37,127,0
63,37,127,0
66,37,127,0
71,43,127,0
69,36,127,0
64,36,127,0
72,36,127,0
71,42,127,0
69,35,127,0
63,35,127,0
66,37,127,0
75,40,127,0
72,34,127,0
67,34,127,0
76,35,127,0
75,37,127,0
72,31,127,0
66,31,127,0
69,32,127,0
75,34,127,0
72,29,127,0
67,29,127,0
76,29,127,1
75,30,127,0
72,26,127,0
66,26,127,0
69,0,127,1
76,31,127,0
64,24,127,0
72,24,127,0
76,57,0,3
84,32,127,0
76,25,127,0
81,25,127,0
75,47,120,1
76,31,127,0
78,50,127,3
74,57,127,3
77,26,120,0
84,32,127,0
75,25,127,0
81,25,127,0
69,26,120,0
74,33,127,0
62,27,127,0
71,27,127,0
75,28,120,0
83,33,127,0
74,26,127,0
79,26,127,0
73,27,127,1
74,31,127,0
72,0,127,3
71,24,127,1
75,26,120,0
82,35,127,0
73,27,127,0
79,27,127,0
67,28,120,0
72,60,127,0
60,46,127,0
69,46,127,0
73,54,127,0
72,62,127,0
65,49,127,0
74,24,127,2
74,55,127,0
81,72,127,0
72,57,127,0
77,57,127,0
71,66,127,0
77,74,127,0
69,58,127,0
72,58,127,0
67,34,127,2
69,53,127,0
65,63,127,0
72,60,127,1
74,69,127,1
72,43,127,3
72,50,127,0
71,50,127,0
64,38,127,0
70,45,127,0
70,36,127,0
73,39,127,0
68,39,127,1
68,43,127,1
65,0,127,2
75,39,127,0
64,41,127,0
54,45,127,2
60,40,127,0
63,17,127,1
53,41,127,0
56,45,127,0
61,36,127,0
59,44,127,0
54,36,127,0
51,77,0,3
70,45,127,0
78,73,127,2
66,41,127,0
59,40,127,0
71,47,127,0
75,50,127,0
68,41,127,0
60,48,127,0
72,56,127,0
75,60,127,0
68,49,127,0
61,55,127,0
73,63,53,1
91,73,127,2
70,66,127,0
66,68,127,0
84,41,127,2
76,80,127,0
69,66,127,0
63,68,127,0
75,73,127,0
72,80,127,0
63,66,127,0
57,68,127,0
69,73,127,0
66,81,127,0
63,66,127,1
57,68,127,0
69,73,127,0
72,81,127,0
63,66,127,0
57,68,127,0
69,73,127,0
66,81,127,1
63,66,127,0
57,95,127,1
69,73,127,0
72,81,127,0
71,44,127,0
69,37,127,0
63,37,127,1
66,37,127,0
69,36,127,0
63,74,0,3
71,43,127,0
72,36,127,1
71,73,127,2
82,35,127,1
63,35,127,0
66,37,127,0
72,34,127,0
67,34,127,0
75,40,127,0
79,67,127,2
75,37,127,0
72,31,127,0
66,31,127,0
69,32,127,0
75,34,127,0
72,29,127,0
67,29,127,0
76,29,127,0
75,30,127,0
66,26,33,1
71,0,127,3
69,26,127,0
76,31,127,0
64,24,127,0
60,64,127,2
77,26,120,0
76,25,127,0
81,25,127,1
84,32,127,0
75,26,120,0
76,31,127,0
64,24,127,0
72,24,127,0
77,26,120,0
75,25,127,0
81,25,127,0
84,32,127,0
69,26,120,0
74,33,127,0
62,27,127,0
71,27,127,0
75,28,120,0
83,33,127,0
74,26,127,0
79,26,127,0
73,27,120,0
74,31,127,0
71,24,127,0
62,24,127,0
75,26,120,0
82,35,127,0
73,27,127,0
79,27,127,0
67,28,120,0
60,46,127,0
69,46,127,0
67,60,127,1
82,84,0,3
72,62,127,0
65,49,127,0
69,49,127,0
74,55,127,0
72,57,127,0
77,57,127,0
81,72,127,0
71,95,127,1
77,74,127,0
74,58,127,2
72,58,127,0
67,67,127,0
69,52,127,0
65,98,0,2
72,20,127,2
64,100,127,1
57,40,127,0
67,70,127,3
63,40,127,0
65,43,127,2
50,49,127,2
68,47,127,0
71,53,127,0
57,48,127,0
66,55,127,0
63,49,127,0
56,39,127,0
64,39,127,0
