note,velocity,time,anomalies
67,79,127,0
70,79,127,0
75,79,127,0
79,88,127,0
65,62,120,0
70,62,120,0
74,62,120,0
77,70,120,0
75,62,120,0
67,62,120,0
70,62,120,0
70,46,70,3
68,79,67,1
72,79,127,0
80,88,127,0
75,79,127,0
75,62,120,0
70,62,120,0
67,62,120,0
79,70,120,0
65,63,120,0
72,63,120,0
77,71,120,0
75,63,120,0
70,75,127,0
67,75,127,0
75,75,127,0
79,84,127,0
65,60,120,0
77,68,120,0
68,60,120,0
74,60,120,0
67,57,120,0
63,57,120,0
70,57,120,0
75,63,120,0
65,60,120,0
74,60,120,0
77,68,120,0
70,63,120,0
63,70,127,0
72,70,127,0
75,79,127,0
63,67,127,0
75,74,127,0
70,67,127,0
74,74,127,0
68,67,127,0
63,67,127,0
72,67,127,0
75,74,127,0
63,67,127,0
75,74,127,0
67,67,127,0
70,67,127,0
62,62,120,0
65,62,0,1
70,62,120,0
74,70,120,0
75,70,120,0
70,62,120,0
63,62,120,0
67,62,120,0
72,72,127,0
75,72,127,0
79,81,127,0
67,72,127,0
77,69,120,0
65,61,120,0
68,61,120,0
72,61,120,0
63,61,120,0
67,61,120,0
72,61,120,0
75,69,120,0
70,69,127,0
74,78,127,0
62,69,127,0
67,69,127,0
60,64,120,0
63,64,120,0
67,64,120,0
72,72,120,0
70,70,120,0
58,62,120,0
62,62,120,0
67,62,120,0
71,61,120,1
66,61,120,0
69,69,120,0
56,89,0,3
55,68,127,0
67,75,127,0
55,68,127,0
66,68,127,0
67,75,127,0
55,67,127,0
65,67,127,0
67,74,127,0
67,79,127,0
79,88,127,0
70,79,127,0
82,55,69,3
77,72,120,0
74,64,120,0
65,44,120,1
70,64,120,0
67,64,120,0
70,64,120,0
75,64,120,0
79,72,120,0
80,88,127,0
68,79,127,0
72,79,127,0
75,79,127,0
67,62,120,0
70,62,120,0
88,70,120,1
79,70,120,0
75,70,120,0
72,62,120,0
77,70,120,0
65,62,120,0
67,77,127,1
70,77,127,0
75,77,127,0
90,85,127,1
86,72,0,2
65,64,120,0
68,64,120,0
74,64,120,0
63,62,120,0
67,62,120,0
70,62,127,1
75,70,120,0
77,68,120,0
74,60,120,0
65,60,120,0
70,66,120,0
63,74,127,0
75,83,127,0
73,78,127,0
63,78,127,0
75,86,127,0
76,83,127,1
63,83,127,0
75,93,127,0
87,101,127,0
82,90,127,0
75,90,127,0
78,90,127,0
78,83,127,0
82,83,127,0
86,93,127,0
74,83,127,0
87,90,127,0
82,80,127,0
78,80,127,0
75,80,127,0
78,85,127,0
83,95,127,1
75,85,127,0
71,85,127,0
82,86,127,0
80,78,127,1
78,78,127,0
75,78,127,0
78,77,127,0
83,85,127,0
75,77,127,0
71,77,127,0
80,92,127,0
68,82,127,0
75,82,127,0
71,82,127,0
79,83,127,0
75,74,127,0
71,74,127,0
67,74,127,0
68,74,127,0
71,74,127,0
80,83,127,0
75,74,127,0
66,79,127,0
69,79,127,0
72,79,127,0
78,88,127,0
77,73,120,0
74,61,120,0
70,63,120,0
69,60,120,0
74,71,120,0
70,61,120,0
65,63,120,0
64,61,120,0
70,70,120,0
65,61,120,0
62,63,120,0
60,61,120,0
89,64,120,0
86,59,120,0
82,61,120,0
81,60,120,0
86,64,120,0
82,58,120,0
77,58,120,0
76,58,120,0
82,87,120,1
77,56,120,0
74,56,120,0
72,56,120,0
70,66,127,0
70,68,127,0
67,60,127,0
63,63,127,0
67,71,127,0
70,71,127,0
72,74,127,0
60,67,127,0
63,67,127,0
67,74,127,0
60,102,127,1
63,68,127,0
68,75,127,0
72,75,127,0
72,72,127,0
77,81,127,0
65,72,127,0
68,72,127,0
62,79,127,0
67,79,127,0
71,88,127,0
74,88,127,0
86,57,120,0
83,53,120,0
79,54,120,0
78,54,120,0
83,57,120,0
79,54,120,0
74,54,120,0
73,54,120,0
79,57,120,0
74,54,120,0
71,55,120,0
69,54,120,0
67,64,127,0
65,58,127,0
67,64,127,0
63,60,127,0
81,68,127,2
61,33,127,2
62,62,127,0
67,70,127,0
60,67,127,0
63,67,127,0
67,74,127,0
69,78,127,0
63,69,127,0
60,69,127,0
58,74,127,0
62,74,127,0
70,83,127,0
89,64,120,0
86,61,120,0
82,64,120,0
81,62,120,0
86,60,120,0
82,55,120,0
77,58,120,0
76,54,120,0
82,58,120,0
77,53,120,0
66,21,120,2
72,53,120,0
70,64,127,0
62,65,127,1
70,65,127,0
66,62,127,0
63,62,127,0
70,69,127,0
56,68,127,2
63,68,127,0
71,68,127,0
75,77,127,0
63,71,127,0
75,80,127,0
68,71,127,0
69,32,127,2
71,79,127,0
68,79,127,0
76,88,127,0
80,88,127,0
66,88,127,0
78,97,127,0
71,88,127,0
75,97,127,0
83,89,127,0
87,99,127,0
75,89,127,0
82,89,127,0
75,89,127,0
87,99,127,0
75,89,127,0
87,99,127,0
81,89,127,0
87,102,127,0
82,91,127,0
79,91,127,0
71,91,127,2
70,66,120,0
65,66,120,0
70,92,120,2
77,73,120,0
67,66,120,0
79,73,120,0
70,90,120,1
75,66,120,0
72,77,127,0
68,77,127,0
75,77,127,0
80,85,127,0
67,64,120,0
79,72,120,0
70,64,120,0
75,72,120,0
65,64,120,0
72,64,120,0
77,72,120,0
75,64,120,0
79,86,127,0
75,78,127,0
67,78,127,0
70,78,127,0
65,64,120,0
68,64,120,0
74,64,120,0
77,72,120,0
75,71,120,0
63,63,120,0
67,63,120,0
70,63,120,0
65,62,120,0
74,62,120,0
77,70,120,0
70,69,120,0
75,79,127,0
72,70,127,0
63,70,127,0
63,69,127,0
70,69,127,0
74,78,127,1
75,78,127,0
75,77,127,0
63,69,127,0
68,69,127,0
72,69,127,0
63,67,127,0
67,67,127,0
70,67,127,0
75,74,127,0
74,77,120,0
65,69,120,0
70,69,120,0
62,69,120,0
63,69,120,0
57,30,120,2
70,69,120,0
75,77,120,0
67,73,127,0
72,73,127,0
75,73,127,0
79,82,127,0
65,68,120,0
68,68,127,1
72,68,120,0
77,75,120,0
72,68,120,0
75,38,120,1
63,68,120,0
67,68,120,0
62,71,127,0
67,71,127,0
70,71,127,0
74,80,127,0
67,64,120,0
60,64,120,0
63,64,120,0
72,72,120,0
58,62,120,0
69,38,120,2
70,70,120,0
67,62,120,0
69,70,120,0
66,62,120,0
57,62,120,0
62,68,120,0
55,59,127,0
67,66,127,0
67,75,127,0
55,68,127,0
66,75,127,0
55,67,127,0
65,102,127,2
67,74,127,0
79,77,127,1
75,65,127,0
67,65,127,0
70,65,127,0
65,61,120,0
70,61,120,0
74,61,120,0
77,72,120,0
79,73,120,0
67,62,120,0
70,62,120,0
75,62,120,0
68,65,127,0
72,65,127,1
75,65,127,0
80,77,127,0
75,62,120,0
79,74,120,0
67,62,120,0
70,62,120,0
65,53,120,0
72,53,120,0
77,72,120,0
75,53,120,0
75,58,127,0
67,58,127,0
70,58,127,0
79,76,127,0
65,63,120,0
68,63,120,0
77,75,120,0
74,75,120,0
70,62,120,0
67,62,120,0
63,62,120,0
