note,velocity,time,anomalies
73,0,60,1
58,42,127,2
66,27,0,1
60,47,60,1
72,34,60,0
61,13,0,3
65,27,127,1
58,27,60,0
70,38,80,0
72,42,60,0
66,27,60,0
60,0,60,1
84,3,127,3
83,87,127,2
70,5,126,2
65,27,60,0
83,82,0,3
92,56,0,2
76,54,60,2
68,10,60,1
70,19,0,3
78,49,60,0
64,27,127,2
66,47,127,2
71,38,127,2
78,42,60,0
72,49,127,2
66,54,127,2
78,34,60,0
70,41,0,2
72,27,0,1
65,25,60,0
72,34,127,1
77,41,60,0
70,27,60,0
65,0,124,2
77,34,60,0
67,75,60,2
81,27,60,1
63,27,60,0
62,64,127,3
84,15,0,3
66,27,60,0
61,0,60,2
77,38,80,0
75,42,60,0
69,27,60,0
74,66,60,2
73,34,0,1
72,41,60,0
55,0,60,2
63,27,60,0
78,14,80,1
77,42,127,0
79,49,0,3
75,26,127,2
52,24,127,2
76,42,127,0
67,27,0,2
69,26,60,0
65,24,60,0
75,42,127,0
72,27,60,0
69,26,60,0
79,44,60,2
73,41,127,0
69,64,127,2
66,28,127,0
61,22,60,0
66,67,0,3
81,42,60,1
66,27,60,0
60,26,60,0
72,34,60,0
70,41,0,1
77,27,60,1
58,0,60,1
75,11,0,3
72,42,60,0
66,27,60,0
70,26,60,1
72,65,60,1
77,11,127,1
76,0,127,2
65,27,60,0
77,13,70,1
85,89,0,3
72,66,60,2
70,41,60,0
82,49,60,0
81,60,60,0
75,32,127,1
67,0,60,2
65,45,127,2
80,52,60,0
74,33,60,0
68,32,60,0
80,82,0,2
68,19,0,3
73,32,60,0
67,32,60,0
75,41,60,0
85,88,127,3
59,8,60,2
57,67,0,3
78,41,60,0
77,49,60,0
71,32,60,0
65,32,127,1
75,41,60,0
73,49,60,0
71,32,60,0
67,32,60,1
76,45,70,0
85,14,0,3
68,32,60,0
75,31,60,1
83,41,0,2
72,11,127,2
68,32,60,0
65,32,127,1
66,9,127,3
73,50,127,0
67,32,127,1
64,66,60,1
49,6,0,3
70,50,127,0
67,69,60,1
61,31,60,0
74,53,60,2
67,50,127,0
64,32,60,0
58,31,60,0
60,58,60,1
70,49,127,0
65,39,60,0
60,34,60,0
64,27,127,2
68,51,0,1
67,15,127,3
78,58,60,0
60,0,127,3
66,39,60,0
78,20,60,1
64,49,60,1
71,32,60,0
65,32,60,0
75,41,60,0
73,49,60,0
74,32,0,2
54,0,127,3
70,45,70,1
81,73,60,2
79,11,60,2
68,3,60,2
72,7,127,2
71,47,60,0
72,31,60,1
62,30,60,0
69,41,60,1
71,46,127,0
68,6,60,1
62,63,60,1
59,45,0,2
66,0,0,2
61,27,60,0
71,84,127,2
65,27,60,0
62,61,60,2
66,81,127,1
57,9,127,3
71,0,127,2
61,28,127,0
47,6,127,3
60,29,127,0
65,37,120,0
54,27,120,0
63,34,120,0
40,0,120,2
58,61,120,2
63,6,127,2
61,26,127,1
61,59,127,2
73,40,120,0
70,57,120,2
66,60,120,1
72,30,120,0
75,0,120,1
75,39,0,1
72,34,60,0
66,34,60,0
65,29,127,0
75,67,127,2
80,42,127,0
80,60,0,3
60,1,60,2
63,0,126,3
78,34,127,0
82,42,120,0
62,35,60,1
65,42,60,1
65,29,127,0
77,60,127,1
80,42,127,0
54,0,127,3
73,26,127,0
77,39,120,0
72,35,60,0
57,59,0,3
70,26,127,1
70,34,127,0
86,12,127,3
65,0,127,2
63,0,127,3
66,30,0,1
63,30,120,0
66,31,127,0
63,31,127,1
58,30,120,0
67,14,127,2
68,42,127,0
59,40,127,0
58,9,127,1
76,39,127,1
66,39,127,0
57,0,10,2
58,6,127,1
68,37,127,1
62,39,127,1
63,39,127,0
71,62,120,2
56,70,127,3
66,42,127,0
52,42,0,2
61,32,127,0
65,40,127,0
56,40,127,0
74,61,0,3
61,34,127,0
65,78,127,1
53,44,127,0
50,46,0,2
58,38,120,0
46,51,0,2
65,26,0,2
48,28,82,3
52,66,127,2
61,43,127,0
46,70,127,2
59,45,0,2
60,0,127,2
64,38,127,0
52,38,127,1
58,39,127,0
60,28,120,0
65,33,127,0
53,33,127,0
58,24,127,0
57,0,0,2
56,29,120,0
47,29,127,2
65,37,120,0
54,27,120,0
61,4,120,2
61,59,120,2
60,29,120,0
63,37,0,1
40,26,127,1
61,37,127,0
84,18,120,2
65,32,120,0
66,28,120,0
72,28,120,0
75,35,120,0
68,1,127,3
80,32,60,1
78,32,0,2
65,0,127,1
77,28,127,1
80,39,127,0
77,15,0,2
68,54,60,2
66,37,127,0
78,41,0,1
82,23,120,1
71,35,60,0
75,42,60,0
64,29,127,2
72,30,0,2
68,2,127,2
61,30,120,0
73,33,127,0
72,12,120,2
71,60,127,2
68,29,60,0
58,19,127,0
70,30,127,0
76,38,0,2
65,31,127,0
79,40,127,1
70,71,120,1
66,37,120,0
71,14,127,2
66,13,127,1
61,65,0,2
78,40,127,2
62,40,127,1
53,5,127,2
61,29,127,0
66,37,127,0
64,0,127,2
60,0,127,2
61,0,127,1
62,36,127,0
70,38,127,0
66,16,127,2
61,30,120,0
63,37,127,0
71,48,127,0
68,44,127,0
61,33,127,0
70,42,127,1
69,5,0,3
60,40,127,1
61,36,127,0
67,47,127,0
55,47,127,0
63,17,127,1
60,14,127,3
65,56,120,0
68,62,127,0
70,62,127,2
67,74,127,2
60,45,120,0
54,24,127,1
69,74,127,2
60,56,127,3
56,38,127,0
59,61,127,3
65,32,127,0
53,0,127,2
62,23,0,2
61,20,120,0
73,25,60,0
75,0,60,2
72,29,60,0
69,24,127,2
65,28,60,1
52,23,60,1
58,12,127,1
70,15,127,0
65,31,127,0
77,27,70,0
76,34,0,1
73,28,60,0
64,29,60,0
76,24,70,0
75,31,60,0
61,65,60,2
63,25,60,0
80,7,0,2
78,34,60,0
62,0,60,2
66,29,60,0
78,24,0,1
77,31,127,1
75,25,60,0
65,25,60,0
82,27,70,0
80,34,60,0
66,0,60,2
59,30,0,2
82,75,70,1
80,45,60,0
77,41,127,1
68,82,127,2
92,49,0,2
70,15,60,2
77,32,60,0
71,28,66,0
70,53,0,2
68,36,60,0
78,0,60,2
50,0,0,3
60,32,66,0
61,1,127,2
68,32,60,0
57,26,60,1
80,34,66,0
79,34,60,0
76,30,60,0
70,27,127,1
68,28,66,0
77,33,127,2
60,54,127,3
58,24,66,0
67,25,0,2
60,28,60,0
67,24,60,0
76,27,127,0
79,27,127,0
82,27,69,1
85,34,120,0
70,0,60,1
84,33,120,0
72,40,127,2
76,20,127,1
72,4,127,3
56,24,120,1
54,52,127,3
66,22,127,1
70,22,127,0
73,28,120,0
72,1,120,1
51,17,127,0
53,17,127,0
57,48,127,1
61,22,120,0
60,0,127,1
88,0,60,2
75,19,60,0
70,53,127,3
91,19,127,2
82,0,127,2
72,19,0,1
81,25,60,0
75,19,60,0
80,24,60,0
69,19,60,0
82,25,127,2
72,19,0,1
77,63,0,2
66,19,60,0
75,25,60,0
63,0,60,2
73,24,60,0
63,19,60,0
59,0,60,2
76,19,127,2
73,22,60,0
65,55,0,2
71,25,60,0
68,19,60,0
59,25,60,0
71,34,60,0
70,41,120,0
68,27,60,0
58,27,60,0
58,38,0,2
71,42,60,0
68,4,0,2
60,0,60,2
71,72,60,1
77,41,60,0
68,50,60,1
65,61,0,2
77,43,70,0
79,53,127,2
78,32,60,1
77,42,127,2
80,25,60,1
78,83,127,2
87,58,60,2
66,32,60,0
73,45,70,0
75,30,127,3
72,67,0,2
66,31,0,1
68,65,60,2
77,49,60,0
66,67,60,2
65,67,60,1
72,41,60,0
77,49,60,0
70,32,60,0
72,54,0,3
77,41,60,0
75,49,60,0
70,32,60,0
63,32,60,0
68,41,60,1
72,49,60,0
66,32,60,0
69,32,60,1
85,11,127,3
75,50,60,0
79,32,60,1
63,31,60,0
70,74,60,2
72,49,0,1
58,5,127,3
63,32,60,0
78,45,60,0
77,50,127,0
72,31,60,0
73,53,60,2
73,6,0,3
76,47,127,0
72,59,60,1
69,28,127,1
75,26,0,2
75,23,127,1
72,0,127,2
55,27,60,1
74,25,60,1
73,79,127,1
73,33,127,1
67,28,127,2
61,0,127,2
85,32,60,0
74,29,60,1
81,28,60,0
91,0,127,3
78,28,60,0
75,52,60,1
73,28,60,0
72,35,60,0
66,27,60,0
60,0,0,2
72,34,127,1
70,41,127,0
58,59,127,3
60,7,60,2
61,40,60,1
73,47,60,0
66,32,60,0
58,31,60,0
73,45,60,0
78,58,60,0
71,32,60,0
59,32,60,1
75,47,60,0
73,56,60,0
77,33,0,2
58,9,60,1
70,49,0,1
61,60,60,1
66,32,60,0
59,32,60,0
71,51,60,0
72,47,60,0
75,57,60,0
68,36,60,0
60,36,60,0
75,30,60,1
85,97,60,2
70,60,60,2
68,35,60,0
73,18,127,2
79,58,60,1
73,38,60,0
68,39,60,0
80,51,60,0
85,70,60,0
79,38,60,0
68,38,60,1
84,53,127,2
78,61,0,1
72,42,60,0
63,18,110,3
78,56,60,0
80,66,127,2
77,41,60,0
61,15,60,2
71,18,127,2
76,66,60,0
70,44,60,0
64,45,60,0
76,49,60,0
84,109,127,3
75,47,60,0
69,46,60,0
78,99,14,2
75,82,60,1
69,86,60,1
75,69,127,0
79,47,60,1
66,84,0,2
69,69,127,0
63,43,60,0
57,42,60,0
68,66,127,0
63,43,60,0
45,4,60,2
67,66,127,1
64,43,60,1
57,42,60,0
57,36,30,0
49,36,127,2
65,82,30,1
87,76,127,0
81,47,60,0
75,46,60,0
73,90,0,3
78,10,60,2
69,46,60,0
75,70,127,0
79,26,0,3
63,46,60,0
69,65,127,0
63,40,60,0
45,39,127,2
79,63,127,2
63,39,60,0
69,16,60,2
66,61,127,0
63,37,60,0
57,36,60,0
65,58,0,1
70,35,60,1
70,0,0,3
70,25,127,2
52,70,0,3
57,29,60,0
68,78,127,3
60,28,127,1
57,59,127,1
53,29,127,0
57,29,127,0
62,73,120,1
60,3,120,1
53,29,127,0
65,64,120,2
60,37,120,0
71,57,0,3
76,39,120,0
77,34,120,0
74,38,120,0
70,54,127,2
65,32,120,0
62,25,127,1
56,29,120,0
61,29,120,0
52,37,127,2
50,55,0,3
60,29,120,0
49,8,120,2
57,56,120,1
66,9,127,3
63,37,120,0
56,29,127,0
61,37,127,0
79,68,127,2
84,34,127,2
77,38,120,0
73,31,120,0
73,32,120,1
60,25,120,1
73,106,120,1
60,43,127,1
66,43,127,0
72,49,0,1
60,63,120,1
58,43,127,0
55,43,127,1
70,70,127,0
70,68,120,0
59,13,127,1
65,43,127,0
71,12,120,1
71,65,120,0
60,43,127,0
64,68,127,1
69,91,127,3
78,98,127,3
55,8,127,2
64,18,127,1
73,46,120,1
70,27,0,2
66,39,127,2
65,39,127,0
68,64,127,0
68,22,0,2
53,37,127,2
63,37,127,0
69,67,120,1
73,78,127,3
58,16,127,2
62,56,127,2
70,59,127,0
58,52,0,1
61,38,120,0
61,50,120,0
60,44,127,0
53,32,101,1
58,32,127,0
56,52,127,1
53,75,127,2
60,32,120,0
60,33,120,0
63,27,127,0
57,22,127,0
45,22,127,1
61,59,127,2
61,0,127,3
45,20,127,1
60,0,127,2
57,0,127,2
51,18,127,0
58,22,127,0
61,25,120,0
57,0,127,3
69,20,120,1
73,20,120,0
103,0,127,3
77,17,120,0
92,56,127,2
94,22,127,1
