note,velocity,time,anomalies
62,76,127,1
74,63,127,0
86,75,127,0
83,63,127,0
69,73,127,1
84,73,127,0
72,62,127,0
78,63,127,0
69,63,127,0
81,107,127,2
83,70,120,0
71,59,120,0
90,59,120,1
68,52,42,2
80,25,120,2
74,62,127,2
81,70,120,0
78,54,120,0
69,55,120,0
78,63,120,0
75,86,127,2
66,53,120,0
79,70,120,0
76,59,120,0
67,27,120,1
64,54,120,0
76,64,120,0
73,54,0,1
78,70,127,1
66,59,120,0
75,59,120,0
66,58,120,0
81,49,120,2
75,58,0,1
73,62,120,0
61,52,120,0
63,54,120,0
75,64,120,0
64,56,120,0
76,66,120,0
66,56,120,0
84,67,120,1
67,58,120,0
79,69,120,0
66,59,120,0
78,70,120,0
75,59,120,0
71,58,120,0
83,69,120,0
73,62,120,0
61,52,120,0
63,54,120,0
75,64,120,0
78,56,127,2
76,66,120,0
66,90,0,2
78,67,120,0
67,58,120,0
79,69,120,0
69,85,0,2
81,70,120,0
78,59,120,0
74,58,120,0
86,69,120,0
55,76,127,0
89,99,127,2
93,75,127,0
81,63,127,0
90,73,127,2
78,73,127,2
72,62,127,2
84,63,127,1
76,63,127,0
88,75,127,0
86,59,120,0
89,106,120,1
77,59,120,0
86,62,120,0
72,52,127,2
74,52,120,0
84,54,120,0
76,88,0,2
88,70,120,0
85,85,127,3
84,63,120,0
72,53,120,0
74,59,120,0
86,70,120,0
83,59,120,0
71,54,120,0
83,64,120,0
79,31,0,2
81,59,120,0
72,59,120,0
84,70,120,0
81,58,120,0
72,58,120,0
84,69,120,0
69,59,127,0
81,70,127,0
77,59,127,0
79,80,127,2
67,47,120,0
71,49,120,0
83,58,127,1
84,60,120,0
72,51,120,0
74,52,120,0
86,99,120,1
76,54,120,0
88,64,120,0
79,60,127,1
84,34,0,2
91,39,120,1
77,49,120,0
89,26,120,1
84,57,127,0
72,48,127,0
81,81,0,2
69,48,120,0
71,53,120,0
83,63,120,0
84,67,120,0
72,57,120,0
86,73,120,0
60,93,120,2
78,97,127,3
93,78,0,2
79,75,127,0
87,103,127,1
91,87,120,0
90,92,120,1
88,80,127,3
69,56,127,1
81,67,127,0
52,100,127,2
83,63,127,0
86,75,127,0
74,63,127,0
72,62,127,1
84,73,127,0
73,113,127,2
78,63,127,0
69,63,127,0
81,75,127,0
88,105,127,3
71,19,120,1
79,59,120,0
76,20,120,1
79,62,120,0
67,52,120,0
74,87,120,2
69,55,120,0
81,70,120,0
75,53,120,0
78,63,120,0
66,53,120,0
79,70,120,0
71,97,0,3
76,59,120,0
64,54,120,0
73,54,120,0
71,94,120,2
75,59,120,0
66,59,120,0
78,70,120,0
66,58,120,0
75,58,120,0
78,69,120,0
61,52,120,0
73,62,120,0
80,64,127,2
63,54,120,0
76,66,120,0
64,22,127,2
66,56,120,0
70,67,120,1
79,69,120,0
67,58,120,0
78,101,48,2
75,59,120,0
66,59,57,1
83,101,0,2
71,58,120,0
62,18,120,2
73,62,120,0
75,64,120,0
63,54,120,0
56,22,0,3
74,40,0,3
90,67,120,1
66,35,0,2
53,58,127,2
79,106,40,2
69,32,127,2
78,26,127,2
81,70,120,0
86,69,120,0
74,58,120,0
55,76,127,1
89,63,127,0
81,63,127,0
93,75,127,0
88,73,127,0
92,73,127,2
93,62,127,2
88,75,127,0
76,63,127,0
79,41,127,3
89,70,120,0
77,59,120,0
86,59,120,0
74,52,120,0
86,98,120,1
