note,velocity,time,anomalies
79,58,127,0
79,57,127,0
79,64,127,0
78,55,127,0
77,56,127,0
78,62,127,0
83,64,127,0
79,86,127,2
78,57,127,0
76,57,127,0
79,64,127,0
78,41,127,2
77,57,127,0
78,57,127,0
93,64,127,1
79,63,127,0
72,70,127,1
80,70,127,0
81,72,127,0
76,63,127,0
75,57,127,0
76,33,127,2
79,64,127,0
78,63,127,0
76,57,127,0
75,57,127,0
76,55,120,0
79,58,127,0
70,57,127,1
81,64,127,1
87,55,127,1
77,56,127,0
78,62,127,0
83,64,127,0
79,63,127,0
78,88,127,1
89,36,127,3
79,64,127,1
78,63,127,0
75,78,127,3
78,57,127,0
79,64,127,0
79,83,127,1
80,70,127,1
80,70,127,0
81,70,127,0
76,63,127,0
75,57,127,0
76,57,127,0
79,64,127,0
78,28,127,2
76,57,127,0
75,57,127,0
76,55,120,0
62,69,77,2
67,45,127,0
69,19,127,2
71,57,127,0
71,64,127,0
69,55,127,0
68,56,127,0
69,62,127,0
62,51,127,0
67,54,127,0
69,63,127,0
71,66,127,0
74,69,127,0
73,64,127,0
72,68,127,0
69,64,127,0
71,58,127,0
71,66,127,0
76,72,127,0
71,65,127,0
72,63,127,0
67,69,127,2
79,76,127,0
74,72,127,0
76,71,127,0
76,69,127,0
76,73,127,0
71,96,82,3
75,71,127,0
71,72,127,0
71,78,127,0
71,83,127,0
59,66,127,0
64,66,127,0
67,66,127,0
71,83,127,0
79,85,127,2
79,57,127,0
79,64,127,0
78,55,127,0
77,56,127,0
78,62,127,0
84,69,127,0
83,66,127,1
79,57,127,0
76,21,17,2
79,64,127,0
78,63,127,0
77,57,127,0
78,57,127,0
79,64,127,0
79,25,127,2
80,70,127,0
80,70,127,0
81,73,127,0
79,63,127,2
75,57,127,0
76,57,127,0
82,64,127,2
78,63,127,0
76,31,127,1
75,57,127,0
76,55,127,1
62,45,127,0
67,45,127,0
69,58,127,0
71,57,127,0
71,64,127,0
69,55,127,0
68,56,127,0
69,62,127,0
62,51,127,0
67,54,127,0
69,63,127,0
71,61,127,0
74,71,127,0
73,64,127,0
72,68,127,0
69,64,127,0
71,58,127,0
68,66,91,2
76,72,127,0
71,65,127,0
72,91,127,1
72,69,127,0
79,73,127,0
74,66,127,0
62,71,32,2
76,69,127,0
76,73,127,0
76,66,127,0
75,71,127,0
71,35,127,2
71,78,127,1
71,83,127,0
59,66,127,0
64,66,127,0
67,66,127,0
71,83,127,0
79,58,127,0
79,57,127,0
79,64,127,0
78,55,127,0
77,56,127,0
78,62,127,0
84,69,127,0
83,66,127,0
79,57,127,0
76,57,127,0
79,64,127,0
78,63,127,0
77,57,127,0
78,57,127,0
79,64,127,0
79,63,127,0
80,70,127,0
80,70,127,0
85,102,127,3
76,63,127,0
75,57,127,0
76,57,127,0
79,64,127,0
68,97,127,3
75,57,127,2
75,57,127,0
76,55,127,0
76,89,127,2
76,64,127,0
76,58,127,0
76,54,127,0
79,56,127,2
76,61,127,0
76,57,127,0
76,63,127,0
71,66,127,0
67,70,127,0
64,64,127,0
59,63,127,0
59,65,127,0
55,68,127,0
52,63,127,0
67,70,127,0
71,70,0,1
76,70,127,0
79,88,127,0
52,92,127,0
