note,velocity,time,anomalies
79,58,127,0
79,57,127,0
65,90,127,2
78,55,127,0
77,56,127,0
81,25,127,3
83,64,127,0
80,63,127,2
78,57,127,0
76,57,127,0
93,64,127,1
66,87,127,2
77,57,127,1
78,31,127,2
79,36,0,2
79,63,127,0
80,70,127,0
83,70,127,1
81,72,127,0
76,91,127,1
75,57,127,0
76,57,127,0
79,64,127,0
78,63,127,1
77,57,0,2
75,57,127,0
76,55,120,0
79,98,127,2
79,57,127,0
79,64,127,0
78,55,127,0
71,20,127,2
78,62,127,0
88,64,127,2
79,28,127,2
78,57,127,0
76,57,127,0
93,64,127,2
78,63,127,0
77,57,127,0
78,97,68,2
79,64,127,0
79,63,127,0
80,70,127,0
80,70,127,0
81,70,127,0
71,63,112,2
75,57,127,0
76,57,127,0
79,64,127,0
78,63,127,0
76,57,127,0
75,57,127,0
76,79,120,1
60,85,127,2
67,45,127,0
69,58,127,0
71,57,127,0
71,64,127,0
69,55,127,0
68,56,127,0
69,62,127,0
50,51,127,2
67,54,127,0
69,63,127,0
71,105,127,1
74,69,127,0
73,64,127,0
72,68,127,0
61,64,127,1
71,58,127,0
71,66,127,0
76,72,127,0
71,65,127,0
72,63,127,0
72,69,127,0
79,54,6,2
74,72,127,0
76,71,127,0
76,69,127,0
76,73,127,0
76,27,127,2
75,49,127,1
71,72,127,0
71,78,127,0
71,83,127,0
59,66,127,0
77,66,127,2
67,66,127,0
71,83,127,0
79,58,127,0
70,86,127,2
87,64,127,1
80,55,127,1
77,56,127,0
78,62,127,0
84,69,127,0
83,66,127,0
79,57,127,0
76,57,127,0
79,96,127,2
78,27,127,2
77,57,127,1
67,57,127,1
79,27,127,1
79,63,127,0
80,70,127,0
76,70,117,2
81,73,127,0
89,38,127,2
75,57,127,0
76,57,127,0
79,64,127,0
78,63,127,0
76,57,127,0
75,57,127,0
76,55,0,1
62,45,127,0
67,45,127,0
69,58,127,0
71,57,127,0
71,64,127,0
69,30,127,2
68,56,127,0
69,62,127,0
61,51,127,1
67,54,127,0
69,63,127,0
71,61,127,0
74,71,127,0
73,64,127,0
72,89,64,2
69,64,41,1
71,58,127,0
74,97,127,2
72,35,127,3
58,97,127,2
72,63,127,0
72,69,127,0
79,73,127,0
74,66,127,0
76,71,127,0
76,69,127,0
76,73,127,0
76,66,127,0
75,71,127,0
71,72,127,0
73,78,127,2
71,83,127,0
59,66,127,0
53,66,127,1
67,66,127,0
71,83,127,0
79,58,127,0
79,57,127,0
79,64,127,0
78,55,127,0
78,35,127,2
78,24,127,1
84,99,127,1
83,66,127,0
79,57,127,0
76,94,127,1
80,43,127,2
88,85,127,2
77,57,127,0
78,57,127,0
79,84,127,2
79,63,127,0
80,70,127,0
69,36,127,2
81,69,127,0
76,63,127,0
69,95,121,3
76,57,127,0
79,64,127,0
78,63,127,0
76,57,127,0
81,57,127,2
76,55,127,0
76,61,127,0
87,64,127,1
76,58,127,0
76,54,127,0
76,56,127,0
76,61,127,0
76,25,127,2
76,63,127,0
71,66,127,0
75,70,127,2
64,64,127,0
59,63,127,0
59,65,127,0
55,68,127,0
52,63,127,0
67,70,127,0
71,70,127,0
76,70,127,0
79,88,127,0
52,92,127,0
