note,velocity,time,anomalies
72,50,120,0
84,41,120,0
70,76,127,3
84,40,0,1
81,80,120,2
84,40,120,0
72,56,120,0
84,49,120,0
72,61,120,0
84,52,120,0
68,42,120,2
84,55,120,0
72,47,120,1
84,59,120,0
72,63,120,0
84,51,120,0
72,58,120,0
84,11,0,2
72,47,120,0
84,52,120,0
72,64,120,0
84,34,120,0
72,86,120,1
74,88,0,3
72,63,120,0
84,43,120,0
72,55,120,0
84,50,120,0
72,63,120,0
84,38,120,0
72,47,120,0
84,39,120,0
72,37,120,0
84,35,120,0
88,39,120,1
89,38,120,0
81,41,120,0
93,40,120,0
65,46,0,2
91,42,120,0
77,49,120,0
89,43,127,1
76,49,120,0
88,46,120,0
79,58,120,0
91,41,120,0
77,51,120,0
89,42,127,1
75,21,127,3
88,39,120,0
74,44,120,0
86,40,120,0
67,44,120,0
79,43,120,0
69,48,120,0
81,45,120,0
70,58,120,0
82,51,120,0
71,28,120,1
83,50,120,0
72,58,120,0
84,67,120,1
70,52,120,0
82,43,120,0
72,55,120,0
84,46,120,0
77,55,120,0
89,76,0,2
80,95,0,3
96,52,127,2
76,64,120,0
88,50,120,0
76,72,120,0
88,65,0,1
74,44,120,1
86,57,120,0
72,63,120,0
86,76,127,3
70,58,120,0
82,48,127,1
69,32,61,2
79,12,0,3
65,58,120,0
77,50,120,0
65,66,120,0
77,60,120,0
76,64,120,1
76,88,120,1
65,59,120,0
77,52,120,0
67,67,120,1
95,55,127,2
59,89,120,2
73,34,120,2
74,59,120,0
86,49,120,0
72,37,120,0
84,35,120,0
80,39,120,1
89,38,120,0
81,41,120,0
93,40,120,0
79,46,120,0
91,42,120,0
77,49,120,0
89,9,120,1
76,49,120,0
88,46,120,0
79,58,120,0
95,68,0,3
77,51,120,0
89,42,120,0
76,72,120,1
88,9,120,1
65,24,0,3
86,40,120,0
67,44,120,0
79,43,120,0
69,48,127,1
81,45,120,0
70,58,120,0
75,51,0,2
71,53,120,0
83,50,120,0
