note,velocity,time,anomalies
72,72,0,2
84,41,120,0
72,47,120,0
84,40,120,0
72,49,120,0
76,40,0,2
72,20,120,1
84,49,120,0
72,61,120,0
84,52,120,0
80,23,127,3
84,55,120,0
72,68,120,0
84,59,120,0
72,30,127,2
80,90,127,3
72,58,120,0
84,71,0,2
72,47,120,0
84,52,120,0
72,64,120,0
84,34,120,0
72,46,120,0
84,73,127,2
72,63,120,0
88,10,120,2
77,55,120,1
86,50,127,2
72,63,120,0
74,68,120,2
72,47,120,0
84,39,120,0
82,13,127,3
80,35,120,1
77,39,120,0
89,8,120,1
81,41,120,0
93,40,120,0
79,46,120,0
91,42,120,0
77,49,120,0
89,19,127,2
76,49,120,0
88,46,120,0
79,58,120,0
91,41,120,0
77,51,120,0
89,42,120,0
76,50,120,0
88,39,120,0
74,79,11,2
81,74,120,2
67,44,120,0
79,43,0,1
69,48,120,0
71,45,120,1
70,58,120,0
82,51,120,0
71,53,120,0
70,23,0,3
72,58,120,0
84,43,120,0
70,52,120,0
82,43,120,0
72,55,0,1
90,14,127,3
68,55,0,2
89,44,120,0
77,62,120,0
96,91,127,3
76,64,120,0
88,50,120,0
76,72,120,0
88,65,120,0
63,70,120,1
86,57,120,0
72,63,31,1
84,49,120,0
70,58,120,0
82,48,120,0
69,60,120,0
81,48,120,0
65,58,120,0
85,12,0,3
65,66,120,0
77,60,0,1
64,64,120,0
76,51,120,0
58,93,120,2
77,52,120,0
74,67,0,2
82,55,120,0
68,38,127,3
81,56,120,0
84,95,127,3
86,49,120,0
72,37,120,0
84,35,120,0
88,39,48,2
89,38,120,0
81,41,120,0
79,40,120,1
79,46,120,0
85,77,120,2
77,49,120,0
89,43,120,0
76,49,120,0
88,46,120,0
68,58,68,2
91,4,0,2
77,51,120,0
89,42,127,1
76,50,127,1
88,35,120,0
74,44,120,0
86,40,0,1
67,44,120,0
79,43,120,0
62,82,0,3
81,45,120,0
70,58,120,0
82,23,127,2
71,53,0,1
83,50,120,0
72,58,120,0
84,43,120,0
70,52,120,0
82,43,120,0
72,55,120,0
71,46,120,1
77,55,120,0
89,44,0,1
77,62,120,0
89,52,120,0
76,64,120,0
88,50,120,0
71,72,0,2
88,65,120,0
74,70,127,1
86,57,120,0
72,63,120,0
84,49,120,0
70,58,127,1
91,48,127,2
69,60,120,0
94,48,120,1
75,89,120,2
77,50,120,0
65,66,120,0
77,60,120,0
64,64,120,0
76,51,120,0
65,59,120,0
72,90,120,2
65,61,120,0
77,60,120,0
65,68,120,0
77,17,120,1
65,51,120,0
77,43,120,0
77,31,120,0
74,24,120,0
65,24,120,0
67,0,127,3
74,20,120,0
77,26,120,0
77,31,0,1
74,24,120,0
65,49,120,1
66,49,127,3
74,23,120,0
77,67,120,1
52,8,120,2
74,53,120,1
66,57,0,3
65,24,0,1
74,24,120,0
84,10,0,3
69,42,0,2
74,35,120,0
65,35,120,0
77,34,120,0
74,28,120,0
65,55,0,2
65,39,120,0
66,18,127,3
70,84,127,3
77,33,127,1
74,28,120,0
65,28,120,0
65,35,120,0
74,35,120,0
69,42,127,2
77,33,120,0
74,28,120,0
65,28,120,0
77,40,120,0
74,34,120,0
65,34,120,0
77,2,120,1
74,25,120,0
65,25,120,0
65,24,120,0
74,24,120,0
77,37,120,0
62,20,127,2
74,20,120,0
77,31,0,1
76,35,120,0
67,0,0,3
70,51,127,2
70,23,127,1
74,23,120,0
76,29,120,0
76,35,120,0
79,27,120,1
69,27,127,1
69,26,120,0
74,26,120,0
76,33,120,0
67,32,120,0
74,32,120,0
83,41,120,1
67,27,120,0
74,27,120,0
76,35,120,0
76,48,120,0
74,40,120,0
70,40,120,0
76,39,120,0
74,32,127,1
74,32,120,1
69,44,120,0
73,44,120,0
76,52,120,0
88,2,127,3
73,32,120,0
69,32,120,0
69,40,120,0
73,40,120,0
63,48,120,1
76,67,120,1
82,32,0,2
69,32,120,0
74,55,120,0
76,46,0,2
87,41,127,2
69,33,0,1
90,22,120,2
73,48,120,0
69,48,120,0
76,83,120,1
73,42,120,0
69,42,120,0
69,55,120,0
74,55,120,0
77,55,120,0
82,42,127,2
74,42,120,0
77,13,120,1
69,58,120,0
73,58,120,0
76,58,120,0
82,26,127,3
73,46,120,0
69,46,120,0
77,61,120,0
74,61,120,0
69,61,45,1
77,48,120,0
64,48,127,2
69,48,120,0
68,44,120,2
76,64,120,0
65,64,120,1
72,54,127,1
76,54,120,0
71,75,120,2
72,66,120,0
77,66,120,0
81,66,120,0
72,51,120,0
79,51,120,1
81,51,120,0
76,43,127,2
80,70,0,1
83,70,120,0
83,56,120,0
80,56,120,0
76,56,120,0
84,93,120,1
81,73,120,0
76,73,120,0
84,59,120,0
84,59,0,2
76,59,120,0
79,77,120,0
83,110,120,1
86,77,120,0
83,65,120,0
79,65,120,0
79,87,120,2
79,68,120,0
84,81,120,0
86,57,120,2
88,64,120,0
84,64,120,0
79,53,120,0
82,66,120,0
86,79,120,0
86,62,120,0
82,51,120,0
81,62,120,0
84,73,120,0
81,52,120,0
84,23,127,2
80,21,120,1
83,72,120,0
83,54,120,0
74,45,120,1
79,56,120,0
82,67,0,1
82,51,120,0
87,43,120,1
80,51,127,2
81,61,120,0
81,10,0,2
64,39,127,2
79,41,120,0
82,49,120,0
88,32,0,2
82,38,127,1
72,34,120,0
84,41,120,0
84,29,120,0
72,24,120,0
72,37,120,0
84,8,120,1
77,39,120,0
89,38,120,0
81,41,120,0
103,40,0,2
91,68,127,3
91,42,127,1
77,49,120,0
89,79,127,2
76,49,120,0
88,46,120,0
79,58,120,0
91,41,120,0
77,51,120,0
89,42,120,0
64,32,120,2
88,43,120,0
74,49,120,0
86,40,0,1
64,44,0,2
79,43,120,0
69,48,120,0
78,45,127,2
70,58,120,0
82,51,120,0
71,53,120,0
97,24,120,2
72,19,0,2
83,81,120,2
70,52,120,0
82,43,120,0
72,55,120,0
84,85,120,1
77,55,120,0
89,44,127,1
77,62,127,1
89,52,120,0
68,95,0,3
88,50,120,0
76,72,120,0
88,65,127,1
74,70,120,0
86,57,120,0
72,63,120,0
79,49,127,2
70,58,120,0
82,85,120,1
69,60,120,0
81,48,120,0
65,58,120,0
77,50,120,0
65,66,120,0
77,60,120,0
64,64,120,0
76,51,120,0
65,59,120,0
65,44,120,0
77,27,120,1
87,88,120,2
65,51,120,0
65,38,120,0
77,45,120,0
77,51,120,0
65,43,120,0
66,44,127,2
77,52,120,0
77,61,120,0
65,51,120,0
77,53,120,0
65,45,120,0
65,48,120,0
77,90,0,2
63,52,120,1
65,11,127,2
65,79,0,3
75,61,120,0
84,93,127,3
65,51,120,0
77,51,120,0
65,43,120,0
61,74,127,3
52,48,120,1
77,57,120,0
75,57,120,0
77,57,120,0
65,10,17,2
73,57,120,0
65,32,120,1
76,97,120,2
73,66,120,0
77,54,0,1
65,45,120,0
70,20,14,3
65,50,120,0
77,59,120,0
73,59,120,0
77,60,120,0
79,27,120,2
65,51,120,0
77,60,120,0
72,51,120,0
65,51,120,0
77,66,120,0
72,56,120,0
65,80,127,2
91,113,127,2
66,64,127,2
65,64,127,0
78,66,127,1
69,56,127,2
66,56,120,0
66,55,120,0
75,55,120,0
78,65,120,0
70,52,120,1
75,52,120,0
78,85,127,2
