note,velocity,time,anomalies
72,40,0,1
78,42,0,2
76,85,120,1
77,49,127,1
78,17,127,2
79,54,127,1
84,55,0,2
79,51,8,1
78,53,120,0
79,50,127,1
81,32,120,1
83,88,120,1
84,46,0,1
86,48,55,1
88,52,120,0
89,17,120,1
90,90,120,1
91,62,120,0
93,40,127,2
91,27,120,1
82,60,120,1
91,85,127,2
91,22,120,2
95,34,0,2
105,98,127,3
100,32,120,1
103,43,127,2
101,64,120,0
94,69,120,1
106,87,127,3
108,68,120,1
95,59,120,0
84,101,120,2
79,61,120,1
103,66,120,1
88,61,120,0
86,99,120,1
96,39,0,3
81,65,127,2
96,62,120,1
87,61,120,1
91,99,120,2
83,57,120,0
81,26,120,1
69,80,120,2
75,11,120,2
76,54,0,1
74,26,120,1
60,65,0,3
74,73,120,1
76,46,120,0
81,49,120,1
78,83,0,2
79,54,127,1
81,88,127,2
75,71,120,2
78,30,127,2
79,50,0,1
81,92,120,1
83,83,120,1
84,46,120,0
82,48,120,1
94,52,120,1
89,54,120,0
90,59,127,1
97,41,120,2
98,102,120,2
93,58,120,1
95,21,120,2
81,29,120,2
93,85,127,2
95,56,120,0
96,65,127,1
98,67,120,0
114,69,120,1
98,64,120,0
83,69,120,1
95,64,120,0
93,68,120,0
93,21,120,2
108,68,120,1
95,61,120,0
100,29,120,2
79,61,0,2
90,63,120,0
88,64,127,1
82,86,127,3
84,62,120,0
70,85,120,2
67,38,120,2
83,51,120,1
78,40,120,0
81,70,0,2
80,10,120,2
70,4,120,2
74,35,127,1
72,11,127,2
74,77,120,1
76,20,120,1
77,21,120,1
72,52,127,2
79,79,120,1
81,55,120,0
68,14,127,3
68,92,120,2
79,50,120,0
83,53,120,1
83,25,120,1
84,46,0,1
90,10,127,3
88,52,127,1
89,56,0,1
104,90,127,3
101,90,120,2
103,63,120,1
91,58,120,0
99,29,127,3
91,57,127,1
93,82,120,1
95,56,120,0
96,65,120,0
100,67,120,0
103,69,120,0
101,64,120,0
105,69,35,2
86,86,120,2
96,100,127,2
95,59,0,1
93,68,127,1
91,61,120,0
89,45,127,2
102,61,127,2
81,63,127,2
75,65,120,1
78,88,0,3
84,62,120,1
86,34,120,1
84,98,127,2
83,57,120,0
81,51,120,0
78,53,0,2
79,25,120,2
70,83,120,2
74,26,0,2
72,40,120,0
74,81,36,2
64,46,120,1
