note,velocity,time,anomalies
71,49,127,0
74,37,60,0
62,31,60,0
74,38,60,0
71,44,127,0
74,37,60,0
69,56,127,3
74,37,60,0
69,44,127,0
74,36,60,0
62,30,60,0
87,36,127,2
67,44,127,0
74,37,60,0
62,33,60,0
74,37,60,0
66,48,127,0
74,37,60,0
62,3,0,2
74,37,60,0
67,20,127,1
74,37,60,0
62,0,0,2
74,37,60,0
72,51,127,0
74,38,60,0
62,34,60,0
74,38,60,0
71,47,127,0
74,36,60,0
62,31,60,0
74,36,60,0
78,69,127,2
74,37,60,0
62,33,60,0
72,4,127,3
69,53,127,0
74,39,60,0
62,36,60,0
74,41,60,0
67,55,17,1
69,42,0,2
62,38,60,0
74,45,60,0
69,57,127,0
74,47,60,0
67,17,60,2
74,50,60,0
71,66,120,0
74,52,60,0
62,58,120,0
74,49,127,1
63,57,120,0
65,47,0,2
64,57,120,0
74,47,60,0
65,56,120,0
74,47,60,0
66,55,120,0
74,47,60,0
67,53,120,0
74,45,60,0
69,53,120,0
74,18,60,1
71,53,127,0
74,39,60,0
76,46,60,0
74,38,60,0
71,55,127,0
74,40,60,0
76,48,60,0
74,39,60,0
72,60,0,2
74,46,60,0
76,53,60,0
74,47,60,0
71,63,127,0
79,50,60,0
81,59,60,0
79,52,60,0
74,69,127,0
79,52,0,1
81,58,60,0
79,51,60,0
72,62,127,0
79,48,60,0
81,52,60,0
67,46,60,1
71,61,127,0
79,49,60,0
82,73,60,2
79,48,0,1
70,60,127,0
79,49,60,0
78,51,60,0
76,49,60,0
71,51,127,0
74,40,60,0
76,44,60,0
74,38,60,0
67,47,127,0
74,37,60,0
76,41,60,0
74,34,60,0
61,50,120,1
74,44,60,0
69,48,120,0
74,41,60,0
72,51,120,0
82,40,0,2
71,50,120,0
74,39,60,0
69,49,127,0
74,39,60,0
73,42,60,0
74,37,60,0
76,42,0,1
69,36,0,2
73,41,60,0
60,61,60,2
67,52,120,0
79,52,120,0
66,36,60,0
67,39,60,0
69,42,60,0
67,38,0,1
66,41,60,0
67,37,60,0
71,44,127,0
74,37,60,0
62,31,60,0
74,38,60,0
71,44,127,0
74,37,60,0
62,31,60,0
74,37,60,0
69,44,127,0
74,36,60,0
62,30,60,0
74,36,60,0
64,20,120,3
74,37,60,0
62,33,60,0
74,61,60,1
66,48,127,0
74,37,60,0
62,33,60,0
74,37,60,0
67,47,127,0
74,71,0,2
62,70,60,1
74,37,60,0
72,51,127,0
74,38,60,0
62,34,60,0
74,38,60,0
71,47,127,0
74,36,60,0
62,31,60,0
74,36,60,0
71,49,127,0
74,37,60,0
62,13,60,1
74,38,60,0
69,53,127,1
74,17,127,2
62,36,60,0
74,41,60,0
67,55,127,0
74,42,60,0
62,38,60,0
74,45,60,0
69,57,127,0
74,47,60,0
62,42,60,0
74,50,60,0
71,66,120,0
74,52,60,0
62,58,120,0
74,49,60,0
63,57,120,0
74,47,60,0
64,57,120,0
74,47,60,0
65,56,120,0
74,47,60,0
66,55,120,0
74,22,127,2
57,53,120,1
74,45,60,0
69,53,120,0
71,42,0,2
71,53,127,0
74,39,60,0
76,70,60,1
74,38,60,0
71,55,127,0
87,18,127,3
76,48,60,0
74,39,60,0
69,60,127,0
74,46,127,1
76,53,60,0
74,47,60,0
71,63,127,0
79,50,60,0
81,59,60,0
79,52,60,0
74,69,127,0
79,52,60,0
81,58,60,0
79,51,60,0
72,62,127,0
79,48,60,0
81,52,60,0
79,46,127,1
71,61,127,0
79,49,60,0
81,79,60,1
79,17,60,1
70,60,127,0
68,49,60,1
78,51,60,0
76,49,60,0
77,51,127,1
84,40,60,1
76,44,60,0
74,38,60,0
67,47,127,0
74,37,60,0
76,64,60,1
74,34,60,0
66,50,120,0
74,44,60,0
78,85,120,2
74,41,60,0
72,51,120,0
74,40,60,0
71,50,120,0
74,39,60,0
69,49,127,0
74,39,60,0
73,42,60,0
73,0,0,3
76,42,127,1
74,36,60,0
73,41,60,0
74,36,60,0
79,52,120,0
67,52,120,0
66,45,60,0
67,49,60,0
69,53,60,0
67,49,60,0
66,56,60,0
67,50,60,0
79,75,127,0
67,51,60,0
72,57,60,0
67,51,60,0
76,68,127,0
67,51,60,0
72,55,60,0
67,50,60,0
79,73,127,0
67,51,60,0
72,57,60,0
67,52,60,0
76,67,127,0
67,50,60,0
72,53,60,0
67,50,60,0
76,70,127,0
67,88,60,1
66,56,60,0
67,51,60,0
74,68,127,0
62,45,60,0
73,17,60,2
62,45,60,0
72,67,127,0
62,40,60,0
66,48,60,0
55,3,60,2
71,66,127,0
62,39,60,0
67,45,60,0
62,39,60,0
71,64,127,0
62,40,60,0
65,45,60,0
62,40,60,0
72,66,127,0
62,41,60,0
66,45,60,0
62,39,60,0
