note,velocity,time,anomalies
76,33,80,1
82,46,80,0
85,40,80,0
64,56,120,1
74,51,0,1
81,43,80,0
86,40,80,0
74,53,120,0
74,51,80,0
80,43,127,1
83,40,80,0
64,50,120,1
72,49,80,0
73,40,127,2
78,38,80,1
72,51,120,0
72,51,80,0
76,40,80,1
73,37,127,2
72,49,120,0
75,24,127,1
79,58,127,1
84,91,0,2
87,64,127,0
62,15,80,1
66,46,80,0
62,40,80,1
68,50,120,1
67,40,127,0
62,40,127,0
58,40,127,0
86,54,80,0
94,46,80,0
98,40,80,0
86,50,127,0
74,54,80,0
82,46,80,0
100,5,127,3
74,59,127,0
72,30,127,2
82,27,0,3
60,49,60,1
70,58,127,0
69,49,120,0
69,42,60,0
82,26,127,2
70,46,127,0
79,54,0,1
73,46,80,1
89,40,80,1
80,15,127,2
67,54,80,0
74,20,80,1
79,40,80,0
67,59,127,0
63,50,127,0
62,58,127,0
70,54,127,0
69,49,117,0
69,42,60,0
70,42,60,0
60,50,127,2
81,19,127,3
86,26,80,1
94,46,80,0
98,40,80,0
86,50,36,1
74,54,80,0
75,19,80,2
73,40,80,1
74,59,127,0
72,50,120,0
70,85,0,2
72,49,60,0
70,58,127,0
69,74,127,2
73,42,60,1
72,50,127,0
70,46,127,0
79,54,80,0
88,75,80,2
104,6,0,3
79,50,127,0
67,54,80,0
74,46,80,0
71,72,127,3
67,59,127,0
51,89,127,2
62,58,127,0
70,54,127,0
69,49,117,0
82,69,60,2
70,42,60,0
69,50,127,0
67,46,127,0
77,54,80,0
82,46,80,0
89,40,80,0
77,50,127,0
78,54,80,1
74,46,80,0
77,40,80,0
65,59,127,0
63,50,120,0
70,21,127,3
62,48,0,2
63,10,80,1
62,55,127,0
64,50,120,1
54,45,127,2
63,50,127,0
62,46,127,0
74,54,80,0
79,46,80,0
86,40,80,0
74,50,127,0
62,54,80,0
67,46,80,0
74,79,80,1
62,59,127,0
70,50,127,2
60,58,80,0
62,48,80,0
60,48,80,0
58,55,127,0
57,80,127,2
59,45,60,1
60,50,127,0
58,46,127,0
67,54,80,0
75,46,80,0
79,40,80,0
67,57,127,0
68,59,80,0
75,50,80,0
80,44,80,0
68,50,127,0
57,64,80,1
72,55,80,0
89,48,80,1
66,68,127,0
