note,velocity,time,anomalies
63,32,120,0
67,38,120,0
63,32,120,0
56,12,120,2
67,43,120,0
63,36,120,0
67,44,120,0
63,36,120,0
63,41,120,0
67,87,27,2
63,42,120,0
67,49,120,0
63,44,120,0
67,53,120,0
63,4,120,1
67,53,120,0
63,44,120,0
65,53,120,1
63,43,127,1
67,52,120,0
63,39,120,0
67,46,120,0
63,38,120,0
67,46,120,0
67,47,120,0
63,40,120,0
67,46,120,0
63,39,120,0
67,41,120,0
63,34,120,0
67,41,120,0
63,34,120,0
70,44,120,0
65,37,120,0
70,45,120,0
65,38,120,0
75,51,120,1
65,44,120,0
68,53,120,0
65,45,120,0
65,69,51,2
68,59,120,0
65,49,120,0
68,59,120,0
63,42,120,0
67,51,120,0
63,78,120,1
67,50,120,0
63,44,120,0
67,28,0,2
63,43,120,0
67,52,120,0
72,44,120,0
66,37,120,0
63,37,120,0
72,44,120,0
66,36,120,0
63,36,120,0
65,40,120,0
62,33,120,0
65,39,120,0
55,33,0,2
70,37,120,0
68,31,120,0
62,31,120,0
70,68,120,1
68,31,120,0
57,31,0,2
75,43,120,0
67,36,120,0
63,36,120,0
75,43,120,0
67,13,26,2
63,36,120,0
63,42,120,0
72,10,0,3
75,50,120,0
63,42,120,0
67,42,120,0
75,51,120,0
63,48,120,0
67,48,120,0
80,57,127,2
63,74,127,2
67,49,120,0
75,58,120,0
63,52,120,0
68,52,120,0
75,62,120,0
75,63,120,0
68,53,120,0
66,88,127,3
63,59,120,0
70,59,120,0
75,70,120,0
63,59,120,0
70,59,120,0
75,70,120,0
75,64,120,0
71,55,120,0
63,55,120,0
75,64,120,0
71,54,120,0
63,54,120,0
59,22,127,3
72,58,120,0
75,69,120,0
63,57,120,0
72,97,127,2
75,68,120,0
65,64,120,0
72,64,120,0
75,77,120,0
77,77,120,0
65,64,120,0
72,64,120,0
75,77,120,0
77,48,120,1
79,78,120,0
75,78,120,0
70,66,120,0
67,66,120,0
87,78,120,1
75,78,120,0
70,66,120,0
67,66,120,0
75,50,120,0
70,42,120,0
67,42,120,0
75,49,120,0
72,76,127,3
58,41,120,1
70,49,120,0
63,40,120,0
70,47,120,0
63,39,120,0
62,32,120,0
68,32,120,0
76,17,120,2
72,37,0,2
68,31,120,0
62,31,120,0
70,35,120,0
68,29,120,0
62,29,120,0
70,67,127,2
68,29,120,0
62,29,120,0
62,32,120,0
68,32,120,0
71,38,120,0
70,35,120,0
68,29,120,0
71,63,120,2
70,35,120,0
68,29,120,0
62,29,120,0
67,39,127,2
67,33,127,0
55,58,127,3
63,32,120,0
67,38,120,0
63,32,120,0
67,38,120,0
67,43,120,0
59,36,127,2
67,44,127,1
63,36,120,0
63,41,120,0
67,49,120,0
63,42,120,0
67,49,120,0
63,44,120,0
67,53,120,0
63,44,120,0
67,53,120,0
63,44,120,0
68,53,127,2
63,17,120,1
67,52,120,0
63,39,120,0
67,46,120,0
63,38,120,0
67,46,120,0
67,47,120,0
63,40,120,0
67,46,120,0
63,16,127,2
67,41,120,0
63,34,120,0
67,11,127,2
63,34,120,0
70,44,120,0
65,37,120,0
70,45,120,0
65,38,120,0
68,22,120,1
65,44,120,0
68,53,120,0
65,45,120,0
65,49,120,0
68,59,120,0
65,49,120,0
80,86,0,3
63,18,120,1
77,89,9,3
63,42,120,0
67,50,120,0
63,12,127,2
67,53,120,0
63,43,120,0
67,52,120,0
72,44,120,0
66,37,120,0
63,37,120,0
72,44,120,0
71,3,120,2
63,36,120,0
65,40,120,0
62,33,120,0
65,39,120,0
62,33,120,0
70,37,120,0
68,31,127,1
62,31,120,0
70,37,120,0
68,31,120,0
62,31,120,0
75,43,127,1
67,36,120,0
63,36,120,0
75,43,120,0
67,36,120,0
63,36,120,0
63,42,120,0
67,42,120,0
75,50,120,0
63,42,120,0
67,42,120,0
75,51,120,0
52,26,120,2
