note,velocity,time,anomalies
70,80,127,0
70,74,120,0
70,70,120,0
70,79,127,0
70,75,120,0
70,69,127,1
70,78,127,0
70,72,120,0
70,67,120,0
70,74,127,0
70,69,120,0
70,66,120,0
58,73,127,2
70,27,120,1
70,59,120,0
70,72,127,1
74,60,127,0
75,49,127,0
78,78,127,2
77,57,127,0
70,67,127,0
75,64,127,0
77,48,127,0
75,56,127,0
87,83,127,2
70,72,127,0
77,67,127,0
79,52,127,0
77,75,127,0
80,75,127,0
82,82,127,0
79,82,127,0
73,69,127,0
82,68,127,0
79,68,127,0
73,57,127,0
82,58,127,0
79,58,127,0
73,49,127,0
82,63,127,0
73,63,127,1
79,63,127,0
84,52,127,0
82,48,127,0
72,54,127,0
80,54,127,0
80,67,127,0
71,67,127,0
82,47,127,0
78,67,0,3
70,54,127,0
79,16,127,1
79,66,127,0
70,66,127,1
89,81,127,2
79,53,127,0
68,59,127,0
77,32,127,2
72,37,127,3
68,64,127,0
79,60,127,0
77,49,127,0
89,53,127,1
67,53,127,0
70,65,127,0
74,49,127,0
75,60,127,0
86,37,127,2
77,63,127,0
70,42,127,1
75,47,127,1
91,88,127,3
77,45,127,3
79,73,127,0
70,76,127,0
77,72,127,0
79,62,127,0
77,75,127,0
80,75,127,0
82,89,127,0
77,124,127,3
81,109,127,2
79,74,127,0
82,74,127,0
73,80,127,0
82,73,127,0
79,113,127,2
78,94,127,2
82,72,127,1
84,64,127,0
82,58,127,0
72,54,127,0
68,92,127,2
71,65,127,0
80,69,127,0
82,65,127,0
80,63,127,0
70,75,127,1
79,51,127,0
70,63,127,0
79,46,127,0
80,58,127,0
78,45,127,2
68,50,127,0
77,50,127,0
67,59,127,0
75,59,127,0
70,57,120,0
70,50,120,0
70,56,120,0
70,58,120,0
70,78,127,0
70,65,127,1
75,57,127,0
74,66,127,0
91,66,127,2
70,69,127,0
75,66,127,0
77,56,127,0
75,73,127,0
79,73,127,0
70,77,127,0
77,75,127,0
79,58,127,0
77,75,127,0
80,75,127,0
82,85,127,0
93,106,127,3
77,72,127,2
82,41,77,2
79,69,127,0
73,25,127,1
82,47,127,0
79,47,127,0
73,39,127,0
82,65,127,0
73,65,127,0
79,65,127,0
84,53,127,0
82,49,127,0
72,51,127,0
80,51,127,0
79,68,127,2
71,68,127,0
87,73,127,2
80,46,127,0
70,53,127,0
79,53,127,0
79,40,127,2
70,68,127,1
80,51,127,0
79,49,127,0
71,61,5,2
77,61,127,0
77,74,127,0
68,74,127,0
79,69,127,0
70,81,127,3
75,40,127,1
67,68,127,0
81,96,101,3
74,68,127,0
75,60,127,0
70,63,127,2
77,63,127,0
80,34,127,2
75,65,127,0
77,60,127,0
61,91,127,3
79,33,0,2
70,76,127,0
77,77,127,0
79,70,127,0
77,77,127,0
84,77,0,2
82,84,127,0
79,84,127,0
73,71,127,0
79,72,127,0
82,72,127,0
64,80,127,1
83,65,127,1
79,65,127,0
73,67,127,0
82,58,127,0
84,48,127,0
74,60,127,2
72,54,127,0
80,54,127,0
71,70,127,0
80,69,127,0
82,45,127,0
76,65,127,2
70,55,127,0
79,55,127,0
70,65,127,0
83,18,127,2
80,44,127,0
79,62,127,0
68,57,127,0
77,57,127,0
67,48,127,0
75,48,127,0
75,53,120,0
75,64,120,0
79,67,127,2
75,69,120,0
76,38,27,3
75,64,120,0
75,75,120,0
75,74,120,0
75,69,120,0
75,69,120,0
77,65,127,0
75,58,127,0
67,56,127,1
68,49,127,0
63,49,127,0
69,51,127,2
65,58,0,1
65,51,120,0
77,77,127,3
65,51,120,0
66,54,0,2
65,18,120,1
63,61,127,0
68,53,127,0
72,48,127,0
75,64,0,1
80,61,127,0
76,52,127,0
77,52,120,0
77,44,120,0
69,48,0,3
77,60,120,0
77,53,120,0
77,110,120,1
77,77,127,0
79,55,127,0
77,55,127,0
75,65,127,0
80,57,127,0
84,51,127,1
89,66,127,0
87,51,127,0
85,45,127,0
79,50,127,0
82,58,127,0
93,43,127,1
75,65,127,2
72,38,127,0
75,48,120,0
75,24,127,2
75,65,120,0
75,69,120,0
69,101,0,3
75,71,120,0
77,61,127,0
75,59,127,0
72,52,127,0
68,21,127,1
63,47,127,0
64,90,127,1
65,57,120,0
72,26,120,2
65,25,127,2
65,55,120,0
65,61,120,0
65,63,120,0
63,58,127,0
68,54,127,0
72,50,127,0
75,43,127,0
80,52,127,0
76,47,127,0
77,58,120,0
77,50,120,0
77,61,120,0
77,57,120,0
77,65,120,0
77,65,120,0
70,75,0,2
79,55,127,0
77,55,127,0
75,66,127,0
80,64,127,0
85,60,127,1
89,67,127,0
87,52,127,0
85,48,127,0
79,15,127,1
86,65,127,2
72,55,80,0
74,49,80,0
72,65,80,0
74,53,80,0
72,67,80,0
71,56,80,0
70,87,127,0
74,62,127,0
75,62,127,0
74,67,127,0
77,67,127,0
70,85,0,1
75,73,127,0
77,69,127,0
75,47,127,2
65,76,127,1
70,87,127,0
77,73,127,0
79,68,127,0
77,83,127,0
80,83,127,0
82,101,127,2
79,113,127,2
73,65,127,0
71,112,127,2
79,75,127,0
73,63,127,0
82,69,127,0
79,108,0,2
65,89,127,2
82,70,127,0
63,94,127,2
79,70,127,0
84,59,127,0
82,50,127,1
69,53,127,1
80,53,127,0
80,69,127,0
78,104,127,2
82,47,127,0
80,46,127,0
70,52,127,0
66,87,127,2
72,28,127,3
70,66,127,0
80,53,127,0
79,21,127,1
68,56,127,0
77,56,127,0
77,64,127,0
68,64,127,0
79,52,127,0
77,48,127,0
75,53,127,0
67,53,127,0
70,44,127,0
74,46,127,1
75,57,127,0
76,44,127,0
60,56,127,2
77,56,127,0
70,65,127,0
74,63,127,0
87,19,127,2
77,51,127,0
84,35,127,2
87,64,127,1
70,68,127,0
76,73,127,0
77,70,127,0
79,36,0,2
77,108,0,2
80,80,127,1
82,74,127,0
79,99,127,2
73,62,127,0
79,44,127,0
83,15,127,2
73,62,127,0
82,52,127,0
79,52,127,0
73,48,127,0
85,77,127,3
98,54,127,2
82,51,127,0
72,56,127,0
80,28,127,2
76,86,127,3
80,51,127,0
82,54,127,0
80,85,127,2
70,50,127,0
79,50,127,0
70,63,127,0
79,46,127,0
80,59,127,0
79,54,127,1
68,50,127,0
77,50,127,0
67,45,127,0
75,45,127,0
75,59,120,0
69,52,127,2
75,61,120,0
75,57,120,0
75,84,120,1
75,67,120,0
75,70,120,0
75,64,120,0
75,71,120,0
75,67,120,0
77,61,127,0
66,57,0,2
72,50,127,0
68,56,127,0
63,51,127,0
64,55,127,0
65,68,120,0
65,62,120,0
65,62,120,0
65,53,0,1
65,55,120,0
65,62,120,0
63,68,127,0
68,55,127,0
72,50,127,0
75,58,127,0
88,28,127,2
84,56,127,1
77,41,120,0
77,63,120,0
77,61,120,0
77,63,120,0
81,18,120,2
77,54,120,0
77,58,127,0
79,52,127,0
77,52,127,0
75,55,127,0
80,68,127,0
84,49,127,0
89,55,127,0
87,55,127,0
78,24,127,2
79,55,127,0
82,60,127,0
80,58,127,0
75,50,127,0
72,38,127,0
69,48,0,2
86,88,127,3
75,66,120,0
75,73,120,0
75,69,120,0
75,64,120,0
77,53,127,0
75,61,127,0
77,50,0,2
68,40,127,0
63,48,127,0
64,43,127,0
65,43,120,0
65,50,120,0
64,25,0,3
65,56,120,0
65,46,120,0
65,43,120,0
63,48,127,0
68,48,127,0
72,45,127,0
75,61,127,0
73,52,127,2
76,82,82,2
72,50,127,2
77,74,120,1
77,60,120,0
77,65,120,0
77,66,120,0
77,24,120,1
77,70,127,0
79,55,127,0
77,48,127,0
75,55,127,0
80,51,127,0
84,46,127,0
89,79,127,1
87,42,127,0
85,39,127,0
79,47,127,0
89,21,127,2
68,55,127,0
75,62,127,0
78,62,127,0
71,48,127,0
64,48,127,1
72,48,127,0
75,48,127,0
68,50,120,0
68,21,127,2
68,56,127,0
78,26,127,2
82,60,127,1
76,48,127,0
79,48,127,0
77,49,127,1
80,49,127,0
68,49,120,0
68,42,120,0
68,55,127,0
75,58,127,0
78,28,127,1
71,44,127,0
74,44,127,0
72,48,127,1
75,48,127,0
68,78,127,2
68,43,0,1
66,79,127,2
70,53,127,0
78,85,127,2
68,45,0,1
77,45,127,0
66,49,127,0
75,49,127,0
65,47,127,0
73,47,127,0
68,40,120,0
68,36,120,0
68,40,127,0
75,47,127,0
78,47,127,0
71,42,127,0
62,42,127,2
72,42,127,0
75,42,127,0
68,44,120,0
68,39,120,0
57,53,127,2
78,64,127,0
82,95,127,2
76,52,127,0
79,52,127,0
77,52,127,0
80,52,127,0
68,45,120,0
68,36,120,0
68,55,127,0
80,63,127,0
57,97,127,2
80,49,127,0
78,56,127,0
75,56,127,0
68,53,127,0
78,46,127,0
73,50,127,0
77,50,127,0
66,40,127,0
77,40,127,0
66,38,127,0
65,38,127,1
65,65,127,1
73,36,127,0
68,43,120,0
68,35,120,0
68,43,127,0
63,24,127,2
78,48,127,0
71,45,127,0
74,45,127,0
72,45,127,0
75,45,127,0
68,47,120,0
68,42,120,0
68,56,127,1
78,60,127,0
82,60,127,0
76,48,127,0
79,48,127,0
64,49,127,1
80,49,127,0
78,20,0,3
68,76,29,2
61,55,127,1
75,58,127,0
78,58,127,0
71,44,127,0
74,82,127,1
72,48,127,0
75,48,127,0
68,44,120,0
68,39,120,0
68,52,127,0
77,76,127,2
78,53,127,0
68,46,127,0
77,46,127,1
66,49,127,0
