note,velocity,time,anomalies
66,49,0,2
65,53,127,1
64,0,127,2
63,43,80,1
56,43,0,2
62,22,0,2
67,59,127,0
65,61,80,1
60,85,80,2
69,45,80,0
60,59,80,0
67,67,127,0
62,46,80,1
49,61,0,2
69,104,127,2
64,70,80,0
71,75,127,0
79,89,80,2
67,34,127,3
72,78,80,0
64,111,127,1
69,75,80,0
76,110,40,2
72,58,80,0
69,36,80,1
62,54,80,1
74,117,0,2
62,54,127,2
69,82,80,0
87,125,127,2
72,30,0,2
69,50,80,1
58,59,127,3
74,84,0,1
64,121,97,2
67,106,0,2
63,122,127,2
69,55,127,2
69,74,80,1
62,67,80,0
80,108,0,3
62,56,0,1
74,59,127,2
65,41,80,0
62,78,0,2
66,47,0,2
60,53,80,0
59,60,0,2
64,36,80,0
65,51,127,2
69,45,80,0
62,58,0,1
58,86,127,2
56,76,127,3
62,58,80,0
69,51,80,0
60,101,127,2
67,72,127,1
71,49,0,2
62,36,127,3
69,62,80,0
64,70,80,0
71,75,127,0
67,52,80,0
64,70,80,0
72,36,80,1
49,69,0,2
65,75,80,0
73,80,127,0
57,17,80,2
65,75,80,0
62,58,80,0
74,73,80,0
63,110,127,2
67,78,80,0
85,82,127,2
84,57,14,2
67,78,80,0
76,78,127,1
56,61,127,2
67,75,66,1
69,80,127,1
79,86,127,1
67,60,80,1
69,75,0,1
65,63,80,0
77,81,80,0
59,91,127,2
72,82,127,2
75,91,127,0
72,61,80,0
67,79,80,0
64,66,80,0
76,86,80,0
64,92,127,0
69,115,0,2
69,96,127,1
59,103,80,2
71,82,0,2
65,85,80,0
77,85,80,0
66,62,127,1
71,81,120,0
78,89,127,1
63,70,0,2
62,84,0,2
67,62,80,0
79,81,80,0
68,75,127,1
75,119,0,3
80,91,127,0
76,72,80,0
74,53,80,2
69,95,80,1
74,85,80,1
70,100,127,0
74,82,120,0
79,100,127,1
69,24,0,3
61,127,80,2
75,28,80,2
83,127,127,2
74,103,127,0
77,97,127,2
86,108,127,0
79,82,80,0
76,73,80,0
72,54,80,0
84,75,80,0
71,66,127,0
72,38,27,2
83,107,127,1
75,15,80,1
72,102,16,2
69,50,80,0
81,62,80,0
69,82,127,1
62,37,120,2
81,63,127,0
76,41,0,1
70,94,80,2
80,47,80,1
73,60,80,1
54,56,127,1
67,55,80,0
73,57,127,1
73,63,127,3
76,49,127,2
62,49,127,1
65,49,80,1
60,16,120,1
67,94,0,2
64,35,80,0
60,48,80,0
69,48,80,0
64,41,127,0
67,34,120,1
76,61,127,0
69,62,80,2
57,48,80,1
62,41,80,0
74,48,80,0
55,79,0,3
67,56,127,0
64,35,80,0
60,17,80,1
56,76,80,2
64,41,127,0
65,85,127,3
76,61,127,0
71,38,127,1
67,17,80,1
62,41,14,1
74,48,80,0
60,72,127,2
65,51,80,0
72,56,127,0
65,0,127,3
60,45,80,1
64,13,127,2
67,76,127,2
51,67,127,2
65,94,80,1
72,64,127,1
69,39,80,0
65,45,80,0
64,41,80,0
67,41,80,0
48,40,86,2
65,26,80,1
86,52,127,1
60,55,80,2
77,41,0,2
60,70,80,2
70,4,127,3
60,2,0,2
65,44,80,0
72,46,20,1
60,29,80,1
65,60,0,2
64,55,0,2
67,33,80,0
60,71,127,1
63,11,127,3
