note,velocity,time,anomalies
64,60,127,0
69,27,127,3
64,57,120,0
75,94,127,3
65,94,127,1
74,100,127,3
60,58,127,0
64,60,127,0
64,74,127,1
55,7,127,1
60,28,127,0
64,38,127,0
55,28,127,0
60,28,127,0
53,5,0,3
64,36,120,0
57,66,0,3
60,28,127,0
55,28,127,0
64,38,127,1
65,36,127,0
57,26,127,0
55,26,127,1
60,26,127,0
67,60,127,2
64,36,127,0
57,25,127,0
60,69,127,2
60,22,127,0
64,31,127,0
55,22,127,0
62,19,127,0
56,19,127,0
101,126,0,2
96,71,80,0
100,91,80,0
93,71,80,0
99,84,80,0
108,50,80,2
90,82,80,1
93,69,80,0
97,79,80,0
93,69,80,0
96,79,80,0
88,69,80,0
85,101,80,2
97,46,80,2
94,78,80,0
84,71,80,0
93,78,80,0
88,71,80,0
92,78,80,0
84,69,80,0
91,110,80,1
84,69,80,0
90,71,80,0
81,39,127,2
89,78,80,0
84,71,80,0
88,78,80,0
81,71,80,0
87,101,0,2
84,71,80,0
90,107,127,3
81,69,80,0
80,71,0,2
81,69,80,0
84,71,80,0
76,69,80,0
83,71,80,0
70,33,80,2
82,71,80,0
72,69,80,0
73,71,80,1
76,69,80,0
93,108,80,2
72,69,80,0
79,71,80,0
69,96,0,3
78,71,80,0
69,48,0,2
77,56,80,0
72,51,80,0
76,56,80,0
69,56,80,0
87,96,80,2
72,51,80,0
74,56,80,0
69,51,80,0
73,56,80,0
69,51,80,0
81,18,0,3
64,51,80,0
71,56,0,1
64,50,80,0
70,55,127,1
60,49,80,0
69,53,80,0
64,47,80,0
68,50,80,0
60,46,80,0
67,49,80,0
60,46,80,0
66,47,80,0
57,45,80,0
65,47,80,0
60,69,80,1
64,47,80,0
57,72,80,1
63,46,80,0
60,44,80,0
62,45,127,1
57,42,80,0
61,45,80,0
62,40,127,2
46,44,80,1
52,42,80,0
59,44,80,0
52,42,80,0
58,47,80,0
48,45,80,0
57,49,80,0
52,47,80,0
56,14,80,1
48,49,80,0
57,56,80,0
52,53,127,1
60,33,80,1
53,59,80,0
64,59,80,0
59,59,80,0
61,59,127,2
65,59,80,0
76,59,80,0
71,59,80,0
74,62,80,0
77,64,80,0
88,67,80,0
83,99,80,1
86,69,80,0
88,70,127,2
86,69,80,0
81,42,127,2
89,67,0,2
77,66,80,0
74,64,80,0
69,62,80,0
72,58,80,0
65,58,80,0
62,58,80,0
57,58,80,0
60,86,80,1
53,58,80,0
64,59,80,0
59,59,80,0
75,37,127,3
68,59,80,1
73,59,80,1
69,91,0,3
61,31,0,3
72,64,0,2
88,66,80,0
92,90,80,2
86,69,80,0
76,69,80,0
86,67,80,0
81,100,80,1
84,64,80,0
75,62,80,1
74,61,80,0
81,60,127,2
72,59,80,0
64,59,80,0
62,59,80,0
57,59,80,0
49,27,80,2
