note,velocity,time,anomalies
64,40,127,1
64,60,127,0
64,83,120,1
64,91,127,2
65,58,127,0
50,38,56,3
60,58,127,0
67,37,127,3
64,38,127,0
55,28,127,0
60,0,127,1
64,0,0,2
55,28,0,1
60,28,127,0
55,26,120,0
64,36,120,0
60,0,127,2
60,28,127,0
55,28,127,0
54,38,127,2
77,36,127,2
57,4,127,2
60,26,127,0
60,0,127,1
63,26,127,2
64,36,127,0
57,25,127,0
60,0,127,2
59,45,127,2
64,0,127,2
67,52,127,2
62,19,127,0
56,42,127,2
101,96,80,0
96,91,19,2
100,91,80,0
93,71,80,0
86,84,0,2
98,71,80,1
96,82,127,2
101,34,80,2
98,102,0,3
93,69,80,0
96,79,80,0
88,69,80,0
95,78,0,1
88,71,80,0
99,112,80,2
84,71,80,0
94,78,80,1
88,71,80,0
92,78,80,0
84,69,80,0
91,71,80,0
84,69,80,0
90,71,80,0
81,69,0,1
96,78,127,2
84,71,80,0
88,56,80,1
76,47,80,2
87,107,0,2
84,71,80,0
86,78,80,0
87,69,0,2
85,31,127,2
81,69,0,1
84,71,0,1
76,103,80,1
86,45,0,3
75,105,80,2
82,71,80,0
75,34,0,3
81,71,80,0
76,69,80,0
89,71,80,1
72,69,80,0
79,71,80,0
72,107,80,1
78,71,80,0
69,94,0,2
77,19,80,1
72,51,80,0
65,81,80,2
73,94,80,2
75,56,80,0
70,14,80,2
74,56,80,0
77,91,0,3
61,94,0,3
69,51,0,1
84,77,80,2
64,20,80,1
71,56,80,0
64,50,80,0
61,55,80,1
73,49,80,1
75,91,80,2
64,47,80,0
77,16,80,2
52,6,80,2
67,49,80,0
60,46,80,0
52,47,80,1
65,8,11,3
65,47,80,0
65,75,0,3
64,47,80,0
53,11,0,3
61,46,0,2
60,44,0,1
76,14,127,3
57,42,80,0
75,16,80,2
70,75,80,2
60,44,80,0
44,71,0,3
55,76,0,3
39,42,80,1
58,47,80,0
41,45,0,2
57,49,0,1
52,47,80,0
59,83,1,3
35,49,80,1
57,56,80,0
42,53,80,1
60,59,80,0
63,28,80,2
72,33,127,3
55,83,80,2
54,59,0,2
65,59,80,0
86,39,0,3
71,59,80,0
74,62,0,1
77,64,0,1
88,106,80,1
83,68,80,0
86,69,80,0
79,31,80,2
86,32,11,2
81,94,127,2
81,88,127,3
66,66,80,1
60,64,80,1
69,92,11,2
72,58,80,0
62,80,0,3
69,19,127,3
69,96,80,2
60,19,80,1
53,35,127,2
64,59,127,1
59,59,80,0
62,35,0,2
65,33,80,1
76,59,80,0
71,80,80,1
74,64,80,0
77,64,80,0
82,34,80,2
83,97,80,1
86,69,80,0
84,35,80,2
86,45,0,2
81,66,127,1
78,44,80,2
82,62,80,1
74,61,80,0
73,60,127,2
63,79,0,3
54,59,80,1
62,59,80,0
59,86,0,3
60,20,0,2
59,34,0,2
69,59,80,0
77,84,80,2
68,80,80,1
58,18,80,2
81,58,80,0
76,58,80,0
91,18,80,2
74,57,0,2
93,58,80,0
88,59,80,0
92,59,80,0
83,82,80,1
92,60,80,0
87,60,80,0
90,19,0,2
83,59,0,1
80,59,127,1
75,58,80,0
67,80,127,3
71,55,80,0
68,55,80,0
63,55,80,0
66,55,80,0
51,55,80,1
70,77,80,2
50,55,80,1
68,31,80,1
61,55,80,1
81,55,80,0
76,55,80,0
80,55,80,0
86,59,0,2
87,59,80,1
85,87,80,2
92,59,80,0
93,59,127,2
100,41,127,1
101,65,7,2
106,43,0,3
100,110,0,2
93,69,80,0
99,84,0,1
96,69,127,1
98,82,80,0
93,30,0,2
97,79,80,0
93,27,80,1
110,45,80,2
88,67,80,0
95,77,80,0
88,69,80,0
93,100,80,2
88,95,127,3
93,94,127,2
89,94,80,2
92,107,127,2
89,106,127,3
100,69,127,2
98,107,0,3
91,69,127,2
78,28,80,2
89,73,80,0
82,106,127,3
88,97,80,1
81,69,80,0
87,73,80,0
84,69,80,0
83,73,0,2
81,67,80,0
85,93,80,1
71,67,80,1
84,95,80,1
84,93,0,3
83,69,80,0
76,40,0,2
82,99,80,1
72,67,80,0
91,69,127,2
76,67,80,0
80,69,80,0
72,96,127,2
79,69,80,0
78,67,80,1
85,89,127,3
69,67,80,0
77,56,80,0
70,56,80,0
76,56,80,0
67,51,127,1
75,56,80,0
70,79,0,2
71,85,0,3
61,82,80,2
73,82,80,1
70,25,127,2
72,30,80,1
67,23,127,2
71,90,80,1
67,76,0,2
70,91,127,2
64,49,80,0
56,53,127,2
60,47,80,0
68,50,80,0
58,46,80,0
67,12,25,2
60,18,80,1
76,79,127,3
67,78,127,3
65,47,80,0
51,45,80,1
64,47,80,0
58,83,0,2
63,46,80,0
60,44,127,1
62,45,80,0
55,13,80,1
61,11,127,2
50,40,80,1
60,44,127,1
55,39,80,0
73,72,80,2
55,42,80,0
60,22,80,1
58,45,127,1
61,49,127,1
55,47,80,0
67,53,0,2
72,81,80,2
58,95,0,3
55,53,80,0
63,85,80,2
58,56,80,0
69,99,127,2
51,59,80,1
67,19,80,1
71,21,127,3
81,59,80,0
73,28,0,3
85,59,80,1
82,79,127,2
93,60,80,0
88,41,127,2
91,64,0,1
82,99,0,2
101,67,127,2
98,41,80,2
91,43,80,1
82,64,80,0
88,34,3,3
72,62,80,1
79,92,80,1
70,33,80,1
69,59,80,0
63,59,80,0
67,59,80,0
67,83,80,2
56,27,127,3
49,19,80,2
67,59,80,0
70,59,0,1
81,59,80,0
60,59,0,2
79,59,80,0
82,59,80,0
93,60,80,0
86,96,80,1
91,66,80,0
82,68,80,0
93,69,80,0
78,107,80,2
91,68,80,0
92,33,127,3
81,44,80,1
73,64,80,0
79,59,80,0
77,59,0,2
69,59,80,0
61,59,80,0
56,38,0,3
61,90,127,3
69,59,80,0
60,59,80,0
65,59,24,2
58,59,127,1
60,59,80,1
69,59,80,0
83,95,127,3
67,95,80,1
74,64,127,2
72,64,80,0
90,27,80,2
70,64,80,0
84,64,0,1
76,64,80,1
82,37,80,1
79,61,80,0
93,99,80,1
84,96,80,1
103,90,80,2
82,84,80,1
110,59,0,2
93,23,127,2
94,59,80,0
91,59,80,0
98,59,80,0
93,92,80,1
96,59,80,0
75,25,80,2
88,96,127,3
89,33,127,2
93,59,80,0
84,59,80,0
88,59,127,1
84,82,80,1
89,59,80,0
81,30,80,1
85,59,80,0
72,59,127,2
93,59,80,1
81,59,127,2
80,59,80,0
73,59,127,2
73,59,80,1
74,86,80,1
76,31,80,1
88,59,80,1
77,59,0,1
69,28,80,1
76,59,80,0
71,34,0,2
71,59,80,1
77,59,0,1
88,59,0,1
95,84,80,2
86,20,80,1
89,77,80,1
100,55,80,0
95,56,127,1
86,57,80,1
89,58,80,0
93,20,80,1
89,57,80,0
79,56,80,1
69,25,127,3
81,55,80,0
74,22,0,3
66,55,127,2
71,59,80,0
101,84,127,3
70,59,80,1
95,59,127,2
77,86,80,1
83,59,80,0
79,83,0,2
84,96,80,1
76,36,0,2
87,59,0,1
84,59,80,0
88,59,80,0
79,59,25,1
90,80,80,1
88,55,80,0
91,59,80,0
84,55,127,1
94,59,80,0
91,51,80,0
109,58,80,1
88,88,80,1
97,96,80,2
90,58,80,1
97,61,80,0
88,59,80,0
98,64,80,0
91,62,80,0
99,69,80,0
88,87,0,2
100,89,80,0
95,64,0,1
106,75,127,2
94,64,0,2
108,73,80,1
86,104,80,2
106,26,80,2
91,35,127,2
96,61,0,1
91,91,1,2
89,89,80,2
88,86,127,2
94,69,80,0
94,30,127,3
93,69,127,1
88,95,80,1
92,69,80,0
88,29,80,1
91,69,80,0
85,83,80,2
98,61,80,1
91,59,80,1
89,61,80,0
68,59,16,2
74,69,127,2
72,64,80,1
87,69,80,0
79,64,0,1
86,69,80,0
83,104,127,2
93,61,127,2
74,98,80,2
84,28,0,2
79,36,80,1
83,61,80,0
76,31,0,2
82,89,80,1
80,93,0,3
81,69,80,0
84,96,80,2
80,69,80,0
76,64,80,0
79,69,80,0
62,59,80,1
78,61,127,1
65,97,80,2
77,61,80,0
67,59,80,0
76,98,80,1
71,55,127,1
75,59,80,0
67,79,80,1
87,21,127,3
71,55,80,0
73,59,80,0
70,34,127,3
72,59,0,1
67,55,127,1
71,59,80,0
64,34,80,1
67,95,127,3
67,75,0,2
69,20,80,1
50,90,0,3
55,59,80,1
64,55,127,1
67,59,80,0
60,90,80,1
77,59,80,1
60,55,80,0
65,59,80,0
55,17,127,2
64,55,80,0
59,50,80,0
63,53,80,0
55,47,80,0
62,71,80,1
59,46,80,0
61,16,80,1
55,45,80,0
53,47,80,1
55,69,80,1
61,71,127,3
58,42,80,1
47,45,80,1
55,19,80,1
63,16,80,2
55,45,80,1
56,47,80,0
52,8,0,2
50,49,80,1
47,46,80,0
54,49,80,0
52,46,80,0
55,23,80,1
61,16,0,3
59,59,80,0
54,59,80,0
49,38,80,2
60,33,80,1
71,59,80,0
55,59,80,1
69,23,0,2
71,66,80,1
83,67,80,0
78,69,80,0
81,97,80,1
72,42,80,1
81,68,80,0
76,98,80,1
79,66,80,0
85,62,80,1
81,61,0,2
78,89,127,3
78,92,80,2
60,29,0,2
57,18,0,2
52,58,80,0
55,58,80,0
50,31,127,3
56,88,127,3
54,33,80,1
57,59,0,1
60,59,80,0
71,59,0,1
53,25,80,2
69,64,80,0
85,39,80,2
91,36,80,2
78,103,127,2
81,69,80,0
71,42,127,2
81,70,80,0
76,30,0,2
79,68,80,0
71,67,80,0
75,34,80,2
64,64,80,0
67,38,80,1
59,59,80,0
55,93,80,2
52,93,80,1
55,98,80,1
54,91,80,1
64,59,80,0
59,58,80,0
63,58,0,1
66,58,80,0
76,89,80,1
78,31,80,2
75,58,80,0
65,18,80,2
79,28,80,2
83,28,127,2
100,28,127,3
78,62,80,0
87,44,80,1
82,64,80,0
85,61,80,0
78,93,80,1
83,98,0,3
70,59,80,0
73,55,80,0
66,55,80,0
63,55,80,0
60,85,80,2
61,55,80,0
62,55,80,1
63,55,80,0
59,55,80,0
63,34,127,2
66,20,0,2
76,55,127,1
71,55,80,0
75,55,80,0
78,59,80,0
88,29,80,1
83,59,80,0
87,59,80,0
78,22,80,1
103,83,127,1
96,57,80,1
79,92,127,3
86,90,0,2
88,70,80,0
94,88,80,0
91,70,80,0
93,85,80,0
86,68,80,1
92,84,127,1
98,68,127,2
91,80,80,0
83,68,80,0
90,81,80,0
91,36,80,2
89,51,127,2
79,50,0,2
85,77,80,1
83,46,0,2
87,77,80,0
79,102,127,2
86,73,80,0
82,29,127,3
75,35,127,3
76,93,80,1
92,101,80,2
85,42,80,2
83,77,80,0
76,94,80,1
75,52,0,3
91,70,127,2
81,77,80,0
76,68,80,0
79,36,80,2
76,68,127,1
79,102,80,1
71,70,0,1
78,70,80,0
71,68,80,0
74,70,80,1
63,98,80,2
79,102,127,3
72,31,80,2
75,99,127,2
67,68,80,0
74,70,0,1
67,97,80,1
73,70,127,1
64,94,127,2
68,61,127,2
67,59,0,1
71,61,80,0
64,59,80,0
81,90,80,2
67,59,80,0
76,96,127,3
72,27,80,2
68,61,80,0
64,59,0,1
67,61,80,0
59,59,80,0
66,61,80,0
59,32,127,2
68,60,127,2
57,56,0,2
64,59,0,1
48,32,80,2
60,33,0,3
54,53,0,1
62,77,127,2
55,51,80,0
61,55,80,0
53,20,80,1
60,55,127,1
55,83,80,1
59,53,80,0
53,81,80,1
58,50,80,0
55,13,80,1
57,49,127,1
44,69,0,3
52,49,127,2
53,46,80,0
55,49,80,0
47,24,0,2
68,15,80,2
44,46,80,1
55,90,80,1
47,30,127,2
46,79,127,3
44,55,0,2
57,59,80,0
50,56,0,1
58,24,0,2
65,59,80,1
59,64,80,0
53,31,80,1
64,69,127,1
59,69,80,0
62,69,0,1
65,69,80,0
80,69,0,2
71,69,80,0
67,89,80,2
77,67,80,0
88,90,80,1
96,70,80,1
88,95,127,3
77,112,80,1
92,77,80,1
82,73,80,0
92,72,0,2
77,71,0,1
76,69,80,0
70,42,0,2
74,64,80,0
