note,velocity,time,anomalies
77,55,127,0
75,55,127,0
80,55,127,1
65,23,127,2
73,27,127,2
73,58,127,0
77,61,127,0
82,68,127,0
80,50,120,0
76,56,120,0
77,50,120,0
72,55,120,0
73,12,120,1
69,42,127,1
70,58,127,0
84,56,120,0
82,58,120,0
77,52,120,0
80,56,120,0
69,73,127,3
77,57,127,0
68,58,127,2
77,52,127,1
75,52,30,0
74,18,30,1
63,92,30,2
86,98,127,2
78,69,127,0
78,57,60,0
90,106,127,1
87,56,60,0
85,55,0,1
80,25,0,3
78,83,60,1
67,49,0,2
72,53,60,0
73,54,60,0
74,55,0,1
75,56,60,0
77,57,60,0
78,90,60,1
79,69,127,0
80,54,60,0
93,59,60,1
80,50,60,0
90,56,127,2
77,53,0,2
75,55,127,0
71,101,127,2
70,51,120,0
73,60,120,0
72,89,127,1
75,65,127,0
73,28,127,1
77,62,127,0
69,73,127,1
72,61,127,0
72,55,127,0
61,65,0,2
70,76,120,1
73,79,127,2
82,64,60,0
73,54,60,0
73,56,80,0
82,66,80,0
72,55,127,1
93,25,80,2
65,54,0,2
78,64,80,0
70,53,127,0
77,63,127,0
69,89,80,1
70,54,80,0
71,56,127,1
77,58,116,1
72,49,40,0
75,93,127,3
73,51,40,0
65,41,40,2
75,52,0,1
73,53,127,0
91,96,127,2
68,55,127,1
78,65,127,1
70,51,120,0
73,60,127,1
70,49,45,0
73,58,0,1
73,55,127,0
90,65,0,2
72,58,127,0
75,89,30,1
77,53,30,0
75,62,80,0
75,23,80,2
73,55,80,0
72,70,127,2
89,55,0,2
73,21,0,2
77,61,0,1
68,74,0,3
72,61,60,0
71,55,127,2
75,65,127,0
67,50,0,2
80,23,120,2
73,47,127,0
70,66,127,1
74,66,120,0
82,53,120,1
91,100,127,3
73,53,80,0
82,62,80,0
80,54,80,0
74,87,80,2
73,57,80,0
82,67,80,0
89,70,0,1
80,58,60,0
84,79,80,2
78,92,0,3
82,105,127,1
78,57,127,0
80,56,127,0
83,66,127,0
75,54,127,0
78,64,127,0
78,54,80,0
82,64,127,1
77,78,0,2
80,98,80,1
79,21,80,2
93,61,80,1
77,55,80,0
80,65,80,0
79,92,80,2
78,27,80,1
77,52,80,0
80,61,80,0
88,55,60,1
82,65,60,0
77,30,60,1
74,51,60,0
77,56,127,0
80,66,127,0
75,51,120,0
80,97,0,3
87,63,60,0
78,53,60,0
74,57,127,2
87,68,80,0
77,57,80,0
85,93,127,2
75,55,80,0
83,31,0,2
74,50,80,0
82,59,80,0
70,50,40,0
82,59,40,0
71,50,40,0
82,59,40,0
72,51,40,0
82,37,40,1
73,52,40,0
91,30,127,3
74,53,40,0
81,62,127,2
82,41,40,1
75,17,0,2
82,65,40,0
76,55,40,0
82,66,40,0
72,56,0,2
78,45,96,0
82,54,96,0
80,47,96,0
83,57,96,0
85,60,127,2
75,23,96,2
72,53,12,2
80,63,96,0
78,54,96,0
68,65,96,1
80,58,0,1
83,69,60,0
86,36,127,3
75,56,127,1
75,26,60,1
78,43,127,2
78,59,60,0
82,70,60,0
81,25,125,3
89,31,60,2
69,27,127,3
80,62,20,0
68,55,20,1
78,55,20,0
80,61,0,1
77,61,0,1
75,53,80,0
78,86,0,2
77,89,30,1
80,64,30,0
77,55,80,0
80,65,0,1
78,57,40,0
82,67,40,0
67,55,0,2
77,65,30,0
74,59,60,0
77,59,60,0
77,53,120,0
80,62,120,0
75,61,127,0
72,73,127,2
74,61,120,0
78,73,120,0
78,76,120,0
73,39,120,1
72,96,0,2
74,78,127,1
77,62,127,2
81,74,120,0
68,64,127,0
71,76,127,1
66,60,127,0
88,72,127,1
61,58,127,0
73,70,127,1
60,56,127,0
72,66,127,0
68,52,127,0
69,57,80,0
69,85,0,3
69,52,80,0
68,51,120,0
69,81,9,2
76,57,127,0
70,77,60,2
83,26,127,3
69,61,120,0
81,73,120,0
68,58,127,0
80,70,127,1
81,15,60,2
80,65,60,0
66,54,60,0
78,64,60,0
68,53,60,0
80,63,60,0
66,53,60,0
67,102,60,2
64,53,60,0
76,62,60,0
63,52,60,0
75,61,60,0
64,51,60,0
76,60,60,0
63,12,127,2
75,59,60,0
60,56,120,0
61,66,120,1
68,46,120,0
71,80,127,3
71,45,127,1
69,46,80,0
68,45,120,0
80,45,0,2
69,46,60,0
87,22,120,2
75,49,60,0
75,54,127,0
75,51,127,0
74,51,127,0
73,86,127,1
73,51,127,0
72,18,127,1
70,48,127,0
68,42,120,0
82,44,0,2
72,45,120,0
73,47,120,0
75,48,120,0
77,49,127,0
83,84,127,2
67,71,127,2
65,80,120,1
68,49,127,0
65,32,127,2
77,54,127,0
82,61,127,0
80,45,120,0
76,50,120,0
77,45,120,0
72,49,0,1
73,45,120,0
69,56,127,0
70,52,127,0
84,50,120,0
82,52,120,0
77,46,120,0
80,80,120,1
78,45,120,0
77,14,127,1
83,52,127,1
74,57,120,0
75,57,120,0
76,57,120,0
77,62,127,0
78,91,127,2
78,79,127,2
90,71,127,0
87,65,80,0
85,62,80,0
93,60,0,2
66,87,80,2
88,55,80,1
72,47,120,0
77,49,60,1
75,50,40,0
84,50,40,0
69,88,0,2
76,52,40,0
85,53,40,0
67,77,40,2
77,54,40,0
86,55,40,0
71,53,40,0
77,32,0,3
75,17,127,3
58,20,0,3
88,64,127,0
79,54,127,0
86,58,120,1
80,87,120,1
89,57,80,0
80,48,80,0
90,61,40,0
82,51,40,0
80,45,0,1
89,54,40,0
89,58,127,1
73,49,0,2
91,54,127,2
81,22,127,3
85,60,127,0
76,51,0,1
86,57,127,1
78,48,127,0
81,54,127,0
73,45,127,0
85,61,120,0
76,61,120,0
74,43,30,0
83,51,30,0
76,51,30,0
95,77,30,2
74,45,60,0
83,54,60,0
73,54,127,2
73,45,120,0
82,48,127,2
83,57,120,0
85,26,0,2
79,51,60,1
71,45,60,0
80,54,60,0
74,54,120,0
83,37,0,2
81,87,120,1
73,82,120,1
73,51,40,0
81,61,40,0
73,50,40,0
80,59,127,1
61,50,127,2
78,59,40,0
74,51,127,0
66,61,62,2
84,49,60,1
76,58,60,0
71,32,60,1
76,98,0,2
72,55,60,0
76,66,60,0
73,59,127,0
76,67,127,0
74,33,0,2
78,61,120,0
69,55,120,0
73,65,120,0
68,50,60,0
73,59,60,0
73,34,120,1
76,66,127,1
74,60,60,0
71,51,60,0
74,58,20,0
71,58,20,0
76,52,20,0
73,52,20,0
87,57,40,1
71,57,40,0
70,50,80,0
64,38,127,3
71,51,80,0
74,60,127,1
71,52,80,0
74,61,80,0
73,54,40,0
67,63,0,2
75,55,40,1
71,65,40,0
74,62,127,0
64,18,8,3
71,62,127,2
69,53,127,0
73,59,127,0
81,70,127,1
72,86,127,3
81,70,127,0
81,76,127,0
73,64,127,0
73,63,127,0
80,75,127,0
81,40,127,1
80,75,120,0
78,73,127,0
75,72,80,0
73,70,80,0
72,70,127,0
76,70,80,0
78,75,80,0
80,75,60,0
72,61,60,0
75,41,0,2
75,64,127,0
78,76,127,0
73,62,40,0
76,73,40,0
76,62,40,0
83,39,0,3
76,63,127,1
81,48,80,2
80,62,80,0
83,35,0,2
90,20,127,3
81,70,127,1
76,64,40,0
80,76,40,0
68,57,40,0
80,68,40,0
74,58,127,2
80,69,40,0
70,58,40,0
80,70,40,0
71,90,40,1
82,96,127,3
61,60,0,2
80,72,40,0
73,61,40,0
76,94,40,2
74,61,40,0
80,73,40,0
75,63,40,0
80,74,40,0
76,63,40,0
80,74,40,0
77,64,40,0
80,75,40,0
80,79,0,1
78,67,127,0
83,63,60,0
91,109,0,3
78,66,127,0
80,79,127,0
78,67,0,1
77,127,60,2
78,74,60,0
81,101,127,3
80,81,127,0
75,72,127,0
90,57,127,3
64,75,127,2
80,89,127,0
78,80,0,1
72,64,127,0
85,29,127,2
75,76,0,2
71,68,127,0
75,36,127,1
78,80,0,1
70,71,120,0
75,71,120,0
85,84,127,2
91,105,60,2
83,97,127,1
86,86,120,0
87,79,80,0
81,77,80,0
