note,velocity,time,anomalies
78,55,127,0
83,50,127,0
79,50,60,0
81,50,60,0
74,89,127,2
89,53,127,2
76,50,127,0
78,55,0,1
71,50,127,0
73,58,127,0
76,26,127,1
74,50,60,0
76,25,60,1
74,57,127,0
73,53,127,0
83,21,127,3
84,50,127,1
83,38,127,2
71,50,127,0
73,21,60,2
71,47,60,0
69,90,127,1
68,53,127,0
68,91,127,2
73,50,127,0
66,101,127,2
67,29,127,2
63,30,0,3
60,84,60,2
57,68,127,0
56,106,127,2
66,102,127,3
61,67,127,0
59,105,127,1
57,68,127,0
61,68,127,0
59,24,0,2
66,63,60,1
59,73,120,0
57,66,127,0
61,72,127,0
61,68,127,0
59,61,60,0
61,61,60,0
59,72,127,0
58,72,127,0
61,68,127,0
59,62,0,1
61,63,60,0
59,73,120,0
58,66,127,0
62,72,127,1
78,58,127,0
83,50,127,0
79,50,60,0
81,50,60,0
79,57,127,0
78,53,127,0
76,79,127,1
78,55,127,0
71,50,127,0
73,58,127,0
86,50,127,1
74,50,60,0
84,50,127,2
74,57,127,0
73,53,127,0
74,92,127,1
71,16,127,1
50,66,127,0
55,58,127,0
52,44,127,1
53,57,127,0
52,55,127,0
50,96,127,1
48,57,127,0
50,64,127,0
48,55,120,1
50,64,127,1
48,84,127,2
50,66,127,0
55,58,127,0
52,65,127,0
55,80,0,3
52,55,127,0
50,63,127,0
44,93,127,2
50,64,127,0
43,83,127,2
50,62,127,0
48,56,127,0
50,60,127,0
47,51,120,1
35,88,127,2
50,57,127,0
43,48,120,0
48,80,127,2
50,55,127,0
43,46,127,1
36,53,127,1
43,52,127,0
42,12,127,2
86,55,127,1
69,50,127,1
72,75,60,2
80,50,60,1
79,57,127,0
78,53,127,0
76,50,127,0
78,55,127,0
71,50,127,1
73,58,127,0
76,50,127,0
74,14,60,1
76,71,127,2
74,57,127,1
73,53,127,0
74,55,127,0
67,50,127,2
85,58,127,1
71,50,127,1
69,66,127,2
71,47,60,0
61,55,127,2
68,53,127,0
69,35,127,1
73,50,127,0
61,34,127,2
59,90,127,2
57,57,60,0
50,84,60,2
57,68,127,0
70,36,127,2
57,71,127,0
61,106,127,1
59,105,127,2
66,68,127,1
61,68,127,0
59,35,0,2
48,33,60,2
46,41,120,2
57,32,127,2
61,72,127,0
69,43,127,2
59,61,127,1
54,28,60,2
59,72,127,0
58,72,127,0
56,68,127,2
59,62,60,0
55,85,127,3
57,103,120,2
58,101,127,1
66,72,127,0
78,58,127,0
83,50,127,0
79,50,60,0
81,13,60,1
79,57,127,0
78,53,127,0
76,50,127,0
67,55,47,2
59,75,127,3
73,58,127,0
88,50,0,2
80,79,60,2
76,50,0,1
74,57,127,0
73,53,127,0
74,55,127,0
71,50,127,0
50,66,127,0
55,58,127,1
52,65,127,0
53,57,127,0
52,55,127,0
54,63,127,1
48,87,127,2
50,64,127,0
43,77,120,1
50,64,127,0
48,59,127,0
64,33,127,3
66,28,127,3
52,65,127,0
53,57,127,0
58,32,127,2
50,63,127,0
62,79,27,3
50,64,127,0
43,54,0,1
50,35,127,1
48,56,127,0
50,60,127,0
37,28,120,2
48,58,127,0
50,35,127,2
43,75,120,1
53,56,127,1
50,55,127,0
41,7,120,2
48,28,127,1
43,52,127,0
42,60,127,0
30,95,26,3
65,68,127,0
70,28,127,2
60,80,127,1
58,68,127,1
70,68,127,0
75,80,127,0
78,86,120,0
68,47,127,3
74,61,120,0
73,61,127,1
88,97,120,2
77,80,127,0
66,80,127,2
82,65,127,1
65,68,127,0
70,68,127,0
71,80,127,2
66,68,127,0
70,68,127,1
75,80,127,0
78,86,120,0
79,80,127,2
74,61,120,0
72,61,127,0
74,61,120,0
77,80,127,0
58,80,7,2
73,33,127,3
70,92,127,1
60,80,127,2
66,68,127,0
70,68,127,0
75,80,70,1
78,86,120,0
77,106,127,2
71,21,0,3
72,61,127,0
75,28,127,3
81,80,127,1
58,80,127,2
94,85,127,0
82,80,127,0
65,68,127,0
70,68,127,0
74,80,127,0
66,36,127,2
70,68,127,0
82,103,127,2
78,86,120,0
77,80,127,0
74,61,120,0
82,61,127,1
76,61,120,1
77,45,127,2
82,57,127,3
74,68,127,2
84,35,127,3
79,80,127,0
71,92,127,2
84,33,127,2
79,80,24,2
81,88,120,1
83,113,127,2
79,61,120,0
77,61,127,0
79,61,120,0
82,110,127,2
75,80,127,0
99,93,127,0
87,116,90,2
70,68,127,0
63,103,120,3
79,80,127,0
71,31,127,1
75,102,127,1
85,80,17,2
83,87,120,0
82,88,26,1
67,22,0,3
80,32,15,3
79,61,120,0
75,64,127,2
76,80,127,0
70,48,127,1
79,80,127,0
79,96,127,2
80,77,127,0
70,85,127,2
75,65,127,0
84,47,127,3
60,42,127,2
86,74,127,2
77,36,127,2
76,99,127,1
78,55,127,1
95,50,127,1
68,89,0,3
67,29,0,3
79,90,127,1
78,53,127,0
76,50,127,0
78,55,127,0
79,50,127,1
81,96,127,3
90,50,127,1
74,79,0,2
76,21,0,2
78,91,127,2
