note,velocity,time,anomalies
68,37,0,1
80,41,120,1
68,74,120,1
67,39,127,1
68,16,0,2
73,68,120,1
76,43,120,0
76,45,120,1
73,43,0,1
85,75,127,3
73,43,0,1
74,44,0,2
73,46,0,1
76,49,120,0
80,24,0,2
63,45,0,2
69,49,120,0
68,18,0,2
55,66,0,3
61,17,120,2
73,70,127,2
90,25,0,3
65,54,127,2
82,18,120,2
75,53,120,0
73,51,120,0
76,24,120,2
73,32,127,2
81,97,120,2
80,55,120,0
73,55,120,1
59,78,127,3
75,58,120,0
78,61,120,0
68,64,127,2
85,67,0,1
87,45,0,2
91,95,120,2
93,72,120,0
91,71,127,2
90,70,0,1
88,69,120,0
87,68,127,1
91,92,120,2
85,104,120,1
78,39,127,3
79,27,120,2
82,28,120,2
79,63,127,2
65,86,0,3
87,58,127,2
76,24,120,1
75,54,127,1
90,76,120,2
73,15,0,2
72,12,120,1
75,22,2,2
55,72,120,2
68,74,127,2
57,42,0,2
69,41,127,0
75,59,0,3
60,68,0,3
68,38,120,0
63,39,0,2
68,61,0,2
87,7,0,3
76,43,0,1
86,45,59,2
73,10,120,1
68,70,120,2
72,43,120,1
72,44,120,0
73,15,120,1
76,49,120,0
80,47,120,0
68,45,0,1
78,77,120,2
68,75,127,2
67,46,120,0
68,48,0,1
73,50,120,0
76,81,120,1
75,54,120,0
73,51,120,0
81,14,0,3
87,12,127,3
59,73,120,2
79,54,15,2
85,57,127,2
80,31,120,1
75,41,0,2
84,85,120,2
75,61,0,1
74,50,120,0
75,56,120,0
83,68,120,0
95,62,127,2
67,65,127,2
79,69,0,1
75,106,0,3
87,72,120,0
85,72,120,0
83,75,120,0
77,101,127,3
75,68,127,2
93,68,0,2
82,72,0,1
80,70,120,0
83,64,120,0
79,88,120,2
76,65,11,1
89,57,120,1
93,37,120,2
84,81,127,3
80,61,30,2
75,97,120,2
75,58,127,1
76,56,120,1
70,60,120,0
69,25,120,2
67,15,0,2
80,50,127,2
81,72,0,2
77,58,0,2
72,37,120,1
73,21,120,1
65,95,127,3
79,21,120,2
81,22,120,2
71,92,120,2
68,47,120,2
77,86,127,2
72,63,120,0
70,63,120,1
71,74,0,2
78,65,120,0
64,64,127,2
73,64,120,0
61,77,120,0
78,65,120,1
66,65,120,0
56,65,120,1
63,36,120,1
75,65,120,0
66,65,120,0
69,35,120,1
64,79,0,1
62,66,120,1
68,44,127,2
71,66,0,1
68,107,0,2
80,94,0,2
71,66,120,0
86,97,120,2
57,81,120,1
93,65,127,2
72,65,0,1
62,65,120,1
75,78,120,1
78,65,127,1
72,65,120,0
73,65,120,0
67,47,127,3
75,66,0,2
73,66,0,2
77,66,120,1
66,77,120,0
78,45,0,2
72,97,127,2
73,93,127,2
64,110,0,3
77,65,120,0
71,43,120,1
75,85,127,2
54,99,120,2
78,45,127,2
71,42,127,2
71,93,127,3
69,79,120,0
81,91,120,1
71,94,120,1
76,106,120,1
68,106,0,2
80,67,120,0
71,89,120,1
77,65,120,1
68,52,120,0
94,57,0,2
72,47,120,0
73,47,120,0
66,28,120,1
78,54,120,0
75,71,127,3
79,17,120,2
65,51,120,0
77,31,127,2
63,23,120,2
73,50,0,1
60,33,120,2
64,58,127,2
72,51,120,0
73,76,0,2
61,32,127,2
75,90,127,3
66,52,0,1
69,53,127,1
63,81,120,1
75,62,120,0
80,54,120,1
76,19,120,2
64,57,120,0
76,65,127,1
70,90,120,2
68,32,127,3
73,60,120,1
74,36,0,3
63,57,0,2
76,86,120,1
68,62,127,1
79,98,120,2
70,59,0,2
73,36,120,1
78,62,120,1
78,30,120,1
72,61,120,0
70,21,0,3
81,64,120,1
99,73,120,1
67,62,0,2
71,62,120,1
73,46,120,1
85,74,127,1
78,62,127,1
81,62,120,0
78,104,120,2
85,73,0,1
75,96,120,1
78,61,0,1
79,29,127,3
84,44,120,1
75,29,127,2
78,59,0,1
72,60,120,0
84,69,120,0
75,58,120,0
76,58,127,2
81,101,36,3
84,68,120,0
75,97,127,2
72,90,0,3
72,81,120,1
84,41,120,1
75,55,0,1
77,33,120,2
73,95,127,3
83,36,0,2
75,30,120,1
78,53,120,0
71,26,120,1
92,99,120,2
83,19,127,3
65,52,0,2
70,54,127,1
82,38,127,2
75,25,120,1
78,85,120,1
68,84,0,3
82,49,120,0
73,48,127,2
78,8,127,2
72,53,127,2
91,82,127,3
81,47,0,2
78,27,0,2
55,52,120,1
81,49,127,1
75,45,24,1
78,45,120,0
81,81,0,3
89,72,127,3
75,44,120,0
71,6,120,2
72,83,127,2
84,47,120,0
75,46,127,1
73,46,120,1
74,77,120,2
76,73,120,2
75,73,32,2
78,44,120,0
71,11,120,1
83,45,120,0
75,71,127,2
78,10,127,2
59,47,127,2
91,43,127,2
75,19,54,2
89,40,120,1
59,21,127,3
82,42,0,1
75,41,120,0
78,11,120,1
59,44,0,2
81,70,120,1
81,6,127,3
78,39,127,1
69,43,120,0
81,63,127,2
75,4,120,1
78,37,0,1
68,42,120,0
80,14,127,2
75,36,120,0
78,35,120,0
68,4,120,1
69,4,0,2
68,67,120,1
71,39,127,2
68,40,0,1
73,42,120,0
84,68,120,2
75,45,120,0
73,43,120,0
75,74,127,2
73,8,0,2
71,44,127,2
73,46,127,1
78,23,120,2
80,86,120,1
68,45,120,0
61,19,0,3
71,82,120,2
67,46,120,0
67,13,120,2
72,76,28,3
72,91,0,3
74,54,120,1
73,51,127,1
66,90,120,2
73,51,120,0
86,52,0,2
73,30,127,2
76,32,7,2
90,55,0,2
69,29,0,2
80,89,20,3
75,59,120,0
78,41,127,2
81,66,120,0
71,93,127,3
87,47,127,2
95,73,120,0
93,32,120,1
92,33,127,2
90,70,127,1
88,69,120,0
87,68,120,0
90,67,0,1
85,67,21,1
80,68,120,1
87,44,0,2
90,99,120,2
79,65,120,1
78,88,120,1
81,62,127,1
76,29,127,2
87,95,120,2
78,59,120,0
67,55,120,1
72,55,120,0
75,55,120,0
69,27,120,1
68,51,42,1
71,91,127,2
69,23,127,1
74,68,120,2
69,51,120,0
68,47,120,0
67,48,120,0
58,19,7,3
73,86,120,1
64,52,127,2
75,25,120,1
73,51,127,1
89,27,120,2
69,51,120,1
58,51,120,1
73,53,127,1
84,82,120,2
80,34,120,1
76,85,127,2
78,22,120,2
67,74,45,3
74,48,120,1
74,49,120,0
72,84,120,2
67,53,120,1
81,54,120,0
75,56,120,1
77,54,120,0
90,84,127,3
82,14,120,2
77,54,120,1
77,89,0,2
80,59,120,0
85,86,127,2
74,73,127,3
74,55,127,1
69,86,11,3
72,28,0,2
73,53,120,0
64,28,0,3
81,28,55,2
65,30,127,3
77,56,120,0
70,79,120,2
77,57,120,0
76,57,0,1
77,99,120,1
91,63,120,1
82,90,120,2
80,84,120,1
78,86,120,1
80,58,127,1
68,54,0,2
77,55,120,0
68,56,120,1
89,91,120,2
92,97,0,3
