note,velocity,time,anomalies
59,45,30,0
65,45,30,0
69,45,30,0
62,45,30,0
59,48,0,1
59,44,60,0
60,44,60,0
69,45,120,0
65,45,120,0
59,45,0,1
57,45,90,0
59,48,45,0
65,43,90,0
63,19,30,3
60,75,127,2
59,88,127,2
53,85,120,2
77,77,127,3
77,48,127,2
67,48,60,1
61,45,60,1
66,70,127,2
56,15,0,3
70,76,40,2
77,44,40,1
71,22,120,2
67,67,127,3
69,42,127,0
55,75,23,3
60,48,100,0
62,44,100,0
63,44,127,1
69,44,127,0
77,44,127,2
64,48,70,1
79,80,127,3
71,45,0,2
59,48,127,0
69,45,60,0
73,48,100,1
61,13,0,3
68,51,60,0
63,35,120,2
62,48,127,1
70,17,90,2
58,12,0,3
66,55,120,0
62,9,0,2
70,57,120,1
66,57,120,0
69,57,120,0
72,49,0,2
64,49,120,0
63,24,120,2
69,46,127,1
64,29,127,1
58,18,127,2
66,28,0,2
69,48,120,0
59,51,127,1
71,51,94,1
71,50,120,1
72,71,127,2
78,45,127,2
68,45,127,0
76,83,127,2
75,21,127,3
78,7,127,3
77,15,60,1
64,43,0,2
79,43,60,0
74,45,120,0
77,45,120,0
72,19,127,2
76,70,120,1
70,45,127,2
70,72,120,1
71,15,0,3
72,67,120,1
70,44,127,0
74,44,127,0
69,42,60,0
72,42,60,0
65,16,127,3
74,42,127,1
61,6,120,2
55,44,63,2
69,10,127,3
67,62,120,1
65,44,127,1
63,65,120,2
64,70,127,2
67,43,120,0
65,71,0,2
69,43,127,0
69,48,127,0
68,51,120,1
89,15,120,2
71,27,0,3
77,49,127,1
62,49,0,2
79,49,60,0
74,51,120,0
77,51,0,1
69,48,120,1
76,21,127,2
65,39,127,0
70,51,120,0
74,51,120,0
69,49,120,0
72,49,120,0
70,50,127,0
74,50,127,0
54,43,127,2
69,46,60,0
72,67,60,1
70,46,60,0
82,46,60,1
72,49,120,0
80,10,0,3
60,45,0,2
76,70,120,2
76,46,120,1
69,83,127,2
64,45,120,0
67,45,120,0
65,49,127,0
81,49,127,1
67,48,120,0
77,49,127,1
64,46,120,0
62,46,127,0
67,46,120,0
69,49,127,0
71,52,120,0
74,56,0,1
71,20,120,1
69,84,120,1
71,75,0,2
64,50,120,0
67,49,120,0
58,87,127,2
69,52,120,0
67,49,120,0
77,14,51,3
63,54,120,1
74,56,120,0
71,52,120,0
69,55,120,0
62,19,127,3
69,49,120,0
65,48,120,0
64,39,127,0
47,65,127,3
57,44,127,1
52,22,45,2
46,44,0,2
62,46,45,0
60,42,45,1
66,42,0,1
68,42,127,1
67,40,127,2
66,16,127,3
57,40,45,0
50,40,0,2
60,75,127,2
62,44,45,0
64,38,45,0
72,37,127,2
68,34,127,1
57,44,30,0
59,42,30,0
65,39,30,0
69,39,0,1
60,44,30,0
62,42,30,0
59,44,100,0
59,40,60,0
60,7,127,2
61,12,120,2
65,39,120,0
59,42,120,0
57,64,127,2
53,44,127,2
65,39,30,0
69,39,30,0
60,39,30,0
69,15,3,3
60,42,120,0
74,39,127,2
76,77,127,2
62,44,127,1
54,13,60,2
66,44,127,1
66,16,40,1
77,40,40,1
66,40,40,0
72,38,127,0
69,14,127,2
51,44,0,2
58,42,0,2
60,44,100,0
62,40,100,0
64,40,127,0
72,16,127,2
71,0,127,2
69,7,127,2
71,42,125,1
65,19,127,2
62,39,30,0
72,44,30,0
80,75,30,2
71,45,100,0
81,43,60,1
72,71,60,1
62,42,120,0
78,10,0,3
71,44,127,1
69,21,0,2
81,13,127,3
65,43,30,0
62,43,30,0
64,43,30,1
71,50,120,0
75,82,127,3
72,44,127,0
69,44,127,0
70,74,60,2
68,78,0,3
78,52,60,0
81,48,40,1
67,48,0,2
82,73,40,2
74,20,39,3
74,50,120,0
66,26,120,2
78,48,127,2
76,19,127,2
69,68,0,2
75,74,120,2
79,48,120,1
67,40,127,1
71,40,127,0
76,48,127,0
66,40,127,0
69,76,120,1
71,45,120,0
65,65,0,2
60,77,127,2
72,46,127,0
54,38,0,2
67,38,127,0
55,3,127,3
65,34,127,2
66,34,127,0
62,0,127,2
62,31,127,0
64,32,127,0
61,70,127,1
60,32,90,0
46,61,90,2
62,31,90,0
58,31,90,0
54,1,45,2
54,38,0,2
69,45,45,0
59,33,45,0
62,33,45,0
64,39,45,0
59,33,34,0
62,7,0,2
76,39,34,1
60,33,45,0
64,33,0,1
69,39,45,0
64,71,127,3
64,37,45,0
69,44,45,0
64,44,45,0
59,37,127,1
48,37,45,1
46,6,127,3
64,77,34,1
62,34,34,0
52,62,45,2
64,36,45,0
62,3,0,3
62,41,34,0
67,41,34,0
71,49,34,0
81,55,127,1
59,48,0,3
67,6,127,3
64,12,127,2
70,23,45,2
58,62,45,2
59,33,127,2
64,39,0,1
59,33,34,0
62,33,34,0
61,39,127,2
60,33,45,0
59,33,127,2
69,39,45,0
50,37,45,1
74,44,0,2
60,37,45,0
63,37,45,1
59,37,0,1
68,74,127,3
59,34,34,0
64,40,34,0
62,66,0,2
60,73,45,1
64,39,45,0
69,46,45,0
61,8,34,2
57,43,127,2
60,51,127,2
84,79,127,0
72,96,127,2
76,21,127,3
80,18,127,3
61,84,127,3
75,9,127,3
65,69,45,1
77,43,0,2
62,15,0,2
67,36,0,2
67,75,34,1
72,70,0,2
53,72,45,2
