note,velocity,time,anomalies
67,70,127,1
70,70,127,0
74,70,127,0
79,59,127,1
90,53,120,1
82,53,120,0
81,86,0,2
79,56,120,0
81,54,120,0
79,54,120,0
66,34,120,2
74,57,120,0
77,54,120,0
74,54,120,0
72,54,120,0
70,58,120,0
67,54,120,0
50,53,120,1
64,53,120,0
67,52,120,0
60,44,127,0
60,17,127,3
70,48,0,2
69,9,0,2
67,47,127,0
62,44,127,0
62,80,120,2
67,16,120,1
73,87,36,3
72,53,120,0
69,53,120,0
67,53,120,0
65,53,120,0
64,45,127,0
67,81,120,1
65,69,120,1
67,51,120,0
69,49,120,0
67,48,127,0
62,6,127,2
65,12,120,1
67,51,120,0
76,52,0,2
74,56,120,0
56,54,127,2
68,90,0,3
65,54,127,0
62,49,127,0
70,52,120,0
74,14,120,1
71,87,120,2
74,47,127,0
81,60,127,0
72,52,127,0
79,54,127,0
77,84,41,2
79,54,127,0
85,49,120,1
76,51,120,0
65,12,120,2
77,54,127,0
70,80,0,2
69,49,120,0
70,51,127,0
76,46,127,0
74,45,127,0
65,37,127,0
72,43,127,1
62,36,127,1
74,95,127,1
70,70,127,0
86,108,127,3
67,70,127,0
81,53,120,0
96,53,127,2
81,24,127,2
83,16,0,3
81,54,120,0
79,54,120,0
77,24,120,1
74,57,0,1
77,54,120,0
84,17,127,3
72,54,120,0
70,58,120,0
55,87,127,3
62,53,120,0
64,53,120,0
67,51,120,0
65,76,120,1
72,70,120,2
69,47,120,0
80,77,127,3
65,48,120,0
67,49,120,0
75,72,120,2
72,53,120,0
69,53,120,0
67,53,120,0
65,53,120,0
67,52,120,0
65,49,120,0
67,51,120,0
69,16,120,1
67,48,127,0
63,45,127,0
74,49,127,2
67,51,120,0
69,52,120,0
74,56,120,0
55,54,28,2
67,54,120,0
65,54,120,0
74,53,127,1
77,63,127,0
72,51,120,0
76,93,127,2
74,77,120,1
77,59,120,0
72,54,127,0
76,64,127,0
74,55,120,0
70,46,120,0
79,83,120,2
72,46,120,0
86,62,0,2
70,52,127,0
72,56,127,0
59,69,127,2
76,57,127,1
67,47,127,0
74,58,127,0
70,49,0,1
72,48,127,0
69,48,127,0
76,58,127,0
78,52,127,1
67,62,0,2
70,52,127,0
74,55,127,0
77,31,127,2
70,55,127,0
69,54,127,0
72,32,127,3
81,64,127,0
74,53,127,0
78,63,127,1
72,51,120,0
62,60,0,2
74,73,127,2
85,59,120,1
72,54,0,1
76,100,38,2
70,46,120,0
74,55,127,1
72,76,120,1
68,56,120,1
61,62,127,2
70,52,127,0
66,96,127,3
67,47,111,1
70,28,36,3
74,47,0,2
74,61,127,0
70,79,113,2
72,80,127,1
69,52,127,0
76,61,127,0
79,63,127,0
60,53,127,2
74,53,127,0
79,66,127,0
74,20,127,2
82,78,127,2
68,53,127,1
73,53,127,0
81,63,127,0
74,45,127,0
94,89,86,3
77,45,127,0
82,57,120,0
81,54,120,0
79,57,127,0
76,54,120,1
79,52,120,0
81,28,120,1
76,22,127,2
70,45,18,1
83,54,127,1
65,76,127,1
72,53,127,0
70,52,120,0
69,52,120,0
67,54,120,0
62,54,127,0
65,90,120,1
67,53,127,1
69,53,100,0
58,56,127,0
64,66,127,0
62,63,127,0
65,33,127,1
60,61,127,1
52,51,120,0
57,51,120,0
66,95,0,3
50,50,120,0
53,50,120,0
55,51,120,0
57,26,127,3
52,88,127,2
57,53,127,0
60,36,80,1
62,63,80,0
60,28,80,1
53,55,127,1
57,66,127,1
55,55,127,0
58,66,0,2
55,59,127,1
51,50,0,2
65,84,58,2
60,48,127,0
67,54,127,0
62,24,127,2
63,82,127,3
69,49,80,0
67,71,0,2
54,45,127,1
65,54,127,0
64,51,127,0
58,43,127,0
77,86,127,3
62,43,127,0
60,18,127,1
57,33,0,1
58,36,127,0
55,0,0,2
64,67,0,3
57,0,127,2
88,48,127,0
76,33,127,0
83,43,127,0
81,45,127,0
66,12,127,2
65,32,127,0
71,39,60,0
69,39,60,0
71,39,60,0
74,39,60,0
88,48,127,0
76,33,127,0
83,15,127,1
81,45,127,0
76,42,127,0
54,39,127,2
81,39,114,2
69,39,127,0
71,35,60,0
69,37,60,0
59,66,60,2
60,30,127,1
64,36,127,0
57,32,127,0
62,7,127,2
64,41,127,0
65,70,127,1
69,41,127,0
78,74,127,2
67,0,127,2
62,36,120,0
64,9,127,2
57,37,127,2
64,38,127,0
56,55,127,2
62,32,120,0
64,30,120,0
62,31,127,0
59,24,127,0
64,0,127,1
55,19,127,0
88,45,127,0
76,30,127,0
83,79,127,2
81,45,127,0
76,42,127,0
60,11,127,3
71,39,60,0
69,39,60,0
78,39,121,2
74,39,60,0
88,48,127,0
76,33,127,0
83,43,127,1
81,43,127,0
93,53,127,0
81,36,127,0
88,46,127,0
91,17,127,2
74,35,80,0
71,29,127,1
76,36,80,0
79,38,127,1
71,77,80,2
86,46,127,0
87,68,127,3
67,0,127,1
69,36,80,0
72,36,80,0
64,37,0,2
85,60,80,2
81,45,127,0
79,39,120,0
81,44,120,0
84,42,120,0
71,29,127,0
74,35,80,0
90,76,80,2
77,38,80,0
81,39,80,0
86,46,127,0
88,43,127,0
57,5,80,2
57,0,127,2
72,36,80,0
74,37,80,0
76,38,80,0
81,45,127,0
83,44,120,0
81,44,120,0
79,43,120,0
61,0,80,1
59,24,127,0
63,30,80,0
58,32,2,2
69,33,80,0
73,38,127,0
67,70,127,2
59,18,127,0
57,30,127,2
68,10,80,2
64,67,80,1
66,32,80,0
68,38,127,0
71,70,120,1
58,69,127,3
71,34,0,1
61,28,80,0
66,4,127,2
75,30,80,1
66,32,80,0
69,33,80,0
73,11,127,1
75,35,120,0
78,38,120,1
75,36,120,0
62,0,0,3
73,37,80,0
75,8,0,2
76,38,80,0
78,39,127,1
73,47,127,2
83,47,120,0
72,17,120,2
83,53,120,0
72,16,127,2
77,45,127,0
84,52,120,0
83,52,120,0
82,42,113,2
92,93,120,2
79,76,127,2
81,15,120,1
83,12,127,2
76,87,127,2
71,67,0,2
77,51,120,0
69,39,127,0
79,20,127,2
81,51,100,0
74,53,120,0
62,85,120,2
77,49,120,0
67,39,127,0
67,84,100,2
86,53,120,1
74,52,120,0
76,52,120,0
75,39,127,1
77,87,127,2
57,56,127,2
67,45,127,1
69,69,127,2
72,51,120,0
67,33,127,0
80,16,120,2
76,46,120,0
65,45,127,0
74,69,127,2
64,38,127,0
63,35,127,0
71,73,127,2
77,6,120,2
68,45,120,0
69,81,127,2
66,45,120,0
68,43,0,1
69,5,0,2
71,68,127,2
69,43,120,0
66,45,127,0
68,5,127,2
69,27,127,0
57,22,127,0
73,43,127,1
66,38,120,0
64,38,120,0
60,38,120,0
62,37,120,0
64,36,127,0
66,38,120,0
64,5,0,2
60,38,120,0
62,37,127,1
64,36,127,1
58,25,127,0
66,70,120,1
64,37,120,0
60,37,120,0
62,15,120,1
64,34,127,0
66,35,120,0
64,35,120,0
70,34,120,1
62,31,120,0
64,28,127,0
62,38,0,1
64,70,0,2
75,62,127,3
68,41,60,0
69,41,60,0
71,41,60,0
72,4,0,2
74,39,60,0
76,39,60,0
77,17,60,2
80,37,0,1
81,37,60,0
83,11,0,2
84,35,60,0
93,69,127,3
86,82,127,2
78,69,127,3
83,41,127,0
81,45,127,0
76,42,127,0
84,39,60,1
56,11,127,2
69,39,60,0
71,39,60,0
74,39,60,0
76,33,127,0
88,18,0,2
83,23,127,2
81,45,127,0
76,42,127,0
71,39,127,0
76,60,127,3
69,39,127,0
65,39,127,0
71,35,60,0
69,68,60,1
67,39,60,0
60,30,127,0
64,36,127,1
57,32,127,0
62,58,127,1
58,41,127,1
65,45,127,0
81,1,127,2
64,64,90,2
59,32,127,0
62,13,21,2
64,34,0,1
70,14,127,2
64,38,127,0
62,32,120,0
60,30,127,2
62,55,0,2
57,26,127,0
59,0,127,2
67,39,12,3
64,61,0,2
88,45,127,0
76,30,127,0
83,20,127,1
81,45,127,0
79,42,127,2
65,33,127,0
71,39,60,0
69,14,127,2
71,39,60,0
74,39,60,0
88,48,127,0
66,33,127,2
83,43,127,0
73,22,127,2
66,60,127,2
75,80,127,2
72,37,127,1
69,36,127,0
57,37,127,1
64,36,127,0
59,25,127,0
62,35,127,0
57,32,127,0
66,32,60,1
75,2,60,2
51,10,60,2
53,24,127,0
57,34,127,0
66,32,127,2
52,22,127,0
52,22,90,0
71,48,90,2
50,20,60,0
53,25,60,0
52,22,60,0
57,27,60,0
52,53,60,1
53,64,60,2
48,2,120,1
54,71,127,3
48,32,127,0
52,38,127,0
50,32,127,0
53,38,127,0
52,32,127,0
55,38,127,0
57,32,127,0
53,38,127,0
55,36,127,0
48,36,127,0
58,36,127,0
57,37,127,0
47,14,127,2
62,38,127,0
53,11,117,2
47,3,127,2
65,41,127,0
57,67,127,2
60,35,127,0
67,73,127,2
58,35,127,0
62,35,127,0
65,76,30,2
62,32,127,2
60,32,127,0
58,30,127,0
64,30,127,2
73,36,89,2
48,36,120,0
62,65,120,2
50,38,127,1
35,56,127,3
53,38,127,0
50,38,127,0
55,0,127,2
52,38,127,0
57,38,127,0
53,38,127,0
53,30,127,2
48,36,127,0
58,36,127,0
57,5,127,1
60,37,127,0
58,1,0,2
53,34,0,1
62,40,127,0
60,35,127,0
57,35,127,0
65,42,127,0
62,36,127,0
64,74,127,2
64,36,0,2
74,7,127,3
57,33,127,0
47,33,127,2
62,33,127,0
67,39,127,0
58,12,0,2
65,39,120,0
73,39,120,1
69,64,127,1
65,63,127,1
79,42,127,2
67,35,127,0
72,42,127,0
75,35,127,2
74,42,127,0
70,35,127,0
72,33,127,0
65,30,127,0
71,39,0,2
74,35,127,0
77,41,127,0
72,30,127,0
75,35,127,0
79,82,127,1
79,39,127,0
82,46,127,0
72,32,127,0
73,22,0,3
84,49,127,0
81,46,127,1
75,46,127,1
75,43,127,0
72,0,80,2
92,15,127,2
60,35,127,1
75,16,127,2
65,39,120,0
79,4,127,3
65,35,127,0
68,42,127,1
70,42,127,0
67,35,127,0
75,42,127,2
69,35,127,0
70,35,127,0
74,42,127,0
75,16,127,1
65,5,127,2
72,33,127,0
85,41,127,1
88,68,0,3
65,42,127,1
86,30,127,1
90,76,0,3
89,20,127,2
79,67,84,2
76,35,127,0
68,35,127,2
84,52,127,0
81,56,127,0
85,58,0,2
84,60,127,0
77,63,127,0
74,54,127,0
88,31,0,3
94,60,127,1
84,60,127,0
72,35,127,2
82,58,127,0
90,60,127,1
90,46,127,2
73,39,127,0
82,82,0,2
81,53,120,0
79,16,127,1
81,54,127,0
74,53,127,2
79,25,127,2
81,51,127,1
90,51,0,2
77,63,127,0
84,60,127,0
74,54,127,0
81,57,127,0
82,58,127,0
95,96,127,2
81,54,127,0
82,78,0,2
96,31,127,2
76,20,127,1
73,39,127,1
82,53,120,0
81,53,0,1
79,56,127,0
81,54,127,0
82,54,127,0
67,42,127,0
69,38,127,0
70,36,127,0
71,35,127,0
76,38,127,0
73,0,127,2
68,35,127,0
69,35,127,0
71,36,127,0
68,35,127,0
69,58,0,2
71,36,127,0
64,63,127,3
72,25,127,0
69,35,120,0
68,35,120,0
66,35,127,0
68,36,127,0
69,37,127,0
67,63,127,3
68,36,127,0
69,37,127,0
71,7,127,1
76,38,127,0
73,59,127,2
68,35,127,0
69,35,127,1
71,36,127,0
55,35,127,2
69,35,127,0
64,36,126,2
72,30,127,0
75,30,127,0
69,35,120,0
68,35,120,0
66,35,127,1
68,36,127,0
69,37,127,0
66,36,127,0
70,36,122,2
69,37,127,0
96,41,0,2
74,30,127,0
76,30,127,0
79,35,0,2
76,0,127,3
79,37,127,0
72,48,127,1
81,37,127,0
69,31,0,1
62,65,127,3
82,12,127,2
70,35,127,0
87,15,127,2
74,32,127,0
65,76,127,2
71,33,127,1
81,39,127,0
80,65,127,3
76,59,127,1
69,33,127,0
82,39,127,0
70,33,127,0
70,35,127,0
74,45,127,0
82,42,127,0
77,47,127,0
65,73,18,3
77,78,120,1
74,52,127,0
81,26,0,3
74,48,120,0
70,54,127,0
67,52,127,2
70,40,127,0
81,58,127,2
76,36,127,0
91,48,127,1
79,45,127,0
67,37,127,0
76,36,127,0
66,54,127,2
81,45,0,1
69,37,127,0
82,49,127,0
70,41,127,0
76,48,127,0
74,40,127,0
90,9,127,3
67,39,127,1
68,13,127,3
72,32,127,0
81,20,127,2
69,39,127,0
82,46,127,0
70,39,127,0
70,41,127,0
74,75,0,2
82,49,127,0
77,58,127,0
76,57,120,0
77,57,120,0
74,63,127,0
72,59,120,0
74,59,120,0
67,101,127,2
74,63,0,1
70,68,127,1
77,58,127,0
74,53,127,0
81,62,127,0
79,60,0,1
81,60,0,1
91,27,75,3
76,63,120,0
84,33,120,2
74,69,127,0
77,97,127,2
84,33,0,2
99,48,127,2
94,54,0,2
88,9,0,3
84,54,64,0
86,49,64,0
84,54,64,0
86,16,64,1
84,54,127,1
86,52,64,0
84,7,64,1
86,52,64,0
75,48,0,2
86,53,64,0
94,49,64,1
86,51,64,0
70,54,60,1
82,76,127,3
84,56,60,0
86,53,127,1
84,58,60,0
86,56,60,0
86,64,60,1
86,60,60,0
84,68,60,0
79,98,0,3
