note,velocity,time,anomalies
53,21,120,0
55,25,120,0
53,21,120,0
55,25,120,0
41,19,120,0
43,23,120,0
79,0,127,2
67,42,127,3
67,21,120,0
65,17,127,0
67,21,127,0
65,17,127,0
67,21,127,0
54,33,127,1
65,17,127,0
67,21,127,1
61,65,127,1
65,17,127,0
67,21,127,0
63,33,127,0
65,17,127,0
61,21,127,2
60,65,127,3
61,35,127,0
65,17,127,0
67,21,127,0
41,22,120,0
43,26,120,0
41,24,120,0
43,29,120,0
41,19,120,0
43,23,120,0
41,19,120,0
55,0,127,3
67,65,127,1
65,26,127,0
60,17,127,0
62,21,127,1
65,24,127,0
78,0,127,3
62,56,127,3
65,0,51,3
64,25,127,2
65,21,127,0
60,17,127,0
62,21,127,0
65,19,127,0
67,23,127,0
60,17,127,0
62,21,127,0
65,30,127,0
62,36,127,0
65,34,127,0
67,34,127,0
60,36,127,0
62,30,127,0
65,36,127,0
62,30,127,0
60,27,127,0
60,34,127,0
56,28,127,2
67,31,127,2
60,31,127,0
65,35,127,0
62,29,127,0
72,33,111,1
69,29,127,0
60,21,127,0
62,21,127,0
67,33,127,0
65,32,127,0
56,33,127,2
69,37,127,0
72,33,127,0
60,21,127,0
62,21,127,1
67,42,127,0
74,42,127,0
72,35,127,0
69,33,127,0
60,21,127,0
62,21,127,0
67,32,127,0
57,58,127,2
67,33,127,0
69,35,127,0
72,41,127,0
60,21,127,0
62,21,127,0
67,34,127,0
44,0,120,1
46,25,120,0
44,21,127,0
45,0,127,3
44,21,120,0
40,0,120,2
46,31,127,0
44,26,127,0
58,37,127,0
56,31,127,0
44,21,120,0
46,25,120,0
44,21,127,0
46,25,127,0
44,21,120,0
46,25,120,0
48,31,120,0
46,26,120,0
58,31,120,0
60,37,120,0
58,26,120,0
61,26,120,0
66,31,120,0
58,0,0,2
61,52,120,1
66,31,120,0
65,29,127,0
60,24,127,0
56,24,127,0
65,25,127,0
60,21,127,0
56,21,127,0
54,26,120,0
57,26,0,2
63,31,120,0
54,26,120,0
58,26,120,0
63,31,120,0
61,29,127,0
56,24,127,0
50,59,127,2
59,21,127,0
70,35,127,0
65,27,127,0
62,21,127,0
58,26,120,0
61,26,120,0
66,31,120,0
58,26,120,0
61,26,120,0
66,31,120,0
65,29,120,0
60,24,120,0
56,24,120,0
56,22,120,0
70,22,127,2
65,27,120,0
65,25,120,0
60,21,120,0
65,0,127,3
51,19,0,2
60,19,120,0
65,23,120,0
54,26,120,0
58,26,120,0
63,64,20,2
54,26,120,0
58,26,120,0
63,31,120,0
61,29,127,0
58,24,127,0
54,24,127,0
53,21,127,0
63,27,127,0
56,21,127,0
52,19,127,0
55,19,127,0
58,24,127,0
51,20,127,0
55,24,127,0
43,20,127,2
51,20,127,0
55,24,127,0
51,20,127,0
46,20,127,1
81,0,127,2
63,24,127,0
45,24,127,2
73,31,127,0
69,31,127,0
61,31,127,1
51,20,127,1
55,0,127,2
49,40,127,2
51,20,127,0
55,24,127,0
51,20,127,0
49,20,127,0
79,35,127,0
83,37,127,1
71,31,127,0
55,38,127,0
59,45,127,0
59,41,120,0
55,34,120,0
56,41,0,2
55,34,120,0
58,43,120,0
54,36,120,0
65,57,120,2
54,31,120,0
58,37,120,0
54,31,120,0
58,37,120,0
54,31,120,0
53,38,127,0
63,45,127,2
57,41,120,0
39,56,127,3
57,41,120,0
53,71,120,1
56,43,127,0
52,9,127,2
60,37,127,0
56,5,127,1
55,39,127,0
59,46,127,0
64,45,127,0
57,1,127,1
58,44,127,2
67,52,127,0
57,38,127,0
64,7,127,1
55,42,127,0
48,50,68,2
57,43,127,0
52,36,127,0
59,47,127,0
55,39,127,0
57,45,127,0
52,38,127,0
59,52,127,0
69,11,127,2
64,50,127,0
57,42,127,0
59,54,127,0
55,45,127,0
52,30,127,0
46,43,127,1
59,42,127,0
55,35,127,0
58,48,127,0
61,48,127,0
53,30,127,1
61,38,127,0
58,38,126,1
49,30,127,0
49,33,127,0
49,0,127,2
61,38,127,0
58,38,127,0
49,30,127,0
49,37,120,0
49,41,120,0
49,30,127,0
49,38,125,2
58,38,127,0
57,50,127,3
49,33,127,0
51,30,127,0
58,30,127,0
63,51,127,0
63,47,120,0
51,71,120,2
53,27,127,0
58,27,127,1
61,46,120,0
61,40,120,0
61,46,120,0
61,41,120,0
54,30,127,0
58,30,127,0
60,51,127,0
55,0,127,2
60,44,120,0
60,33,120,0
56,23,127,0
59,39,127,0
66,50,127,0
63,40,127,0
58,37,127,0
51,37,127,0
70,37,127,0
70,45,127,0
58,40,127,0
58,33,127,0
63,33,127,0
58,33,127,0
51,33,127,0
65,31,127,1
70,37,127,0
58,3,0,2
58,24,127,0
70,0,127,1
77,33,127,0
70,30,120,0
74,39,127,0
70,30,120,0
69,30,120,0
69,30,120,0
69,28,120,0
77,37,127,0
69,28,120,0
79,37,127,0
67,30,127,0
72,39,127,0
74,33,127,0
67,30,120,0
77,39,127,0
70,30,0,2
65,30,127,0
74,33,127,0
72,53,127,1
75,37,127,1
64,30,127,1
74,30,127,0
74,10,59,2
70,30,120,0
70,30,120,0
72,34,127,0
69,30,120,0
69,30,120,0
69,28,120,0
77,38,127,0
69,28,120,0
74,31,127,0
67,30,127,0
53,30,0,2
67,30,120,0
65,30,127,0
62,30,127,0
72,31,127,0
69,28,127,0
62,21,127,0
67,31,127,0
60,21,127,0
71,67,0,3
67,31,127,0
69,36,127,0
72,31,127,0
67,40,127,0
62,21,127,0
60,21,127,0
77,18,127,2
72,34,127,0
69,31,127,0
62,21,127,0
60,21,127,0
67,30,127,1
65,25,127,0
67,31,127,0
69,34,127,0
72,39,127,0
60,21,127,0
67,33,127,0
62,21,127,0
65,30,127,0
60,21,127,0
67,31,127,0
62,21,127,0
58,42,127,3
50,28,127,0
48,21,127,0
50,28,127,0
48,21,127,1
50,28,127,0
66,21,127,2
55,28,127,0
75,64,127,2
73,65,127,1
