note,velocity,time,anomalies
76,32,120,0
77,26,120,0
79,26,120,0
81,26,120,0
76,32,120,0
77,28,120,0
79,28,120,0
81,28,120,0
76,36,90,0
72,68,127,3
79,30,127,1
81,30,90,0
76,36,90,0
77,29,90,0
79,29,90,0
81,29,90,0
76,40,90,0
77,34,90,0
79,34,90,0
81,34,90,0
76,40,90,0
77,33,90,0
79,33,90,0
81,33,90,0
76,40,90,0
77,34,127,1
70,70,127,3
81,34,90,0
77,14,90,2
77,33,90,0
81,33,90,1
81,33,90,0
76,40,90,0
77,34,90,0
91,0,90,2
81,2,90,1
76,40,90,0
77,33,90,0
79,33,90,0
88,55,127,3
76,40,90,0
77,34,90,0
79,34,90,0
81,34,90,0
76,40,90,0
68,33,90,1
79,33,90,0
83,33,127,2
76,36,90,0
78,59,90,2
79,30,90,0
81,30,90,0
80,8,0,3
67,0,90,2
81,29,90,1
79,7,127,2
76,36,90,0
77,30,90,0
79,30,90,0
81,30,90,0
74,36,90,0
76,29,90,0
77,59,127,2
77,29,90,1
76,36,90,0
77,0,90,1
74,30,90,0
76,30,90,0
72,36,90,0
82,62,127,3
70,29,90,0
60,0,90,2
76,36,90,0
77,65,90,1
74,30,127,1
76,30,90,0
72,36,90,0
74,29,90,0
76,29,90,0
77,29,90,0
77,40,120,0
76,38,120,0
77,43,120,0
76,41,120,0
77,46,120,0
76,44,120,0
82,50,120,1
75,21,0,3
77,42,120,0
76,38,120,0
79,41,127,2
76,37,120,0
77,40,120,0
76,37,120,0
77,39,120,0
76,36,120,0
77,40,120,0
74,2,0,3
77,42,120,0
76,39,120,0
77,43,120,0
76,13,127,2
77,45,120,0
76,42,120,0
75,42,120,0
77,38,120,0
75,41,120,0
77,37,120,0
71,39,120,0
73,35,120,0
72,38,120,1
65,70,120,2
75,42,120,0
77,73,127,2
75,41,120,0
77,37,120,0
79,11,127,3
73,35,120,0
71,38,120,0
73,34,120,0
68,37,120,0
70,34,120,0
68,2,120,1
70,34,120,0
68,37,120,0
70,34,120,0
68,37,120,0
82,60,66,3
65,41,120,1
70,36,120,0
68,37,120,0
70,32,120,0
68,33,120,0
70,29,120,0
68,32,120,0
70,28,120,0
68,35,120,0
70,32,120,0
68,34,127,1
70,31,120,0
57,2,127,3
70,29,120,0
68,32,120,0
70,28,120,0
80,14,120,2
70,36,120,0
68,37,120,0
70,32,120,0
68,33,120,0
81,49,120,2
68,32,120,0
70,28,120,0
68,36,120,0
70,37,120,0
68,43,120,0
70,43,120,0
68,38,120,0
70,32,120,0
68,34,120,0
64,28,120,1
68,36,120,0
70,37,120,0
68,43,120,0
70,43,120,0
68,38,120,0
70,32,120,0
68,34,120,0
79,28,0,2
89,39,127,2
66,37,120,0
68,34,120,0
66,37,120,0
68,34,120,0
74,39,127,0
66,37,120,0
68,34,127,1
66,37,120,0
58,60,127,3
76,39,127,0
66,37,120,0
61,0,120,2
66,37,120,0
68,34,120,0
66,37,120,0
68,34,120,0
76,39,127,0
66,37,120,0
82,9,120,2
78,64,127,1
66,37,120,0
68,34,120,0
78,39,127,0
66,37,120,0
68,34,120,0
65,39,127,2
66,37,120,0
68,34,0,1
74,39,127,0
69,37,120,1
68,34,120,0
76,39,127,0
66,36,120,0
68,32,120,0
66,34,120,0
68,31,120,0
67,32,127,2
68,29,120,0
66,31,120,0
68,27,120,0
76,39,127,0
66,37,120,0
68,34,120,0
66,37,120,0
68,34,120,0
72,39,127,0
66,77,120,1
68,34,120,0
66,37,120,0
54,34,120,1
74,3,127,2
65,37,120,0
67,34,120,0
65,37,120,0
67,34,120,0
79,37,120,1
67,34,120,0
74,39,127,0
65,37,120,0
69,12,0,3
76,39,127,0
66,60,120,1
68,34,120,0
76,62,127,2
66,37,120,0
68,34,120,0
72,39,127,0
71,0,0,3
68,34,120,0
80,75,127,3
66,70,0,2
54,71,0,3
74,39,127,0
65,36,120,0
67,32,120,0
65,34,120,0
67,31,120,0
65,0,53,2
67,29,120,0
65,31,120,0
67,27,120,0
58,62,0,3
65,34,90,0
67,34,90,0
69,2,127,2
62,44,90,0
64,33,90,0
65,56,90,1
67,33,90,0
64,40,90,0
65,34,90,0
68,34,0,2
69,34,90,0
62,44,90,0
59,71,127,3
68,0,90,2
73,56,127,3
60,45,127,0
62,40,90,0
63,34,90,0
62,54,90,2
65,34,90,1
62,43,90,0
63,70,127,2
65,39,90,0
67,41,90,0
60,71,127,2
62,18,127,2
67,0,0,3
65,34,90,0
70,34,90,1
62,43,90,0
63,35,90,0
65,66,0,2
67,41,90,0
82,53,127,1
82,47,120,0
82,22,120,1
82,54,120,0
82,46,120,0
82,46,120,0
82,54,120,0
82,47,120,0
82,47,120,0
82,54,8,1
81,50,127,0
79,48,127,0
86,20,127,2
81,63,127,0
79,67,127,0
79,70,127,0
77,98,127,2
76,67,127,0
74,62,127,0
73,64,127,0
70,49,127,0
77,68,127,0
76,61,127,0
74,57,127,0
73,61,127,0
57,14,127,3
77,63,127,0
77,29,127,3
74,50,100,0
73,50,127,0
76,54,127,0
78,57,127,0
85,74,127,0
82,54,127,0
61,39,127,0
64,39,127,0
66,45,127,0
73,62,127,0
83,46,127,1
58,0,0,2
60,25,120,0
58,31,120,0
60,26,120,0
58,29,120,0
60,25,120,0
