note,velocity,time,anomalies
91,89,127,2
87,89,127,2
87,53,127,0
84,49,127,0
87,52,127,0
91,57,127,0
86,52,127,0
89,57,127,0
84,50,127,0
87,55,127,0
86,54,127,0
89,21,127,1
86,50,127,0
89,55,127,0
84,46,127,0
87,50,127,0
86,56,127,0
82,51,127,0
84,51,80,0
74,45,127,0
82,47,80,0
84,51,80,0
82,47,80,0
84,50,80,0
82,46,80,0
84,50,80,0
82,45,80,0
84,48,80,0
82,46,80,0
80,49,80,0
82,50,80,0
80,55,127,0
84,60,127,0
87,57,127,0
84,48,127,0
82,49,127,0
86,53,127,0
80,51,127,0
84,56,127,0
82,49,127,0
86,53,127,0
74,46,127,0
82,51,127,0
75,47,127,0
79,51,127,0
87,48,127,0
91,52,127,0
87,49,127,0
84,45,127,0
87,48,127,0
104,52,127,1
89,55,127,0
86,50,127,0
84,47,127,0
87,51,127,0
86,49,127,0
89,53,127,0
86,46,127,0
89,50,127,0
84,42,127,0
87,46,127,0
82,47,127,0
80,27,127,2
84,47,80,0
74,41,127,0
82,43,80,0
84,47,80,0
82,74,80,1
84,46,80,0
82,41,80,0
84,46,80,0
82,41,80,0
84,44,80,0
82,42,80,0
80,45,80,0
82,46,80,0
80,50,127,0
84,55,127,0
84,46,127,0
87,54,127,0
82,47,127,0
86,51,127,0
80,49,127,0
84,53,127,0
86,52,127,0
82,48,127,0
74,44,127,0
84,85,127,2
75,43,127,0
79,47,127,0
62,40,127,0
65,48,127,0
63,38,127,0
67,51,127,0
65,68,127,3
65,49,127,0
63,39,127,0
67,52,127,1
65,43,127,0
68,57,127,0
67,44,127,0
60,58,127,1
74,62,127,0
65,55,127,0
63,75,127,1
67,58,127,0
62,34,127,0
65,40,127,0
63,32,127,0
67,43,127,0
70,34,127,1
65,41,127,0
63,33,127,0
67,44,127,0
65,36,127,0
68,48,127,0
67,39,127,0
71,72,127,1
74,55,127,0
65,41,127,0
63,39,127,0
67,52,127,0
87,48,127,0
91,52,127,0
87,49,127,0
84,45,127,0
87,82,127,2
91,52,127,0
86,50,127,0
89,55,127,1
84,47,127,0
87,51,127,0
86,49,127,0
89,53,127,0
86,46,127,0
89,50,127,0
78,46,127,2
84,42,127,0
82,47,127,0
86,51,127,0
84,47,80,0
74,41,127,0
82,45,80,0
72,25,0,3
82,43,80,0
84,46,80,0
82,43,80,0
84,46,80,0
82,41,80,0
84,44,80,0
82,42,80,0
80,45,80,0
82,46,80,0
84,55,127,0
85,50,127,1
84,47,127,0
97,53,127,2
82,47,127,0
86,51,127,0
80,49,127,0
84,53,127,0
82,48,127,0
86,52,127,0
74,44,127,0
82,48,127,0
75,43,127,0
79,47,127,0
65,45,127,0
74,56,127,0
74,56,127,0
75,13,127,2
74,56,127,0
75,51,127,0
63,45,127,0
72,56,127,0
72,49,127,0
82,47,127,1
78,27,127,2
65,45,127,0
74,51,127,0
74,51,127,0
72,46,127,2
74,51,127,0
75,44,127,0
63,45,127,0
72,51,127,0
74,61,127,0
65,49,127,0
74,61,127,0
75,56,127,0
74,61,127,0
75,56,127,0
72,61,127,0
68,49,127,0
63,49,127,0
72,61,127,0
74,56,127,0
59,95,127,2
74,56,127,0
62,55,127,0
71,60,127,0
72,49,60,0
71,56,127,0
69,48,127,0
67,53,127,0
65,40,127,0
74,45,127,0
74,45,127,0
75,42,127,0
74,13,127,2
75,42,127,0
63,38,127,0
72,42,127,0
75,48,55,1
79,52,127,0
75,49,127,0
72,45,127,0
77,85,127,2
79,52,127,0
74,50,127,0
77,55,127,0
75,51,127,0
72,47,127,0
74,49,127,0
77,53,127,0
74,46,127,0
77,50,127,0
82,8,127,2
75,46,127,0
70,47,127,0
74,51,127,0
84,47,80,0
74,41,127,0
82,44,80,0
71,47,127,2
82,44,80,0
84,46,80,0
82,46,80,0
74,75,127,3
82,42,80,0
84,44,80,0
82,42,80,0
80,45,80,0
82,46,80,0
68,50,127,0
72,55,127,0
72,50,127,0
75,55,127,0
70,47,127,0
74,51,127,0
68,49,127,0
72,53,127,0
70,48,127,0
87,90,127,2
70,48,127,0
62,40,127,0
63,43,127,0
67,47,127,0
56,50,127,0
67,59,127,2
60,45,127,0
63,54,127,0
58,38,127,0
67,78,127,2
56,41,127,0
60,49,127,0
58,35,127,0
62,42,127,0
58,39,127,0
75,39,127,0
79,44,127,0
75,51,127,0
75,51,127,0
74,46,60,0
75,46,60,0
77,46,60,0
75,51,127,0
74,48,127,0
70,48,127,0
68,31,60,0
70,49,127,0
68,51,127,0
72,51,127,0
70,32,60,0
72,52,127,0
71,46,60,0
72,46,60,0
74,46,60,0
72,51,127,0
71,49,127,0
67,51,127,0
67,49,127,0
67,59,127,0
79,72,127,0
69,45,60,0
58,45,60,1
72,45,60,0
82,77,60,2
72,48,127,0
79,78,127,0
85,79,127,1
78,96,60,1
79,98,127,2
81,62,60,0
79,75,127,0
78,70,127,0
74,70,127,0
72,46,60,0
74,64,127,0
75,72,127,0
75,70,127,0
75,60,60,0
78,60,60,0
75,56,60,0
78,64,127,0
74,58,127,0
77,61,127,0
76,58,127,0
65,42,50,1
72,46,60,0
75,46,60,0
74,42,60,0
75,48,127,0
74,43,127,0
71,48,127,0
67,45,127,0
69,37,60,0
71,36,60,0
72,36,60,0
74,37,60,0
72,44,127,0
75,46,127,0
75,46,127,0
74,40,60,0
75,40,60,0
77,40,60,0
75,46,127,0
74,43,127,0
70,43,127,0
68,28,60,0
70,44,127,0
68,46,127,0
72,46,127,0
70,42,60,0
72,47,127,0
66,63,60,2
72,40,60,0
74,40,60,0
72,46,127,0
71,44,127,0
67,46,127,0
67,44,127,0
67,58,127,0
73,71,127,1
69,43,60,0
71,37,60,0
78,43,60,1
74,37,60,0
72,83,127,2
87,52,127,0
91,57,127,0
89,53,127,1
84,49,127,0
87,77,127,1
91,57,127,0
86,52,127,0
89,57,127,0
84,50,127,0
87,55,127,1
86,54,127,0
89,59,127,0
86,50,127,0
89,55,127,0
84,46,127,0
87,50,127,0
82,51,127,0
86,56,127,0
84,51,80,0
74,45,127,0
82,47,80,0
84,51,80,0
82,71,80,1
84,50,80,0
82,47,80,0
84,50,80,0
82,47,80,0
84,48,80,0
82,46,80,0
80,49,80,0
82,50,80,0
80,55,127,0
84,60,127,0
84,50,127,1
87,55,127,0
82,49,127,0
86,53,127,0
80,51,127,0
84,56,127,0
82,49,127,0
86,53,127,0
74,47,127,0
82,51,127,0
75,47,127,0
79,51,127,0
62,40,127,0
65,48,127,0
63,38,127,0
67,51,127,0
49,73,3,3
65,49,127,0
63,39,127,0
67,52,127,0
65,43,127,0
68,57,127,0
67,44,127,0
71,27,127,1
65,55,127,0
74,62,127,0
64,13,127,2
67,58,127,1
62,34,127,0
65,14,0,2
63,32,127,0
67,43,127,0
62,34,127,0
65,41,127,0
52,61,127,3
67,44,127,0
65,36,127,0
68,48,127,0
67,39,127,0
71,52,127,0
65,41,127,0
74,55,127,0
63,39,127,0
67,52,127,0
87,48,127,0
91,52,127,0
87,49,127,0
84,45,127,0
87,48,127,0
91,52,127,0
86,50,127,0
89,55,127,0
84,47,127,0
87,51,127,0
86,49,127,0
89,53,127,0
86,46,127,0
89,50,127,0
89,9,0,3
87,46,127,0
82,47,127,0
74,79,127,2
84,47,80,0
64,77,127,3
82,44,80,0
84,47,80,0
82,43,80,0
84,46,80,0
82,42,80,0
84,46,80,0
82,42,80,0
84,44,80,0
82,42,80,0
80,45,80,0
82,46,80,0
80,50,127,0
84,55,127,0
84,48,127,0
87,53,127,0
82,47,127,0
86,51,127,0
80,49,127,0
84,53,127,0
82,48,127,0
80,52,127,2
74,44,127,0
82,48,127,0
75,43,127,0
79,47,127,0
65,45,127,0
74,56,127,0
74,92,127,1
75,51,127,0
74,56,127,0
75,51,127,0
63,45,127,0
72,56,127,0
86,49,127,1
68,47,127,0
67,47,127,0
65,45,127,0
74,51,127,0
74,51,127,0
75,47,127,0
74,51,127,0
75,45,127,0
63,45,127,0
72,51,127,0
65,49,127,0
74,61,127,0
74,61,127,0
75,56,127,0
74,61,127,0
75,56,127,0
63,49,127,0
68,49,127,0
72,61,127,0
72,61,127,0
74,56,127,0
72,61,127,0
74,56,127,0
62,55,127,0
71,60,127,0
72,49,60,0
71,56,127,0
69,49,127,0
67,52,127,0
65,40,127,0
74,45,127,0
74,45,127,0
75,42,127,0
74,45,127,0
75,42,127,0
63,38,127,0
72,42,127,0
75,74,127,1
79,52,127,0
75,49,127,0
72,45,127,0
75,48,127,0
79,52,127,0
74,50,127,0
77,55,127,0
72,47,127,0
75,51,127,0
74,49,127,0
77,53,127,0
74,46,127,0
77,50,127,0
72,42,127,0
75,46,127,0
59,47,127,1
74,51,127,0
72,47,80,0
62,41,127,0
70,41,80,0
72,47,80,0
70,39,80,0
72,46,80,0
70,40,80,0
72,46,80,0
70,39,80,0
72,44,80,0
70,38,80,0
68,45,80,0
70,46,80,0
68,50,127,0
72,55,127,0
83,50,127,2
75,55,127,0
70,47,127,0
74,51,127,0
68,49,127,0
72,53,127,0
70,48,127,0
74,52,127,0
62,44,127,0
70,48,127,0
63,43,127,0
67,47,127,0
56,50,127,1
60,59,127,1
60,45,127,0
63,54,127,0
58,38,127,0
62,46,127,1
56,41,127,0
60,49,127,0
70,5,127,2
65,41,107,2
58,41,127,0
75,39,127,0
81,79,127,3
