note,velocity,time,anomalies
85,57,127,1
85,52,127,2
75,91,127,2
90,75,127,3
83,52,127,1
86,57,127,1
86,52,127,0
89,88,127,1
80,72,96,3
87,55,127,1
86,54,127,0
79,59,127,2
86,83,0,2
89,55,127,0
84,46,127,0
74,50,127,1
74,56,127,2
82,15,127,2
92,28,80,2
74,45,127,0
82,86,80,1
78,51,127,2
82,72,80,1
76,71,80,2
82,46,80,0
95,50,0,2
82,22,127,2
81,28,80,2
82,73,80,1
68,13,80,2
79,50,80,1
80,55,127,1
84,60,127,0
87,57,127,0
84,48,127,0
78,87,127,2
86,78,0,2
80,84,127,1
94,92,31,3
82,86,112,2
90,53,127,1
74,46,127,0
82,51,127,0
75,25,127,1
70,16,127,2
92,48,127,1
91,52,127,0
91,74,127,2
70,45,127,1
87,77,127,1
82,52,127,1
89,55,127,0
86,50,127,0
79,70,97,3
87,86,127,1
87,49,127,1
89,53,127,0
86,46,127,0
89,50,127,0
72,42,127,2
76,46,0,2
94,20,127,2
86,51,127,0
84,25,127,2
74,41,127,1
82,70,80,1
84,47,80,0
82,42,80,0
84,84,80,1
70,69,0,3
84,46,80,0
92,7,80,2
84,44,80,0
84,42,127,2
76,10,127,3
82,46,80,0
80,50,127,0
96,55,127,1
93,46,127,2
87,34,127,2
90,20,127,2
86,51,127,0
82,49,127,1
72,53,127,2
86,52,127,0
82,48,127,0
69,77,127,2
85,48,127,1
75,43,127,0
92,21,127,2
68,40,127,1
76,69,0,3
55,69,112,3
74,51,127,2
48,41,127,1
65,19,127,2
63,39,127,0
67,72,127,2
65,20,127,1
68,57,127,0
67,44,127,0
71,58,104,1
74,36,127,2
65,55,127,1
63,52,127,0
55,82,127,3
62,34,102,1
65,40,127,0
53,32,96,2
61,6,127,2
62,34,127,0
52,41,0,2
76,33,127,2
55,44,127,1
65,36,127,0
68,85,127,2
78,11,97,3
78,13,127,3
78,55,127,2
65,41,127,1
77,39,127,1
77,52,127,2
86,72,127,3
82,83,127,2
100,49,127,1
84,45,127,0
87,77,127,1
97,81,127,3
76,50,127,2
89,55,127,0
84,47,127,0
87,89,127,1
86,83,127,1
89,53,127,0
92,86,127,3
94,19,0,3
87,46,0,1
84,70,127,2
70,47,127,1
86,89,127,1
70,68,0,3
64,11,127,2
82,21,80,1
84,47,80,0
69,43,127,2
85,26,80,2
82,64,80,1
84,72,127,2
82,41,80,0
84,44,80,0
81,42,80,1
80,10,0,2
82,46,0,1
93,30,127,2
80,82,127,2
84,47,127,0
87,53,127,0
82,17,127,1
86,51,127,0
87,87,0,3
84,53,127,0
89,76,127,2
93,12,127,2
74,44,127,0
82,70,127,2
75,63,127,1
79,47,127,0
59,8,127,2
74,56,127,0
74,93,127,1
75,51,127,0
73,85,127,3
75,51,127,0
54,45,127,1
62,34,127,2
67,22,127,2
76,47,127,2
59,47,127,2
65,45,127,0
74,51,127,0
79,29,127,2
75,46,127,0
74,51,127,1
79,5,79,3
63,45,127,0
72,18,127,2
74,98,127,2
72,78,127,3
88,61,127,1
72,56,127,2
74,61,127,1
79,56,0,2
72,26,127,2
68,23,127,1
72,49,127,1
72,61,127,0
74,56,127,1
72,61,127,0
74,56,127,0
62,55,127,0
71,26,127,2
72,49,0,1
71,86,127,1
82,18,0,3
67,83,127,1
65,40,127,1
74,45,127,1
65,45,0,2
75,81,127,2
74,12,127,2
62,42,0,2
49,38,127,1
71,42,127,2
75,77,127,2
66,52,127,2
83,87,127,2
72,20,127,2
62,48,127,1
79,23,127,1
79,73,0,3
77,91,127,2
75,51,127,0
71,47,127,1
74,49,127,0
71,75,80,3
82,74,127,2
76,13,127,3
72,42,127,1
75,21,0,2
70,47,127,0
74,82,127,1
97,47,0,2
81,6,127,2
88,79,80,2
94,47,80,1
82,44,80,0
84,81,0,2
74,78,127,3
84,79,80,1
91,42,80,1
84,11,127,2
82,42,0,1
77,14,80,2
82,17,80,1
81,50,127,2
72,84,127,1
68,50,127,1
69,95,127,3
70,80,127,1
64,51,127,1
59,17,127,3
72,53,127,0
70,48,127,0
74,52,127,0
83,27,0,3
72,40,127,2
56,11,127,3
54,47,127,2
56,27,127,2
60,59,127,0
47,45,127,2
63,75,127,2
49,38,127,1
62,82,127,1
56,41,127,1
74,49,127,2
71,35,127,1
62,42,127,0
58,12,0,2
75,11,127,1
79,83,127,2
61,51,127,1
75,82,127,2
74,46,0,1
75,46,60,0
80,17,60,2
75,51,127,0
65,22,127,2
70,13,127,2
68,31,60,0
70,76,127,1
82,51,127,1
58,74,127,3
67,32,127,2
81,83,127,2
59,46,0,2
72,46,60,0
74,82,127,2
77,51,127,1
77,71,127,3
67,51,127,0
77,87,127,3
62,59,127,1
85,72,127,2
69,45,60,0
75,14,127,3
72,45,60,0
77,76,60,2
72,13,127,2
79,78,127,1
79,41,127,1
78,67,60,0
91,67,60,1
81,95,127,2
79,75,127,0
78,70,127,0
82,41,127,2
72,12,127,2
66,24,127,3
79,42,127,3
75,45,127,2
68,39,60,2
68,84,0,3
75,85,125,2
78,64,127,1
74,27,127,2
77,86,127,1
76,81,127,2
72,2,0,2
72,10,60,1
75,20,60,1
74,42,0,1
71,48,127,2
74,43,127,0
71,48,127,1
56,79,127,2
67,73,127,3
71,6,60,1
76,66,60,2
74,16,127,2
72,44,127,0
75,46,127,0
75,84,127,2
80,5,60,2
78,1,127,3
77,68,60,1
75,83,127,1
86,43,127,1
70,73,127,1
72,28,127,2
70,44,127,0
68,46,127,1
72,25,127,2
81,70,60,2
80,47,127,2
73,40,6,2
69,67,127,3
74,66,60,1
66,46,127,1
82,84,127,3
77,82,47,3
67,44,127,1
55,28,127,3
91,71,127,1
81,43,60,1
71,16,60,1
71,77,60,2
74,37,60,0
72,77,127,2
87,52,127,1
91,28,127,1
87,87,127,1
84,49,127,1
