note,velocity,time,anomalies
57,34,127,0
69,42,127,0
67,31,120,0
65,31,120,0
66,8,13,3
58,30,127,0
57,36,127,1
65,36,127,0
60,34,127,0
69,42,127,0
78,32,0,2
65,32,120,0
67,32,120,0
58,30,127,0
69,36,127,0
65,36,127,1
72,70,127,1
74,16,120,1
76,42,120,0
74,62,127,2
73,68,127,2
65,38,127,0
64,42,127,0
63,42,0,2
72,48,127,0
65,40,127,0
77,52,127,0
60,40,127,0
72,50,127,0
71,37,127,1
69,37,120,0
71,37,120,0
62,36,127,0
72,79,127,1
63,43,127,1
64,40,127,0
72,50,127,0
71,38,120,0
57,38,0,2
71,38,120,0
62,36,127,0
72,43,127,0
69,40,127,0
87,12,127,3
77,42,120,0
79,46,120,0
77,75,120,1
65,51,127,2
69,41,127,0
68,45,127,0
72,45,127,0
66,51,127,1
69,42,127,0
81,53,127,0
68,57,127,0
67,61,127,0
66,70,127,0
64,53,127,1
74,93,127,2
75,53,127,0
76,53,127,0
65,42,127,0
77,53,127,0
71,14,127,3
58,41,127,2
59,64,127,2
81,53,127,0
78,47,127,0
74,49,127,0
75,53,127,0
76,54,127,0
65,42,127,0
77,84,127,2
74,53,127,0
69,56,127,0
70,58,127,0
71,63,127,0
72,58,127,0
81,21,127,2
61,86,0,2
65,18,127,2
58,22,127,2
65,46,127,0
68,42,127,0
69,39,127,0
73,31,127,0
65,25,60,0
69,25,60,0
74,63,60,1
69,0,60,1
74,26,60,0
77,33,127,1
89,79,0,3
77,32,60,0
74,32,60,0
64,40,127,0
60,40,127,0
59,30,120,0
60,30,120,0
59,8,0,3
64,34,127,0
60,40,127,1
59,30,120,0
60,30,120,0
62,30,120,0
64,34,127,0
60,29,127,0
52,24,127,0
64,0,127,2
72,27,127,0
84,60,127,2
86,0,127,2
57,2,127,2
69,42,127,0
67,31,120,0
65,31,120,0
67,31,120,0
58,30,127,0
69,56,127,1
65,36,127,0
60,34,127,0
69,42,127,0
67,32,120,0
65,32,120,0
67,32,120,0
63,10,127,3
74,1,127,2
55,36,127,2
72,45,127,1
81,38,127,2
76,42,120,0
74,38,120,0
72,47,127,0
68,0,127,2
64,42,127,0
68,42,127,0
72,48,127,0
65,39,127,0
80,51,127,1
60,40,127,0
