note,velocity,time,anomalies
67,40,127,1
62,32,127,0
67,61,127,2
62,68,127,2
67,37,127,0
66,33,127,0
62,28,127,0
67,35,127,0
78,28,0,2
69,39,127,0
71,32,127,0
66,23,127,0
69,32,127,0
67,38,127,0
70,72,11,3
66,33,127,0
71,36,127,0
74,38,127,0
69,33,127,0
62,28,127,0
66,33,127,0
71,36,127,0
74,38,127,1
70,33,127,1
62,28,127,0
66,33,0,1
71,36,127,0
74,38,127,0
62,26,127,0
69,31,127,0
74,31,127,0
66,23,127,0
76,41,127,0
67,31,127,0
72,27,127,0
78,36,127,0
67,24,40,0
76,32,80,0
66,33,127,0
71,36,127,0
74,38,127,0
69,33,127,0
62,28,127,1
76,38,127,0
79,44,127,0
74,34,127,1
67,28,127,0
68,61,127,3
90,44,127,2
78,34,127,1
67,28,127,0
76,34,127,0
79,37,127,0
67,28,120,0
74,64,127,1
79,65,127,1
76,28,127,0
81,44,127,0
70,7,127,2
78,23,127,0
81,38,100,0
76,38,127,0
79,44,127,0
74,34,127,0
58,0,127,3
81,36,127,0
83,41,127,0
86,52,127,0
79,33,127,0
74,28,127,0
82,36,127,0
86,41,127,0
88,52,127,0
85,33,127,0
76,28,127,0
84,36,127,0
88,42,127,0
90,52,127,0
86,33,127,0
78,8,127,1
83,41,127,0
86,44,127,0
91,48,127,0
79,33,127,0
67,36,127,0
62,28,127,0
67,34,127,0
62,27,127,0
67,33,127,0
66,29,127,0
62,25,127,0
67,31,127,1
64,0,127,1
69,35,127,0
71,28,127,0
66,20,127,0
69,28,127,0
67,34,127,0
62,30,127,0
66,29,127,0
71,32,127,1
74,34,127,0
69,29,127,0
51,25,127,1
66,33,127,0
71,36,127,0
74,38,127,0
69,33,127,0
62,28,127,0
66,33,127,0
71,36,0,1
74,69,127,1
62,26,127,0
69,31,127,1
74,31,127,0
66,23,127,0
76,41,127,0
67,31,127,0
72,27,127,0
78,36,127,1
67,24,40,0
76,32,80,0
66,33,127,0
71,36,127,0
74,38,127,0
69,33,70,1
62,28,127,0
76,38,127,0
79,44,127,0
74,64,95,2
67,28,127,0
76,38,127,0
79,44,127,0
74,34,127,0
67,28,127,0
76,34,127,0
79,37,127,0
67,28,120,0
74,33,127,0
79,8,62,2
76,28,127,0
81,44,127,0
83,39,127,0
78,23,127,0
81,38,100,0
76,38,122,1
79,44,127,0
74,34,127,0
67,28,127,0
81,36,127,0
76,13,127,3
86,52,127,0
79,33,127,0
74,28,127,0
82,36,127,0
86,41,127,0
88,52,127,0
85,33,127,0
76,28,127,0
84,36,127,0
88,42,127,0
90,52,127,0
86,33,127,0
78,28,127,0
83,41,127,0
86,44,127,0
91,48,127,0
79,0,127,2
67,42,60,0
58,35,60,0
66,39,120,0
58,33,127,0
68,35,120,1
69,46,127,0
66,39,127,1
60,73,127,2
70,38,0,1
67,42,60,0
58,35,60,0
66,74,0,2
58,33,127,0
67,35,120,0
69,46,127,0
66,39,127,0
61,59,127,2
70,38,120,0
61,42,60,1
58,35,60,0
66,36,127,0
69,67,0,2
60,73,115,2
70,38,120,0
67,47,60,0
58,39,127,1
66,48,127,0
69,48,120,0
60,40,127,0
70,44,120,0
67,53,60,0
58,44,60,0
70,74,127,2
69,54,120,0
60,45,127,0
70,49,120,0
68,26,0,3
58,49,60,0
66,49,127,0
69,66,24,1
60,49,127,0
70,61,120,0
58,56,127,0
67,66,127,0
69,86,127,1
70,57,120,0
69,45,60,0
70,45,0,1
58,42,127,0
73,58,127,2
67,48,127,0
65,41,127,0
58,29,127,0
62,35,127,0
62,27,127,0
84,42,60,1
61,35,60,0
69,39,120,0
63,33,127,1
70,35,120,0
72,46,127,0
69,39,127,0
63,39,127,0
73,38,120,0
70,42,60,0
61,35,60,0
69,66,120,1
61,33,127,0
79,56,120,2
72,46,127,0
69,39,127,0
63,6,127,2
73,38,120,0
71,42,60,1
61,35,60,0
69,36,127,0
72,42,120,0
63,36,127,0
73,38,120,0
70,47,60,0
61,39,60,0
69,48,127,0
72,48,120,0
63,40,127,0
73,44,120,0
70,53,60,0
59,44,60,1
69,45,127,0
72,54,120,0
63,45,127,0
73,9,127,2
70,59,60,0
61,49,60,0
69,49,127,0
72,66,120,0
63,49,127,0
79,61,127,2
61,56,127,0
70,66,127,0
72,62,127,0
73,57,120,0
72,45,60,0
73,45,60,0
61,42,127,0
72,58,127,0
70,48,127,0
68,41,127,0
55,62,127,2
65,35,127,0
65,27,127,0
64,35,127,0
64,27,127,0
76,36,127,0
69,28,127,0
76,59,127,1
69,27,127,0
76,33,127,1
69,29,127,0
76,31,127,0
77,15,53,2
79,28,127,0
77,28,127,0
76,34,127,0
65,56,127,2
73,29,127,0
77,32,127,0
81,34,127,0
76,69,127,2
69,25,127,0
73,33,127,0
77,36,127,0
81,38,127,0
76,33,127,0
69,28,127,0
73,36,127,0
81,38,127,0
75,26,127,2
67,31,0,2
81,31,127,0
73,23,127,0
82,41,127,0
61,0,127,3
79,27,127,0
84,36,127,0
74,24,0,1
82,32,80,0
73,33,127,0
77,36,127,0
81,38,127,0
76,33,127,0
81,28,127,2
75,41,127,0
82,76,46,2
70,29,127,0
79,35,127,0
82,35,127,0
75,26,127,0
84,47,127,0
79,35,127,0
82,31,127,1
86,41,127,0
