note,velocity,time,anomalies
61,36,120,1
57,36,120,1
70,78,0,3
70,60,120,1
65,36,120,0
77,4,120,2
61,36,120,1
59,37,43,2
65,37,120,1
60,36,120,1
63,36,120,0
70,36,120,1
70,39,120,0
66,39,120,0
66,36,120,0
63,12,61,2
72,36,0,2
63,36,120,0
66,36,120,0
70,36,120,0
72,76,120,2
71,40,120,1
51,15,0,3
51,36,0,2
65,68,120,1
60,6,120,1
65,67,127,2
69,10,9,2
61,43,127,1
65,74,127,2
68,36,120,0
63,39,127,2
71,65,120,1
70,43,120,1
74,40,127,2
68,62,120,1
70,66,0,2
65,43,127,2
84,43,127,2
71,65,0,3
68,40,120,0
69,11,127,3
65,43,127,2
61,43,127,2
60,40,127,2
68,67,0,2
68,40,0,1
84,6,127,3
75,40,127,1
78,63,120,2
70,43,127,1
62,43,127,2
70,40,120,0
69,40,127,2
70,40,120,0
65,40,0,1
62,40,56,2
70,40,120,0
68,46,127,1
86,74,127,2
78,74,0,1
80,74,0,1
82,57,120,1
85,62,0,2
66,96,127,3
78,73,120,0
80,103,120,1
85,79,127,0
82,79,127,0
73,73,120,0
75,73,0,1
91,85,120,1
80,109,0,2
73,39,0,3
71,32,0,3
75,95,120,1
77,54,127,1
92,42,127,2
58,112,127,3
73,73,120,0
86,86,0,2
88,60,120,2
86,31,127,3
61,71,120,1
73,71,0,1
71,80,127,2
75,44,127,2
56,52,120,2
68,95,127,2
73,119,120,1
71,58,120,2
68,107,120,1
76,107,0,3
78,71,0,2
73,51,127,1
70,118,127,2
53,69,120,0
54,107,120,1
56,79,120,0
51,36,127,3
41,67,120,1
54,73,120,0
53,38,120,1
45,63,120,1
57,69,28,2
54,61,120,1
49,61,120,0
51,66,0,1
45,59,120,1
48,59,0,1
52,68,127,3
50,40,127,2
46,62,0,3
46,104,120,1
52,100,120,2
58,35,0,2
58,67,120,0
65,97,127,2
72,114,90,2
70,78,62,1
77,81,0,1
85,85,86,2
70,85,127,1
92,61,127,3
47,58,127,1
50,36,127,0
49,63,127,3
50,74,120,1
52,80,120,2
52,90,0,3
61,46,127,2
44,76,0,3
59,22,120,1
39,42,120,1
53,67,120,1
51,71,0,3
50,4,120,1
53,42,120,0
70,15,127,3
50,46,120,0
53,46,120,0
63,17,120,2
50,49,120,0
43,49,120,1
46,59,120,1
50,48,120,0
53,74,0,2
54,57,0,2
50,76,0,2
48,14,120,2
