note,velocity,time,anomalies
78,15,127,0
85,22,127,0
82,15,127,0
65,15,127,2
85,22,127,0
82,0,127,2
78,16,127,0
85,24,127,0
82,16,127,0
78,15,127,0
96,22,127,2
82,15,127,0
78,0,127,1
85,22,127,0
82,15,127,0
78,15,127,0
85,22,127,0
87,15,127,1
78,0,127,2
87,43,127,2
82,15,127,0
78,16,127,1
85,24,127,0
82,16,127,0
70,52,127,2
85,21,127,0
82,14,127,0
84,14,127,1
85,21,127,0
82,14,127,0
78,15,127,0
85,22,127,0
69,15,127,1
78,48,127,1
85,22,127,0
82,15,127,0
78,0,127,1
84,24,127,1
95,16,127,1
78,14,127,0
85,21,127,0
82,14,127,0
78,0,127,2
77,54,127,2
84,40,127,2
78,0,127,1
77,55,127,3
87,0,127,1
78,16,127,0
82,16,127,0
87,24,127,0
78,16,127,0
82,16,127,0
85,26,127,0
73,16,127,0
82,26,127,0
82,16,127,2
71,48,127,2
75,19,127,0
78,28,127,0
71,19,127,0
75,19,127,0
78,62,127,2
71,18,127,0
75,0,127,2
80,28,127,0
71,18,127,0
75,18,127,0
80,27,127,1
73,16,127,0
78,16,127,0
82,24,127,0
73,16,127,0
78,16,127,0
82,24,127,0
73,18,127,0
78,18,127,0
82,27,127,0
73,16,127,0
78,16,127,0
82,24,127,0
63,54,127,2
78,16,127,0
82,24,127,0
78,20,127,0
85,30,127,0
69,20,127,2
78,20,127,0
82,20,127,0
85,30,127,0
78,23,127,0
82,23,127,0
89,34,127,0
87,32,127,0
82,21,127,0
78,21,127,0
78,21,127,0
82,21,127,0
85,32,127,0
78,23,127,0
87,35,127,0
82,23,127,0
78,21,0,1
82,21,127,0
85,33,127,0
73,23,127,0
93,2,127,3
78,29,127,0
70,0,127,1
86,0,127,3
78,32,127,0
71,20,127,0
64,54,127,2
78,30,127,0
71,20,127,0
75,20,127,1
78,30,127,0
71,23,127,0
76,23,127,1
82,35,127,0
71,20,127,0
75,20,127,0
80,31,127,0
71,20,127,0
75,43,127,1
78,31,127,0
79,56,127,2
78,20,127,0
82,30,127,0
84,56,127,2
78,20,127,0
82,30,127,0
73,49,127,1
78,21,127,0
82,6,127,1
73,20,127,0
78,20,127,0
82,30,127,0
62,20,127,1
78,20,127,0
82,30,127,0
74,27,127,0
78,27,127,0
72,53,84,3
74,27,127,0
78,27,127,0
73,11,127,2
74,30,127,0
78,30,127,0
82,36,127,0
74,33,127,0
78,33,127,0
82,39,127,0
75,32,127,0
78,32,127,0
82,38,127,0
75,32,127,0
78,32,127,0
82,38,127,0
70,27,0,2
70,27,127,0
80,12,127,2
66,27,127,0
70,27,127,0
63,67,127,2
74,27,127,0
78,27,127,0
82,32,127,0
65,52,127,3
92,27,127,2
82,65,127,2
86,65,127,2
78,55,127,2
81,36,127,2
75,8,127,2
78,33,127,1
85,39,127,0
75,35,127,0
78,35,127,0
82,42,127,0
75,36,127,0
80,2,127,3
82,43,127,0
75,37,127,0
78,37,127,0
82,45,127,0
75,39,127,0
78,39,127,0
82,46,127,0
75,40,127,0
78,40,127,0
82,48,127,0
74,33,127,0
78,33,127,0
82,40,127,0
74,33,127,0
78,33,127,1
82,60,127,2
70,33,127,1
78,62,127,1
82,40,127,0
74,34,127,0
78,34,127,0
82,41,127,0
74,34,127,0
78,34,127,0
81,41,127,0
73,33,127,0
77,33,127,0
81,70,127,2
67,66,127,2
77,32,127,0
81,0,127,2
73,31,127,0
77,31,127,0
80,37,127,0
73,31,127,0
77,31,127,0
80,37,127,0
72,33,127,0
80,71,48,3
80,39,127,0
72,33,127,0
76,33,127,0
80,39,127,0
72,33,127,0
76,33,127,0
94,11,127,2
76,34,127,0
84,41,127,0
73,34,127,0
77,34,127,0
80,41,127,0
73,9,127,2
77,34,127,1
79,69,127,3
89,53,127,0
77,39,127,0
80,39,127,0
85,47,127,0
77,39,127,1
80,39,127,0
84,47,127,0
75,0,127,2
77,38,127,1
83,45,127,0
73,38,127,1
77,38,127,0
83,24,127,2
73,39,127,0
65,77,127,3
83,12,127,2
73,37,127,0
77,37,127,0
82,44,127,0
87,8,127,3
77,37,127,0
81,44,127,0
73,37,127,0
76,37,127,2
81,44,127,1
73,37,127,0
77,37,127,0
81,44,127,1
73,37,127,0
77,37,127,0
71,81,127,2
73,37,127,0
77,37,127,0
81,44,127,0
62,37,127,1
73,37,127,2
76,83,127,2
75,39,127,0
78,39,127,0
69,70,127,2
78,44,127,0
63,69,127,3
85,52,127,0
75,40,127,0
78,40,127,0
84,48,127,0
75,40,127,0
78,40,127,0
82,15,127,1
77,41,127,0
80,41,127,0
85,48,127,1
77,36,127,0
80,36,127,0
85,44,127,0
77,33,127,0
80,8,127,2
85,1,127,2
77,29,127,0
80,29,127,0
85,34,127,0
78,0,127,3
76,0,127,3
85,31,127,0
78,15,127,0
85,58,127,1
82,15,127,0
78,41,37,2
85,22,127,0
82,15,127,0
78,0,127,2
85,24,127,0
82,16,127,0
78,14,127,0
85,21,127,0
82,14,127,0
78,0,0,2
87,21,127,0
82,14,127,0
78,16,127,1
82,16,127,0
87,24,127,0
78,16,127,0
82,16,127,0
87,24,127,0
78,16,127,0
79,47,127,2
85,26,127,0
73,16,127,0
82,26,127,0
78,16,127,0
71,19,127,0
75,19,127,1
78,4,127,2
75,19,127,2
75,19,127,0
78,28,127,0
71,18,127,0
75,18,127,0
69,28,127,1
71,18,127,0
75,18,127,0
80,27,127,0
73,16,127,0
78,16,127,0
82,24,127,0
73,16,127,0
89,0,127,3
82,24,127,0
73,18,127,0
78,18,127,0
82,27,127,0
73,16,127,0
65,16,127,2
82,24,127,0
73,16,127,1
78,16,127,0
75,24,127,2
78,20,127,0
92,10,127,2
69,20,127,1
78,20,127,0
82,20,127,0
85,30,127,0
71,23,127,2
70,0,127,2
87,34,127,1
87,32,127,0
82,21,127,0
78,21,127,0
78,0,127,1
82,21,127,0
94,32,1,2
78,23,127,0
87,35,127,0
82,23,127,1
78,21,127,0
82,21,127,0
85,33,127,0
73,23,127,0
82,34,127,0
78,23,127,0
83,21,127,1
76,43,127,3
78,32,127,0
71,20,127,0
75,20,127,0
78,30,127,0
71,20,127,0
75,20,127,0
78,0,127,1
71,23,127,0
75,0,127,2
94,4,127,2
71,20,127,0
75,20,127,0
80,31,127,0
68,20,17,2
75,20,127,0
78,31,127,0
79,20,127,1
78,20,127,0
82,30,127,0
73,20,127,0
78,20,127,0
76,30,127,2
