note,velocity,time,anomalies
70,57,127,2
64,92,127,1
64,31,127,1
63,57,127,0
49,90,127,3
59,13,127,1
61,53,127,0
57,22,127,1
56,11,127,2
55,31,127,3
61,45,127,0
66,54,89,1
61,80,1,2
66,51,127,0
59,41,127,0
66,49,127,0
68,48,54,2
54,40,127,2
68,52,127,0
45,66,127,2
62,64,26,2
66,91,127,3
73,49,127,2
71,69,127,0
82,100,127,2
55,40,127,2
71,69,127,2
69,69,127,0
63,60,127,0
64,20,127,1
68,62,127,0
48,56,127,2
66,66,127,0
49,47,127,1
59,35,127,2
66,56,127,0
63,10,127,2
65,68,127,3
64,75,127,1
54,45,127,2
68,37,127,2
56,71,127,2
59,52,127,2
68,31,127,0
66,79,127,2
78,49,127,2
55,41,127,1
88,20,127,3
64,40,127,0
65,82,127,2
68,51,127,0
67,14,127,2
63,39,127,0
65,23,127,2
59,58,127,2
68,36,127,1
73,52,127,0
56,46,127,2
75,55,127,0
58,50,127,1
64,43,127,0
86,57,127,1
73,55,127,0
66,47,57,2
68,57,127,1
62,53,127,1
68,42,127,2
85,50,127,1
59,57,127,1
53,30,127,2
64,21,127,1
63,57,127,0
61,84,127,1
59,55,127,1
67,53,127,1
48,45,127,2
56,44,127,0
64,52,127,0
61,23,127,1
66,56,127,0
66,54,127,1
57,45,127,1
59,82,127,2
48,44,127,1
66,52,127,1
64,49,127,0
51,75,127,2
56,69,127,1
52,83,127,2
71,75,127,1
68,31,127,0
73,52,127,0
80,49,127,2
66,41,127,1
72,53,127,2
64,40,127,0
71,65,127,1
68,71,127,1
70,23,127,1
63,39,127,0
71,47,127,0
75,84,127,2
79,13,127,2
73,18,0,2
75,55,127,0
71,10,127,2
79,12,127,2
70,15,127,3
72,57,127,1
70,16,127,2
59,75,127,3
66,53,127,2
70,50,127,0
63,40,127,0
71,19,127,1
59,57,127,1
64,60,127,0
64,33,127,1
69,57,127,2
61,81,127,1
51,34,127,3
51,7,127,2
61,53,127,1
56,44,127,1
64,52,127,0
70,61,127,2
71,21,127,2
70,27,127,2
57,39,127,0
59,33,127,1
44,0,127,2
66,39,127,0
62,65,127,3
78,33,127,1
59,28,127,1
43,51,127,2
59,31,127,0
58,59,127,2
67,37,127,1
73,33,127,1
67,33,127,0
71,13,127,2
63,64,83,3
71,14,127,1
76,15,127,1
61,77,127,2
71,38,127,1
76,45,127,0
64,37,127,1
72,37,0,2
62,18,127,3
59,13,127,1
64,42,127,0
70,73,127,2
64,51,127,0
67,15,127,1
71,60,127,0
65,30,127,3
66,38,127,2
69,60,127,0
74,70,127,0
60,71,127,1
57,76,127,2
69,71,127,2
65,12,127,1
69,67,127,1
72,55,127,0
69,54,127,0
82,54,127,1
68,32,34,3
69,38,127,2
76,86,127,3
77,53,127,2
65,51,127,0
69,25,127,1
72,60,127,0
53,45,127,2
72,45,127,2
71,14,127,3
69,39,127,0
70,25,127,3
64,67,127,1
69,37,127,1
71,44,127,0
59,73,127,3
59,29,70,1
64,29,0,1
68,35,0,2
64,33,127,0
67,33,127,0
71,39,127,1
67,13,127,1
85,7,58,3
76,43,127,0
67,18,127,2
71,69,127,2
76,79,127,2
52,39,127,1
67,14,0,2
71,75,127,1
59,68,127,2
64,44,91,1
67,87,127,2
66,52,127,1
67,52,127,0
85,92,127,3
62,41,127,2
68,95,127,3
61,62,127,2
74,73,127,0
50,33,127,2
73,33,127,1
69,39,0,1
65,14,127,1
73,17,127,2
72,50,127,1
69,53,127,1
60,53,0,2
69,63,127,2
69,84,127,1
72,63,127,1
68,113,127,3
69,80,0,2
73,99,105,3
70,51,127,1
60,48,127,0
77,48,127,2
69,28,127,2
61,38,127,1
86,11,127,2
64,38,127,0
64,60,127,2
79,32,127,1
61,3,127,2
71,52,127,0
64,53,127,3
73,91,127,1
75,18,127,1
66,41,127,0
64,40,127,1
87,53,127,1
71,51,127,1
74,51,127,1
70,89,127,2
63,16,127,1
71,10,127,2
71,83,127,2
75,59,127,3
73,52,0,1
64,13,127,2
82,81,127,3
71,50,127,0
80,57,127,1
64,43,127,0
80,17,127,3
66,80,0,3
68,89,9,2
61,51,127,1
57,49,127,1
75,64,127,2
61,62,127,2
69,36,127,3
64,101,127,1
68,91,127,2
61,62,127,1
59,24,127,2
51,27,127,3
58,88,127,3
64,57,127,1
56,48,127,0
61,80,127,2
66,59,127,0
58,83,127,2
66,23,127,1
61,70,127,2
73,73,127,3
60,45,127,2
69,23,127,1
68,49,127,0
62,75,127,2
68,64,127,1
66,71,75,2
73,67,127,0
78,69,127,1
69,69,0,1
68,37,127,1
61,58,127,1
59,69,127,2
65,57,127,1
75,29,127,2
68,66,127,1
65,27,127,2
61,47,127,0
59,56,127,2
48,77,127,3
66,15,127,2
63,4,127,3
45,41,127,1
72,49,127,2
78,3,127,3
56,23,127,1
59,23,127,0
64,27,127,0
