note,velocity,time,anomalies
64,50,127,0
66,70,0,2
68,49,60,0
69,53,127,0
70,56,127,1
73,87,0,3
68,50,60,0
66,48,37,1
69,39,60,0
66,50,120,0
69,78,127,3
52,70,120,2
66,46,60,0
68,49,60,0
68,54,127,0
69,51,127,0
69,51,60,0
71,56,60,0
68,50,60,0
68,85,127,2
66,50,120,0
82,39,7,2
66,50,120,0
64,47,127,0
67,37,127,0
81,80,127,3
76,48,127,0
68,40,127,0
61,16,127,3
76,52,127,0
71,45,127,0
76,54,127,0
69,44,0,2
72,44,0,1
74,48,127,0
72,44,127,0
64,60,127,1
72,48,127,0
65,40,127,0
66,79,73,2
72,30,127,1
67,45,127,1
72,54,127,0
71,44,127,1
69,5,127,1
71,48,127,0
65,45,127,0
69,17,127,2
69,44,127,0
67,44,127,0
70,17,127,3
65,59,127,0
67,43,127,1
64,48,127,0
62,22,127,1
64,52,127,0
60,86,127,1
65,39,127,1
67,61,120,0
60,51,120,0
69,57,120,0
60,48,120,0
65,66,127,0
61,84,127,2
63,87,127,2
62,40,127,1
64,41,127,0
59,34,127,0
57,50,127,2
66,48,120,0
68,46,60,0
79,19,109,3
69,54,127,0
72,94,120,2
68,53,60,0
66,48,127,0
75,75,0,3
66,50,120,0
64,47,127,0
64,43,127,1
66,48,60,0
68,44,60,0
68,27,127,2
69,50,127,0
69,52,60,0
71,56,60,0
68,76,60,1
68,48,127,0
66,16,120,1
69,79,60,1
66,50,120,0
64,19,127,2
67,65,127,1
76,44,127,0
68,40,127,0
83,48,127,1
69,44,127,1
76,29,0,2
89,54,40,2
68,69,127,2
74,44,127,0
69,70,0,3
74,48,127,0
64,37,127,0
72,75,127,2
72,48,127,0
65,63,127,2
72,52,127,0
66,44,27,1
72,54,127,0
67,45,127,0
71,5,127,2
69,73,127,1
83,48,127,2
65,15,127,1
71,54,127,0
69,67,127,1
67,44,127,0
69,26,127,2
65,81,0,2
67,44,127,0
64,48,127,0
62,24,0,2
64,52,127,0
60,51,127,0
62,29,127,3
60,51,120,0
67,61,120,0
72,8,127,3
69,57,120,0
60,56,127,0
62,93,54,3
62,48,127,0
59,61,127,1
48,54,127,2
64,20,127,2
77,39,127,1
76,47,127,1
73,39,127,1
76,47,127,0
76,47,127,0
81,78,36,3
74,39,127,0
78,39,127,2
74,39,127,0
76,47,127,0
73,39,127,0
76,47,127,0
73,68,127,1
76,47,127,0
74,70,127,2
57,6,127,2
74,42,127,2
68,35,127,0
74,7,127,1
76,42,127,0
73,39,127,1
76,47,127,0
76,47,127,1
73,72,113,2
62,39,127,1
76,47,127,0
73,39,127,0
76,47,127,0
71,0,127,2
76,49,127,1
73,40,127,0
76,49,127,0
76,42,127,0
73,35,127,0
73,35,127,0
76,42,127,0
73,39,127,0
76,47,127,0
59,3,127,3
76,47,127,0
76,47,127,0
68,39,127,0
75,39,127,1
54,60,127,3
74,39,127,0
79,72,127,2
73,39,127,0
76,14,127,2
76,19,127,3
76,47,127,0
74,35,127,0
68,4,127,2
76,42,127,0
68,35,127,0
74,35,127,0
76,42,127,0
73,39,127,0
76,9,127,2
76,47,127,0
73,39,127,0
73,42,127,0
76,76,127,2
73,42,127,0
76,51,127,0
66,46,127,1
76,56,127,0
73,46,127,0
76,56,127,0
76,61,127,0
68,77,127,2
60,50,127,2
64,61,127,1
64,45,127,0
78,42,0,2
68,39,60,0
73,68,127,2
69,49,127,0
71,52,38,1
59,22,127,3
79,76,127,2
69,35,60,0
66,45,120,0
64,42,127,0
64,38,60,0
58,43,127,2
68,39,60,0
77,45,127,2
65,45,127,1
73,26,0,3
71,51,60,0
55,45,60,1
68,43,127,0
66,75,127,2
69,8,60,1
66,45,120,0
64,42,127,0
67,37,127,0
62,83,127,2
61,70,127,3
76,48,127,0
76,52,127,0
69,44,127,0
71,45,127,0
76,78,127,1
74,69,127,1
72,44,127,0
74,48,127,0
72,44,127,0
64,37,127,0
72,48,127,0
65,63,127,2
76,52,127,1
77,68,127,2
67,45,127,0
86,54,127,1
82,44,127,2
71,82,127,2
71,48,127,0
70,84,127,3
65,45,127,0
80,66,127,2
81,44,127,1
72,13,127,2
67,49,127,0
65,59,127,0
74,48,127,2
62,48,73,1
64,52,127,0
60,51,127,0
74,81,127,2
60,51,120,0
67,61,120,0
60,13,120,1
69,57,120,0
60,56,127,0
65,66,127,0
59,40,127,0
52,18,127,3
64,41,127,0
59,34,127,0
69,46,127,0
61,72,127,1
71,48,127,0
68,45,127,1
69,35,60,0
61,36,127,2
66,45,13,1
64,21,0,2
51,42,127,1
69,46,127,0
61,36,127,0
71,70,127,1
73,88,127,2
59,48,127,2
75,24,127,2
70,63,60,2
59,58,127,2
79,45,0,2
64,45,120,0
64,42,127,0
55,0,0,3
55,36,127,1
58,45,127,2
64,69,127,2
69,0,60,1
60,32,127,1
65,77,120,1
73,3,127,2
