note,velocity,time,anomalies
57,31,127,0
50,31,0,1
50,31,127,0
57,31,127,0
50,36,127,0
57,36,127,0
50,31,127,0
57,31,127,0
50,31,127,0
57,31,127,0
50,35,127,0
57,35,127,0
69,39,80,0
61,73,127,3
69,41,80,0
66,44,127,0
69,44,127,0
63,42,60,1
74,80,60,1
78,42,60,0
66,45,60,0
76,45,127,0
66,16,127,1
74,42,127,0
66,42,60,0
69,41,60,0
80,70,0,3
71,45,127,0
69,45,127,0
66,45,127,0
66,41,127,0
69,41,127,0
71,41,127,0
80,79,120,2
71,41,120,0
69,41,120,0
71,41,127,0
69,41,127,0
66,41,127,0
62,42,60,0
66,42,60,0
62,42,60,0
68,42,60,0
66,42,60,0
62,45,127,0
66,45,127,0
69,45,127,0
71,22,127,2
66,44,60,0
62,6,127,2
62,44,60,0
73,19,127,3
61,44,127,2
69,45,127,0
62,45,127,0
66,45,127,0
71,42,127,0
62,44,120,0
66,44,120,0
63,44,60,1
62,44,60,0
68,44,60,0
62,47,127,0
51,86,127,2
69,47,127,0
61,42,127,0
56,76,0,3
69,42,120,0
61,42,120,0
69,42,127,0
61,42,127,0
73,44,80,0
74,44,80,0
73,44,80,0
71,47,127,0
74,47,127,1
79,49,60,0
71,49,60,0
70,75,127,3
71,45,60,0
81,48,127,0
71,41,127,0
79,42,127,0
71,42,60,0
67,42,60,0
67,42,60,0
71,42,60,0
61,42,60,1
78,46,127,0
74,46,127,0
77,76,127,3
67,46,127,0
78,42,127,0
74,42,127,0
71,42,127,0
67,42,127,0
78,42,120,0
74,42,120,0
71,42,120,0
67,77,127,2
78,42,127,1
62,17,127,3
67,42,127,0
71,42,127,1
64,76,60,2
67,42,60,0
73,42,60,0
80,3,60,2
67,42,60,0
74,46,127,0
67,46,127,0
71,46,127,0
76,42,127,0
71,45,60,0
67,45,60,0
67,45,60,0
71,45,60,0
73,45,60,0
60,19,127,2
67,47,127,0
71,47,127,0
76,44,127,0
71,45,60,0
67,45,0,1
67,45,60,0
71,45,60,0
73,84,0,2
74,49,127,0
69,49,127,0
65,49,127,1
74,45,127,0
66,45,127,0
74,45,120,0
58,45,120,1
74,77,0,2
66,22,121,2
62,27,127,0
69,27,127,0
60,0,127,3
69,27,127,0
50,67,0,3
69,33,127,0
62,47,127,2
57,7,127,2
62,27,127,0
69,27,127,0
62,31,127,0
69,31,127,0
81,0,0,2
83,35,80,0
81,36,80,0
78,39,127,0
81,39,127,0
76,6,0,3
86,39,60,0
90,70,127,2
85,61,0,3
88,41,127,0
78,33,127,0
86,37,127,0
78,37,60,0
81,36,60,0
78,36,60,0
78,78,127,2
81,39,127,0
83,39,127,0
77,74,127,2
81,37,127,0
83,37,127,0
83,37,120,0
78,37,120,0
85,11,120,2
78,37,127,0
81,3,127,2
83,37,127,0
85,62,127,3
78,38,60,0
74,38,60,0
80,38,60,0
78,38,60,0
81,41,127,0
78,41,127,0
74,41,127,0
83,37,127,0
78,39,60,0
74,39,60,0
80,38,60,0
74,38,60,0
78,38,60,0
78,41,127,0
74,41,127,0
81,41,127,0
83,37,127,0
78,39,127,2
78,39,60,0
80,39,60,0
73,6,60,2
77,65,60,2
74,41,127,0
76,41,127,0
81,41,127,0
73,38,127,0
81,38,127,0
73,70,0,2
73,67,120,2
73,38,127,0
81,38,127,1
92,39,80,1
86,39,80,0
93,39,127,2
83,42,127,0
86,42,127,0
91,44,60,0
83,44,60,0
95,39,60,0
83,39,60,0
93,42,127,0
83,37,127,0
91,38,127,0
83,38,60,0
79,38,60,0
83,38,60,0
79,38,60,0
86,38,60,0
83,42,127,0
86,62,127,1
90,42,127,0
79,42,127,0
83,37,127,0
86,37,127,0
90,37,127,0
79,37,127,0
83,37,120,0
86,37,120,0
90,37,120,0
79,37,120,0
83,37,127,0
86,37,127,0
90,37,127,0
79,37,127,0
79,38,60,0
83,38,60,0
85,38,60,0
83,38,60,0
79,38,60,0
83,19,127,1
79,42,127,0
86,42,127,0
99,16,127,2
92,0,0,3
79,39,60,0
85,69,60,1
83,39,60,0
79,39,60,0
86,42,127,0
83,42,127,0
79,42,127,0
88,39,127,0
96,39,60,1
79,39,60,0
85,39,60,0
83,0,127,2
79,39,60,0
86,44,127,0
81,44,127,0
70,44,127,2
86,39,127,0
78,39,127,0
95,39,0,2
78,39,120,0
86,39,127,0
78,39,127,0
59,49,0,3
64,75,127,0
59,46,0,2
61,68,0,1
49,105,60,2
63,28,120,2
66,104,127,1
59,68,120,0
61,75,120,0
57,111,127,2
59,69,120,0
61,94,0,2
57,69,60,0
62,46,120,1
66,71,127,0
59,68,120,0
74,56,127,0
78,56,80,0
68,18,127,1
80,56,80,0
78,32,0,2
65,60,120,1
73,60,120,0
69,60,120,0
73,59,120,0
