note,velocity,time,anomalies
67,46,127,0
62,10,127,3
71,47,60,0
69,68,127,2
71,49,127,2
55,15,127,3
53,68,120,2
67,81,30,1
55,45,30,1
64,21,0,2
66,45,30,0
81,75,90,2
67,45,90,0
71,45,0,2
67,78,127,1
62,45,0,1
77,45,97,2
72,45,0,1
62,41,127,1
71,49,127,0
76,45,127,1
71,45,127,1
66,75,127,1
62,6,127,2
74,87,127,1
72,45,0,1
67,76,127,1
72,7,127,2
67,21,127,2
71,14,127,1
66,45,127,0
65,66,127,2
66,45,127,0
80,67,127,2
54,45,127,1
63,45,127,2
68,46,127,1
71,17,127,1
69,9,127,1
72,49,127,0
71,51,127,1
74,18,127,1
72,51,127,0
76,51,127,0
73,51,127,2
79,11,127,3
72,52,0,1
58,27,127,3
71,3,127,2
72,44,80,0
67,10,127,2
71,11,127,1
69,49,127,1
72,49,127,0
71,49,127,0
74,49,127,0
67,51,127,1
72,22,0,2
63,51,127,2
76,51,127,1
74,30,62,2
79,90,127,1
93,17,127,2
76,20,127,3
80,83,120,2
78,57,0,1
73,28,120,2
87,23,120,2
73,49,120,0
76,47,127,0
74,73,127,1
69,68,127,3
72,44,127,1
77,7,120,2
72,44,120,0
69,44,120,0
67,79,127,1
71,86,127,2
63,75,127,2
71,82,127,2
64,77,127,2
66,19,0,2
67,45,30,0
66,45,30,0
64,45,30,0
61,45,30,1
67,46,90,0
67,45,90,0
67,45,90,0
80,45,127,1
51,45,127,2
79,65,127,2
72,45,60,0
51,41,127,1
65,24,127,2
66,45,127,2
71,45,127,0
66,44,127,0
50,36,127,2
74,13,127,1
59,24,127,3
80,83,127,2
78,45,0,2
68,47,127,1
71,47,32,1
66,45,127,0
60,45,127,1
66,45,127,0
63,21,127,2
66,24,127,2
64,45,127,2
68,46,127,0
71,17,127,1
72,84,127,3
72,84,127,1
71,14,117,2
74,51,127,0
72,51,127,0
76,51,127,0
81,73,127,2
76,51,127,1
72,84,127,2
75,21,0,3
71,46,80,0
72,46,0,1
53,50,0,2
65,50,127,1
69,49,127,0
64,49,127,1
71,49,127,1
78,80,127,3
65,87,127,3
84,51,127,2
74,19,0,2
76,51,127,0
74,53,127,0
78,21,127,3
86,22,127,3
81,60,127,1
79,53,0,1
67,82,0,3
76,52,120,0
74,91,127,2
71,16,0,3
76,11,127,2
65,4,127,3
61,68,127,3
74,75,127,2
79,53,127,0
79,81,127,1
69,11,0,3
81,51,127,0
79,73,127,2
81,76,127,2
76,49,127,0
74,25,127,2
70,47,90,1
74,47,127,1
76,47,127,1
67,51,127,2
76,28,127,2
78,83,0,2
66,45,0,2
78,5,30,1
62,45,30,1
74,45,30,1
72,31,127,3
69,72,127,2
85,50,127,2
71,70,127,3
72,39,30,1
73,39,30,0
71,73,127,2
66,39,0,2
68,46,0,2
74,42,120,0
74,43,120,0
74,11,127,2
74,45,127,1
74,44,120,0
74,45,120,0
74,62,120,1
74,72,0,2
74,37,127,1
69,59,0,3
76,36,127,0
88,36,127,2
71,37,127,2
78,37,127,0
79,36,127,0
91,36,127,1
81,40,127,0
84,40,9,1
83,36,127,0
75,36,127,1
72,47,97,1
75,47,127,1
71,27,127,1
79,47,127,0
72,45,127,0
73,5,127,2
74,16,60,2
72,45,0,1
70,7,60,2
66,45,60,1
76,45,60,1
69,44,60,0
67,49,127,0
62,47,60,1
69,20,127,1
62,49,127,0
64,45,127,0
66,21,120,1
67,45,40,0
66,18,40,1
64,22,0,2
63,45,30,1
67,9,0,2
67,16,90,1
59,15,90,2
62,45,127,1
62,67,0,2
69,45,127,0
66,12,127,3
48,67,127,2
71,49,127,0
75,9,127,2
71,45,127,1
59,16,127,3
62,76,127,2
74,86,127,2
72,45,127,1
67,78,127,1
71,5,127,2
65,47,127,2
71,47,127,0
66,45,127,0
69,45,0,1
63,45,127,1
69,45,127,0
66,45,127,0
75,45,127,1
62,86,127,2
85,6,127,2
80,49,127,2
72,82,0,2
71,18,0,2
74,51,127,0
72,77,127,2
86,51,127,2
72,51,127,0
76,90,77,2
74,45,120,1
69,45,127,0
80,71,40,2
80,43,0,2
71,43,40,0
74,43,127,2
67,46,127,0
71,46,127,0
72,45,127,2
72,68,127,2
71,66,120,1
74,6,120,1
81,45,127,2
73,45,40,1
86,79,0,3
71,74,127,2
74,47,127,1
60,65,127,2
67,40,120,0
69,36,0,1
67,12,127,2
58,36,40,1
67,1,30,1
60,44,127,0
77,44,127,1
64,41,127,1
72,16,127,1
62,41,21,1
71,70,127,1
60,44,127,0
80,44,0,2
66,36,127,2
69,36,0,1
67,63,127,2
66,3,127,3
59,40,127,0
57,61,127,2
57,69,0,2
66,56,120,1
67,0,0,2
66,35,40,0
64,9,40,1
66,1,40,1
49,76,127,3
69,15,127,2
52,30,127,2
61,61,65,3
71,67,127,2
67,30,127,0
73,30,127,2
67,30,127,0
79,32,127,2
87,53,127,1
70,51,0,2
81,51,5,1
82,81,127,3
78,10,127,2
76,88,127,1
74,50,90,0
81,47,90,1
60,47,127,2
80,47,127,1
75,51,127,0
76,52,127,0
75,54,120,1
92,45,0,2
78,45,127,1
76,67,0,2
78,6,40,1
79,57,127,0
76,30,127,2
71,50,0,1
73,46,120,0
74,75,127,2
68,39,40,1
71,39,40,0
73,17,0,2
74,15,120,1
85,20,120,2
66,43,120,1
74,11,127,2
74,45,120,0
61,69,127,3
74,45,59,1
84,41,120,1
81,3,0,3
74,37,127,0
78,11,127,2
76,63,127,1
79,16,127,2
81,37,127,0
79,37,127,1
79,69,0,2
73,1,127,2
81,40,127,0
84,6,127,1
83,36,127,0
79,56,127,1
71,81,127,2
86,70,127,3
71,18,127,1
86,15,127,3
72,15,127,1
70,45,127,1
71,43,60,0
72,45,60,0
66,47,60,1
80,45,60,1
65,81,60,2
68,82,60,2
56,49,0,2
71,15,60,1
69,47,50,1
62,49,127,0
64,45,127,0
66,45,127,1
53,45,127,2
62,45,127,2
76,45,0,2
62,73,127,3
67,46,90,0
75,67,127,3
57,45,127,2
72,11,127,3
62,45,127,0
67,45,127,1
72,45,60,0
62,9,127,1
71,10,127,2
63,45,127,1
71,74,0,2
66,44,127,1
62,36,127,0
74,13,127,1
68,45,127,2
67,45,127,1
57,12,127,2
67,47,127,1
71,24,127,1
66,45,127,0
69,45,127,0
52,11,15,3
69,84,127,1
58,11,127,3
69,45,127,0
68,46,127,0
74,21,127,2
75,23,127,2
72,70,0,2
70,51,0,2
74,80,127,1
72,51,127,0
76,51,127,0
82,51,127,2
76,71,127,2
60,24,120,2
69,45,127,0
67,43,127,2
72,43,0,1
71,43,0,1
58,66,40,2
67,46,127,0
71,12,127,1
69,45,127,0
67,45,0,2
71,15,127,2
74,45,120,0
73,45,40,0
83,83,40,2
76,45,0,1
71,74,127,1
74,47,127,0
50,68,127,2
67,40,120,0
56,36,127,2
67,62,40,1
76,56,0,3
59,36,40,1
57,68,127,2
69,44,127,0
59,41,127,1
72,41,0,1
62,20,127,1
71,81,127,1
60,44,127,0
69,66,0,2
71,36,30,0
69,14,30,1
79,36,30,1
69,36,30,0
60,6,127,2
67,40,0,1
57,35,127,0
66,35,120,0
67,6,127,2
66,35,40,0
64,35,40,0
61,65,0,3
73,39,55,2
58,39,127,1
59,67,127,1
67,58,127,2
59,30,127,0
64,30,127,2
59,0,127,2
66,54,127,2
80,64,120,2
76,75,127,3
75,44,0,1
75,83,127,2
80,12,120,2
78,46,120,0
68,76,120,2
79,21,0,2
82,47,111,2
73,72,127,1
62,72,127,1
84,37,127,2
70,72,127,2
92,72,127,1
74,72,127,1
81,34,68,2
73,77,120,1
94,36,0,3
80,98,50,1
80,69,50,1
67,113,0,3
89,69,127,2
81,43,0,2
83,69,0,1
78,69,0,2
67,13,127,2
82,22,127,3
69,24,127,1
79,3,127,2
73,39,127,0
69,35,127,1
83,10,127,3
78,41,0,2
74,41,120,0
75,15,127,2
76,44,120,1
78,46,120,0
90,8,0,3
79,56,127,1
79,56,120,0
82,39,127,1
73,72,127,0
77,93,127,2
68,66,55,2
73,39,127,2
82,72,127,0
87,108,127,3
83,97,127,2
91,77,120,1
93,64,50,1
93,64,50,1
64,65,50,1
80,113,127,1
81,67,120,0
81,28,120,1
83,77,120,0
83,77,120,0
64,44,127,2
69,44,127,0
76,45,127,1
71,39,127,0
84,18,8,3
73,56,127,2
69,0,127,2
63,36,0,2
62,10,0,3
60,9,127,3
72,13,127,1
68,0,127,3
65,39,127,2
61,74,127,2
64,19,127,2
85,70,127,1
67,70,127,0
67,83,127,3
77,36,0,3
67,58,127,1
73,70,0,2
76,79,127,3
64,67,20,2
67,58,127,0
79,73,127,0
72,28,127,1
88,95,127,3
85,74,127,1
81,74,127,0
74,84,127,1
82,80,127,1
85,7,127,3
79,21,127,2
75,66,127,2
73,44,127,1
81,77,50,2
74,41,127,0
79,67,100,2
79,7,127,2
78,37,127,0
58,74,127,2
84,35,127,2
70,61,127,2
89,33,127,1
