note,velocity,time,anomalies
64,67,127,0
81,67,57,2
72,120,127,2
74,74,127,1
71,27,127,2
67,63,127,0
76,66,60,0
74,71,60,0
76,63,127,1
86,70,60,1
76,62,127,1
74,64,40,0
76,64,40,0
74,64,40,0
70,82,55,2
59,104,127,3
58,90,127,3
72,55,60,0
80,92,60,2
76,58,60,0
77,61,60,0
76,68,127,1
77,90,127,2
83,61,127,1
81,54,127,0
79,89,127,2
89,14,60,2
79,51,60,0
77,54,60,0
79,50,60,0
88,54,127,2
85,23,127,3
77,53,40,0
79,49,0,1
77,15,40,1
76,66,127,1
76,59,120,0
72,49,120,0
79,99,120,1
76,51,60,0
76,59,127,1
74,51,120,0
79,56,120,0
74,47,0,1
74,36,0,2
72,48,127,1
81,57,127,1
72,20,127,2
85,29,0,3
67,25,120,1
72,56,120,0
67,48,120,0
74,78,120,1
67,52,127,1
76,62,120,0
75,55,120,1
74,89,127,2
76,78,0,3
88,79,60,2
93,28,60,2
72,59,127,2
93,58,0,2
84,60,60,0
90,54,0,2
84,63,120,0
83,59,120,0
81,56,127,1
79,49,120,0
81,54,60,0
83,51,60,0
81,79,60,1
77,12,60,2
81,54,0,1
83,48,0,1
81,53,40,0
83,49,40,0
73,29,0,3
76,35,127,3
64,67,127,0
67,88,127,1
72,80,125,1
67,74,60,1
71,63,127,0
67,63,127,0
76,66,60,0
74,71,60,0
76,63,60,0
79,70,60,1
76,62,60,0
74,64,40,0
76,64,40,0
69,64,40,1
82,82,114,2
72,70,127,1
74,70,127,1
68,55,0,2
78,56,0,2
82,58,127,2
80,61,0,2
79,68,127,0
84,23,0,2
83,61,88,1
81,54,0,1
79,65,127,1
77,54,60,0
80,51,127,2
77,54,60,0
79,50,60,0
77,25,60,1
79,48,60,0
69,13,40,2
89,49,127,2
77,50,127,1
76,89,127,2
76,59,120,0
86,74,120,2
88,21,120,2
76,51,60,0
76,59,127,1
74,51,120,0
79,56,120,0
74,47,127,1
87,59,120,1
72,48,120,0
74,57,120,1
72,49,60,0
71,21,0,2
67,47,120,0
72,56,120,0
75,48,127,2
74,57,120,0
67,52,120,0
76,87,127,2
80,76,120,2
74,63,120,0
79,55,60,0
79,22,127,2
79,55,60,0
78,59,120,0
85,95,127,3
84,60,127,1
84,54,60,0
84,63,120,0
90,96,120,2
81,56,127,1
77,76,120,2
81,54,60,0
83,51,60,0
81,78,60,1
83,30,60,1
81,54,60,0
86,84,60,2
87,53,40,1
83,49,40,0
81,50,40,0
66,45,127,2
79,62,127,1
74,70,127,0
69,107,127,3
73,60,120,1
75,90,127,3
71,55,127,1
72,60,127,1
66,61,127,2
67,27,0,3
88,29,60,2
91,74,127,1
84,21,120,1
79,66,127,2
79,59,120,0
77,49,60,0
77,87,120,1
76,47,127,1
77,68,127,0
67,27,0,2
69,92,127,2
78,82,60,2
79,60,60,1
74,61,60,0
76,63,60,0
73,67,60,1
79,48,97,2
85,91,120,2
84,51,120,0
83,58,120,0
77,50,127,2
79,56,120,0
64,49,0,2
76,59,120,0
86,51,127,2
79,56,120,0
63,53,0,2
81,94,127,2
69,51,120,0
75,55,0,2
74,49,127,1
72,57,127,0
71,23,127,1
64,67,127,0
67,67,127,1
72,60,95,2
67,38,60,2
71,63,127,0
56,24,127,3
65,66,60,1
74,71,60,0
76,63,60,0
74,109,60,1
76,62,60,0
82,64,0,2
76,100,40,1
74,64,40,0
76,116,127,2
58,70,127,2
67,70,127,0
81,55,127,2
74,27,0,2
76,58,60,0
77,92,0,2
79,68,127,0
84,54,127,0
90,88,127,2
81,54,127,0
79,94,0,2
65,81,127,3
92,51,0,2
77,54,60,0
79,50,60,0
77,54,60,0
90,48,60,1
77,53,40,0
79,77,0,2
77,50,40,0
76,59,120,0
72,51,120,0
79,56,120,0
76,54,120,0
81,59,120,0
73,50,120,1
76,57,0,1
74,49,120,0
68,36,127,2
74,51,60,0
76,48,60,0
74,51,60,0
76,47,60,0
74,51,60,0
76,80,0,2
74,50,40,0
76,46,0,1
74,47,40,0
72,66,127,0
79,82,127,0
74,106,127,1
71,106,127,2
67,60,120,0
69,83,127,2
79,55,0,2
72,60,60,0
74,61,0,1
76,29,60,1
78,43,127,2
79,99,127,1
84,38,127,2
79,46,60,0
79,59,120,0
64,79,60,2
77,54,120,0
70,47,41,2
77,41,127,2
67,89,120,1
69,53,60,0
71,55,60,0
72,20,60,1
74,61,60,0
76,63,60,0
78,67,60,0
79,42,127,1
86,62,120,0
84,51,120,0
83,35,127,2
81,50,120,0
79,56,120,0
77,49,120,0
76,59,120,0
72,51,120,0
67,56,120,1
76,49,120,0
81,89,0,2
63,42,0,2
77,31,120,1
74,23,120,1
86,57,127,2
71,53,127,0
64,67,127,0
67,67,127,0
72,117,127,2
80,74,127,2
71,63,127,0
67,94,127,1
66,46,60,2
74,36,127,2
64,63,60,1
88,70,60,1
76,62,60,0
74,64,40,0
76,64,40,0
85,84,127,3
88,82,127,2
81,46,127,3
67,70,127,0
85,55,127,2
74,56,60,0
76,58,60,0
77,61,60,0
79,68,127,0
84,54,127,0
69,61,0,2
84,54,127,2
92,45,127,3
91,54,0,2
79,51,60,0
77,30,60,1
79,23,60,1
64,33,0,3
79,48,60,0
77,53,40,0
79,49,40,0
77,50,127,1
77,27,120,2
72,51,120,0
76,56,63,2
78,47,127,2
81,62,0,1
72,54,120,1
76,58,120,0
74,49,120,0
72,65,127,1
74,90,0,2
76,48,60,0
74,79,60,1
86,87,0,3
74,51,60,0
76,45,127,1
86,50,0,2
76,46,40,0
74,47,127,1
72,66,127,0
