note,velocity,time,anomalies
74,47,127,0
74,50,127,0
76,46,60,0
78,49,60,0
79,52,127,0
79,47,127,0
78,77,127,3
78,47,127,0
76,20,127,1
76,79,120,1
74,45,120,0
72,45,120,0
71,45,120,0
74,50,120,0
72,45,120,0
71,45,120,0
69,45,120,0
71,50,127,0
67,46,127,1
74,56,127,0
74,60,127,0
76,58,60,0
78,62,60,0
79,67,0,1
83,68,120,0
83,71,127,0
81,69,127,0
89,28,127,2
75,90,120,2
78,94,120,1
88,84,127,3
74,60,120,0
76,72,64,0
69,60,127,2
76,60,127,1
78,67,127,1
76,58,127,1
78,62,48,0
76,64,48,0
69,62,48,1
76,64,48,0
67,68,127,2
74,47,127,0
74,16,127,2
71,46,60,1
78,49,60,0
79,52,127,0
79,47,127,0
79,17,127,2
78,87,127,1
76,47,127,0
76,50,120,0
74,45,57,1
72,45,120,0
71,45,120,0
67,11,120,2
72,45,120,0
81,23,120,2
69,45,120,0
71,50,127,0
67,46,127,0
74,56,127,0
74,60,127,0
76,58,60,0
78,62,60,0
79,67,127,0
83,68,127,0
83,71,127,0
81,69,127,0
79,66,127,0
79,68,120,0
78,61,120,0
76,61,120,0
70,60,120,1
76,72,64,0
78,60,127,1
76,20,0,2
78,34,48,1
76,58,48,0
78,62,48,0
76,64,127,1
74,62,48,0
85,64,0,2
74,68,127,0
74,70,120,0
92,106,120,2
86,80,127,0
84,74,0,1
82,85,60,2
81,74,60,0
83,69,60,1
81,78,127,0
72,107,127,2
96,72,0,2
84,80,127,0
83,75,120,0
81,65,60,0
79,34,127,2
72,98,60,2
92,78,127,2
74,50,120,0
79,46,120,0
76,50,34,0
84,47,34,1
76,50,34,0
78,79,127,2
76,50,34,0
74,47,34,0
76,47,35,0
69,53,127,1
66,17,127,3
76,47,80,0
78,47,80,0
79,50,80,0
90,67,80,2
79,46,80,0
76,50,34,0
74,47,34,1
76,50,34,0
78,46,34,0
76,19,34,1
74,47,34,0
76,47,35,0
74,53,127,0
69,53,30,0
71,30,0,2
72,62,127,0
72,21,120,1
84,50,127,2
69,50,120,0
62,76,0,3
71,58,120,0
69,51,120,0
67,56,120,0
66,61,120,0
67,65,120,0
79,42,0,2
89,68,120,1
69,66,30,0
71,69,30,0
72,44,127,1
72,70,120,0
71,62,120,0
69,62,120,0
67,61,120,0
71,102,120,1
70,62,120,1
69,64,120,1
66,66,120,0
59,73,127,1
74,68,68,1
86,72,120,0
86,56,127,1
84,73,120,0
83,66,60,0
81,73,60,0
80,68,60,0
81,78,127,0
72,68,120,0
84,72,120,0
84,80,127,0
83,75,120,0
95,68,60,1
79,75,60,0
78,67,60,0
79,78,127,0
74,50,120,0
79,46,120,0
76,50,34,0
78,47,34,0
76,50,34,0
78,46,34,0
76,50,34,0
66,73,34,2
89,69,35,2
74,53,127,0
81,74,127,3
76,48,80,0
78,48,80,0
79,50,80,0
78,48,80,0
73,48,0,2
76,50,34,0
78,47,34,0
76,50,34,0
78,46,34,0
76,50,34,0
74,27,34,1
76,47,35,0
74,53,127,0
82,80,127,3
71,53,30,0
72,62,127,0
72,53,0,1
71,50,120,0
69,50,120,0
67,28,120,1
71,59,120,0
69,51,120,0
67,56,120,0
73,61,31,2
67,65,120,0
79,23,127,2
66,68,120,1
69,66,30,0
71,39,127,2
72,72,127,0
72,70,127,1
71,62,127,1
68,62,120,1
67,61,120,0
71,68,120,0
69,62,120,0
67,64,120,0
66,66,0,1
67,97,127,1
