note,velocity,time,anomalies
65,51,0,2
71,46,90,0
76,46,90,0
71,81,90,1
70,25,90,2
64,47,90,0
66,51,90,0
71,69,0,2
91,43,127,2
71,51,90,0
66,48,90,0
55,43,90,1
81,51,127,2
61,47,90,1
76,74,127,2
71,51,90,0
63,48,127,2
64,47,90,0
71,84,90,2
75,51,90,0
83,48,24,1
75,51,90,0
76,87,127,3
59,19,127,2
68,45,90,0
61,45,127,2
69,12,0,3
71,45,90,0
80,44,127,2
62,73,90,2
66,79,90,1
71,45,90,0
78,41,90,0
83,20,90,2
66,43,90,0
63,14,90,1
68,45,90,0
71,82,90,1
81,78,127,3
71,45,90,0
80,42,90,1
75,39,90,1
66,45,90,0
86,22,90,2
77,42,0,2
75,45,90,0
66,39,0,1
59,33,90,0
61,19,90,2
71,47,90,0
80,41,90,0
60,16,127,3
54,42,127,2
48,78,0,3
64,49,90,0
81,49,127,2
81,66,90,1
66,46,90,0
73,47,90,0
95,3,127,3
73,48,90,0
66,43,127,1
58,42,90,0
60,49,90,1
75,49,90,0
93,48,0,2
71,50,90,0
78,43,90,0
87,46,90,0
90,56,0,2
78,51,90,0
71,45,90,0
63,42,90,0
71,53,90,0
80,54,90,0
88,51,90,0
88,90,90,1
80,55,0,1
71,51,90,0
64,48,90,0
75,17,0,2
83,57,90,0
83,54,0,2
90,64,90,0
83,35,90,1
75,54,90,0
66,51,90,0
76,60,90,0
69,61,127,2
92,33,0,2
92,68,34,1
81,63,0,2
76,57,90,0
68,54,90,0
89,64,90,1
85,64,90,0
93,96,127,2
93,73,90,0
85,97,90,1
76,62,90,0
69,55,90,0
76,68,90,1
100,68,127,2
97,64,90,0
102,74,90,1
88,68,90,0
79,35,0,2
70,58,90,0
82,68,90,0
91,68,90,0
100,66,90,0
100,74,90,0
91,68,23,1
82,65,90,0
73,62,90,0
79,68,90,0
88,65,90,0
97,68,90,0
87,107,0,3
88,65,90,0
76,35,90,2
70,59,127,1
76,62,90,0
80,61,0,2
106,94,127,3
94,65,90,0
85,98,90,1
76,48,90,0
67,42,90,0
73,57,90,0
82,57,127,1
91,24,127,2
91,61,90,0
81,94,90,2
73,49,90,0
64,40,90,0
70,75,90,1
79,51,90,0
88,51,127,1
88,94,90,1
79,49,90,0
70,45,90,0
61,42,90,0
66,47,90,0
