note,velocity,time,anomalies
80,39,118,0
83,44,118,0
81,41,118,0
78,36,118,0
76,42,127,0
80,46,127,0
80,37,118,0
76,34,118,0
71,32,118,0
78,36,118,0
60,12,127,2
76,40,127,0
83,43,0,1
80,37,118,0
78,35,118,0
81,40,118,0
76,40,127,0
80,45,127,0
80,37,118,0
76,34,118,0
71,32,118,0
78,36,118,0
76,42,127,0
68,36,127,0
76,42,118,0
68,36,118,0
71,34,118,0
78,72,118,1
80,45,127,0
76,40,127,0
71,39,118,0
78,44,118,0
76,35,118,0
80,40,118,0
78,47,127,0
81,47,127,0
71,40,118,0
78,45,118,0
91,11,0,3
81,43,118,0
83,50,127,0
80,44,127,0
78,35,118,0
81,39,118,0
91,59,127,3
76,33,118,0
71,39,127,0
78,44,127,0
83,44,118,0
80,39,118,0
69,36,118,1
81,41,118,0
80,49,127,0
76,44,127,0
76,35,118,0
80,40,118,0
78,36,118,0
71,33,118,0
76,44,127,0
68,39,127,0
80,43,118,0
83,47,118,0
81,44,20,1
78,39,118,0
76,46,127,0
80,53,127,0
76,35,118,0
80,39,118,0
71,32,118,0
78,36,118,0
68,44,127,0
76,44,127,0
68,40,118,0
76,84,0,2
78,41,118,0
71,36,118,0
76,39,127,0
80,44,127,0
81,72,127,2
78,35,118,0
80,35,118,0
76,31,118,0
71,33,127,0
78,36,127,0
80,36,118,0
76,0,0,2
71,27,118,0
78,32,118,0
68,30,127,0
76,34,127,0
56,60,58,0
64,66,58,0
64,56,58,0
72,63,58,1
59,65,127,0
66,96,127,1
64,60,58,0
68,66,58,0
69,63,58,0
66,56,58,0
68,63,127,0
71,72,127,0
72,65,58,1
69,59,58,0
71,63,58,0
68,55,58,0
66,63,127,0
69,71,127,0
68,71,58,0
64,63,58,0
66,60,58,0
69,66,58,0
59,66,127,0
66,74,127,0
56,60,58,0
64,66,58,0
64,57,58,0
68,64,58,0
59,65,127,0
66,73,127,0
68,41,127,2
64,60,58,0
66,56,58,0
69,63,58,0
71,72,127,0
68,63,127,0
73,103,0,2
69,59,58,0
68,56,58,0
71,63,58,0
80,101,127,2
66,62,127,0
64,63,58,0
68,71,58,0
66,60,58,0
69,66,58,0
60,60,127,1
68,66,126,2
83,47,118,0
80,43,118,0
78,41,118,0
81,45,118,0
80,53,127,0
76,46,127,0
76,35,118,0
80,39,118,0
71,33,118,0
78,36,118,0
68,39,127,1
76,44,127,0
68,60,58,0
71,66,58,0
66,54,58,0
69,62,58,0
68,72,127,0
64,64,127,0
64,59,58,0
68,65,58,0
66,62,58,0
59,54,58,0
64,72,127,0
56,63,127,0
72,40,4,2
89,10,127,3
78,41,118,0
71,36,118,0
76,39,127,0
80,44,127,0
78,35,118,0
