note,velocity,time,anomalies
65,37,72,0
75,69,127,3
65,37,72,0
62,4,72,2
68,38,72,0
69,38,72,0
68,39,72,0
70,39,72,0
71,39,72,0
72,41,72,0
71,41,72,0
67,41,0,2
70,71,0,3
75,42,72,0
74,42,72,0
76,43,72,0
77,43,72,0
78,43,72,0
77,79,72,1
79,77,72,1
80,44,72,0
81,45,72,0
80,45,72,0
82,45,72,0
83,45,72,0
84,45,72,0
71,6,72,2
86,46,72,0
85,9,72,2
82,70,127,3
84,48,72,0
100,78,72,2
87,48,72,0
89,49,72,0
87,49,72,0
90,49,127,1
91,50,127,1
92,50,72,0
91,50,72,0
95,51,72,0
86,81,127,3
97,51,72,0
96,52,72,0
100,52,72,1
99,54,60,0
98,54,60,0
99,53,60,0
97,53,60,0
96,52,60,0
95,52,60,0
96,51,60,0
94,51,60,0
93,50,60,0
92,50,60,0
93,49,60,0
91,49,60,0
90,48,60,0
89,48,60,0
90,46,60,0
88,45,60,0
87,44,60,0
86,44,60,0
87,44,60,0
85,43,60,0
84,43,60,0
83,43,60,0
84,42,60,0
82,42,60,0
81,41,0,1
88,62,0,3
81,41,0,1
79,39,127,1
78,39,127,1
77,38,60,0
78,38,60,0
75,37,60,0
74,37,60,0
79,37,60,1
74,36,60,0
72,36,60,0
70,36,60,0
69,36,60,0
56,36,60,1
68,35,60,0
67,35,60,0
66,33,60,0
67,33,60,0
65,33,60,0
73,32,0,1
70,32,60,0
67,31,60,0
65,31,60,0
64,38,127,0
90,43,127,2
94,43,60,0
90,42,60,0
87,41,60,0
91,41,60,0
88,39,60,0
84,39,60,0
81,38,60,0
85,37,60,0
82,36,60,0
92,9,60,2
75,36,60,0
79,35,60,0
76,35,60,0
72,53,127,2
69,32,60,0
73,32,60,0
69,31,60,1
66,31,60,0
64,30,60,0
64,30,120,0
67,30,120,0
85,39,60,0
76,33,60,0
73,33,60,0
84,35,60,0
73,28,60,0
76,28,60,0
83,37,60,0
63,0,60,2
73,31,60,0
73,28,60,0
82,33,5,1
76,28,60,0
76,32,60,0
73,32,60,0
85,38,127,1
73,35,120,0
84,42,60,0
76,35,120,0
83,41,60,0
82,39,60,0
99,43,60,0
96,43,60,0
92,42,60,0
89,41,60,0
93,41,60,0
90,39,60,0
86,39,60,0
83,38,127,1
90,37,60,1
84,36,60,0
80,36,60,0
80,36,0,2
81,35,60,0
78,35,60,0
74,33,60,0
71,32,60,0
75,32,60,0
72,57,60,1
68,31,60,0
65,30,60,0
66,30,120,0
69,30,120,0
90,46,60,0
81,39,60,0
78,39,60,0
85,77,0,3
81,33,60,0
78,33,60,0
78,37,60,0
81,37,60,0
88,45,60,0
78,33,60,0
77,39,0,2
88,71,127,3
89,1,127,3
90,45,60,0
90,38,127,2
89,50,60,0
78,41,120,0
81,41,120,0
88,48,60,0
87,43,60,0
87,13,60,1
75,31,60,0
78,31,60,0
86,33,60,0
75,27,60,0
78,27,60,0
85,36,60,0
75,29,60,0
78,29,60,0
68,61,127,3
84,31,60,0
87,27,127,2
75,30,60,0
78,30,60,0
87,37,60,0
86,39,60,0
75,33,120,0
78,64,127,2
85,38,60,0
90,37,0,2
84,36,60,0
75,29,60,0
72,29,60,0
83,38,60,0
72,32,120,0
75,32,120,0
82,37,60,0
81,69,60,1
75,28,60,0
72,28,60,0
81,35,60,0
80,36,60,0
75,30,120,0
83,0,120,2
79,3,60,1
78,35,60,0
77,36,60,0
72,28,60,0
75,24,60,0
78,30,60,0
72,28,60,0
77,36,60,0
75,0,60,1
79,31,60,0
77,36,60,0
72,28,60,0
75,24,60,0
76,69,0,3
77,36,60,0
72,28,60,0
93,1,127,3
70,36,40,1
78,70,127,2
91,8,0,3
72,7,127,3
77,36,40,0
78,32,127,1
77,36,40,0
79,30,40,0
77,36,60,0
78,31,60,0
77,36,60,0
79,5,127,2
89,9,127,3
78,31,60,0
77,36,60,0
79,31,60,0
77,36,60,0
78,31,60,0
77,36,60,0
79,30,60,0
69,68,0,3
78,31,60,0
77,36,60,0
79,31,60,0
77,36,60,0
78,31,60,0
77,36,60,0
79,0,60,1
77,36,70,0
78,32,70,0
77,36,70,0
79,31,60,0
77,69,0,2
69,29,60,0
72,27,60,0
71,32,127,2
77,36,60,0
69,29,60,0
79,31,60,0
72,26,127,1
70,29,60,0
77,0,60,1
72,71,0,3
74,27,60,0
70,29,60,0
77,36,60,0
79,31,60,0
74,26,60,0
69,29,60,0
77,36,60,0
75,27,60,0
87,53,60,2
77,36,60,0
69,29,60,0
75,26,60,0
79,31,60,0
70,29,60,0
77,36,60,0
77,32,30,1
74,27,30,0
78,42,60,0
70,42,60,0
74,36,30,0
79,36,30,0
80,45,60,0
74,37,60,0
81,38,60,0
83,32,127,2
74,38,60,0
81,45,60,0
82,38,30,0
77,32,30,0
72,39,60,0
88,86,0,3
81,41,0,1
75,35,30,0
72,38,60,0
81,45,127,1
89,12,30,2
80,38,30,0
72,36,60,0
80,43,60,0
68,31,30,1
79,37,30,0
79,42,60,0
72,35,60,0
79,29,127,2
78,36,30,0
86,0,66,2
70,29,66,0
82,32,0,2
74,59,0,2
77,36,66,0
70,29,66,0
74,26,60,0
79,31,60,0
77,36,60,0
69,29,60,0
72,27,60,0
78,32,60,0
77,76,127,2
69,29,60,0
79,69,127,2
72,26,60,0
70,29,60,0
77,36,60,0
74,27,60,0
78,32,60,0
77,36,60,0
70,29,60,0
74,26,60,0
79,58,127,2
80,29,60,1
77,36,60,0
78,32,60,0
75,27,60,0
77,36,60,0
69,29,60,0
75,26,60,0
79,31,60,0
87,36,60,1
70,29,60,0
78,32,30,0
74,27,30,0
78,42,60,0
70,42,60,0
74,36,30,0
79,36,30,0
74,37,60,0
80,45,60,0
81,38,30,0
87,11,30,2
81,45,60,0
74,15,127,2
82,38,127,1
77,32,30,0
82,46,60,0
72,39,60,0
75,35,30,0
90,8,30,2
81,45,60,0
