note,velocity,time,anomalies
84,113,120,1
75,76,120,0
65,76,120,1
83,84,120,1
75,71,120,0
72,71,120,0
67,101,127,2
67,42,127,2
60,39,120,2
75,76,120,0
79,90,127,1
66,70,127,2
67,70,120,0
75,82,120,0
63,74,0,1
67,49,0,2
75,90,120,0
63,65,120,0
71,94,120,2
69,103,127,3
63,72,0,1
75,72,0,2
80,85,120,1
62,104,0,3
57,88,120,2
71,120,0,2
63,72,120,0
72,103,120,2
72,85,120,0
86,111,120,1
77,76,120,0
74,110,21,2
73,84,0,2
74,71,127,1
72,109,120,2
68,109,127,2
74,76,0,1
71,61,120,2
77,49,120,2
64,70,120,1
71,82,0,2
65,74,120,0
68,74,0,1
77,90,120,0
62,42,120,1
60,39,120,2
75,78,0,2
62,72,0,1
68,34,120,1
74,85,120,0
61,95,120,1
68,67,120,0
73,80,120,0
62,72,127,1
68,100,120,1
74,116,120,1
63,45,120,0
56,78,120,2
75,53,120,0
60,40,60,0
62,41,60,0
52,44,120,2
76,8,60,2
67,47,0,1
65,47,90,0
81,47,90,1
77,57,90,0
84,93,90,1
72,72,127,2
62,49,90,1
74,51,120,0
72,51,127,1
84,60,120,0
65,42,60,0
64,43,60,1
62,45,0,1
60,46,0,1
58,49,120,0
70,54,0,1
69,84,90,2
80,99,90,2
94,91,90,2
74,55,127,1
69,55,127,2
80,57,120,0
72,57,120,0
87,68,120,0
56,47,60,0
58,48,60,0
60,51,60,0
76,52,127,2
69,95,120,2
80,61,90,0
74,23,127,2
84,24,0,2
86,72,127,1
102,36,0,3
80,63,0,1
72,63,0,2
83,92,127,2
80,65,0,1
83,77,0,2
62,51,127,1
63,52,60,1
60,31,60,2
62,56,127,2
55,61,120,0
65,65,90,1
71,92,127,3
85,35,0,2
93,106,127,3
94,67,90,0
96,81,90,0
91,67,90,1
91,47,0,2
92,46,127,2
84,70,120,0
96,83,120,0
72,52,127,2
60,21,127,2
62,17,60,1
64,59,60,0
57,63,58,2
87,72,127,2
89,72,120,0
92,119,120,2
68,72,60,2
63,17,0,2
65,31,127,2
66,32,0,2
68,67,0,1
73,28,0,2
61,93,127,3
77,58,60,0
78,60,127,1
71,96,43,3
85,31,60,1
87,27,60,1
88,101,127,3
90,63,0,1
92,75,120,0
85,77,120,0
96,46,120,2
109,90,0,2
97,51,120,1
76,72,127,2
85,72,0,1
92,78,120,1
89,106,3,3
101,91,127,2
77,69,127,1
69,69,0,2
95,82,120,1
77,69,120,0
80,29,120,1
100,82,0,2
73,104,120,1
77,68,120,0
80,68,120,0
75,51,127,3
80,53,0,3
77,75,120,0
80,75,120,0
85,89,120,0
72,70,120,0
76,108,127,2
93,70,127,2
92,83,120,1
73,75,127,1
91,75,26,2
80,75,0,1
85,89,120,0
77,93,0,2
80,70,0,1
87,102,120,2
89,79,120,0
62,48,0,3
93,120,120,2
99,82,120,1
77,70,127,2
62,48,120,2
78,74,120,0
85,74,127,2
87,88,0,1
71,91,120,1
83,79,120,0
66,66,58,2
84,79,120,0
90,104,127,3
77,81,120,1
91,94,120,0
87,79,0,1
78,96,127,2
83,66,120,1
72,107,120,2
75,85,120,1
72,62,120,0
72,66,120,0
75,33,127,2
87,107,120,2
78,31,120,2
72,89,0,2
81,72,120,0
73,64,0,2
62,28,127,3
73,42,120,2
66,61,60,0
78,72,60,0
53,77,60,2
75,68,60,0
62,57,60,0
74,102,60,1
71,57,0,2
62,68,127,2
67,64,0,1
79,32,0,3
79,96,127,2
87,45,120,1
72,66,120,1
65,105,120,2
84,36,120,1
75,34,0,2
85,27,120,2
68,33,120,2
89,66,120,1
84,110,120,1
69,61,120,0
72,40,120,1
67,44,0,3
69,64,0,1
72,64,120,0
81,79,120,0
58,61,127,2
78,72,60,0
60,57,60,1
75,98,0,2
62,30,60,1
74,68,60,0
65,57,60,1
66,68,127,2
67,64,120,0
76,64,127,2
79,76,0,1
74,55,120,1
60,19,120,1
59,58,0,1
57,59,120,0
50,97,120,2
68,36,120,1
66,25,120,1
65,65,0,1
68,66,0,2
61,34,120,1
80,68,120,0
77,94,120,1
96,68,38,2
84,107,0,3
94,35,120,2
97,42,120,2
75,45,120,2
91,82,127,1
62,61,120,0
55,62,120,1
47,63,120,1
57,64,120,0
55,66,120,0
68,40,120,1
71,90,127,3
65,72,0,1
76,72,127,2
61,108,127,2
80,57,120,0
77,57,120,0
85,57,120,0
89,68,120,0
91,66,127,0
93,66,127,1
86,92,127,3
95,107,127,2
98,42,127,2
89,67,127,1
85,98,127,2
98,110,127,3
85,52,127,1
89,72,127,0
104,111,127,3
97,86,127,0
86,77,127,1
89,77,127,0
96,39,127,3
98,120,127,1
99,59,127,3
98,86,127,1
109,72,127,2
80,99,127,2
79,101,127,2
96,72,127,1
98,86,127,1
102,86,127,2
89,103,127,1
96,72,127,0
98,51,0,2
103,86,0,2
94,72,127,1
94,72,127,2
111,110,127,2
98,86,127,1
50,72,120,0
53,49,0,2
59,79,120,0
92,74,0,1
91,41,53,1
91,103,0,3
89,71,54,0
98,70,127,2
87,41,54,1
86,67,53,0
74,90,54,2
84,65,54,0
83,45,120,1
80,98,54,1
79,62,53,0
78,61,53,0
80,99,54,2
76,59,53,0
75,58,0,1
74,56,127,1
73,55,53,0
72,55,54,0
71,66,120,0
68,53,54,0
62,79,53,2
66,77,127,2
65,12,54,1
64,50,127,1
63,49,54,0
62,47,127,1
72,46,127,2
60,12,127,2
59,55,120,0
69,82,0,3
55,77,0,2
54,77,53,1
53,50,53,0
52,29,0,2
38,49,53,1
63,47,53,1
49,46,53,0
47,25,53,2
47,71,127,2
48,10,53,1
63,46,0,2
50,13,53,1
59,24,0,3
44,77,53,2
66,54,0,2
64,54,53,1
55,36,53,1
56,58,53,0
55,84,53,1
54,34,127,2
53,26,53,1
65,54,53,1
51,17,53,1
43,12,53,2
49,28,127,2
34,19,53,2
47,23,127,2
57,14,127,3
84,90,120,0
79,76,127,2
85,76,120,1
79,84,127,1
81,71,0,2
71,91,0,3
56,37,127,3
79,41,120,2
72,76,120,0
75,55,127,2
79,90,120,0
63,70,120,0
67,70,120,0
75,82,120,0
63,74,120,0
67,95,120,1
81,124,120,2
63,65,120,0
67,45,120,1
69,78,120,1
63,38,0,2
57,72,127,2
72,85,0,1
66,67,127,2
73,87,127,3
66,45,120,2
60,72,0,2
63,46,120,2
72,85,120,0
85,90,120,0
70,76,127,2
73,76,120,0
80,84,0,1
73,71,120,0
68,109,120,1
68,76,120,0
83,115,127,3
80,66,120,1
65,70,127,1
68,70,120,0
89,82,66,2
51,74,127,2
80,94,120,2
77,90,120,0
61,86,120,1
68,65,120,0
73,78,120,0
61,72,120,0
68,32,0,2
74,85,127,2
58,40,0,3
82,33,120,2
62,104,0,3
69,72,0,2
68,72,120,0
73,85,127,1
69,77,120,2
67,69,120,1
74,53,127,1
58,40,60,0
62,41,60,1
62,5,0,2
57,65,0,3
65,47,120,0
63,47,120,0
66,47,120,0
75,57,0,1
78,59,127,1
66,49,120,0
80,14,127,3
71,51,0,2
64,51,120,1
79,38,120,2
71,18,0,3
63,43,60,0
62,45,60,0
60,46,127,1
56,49,120,1
82,15,120,2
75,90,127,2
77,96,120,2
87,66,120,0
75,83,127,2
83,93,0,2
83,57,120,0
76,57,127,1
88,43,120,1
64,83,0,2
74,86,60,2
65,51,127,2
70,52,60,1
71,32,127,2
75,61,127,1
84,61,127,1
87,97,127,2
96,36,127,2
84,27,127,2
87,96,120,1
98,26,127,3
85,92,127,3
95,77,120,0
82,51,60,1
59,52,60,1
75,54,60,1
80,29,60,2
64,61,120,0
82,65,0,1
85,65,127,1
92,99,14,3
97,81,120,0
85,67,127,1
80,67,120,1
93,90,127,2
86,42,120,1
103,104,120,2
62,22,0,2
64,54,60,0
61,31,60,2
67,35,60,1
68,100,127,3
95,33,120,1
92,72,120,0
86,44,0,2
98,85,0,1
75,50,127,2
65,51,60,0
66,20,60,2
62,83,60,2
69,37,127,3
86,54,127,2
74,55,127,2
80,58,60,0
94,30,127,3
83,43,127,2
81,88,60,2
79,59,127,2
81,25,60,2
94,88,0,2
104,75,120,1
87,44,120,1
105,97,0,3
97,90,0,2
100,86,127,2
95,72,120,0
83,106,0,3
83,78,120,0
87,78,120,0
98,91,0,2
78,101,120,1
78,69,0,2
83,82,127,2
84,69,120,1
88,98,120,2
98,106,120,2
71,68,127,2
83,68,127,1
87,121,127,2
75,75,127,1
83,75,120,0
94,89,120,1
65,70,120,1
83,70,0,1
86,113,51,2
68,75,127,2
95,95,127,3
83,89,0,2
