note,velocity,time,anomalies
47,77,90,0
47,92,127,1
49,48,60,0
61,50,60,1
52,51,60,0
54,52,60,0
56,53,60,0
57,54,60,0
59,55,127,1
61,56,0,1
63,57,60,0
64,58,60,0
66,59,60,0
61,61,60,1
69,26,60,1
71,99,127,2
82,89,121,3
80,64,127,2
76,66,60,0
78,67,60,0
67,92,60,2
81,69,127,1
83,70,60,0
85,72,60,0
87,72,60,0
88,73,60,0
90,74,60,0
92,75,60,0
93,99,60,1
95,63,127,2
48,77,90,1
52,64,0,2
50,92,0,2
47,78,127,0
51,48,60,0
52,50,60,0
57,51,127,2
56,52,0,1
57,53,60,0
59,54,60,0
61,55,60,0
63,56,60,0
64,57,60,0
66,58,60,0
68,59,60,0
69,61,60,0
71,62,60,0
73,63,60,0
75,63,60,0
76,64,60,0
78,66,60,0
80,67,60,0
81,68,60,0
80,69,60,1
85,70,60,0
87,72,60,0
89,72,60,1
90,73,60,0
92,74,0,1
93,75,60,0
95,77,60,0
97,98,127,0
54,77,90,0
52,64,90,0
54,92,127,0
52,78,127,0
56,77,60,1
57,53,60,0
59,55,60,0
61,32,0,2
63,57,60,0
64,59,60,0
66,60,60,0
65,61,0,2
69,62,60,0
71,64,60,0
73,65,60,0
75,66,60,0
76,68,60,0
78,69,60,0
80,70,60,0
81,72,60,0
83,73,60,0
85,99,0,2
87,76,60,0
88,77,60,0
90,78,60,0
92,80,60,0
93,49,60,1
95,82,60,0
107,83,60,1
99,85,60,0
100,86,60,0
102,98,0,1
64,66,127,0
57,68,127,1
73,35,127,2
78,72,127,0
76,70,127,0
81,72,127,0
87,37,127,3
90,75,127,0
71,76,100,0
66,97,100,2
63,64,100,0
92,79,0,2
75,67,100,0
69,67,100,0
95,95,120,0
87,80,120,0
81,80,120,0
71,77,45,0
59,65,45,0
71,77,127,0
59,65,127,0
64,65,127,0
73,61,60,0
51,74,0,3
75,63,60,0
63,53,60,0
76,65,60,0
64,55,60,0
78,67,60,0
66,57,60,0
80,69,60,0
68,58,60,0
69,71,60,0
81,71,60,0
83,73,120,0
71,61,120,0
78,65,60,0
81,65,60,0
83,55,60,1
69,41,90,2
68,59,90,0
76,28,0,2
78,65,0,1
66,55,90,0
71,55,90,0
71,73,88,1
78,108,127,1
66,61,127,0
76,66,127,0
64,56,127,0
78,65,60,0
71,73,90,0
76,73,90,0
61,37,127,3
75,62,90,0
55,76,90,2
76,68,127,0
64,57,127,0
71,57,127,0
68,65,120,0
72,108,120,1
60,65,120,0
86,111,127,3
61,65,127,0
69,65,127,0
78,24,60,2
75,61,60,0
70,80,60,2
73,53,60,0
76,63,127,1
64,53,60,0
75,55,60,0
78,65,60,0
66,55,60,0
76,57,60,0
80,67,60,0
68,57,60,0
78,58,60,0
81,69,60,0
69,58,60,0
79,46,127,3
70,100,60,2
83,47,60,1
81,61,120,0
85,73,120,0
73,84,120,1
76,65,60,1
83,65,60,0
84,55,0,2
81,71,90,0
71,95,90,2
