note,velocity,time,anomalies
59,47,120,0
57,40,127,2
68,0,120,1
71,8,127,2
71,46,120,0
71,13,28,3
80,40,120,0
69,12,127,3
59,45,127,1
66,79,0,3
63,40,5,2
67,40,120,1
78,18,127,3
83,41,120,0
88,9,56,2
92,20,0,2
95,8,127,1
66,38,127,2
68,10,127,2
56,58,127,2
54,67,127,3
59,34,127,1
64,40,127,0
56,51,127,2
59,70,127,1
64,4,127,1
72,47,127,1
64,42,110,0
65,42,127,2
71,50,127,0
74,77,127,3
68,40,127,1
58,63,127,2
70,36,127,1
67,40,127,1
63,40,127,0
63,11,0,3
68,45,127,1
51,76,127,2
54,38,127,1
66,89,127,1
57,50,127,2
59,50,127,0
66,32,127,1
53,56,127,1
59,56,120,0
65,56,120,0
68,67,120,0
63,57,127,1
60,29,127,3
69,68,127,0
69,42,0,2
61,45,127,0
57,7,127,1
62,1,127,2
68,45,108,1
66,62,127,2
59,41,127,1
56,34,127,0
62,51,127,2
59,67,127,1
64,43,127,0
58,47,127,2
74,42,0,2
64,50,127,0
76,31,127,1
70,55,127,1
73,58,127,0
75,21,127,2
63,49,127,1
69,55,127,0
68,55,127,1
71,62,127,1
66,38,127,0
66,18,127,2
54,14,127,3
59,1,127,1
66,23,127,2
61,44,127,0
59,44,120,0
65,80,127,2
68,76,127,2
45,9,127,3
66,45,127,1
69,81,127,1
56,62,0,3
61,9,127,1
50,73,127,3
63,12,0,2
68,45,127,0
66,7,120,1
72,41,127,2
57,34,127,1
59,60,127,0
66,81,127,2
54,56,127,0
61,71,127,1
62,56,127,1
64,27,120,2
54,67,120,1
72,73,127,1
61,62,127,0
56,62,127,1
78,100,127,2
71,52,127,1
61,14,0,2
55,59,12,2
64,79,0,2
66,59,127,1
83,64,127,1
66,75,127,2
63,86,127,3
73,53,127,2
64,62,127,0
61,86,127,2
61,25,108,1
75,55,108,1
71,65,108,0
61,60,127,0
69,46,127,2
70,60,127,1
70,68,127,0
71,79,127,0
76,79,127,1
68,67,127,1
70,65,127,0
87,77,127,1
73,87,127,2
59,63,120,1
64,14,0,2
63,65,127,0
66,65,127,0
71,105,127,2
75,29,127,3
70,62,127,1
76,82,127,2
62,44,120,1
77,44,0,2
68,77,120,1
49,27,0,3
51,34,127,2
66,69,127,1
61,27,126,2
63,57,127,1
58,76,127,2
76,77,127,2
60,95,127,2
64,56,127,1
67,68,127,2
49,54,127,2
63,88,127,1
56,39,127,2
59,39,127,0
66,47,127,0
48,13,127,2
64,39,89,2
59,39,127,0
56,39,127,0
64,79,127,1
47,39,127,1
52,16,127,2
61,11,127,3
58,47,0,2
54,39,127,0
58,6,127,1
63,22,127,1
49,20,127,3
54,43,127,0
66,10,37,3
63,39,127,0
59,39,0,1
55,47,83,2
65,3,127,3
58,39,127,0
59,39,127,1
70,78,127,2
56,14,127,2
54,39,127,1
59,39,127,0
54,26,127,2
61,69,127,2
54,76,127,2
58,39,127,0
49,13,127,3
68,42,0,2
59,69,70,2
71,55,127,0
63,8,127,1
53,46,127,1
64,62,127,0
69,81,127,1
54,51,127,2
64,90,127,2
69,11,127,2
72,80,127,2
66,50,127,1
63,42,110,1
64,42,127,0
71,50,127,0
69,74,127,1
62,67,127,2
62,43,127,2
55,36,127,1
69,3,0,3
70,2,127,2
64,73,127,2
68,85,127,1
59,14,127,2
66,38,127,0
66,60,127,1
56,73,127,3
53,50,127,2
66,71,127,0
52,86,127,3
59,81,127,2
69,56,19,2
63,36,120,2
63,78,127,3
66,57,127,0
69,33,127,2
66,17,127,1
70,45,0,2
57,69,127,1
63,63,27,2
68,82,127,2
80,41,127,2
64,13,127,1
55,59,127,3
68,38,127,1
85,48,127,2
60,20,127,2
66,33,127,1
71,83,127,0
85,74,120,1
70,62,0,1
65,31,54,3
64,62,120,0
63,106,127,2
75,116,127,2
72,112,127,3
78,43,127,2
68,69,127,0
71,108,127,2
51,26,127,2
55,46,127,3
71,83,127,0
66,106,0,3
83,62,120,1
67,24,127,2
55,94,0,3
63,73,127,0
75,86,127,0
71,112,127,1
66,112,127,1
59,54,127,1
62,23,127,2
59,73,127,2
66,63,127,1
63,76,5,3
64,50,120,1
57,90,0,3
68,90,120,1
57,51,127,1
66,51,127,1
58,84,127,2
66,37,0,1
61,63,127,1
69,34,127,1
75,33,127,2
68,40,127,0
66,36,120,0
64,36,127,1
59,39,120,0
64,14,120,1
57,5,127,3
71,57,120,1
71,39,120,0
63,12,127,3
80,34,0,1
93,34,120,1
59,76,0,2
68,34,120,0
74,34,120,1
76,59,120,1
73,79,127,3
73,14,120,2
88,62,120,1
100,38,127,2
95,39,127,0
63,32,127,0
59,27,127,0
54,27,127,1
56,28,127,1
70,4,127,2
64,34,0,1
