note,velocity,time,anomalies
59,66,40,0
64,76,40,0
58,66,40,1
64,76,127,1
59,66,40,0
58,76,40,1
59,70,127,0
65,109,127,3
59,66,40,0
64,76,40,0
59,66,40,0
64,76,40,0
59,66,40,0
64,76,40,0
59,70,127,0
64,80,127,0
59,66,40,0
64,76,40,0
45,95,40,2
59,76,40,1
59,66,40,0
73,76,127,2
59,70,127,0
64,70,127,0
67,80,127,0
55,62,127,0
59,62,127,0
64,72,127,0
76,72,127,1
62,103,120,3
83,83,40,0
76,72,40,0
79,40,127,3
83,83,40,0
76,72,40,0
71,72,40,0
83,83,40,0
75,77,127,0
71,77,127,0
83,88,127,0
76,72,40,0
75,96,40,2
83,83,40,0
76,72,40,0
71,72,40,0
87,83,40,1
76,72,40,0
71,72,0,1
83,83,40,0
75,77,127,0
71,77,127,0
83,88,127,1
76,72,40,0
71,72,127,1
83,83,40,0
76,72,40,0
71,72,40,0
83,83,40,0
76,72,40,0
71,72,40,0
83,83,40,0
75,77,127,0
78,77,127,0
101,88,127,2
78,61,127,0
90,71,127,0
57,29,127,2
59,68,127,0
55,59,127,0
59,19,127,1
64,70,127,0
60,59,127,1
67,59,127,1
64,70,127,0
59,60,127,0
64,60,127,1
79,101,127,2
59,94,127,1
66,60,127,0
69,71,127,0
59,61,127,0
64,61,127,0
67,61,127,0
71,72,127,0
64,58,80,0
66,58,80,0
69,69,80,0
64,58,80,0
67,58,80,0
71,69,80,0
78,94,0,3
69,58,80,0
72,69,80,0
64,62,127,0
53,82,127,3
57,73,127,1
59,57,127,0
64,57,127,0
67,68,127,0
66,61,120,0
69,72,120,0
64,98,0,2
67,61,127,0
71,72,127,0
64,59,127,0
67,59,127,0
71,71,127,0
69,66,127,0
72,66,127,0
79,78,127,0
69,61,127,0
72,61,127,0
78,73,127,0
67,55,127,0
71,55,127,0
76,65,127,0
66,45,127,0
71,45,127,0
75,54,127,0
66,49,127,0
67,53,127,0
66,45,127,0
67,54,127,0
64,45,127,1
67,54,127,0
62,45,127,0
67,53,127,0
60,83,127,2
54,54,57,2
54,70,127,3
66,51,127,0
69,51,127,0
72,50,127,0
67,49,127,0
62,45,127,0
71,54,127,0
59,45,127,0
63,45,127,0
67,53,127,0
66,49,120,0
66,44,127,1
64,52,127,0
60,42,127,0
64,50,127,0
59,42,127,1
64,50,127,0
55,42,127,1
57,42,127,0
60,42,127,0
66,50,127,0
63,45,120,0
54,61,127,1
57,41,127,0
60,41,127,0
63,49,127,0
55,35,127,0
59,9,127,2
51,15,127,3
59,68,127,0
52,86,127,2
55,59,127,0
59,59,127,0
64,70,127,0
52,59,127,0
55,59,127,0
59,59,127,0
67,94,127,3
55,60,127,0
59,60,127,0
64,85,127,1
67,71,127,0
50,38,127,3
59,60,127,0
66,60,127,0
69,71,127,0
59,61,127,0
64,61,127,0
67,31,127,2
82,72,127,1
57,58,80,0
64,58,80,0
66,96,80,1
82,31,80,2
59,58,80,0
59,92,127,3
67,58,80,0
71,69,80,0
60,58,80,0
64,58,80,0
69,58,80,0
72,69,80,0
72,83,127,2
64,62,127,0
67,62,127,0
71,73,127,0
55,57,127,1
59,25,127,2
64,57,127,0
67,68,127,0
57,61,120,0
66,61,120,0
69,72,120,0
59,61,127,0
64,61,127,0
67,61,127,0
71,72,127,0
59,59,127,0
64,59,127,0
67,59,127,0
71,71,127,0
71,66,127,0
72,68,127,0
79,80,127,0
69,94,127,2
72,61,127,0
78,73,127,0
67,55,127,0
71,55,127,0
76,65,127,0
66,45,127,0
71,45,127,0
75,54,127,0
66,49,127,0
67,53,127,0
66,45,127,0
67,54,127,0
64,81,127,2
67,54,127,0
62,78,127,2
67,53,127,0
61,45,127,0
67,54,127,0
62,43,127,0
66,51,127,0
69,51,127,0
72,50,127,0
67,49,127,0
62,45,127,0
71,54,127,0
59,45,127,0
62,45,127,0
74,53,127,2
65,49,120,0
60,44,127,0
64,52,127,0
60,42,127,0
64,50,127,0
59,42,127,0
64,50,127,0
54,42,127,0
57,42,127,0
