note,velocity,time,anomalies
68,56,127,0
59,16,0,3
68,50,127,1
72,18,127,3
68,16,120,1
68,53,127,0
69,56,127,0
71,56,127,1
79,18,127,3
71,50,127,0
64,47,127,0
81,46,127,2
67,45,0,1
67,45,127,1
67,81,127,1
67,50,120,0
53,57,127,1
66,77,127,1
66,65,127,0
67,56,127,0
71,84,127,3
63,53,127,2
66,80,127,2
57,90,127,3
62,63,127,2
70,56,127,1
71,56,127,1
71,56,127,0
68,63,127,1
70,20,127,1
71,56,127,0
71,47,127,0
71,47,127,1
69,52,127,0
67,31,127,2
66,52,127,0
61,47,127,0
61,73,127,1
61,41,77,1
73,56,127,0
73,56,127,1
73,90,127,2
63,56,127,2
73,56,120,0
73,65,127,0
70,61,127,2
73,63,127,0
75,65,127,0
75,37,127,2
76,50,127,1
75,65,127,0
72,56,127,1
68,85,0,2
62,86,120,2
61,56,127,1
68,56,127,0
63,76,120,2
60,20,127,2
69,56,127,0
68,56,127,1
66,56,127,0
71,56,127,0
64,81,127,1
76,39,104,3
71,29,0,2
71,92,127,2
74,90,127,2
77,56,127,2
71,63,127,0
75,85,127,2
73,72,127,1
68,75,127,2
90,56,127,1
71,56,127,2
72,56,127,0
73,56,127,0
73,56,127,0
74,95,127,2
72,30,127,2
82,19,127,2
65,56,127,1
74,38,127,2
72,56,127,1
73,28,127,1
73,56,127,1
71,56,127,0
72,56,127,1
73,56,127,2
70,56,127,2
68,78,127,1
55,36,127,3
66,56,127,0
68,67,91,1
73,43,127,3
68,28,127,2
56,72,127,3
44,53,127,0
61,4,127,2
44,53,127,0
43,79,127,3
48,53,127,2
39,73,127,2
43,53,0,2
50,53,127,1
44,53,127,0
44,87,120,1
44,31,127,1
58,85,127,3
44,22,127,2
44,53,127,0
44,53,127,0
48,56,120,1
54,63,127,1
44,22,127,2
44,28,127,2
44,85,127,1
50,53,127,2
54,50,127,2
