note,velocity,time,anomalies
68,62,127,0
73,62,127,0
72,65,127,0
68,65,127,0
67,58,127,0
70,58,127,0
68,54,90,0
75,54,90,0
65,53,90,0
73,53,90,0
68,53,90,0
72,85,0,2
67,52,90,0
70,52,90,0
68,29,0,2
73,65,127,0
90,86,127,3
73,65,127,0
77,98,127,1
72,61,127,0
75,61,127,0
73,56,90,0
69,91,0,3
70,55,90,0
78,55,90,0
73,55,90,0
77,55,90,0
72,53,90,0
75,53,90,0
73,87,127,2
61,65,127,0
76,103,127,3
60,65,127,0
72,65,127,0
58,65,127,0
70,65,127,0
63,65,127,0
66,96,127,3
73,62,127,0
65,62,127,0
68,62,127,0
72,62,127,0
67,58,127,0
70,58,127,0
68,56,127,0
66,66,127,0
78,66,127,0
65,36,127,1
77,65,127,0
63,102,4,2
75,65,127,1
68,73,127,0
80,73,120,0
70,62,127,0
78,62,127,0
73,62,127,0
77,62,127,0
75,62,127,0
72,62,127,0
75,59,127,1
73,53,127,0
65,53,127,0
73,58,127,0
65,34,127,2
65,57,127,0
73,57,127,0
63,57,127,0
73,57,127,0
72,58,127,0
63,58,127,0
71,58,127,0
63,58,127,0
71,58,127,0
63,56,127,0
71,56,127,0
63,56,127,0
71,56,127,0
71,94,127,2
61,65,127,0
70,65,127,0
66,75,127,0
72,75,127,0
65,78,127,0
73,78,127,0
66,90,127,0
75,90,127,0
63,77,127,0
66,77,127,0
61,65,127,0
65,65,127,0
56,33,127,2
58,65,127,0
71,65,127,2
61,40,127,1
65,71,127,0
60,65,127,0
63,65,127,0
61,65,127,0
73,65,127,0
62,45,127,3
72,43,127,2
70,61,127,0
58,61,127,0
76,59,90,1
75,59,90,0
65,64,127,0
73,39,127,1
68,64,127,0
72,64,127,0
67,60,127,0
70,60,127,0
68,60,127,0
66,64,127,0
78,64,127,0
65,65,127,0
77,65,127,0
63,64,127,0
75,35,107,2
68,33,90,1
80,62,90,0
66,64,127,0
78,64,127,0
65,64,127,0
77,64,127,0
63,64,127,0
75,64,127,0
68,65,90,0
80,65,90,0
66,74,127,0
78,74,127,0
65,80,127,0
77,80,127,0
70,97,127,0
82,97,127,0
68,116,127,2
80,77,127,0
54,64,127,0
60,64,127,0
63,61,127,0
61,61,127,0
53,54,127,0
61,58,127,0
73,64,127,0
64,91,127,3
73,94,127,1
59,95,127,3
65,64,127,0
73,64,127,0
63,101,127,1
73,64,127,0
72,64,127,0
63,61,127,0
71,61,127,0
63,61,127,0
71,95,127,2
63,58,127,0
71,38,127,2
63,58,127,0
71,58,127,0
70,58,127,0
61,33,127,1
60,64,127,1
66,74,127,0
72,74,127,0
77,109,127,3
73,50,127,1
66,89,127,0
75,89,127,1
63,76,127,0
66,76,127,0
61,64,127,0
65,64,127,0
70,64,127,0
58,64,127,0
66,64,127,0
61,71,127,0
65,71,127,0
60,64,127,0
63,64,127,0
61,64,127,0
73,64,127,0
60,65,127,1
77,65,127,2
70,62,127,0
58,62,127,0
58,60,127,2
75,60,90,0
65,61,127,0
73,61,127,0
68,61,127,0
72,61,127,0
67,83,127,1
70,61,127,0
68,59,127,1
66,64,127,0
78,64,127,0
65,65,127,0
77,65,127,0
63,63,127,0
75,63,127,0
68,59,90,0
80,59,90,0
66,64,127,0
78,64,127,0
65,37,127,1
77,64,127,0
63,33,127,2
75,64,127,0
77,32,127,3
80,69,90,0
66,74,127,0
81,106,127,3
65,84,127,0
77,84,127,0
70,99,127,0
82,99,127,0
68,77,127,0
80,77,127,0
54,64,127,0
60,64,127,0
63,61,127,0
61,61,127,0
53,54,127,0
61,58,127,0
53,85,127,0
65,100,127,0
63,59,127,3
66,98,127,0
59,60,127,3
75,102,127,0
60,73,127,0
72,87,127,0
56,74,120,0
68,63,127,2
61,75,127,0
59,89,123,2
65,69,127,0
77,44,0,2
64,84,127,2
65,99,127,0
54,84,127,0
66,99,127,0
66,73,127,0
78,87,127,0
70,36,127,1
82,83,127,0
60,67,120,0
72,79,120,0
63,71,127,0
75,84,127,0
61,66,127,0
73,78,127,0
53,84,127,0
65,99,127,0
59,64,127,3
66,100,127,0
63,84,127,0
75,99,127,0
60,73,127,0
72,87,127,0
56,74,120,0
68,88,120,0
61,75,127,0
73,89,127,0
60,43,116,3
77,83,127,0
58,85,127,2
65,100,127,0
54,86,127,0
66,102,127,0
62,113,127,2
78,87,127,0
70,73,127,0
82,87,127,0
60,72,120,0
76,112,120,2
63,67,127,0
75,79,127,0
61,62,127,0
73,74,127,0
65,46,127,0
77,55,127,0
58,46,127,0
70,55,127,0
63,40,127,0
75,48,127,0
56,41,127,0
68,49,127,0
61,41,127,0
59,86,127,2
54,36,127,0
66,43,127,0
53,37,127,1
65,44,127,0
56,37,127,0
68,44,127,0
59,37,127,0
71,44,127,0
58,37,127,0
70,44,127,0
61,40,127,0
73,48,127,0
54,40,127,0
66,48,127,0
56,75,127,3
65,47,127,0
52,42,127,0
64,50,127,0
53,54,127,0
65,64,127,0
54,74,127,0
66,85,127,0
53,56,127,0
65,66,127,0
54,54,127,0
66,64,127,0
34,48,120,1
60,57,120,0
49,48,120,0
61,57,120,0
65,44,127,0
77,52,127,0
58,41,127,0
78,84,127,3
63,41,127,0
75,49,127,0
56,39,127,0
68,47,127,0
61,41,127,0
73,49,127,0
54,35,127,0
66,77,127,1
59,59,127,3
65,43,127,0
56,36,127,0
68,43,127,0
59,42,127,0
71,50,127,0
58,36,127,0
70,43,127,0
61,43,127,0
73,51,127,0
54,41,127,0
75,79,127,2
53,39,127,0
65,46,127,0
52,39,127,0
64,47,127,0
53,54,127,0
65,64,127,0
54,72,127,0
66,85,127,0
53,56,127,0
65,96,127,1
55,54,127,1
66,64,127,0
39,13,0,3
60,58,120,0
49,49,120,0
61,58,120,0
68,64,127,0
73,64,127,0
72,64,127,0
56,64,127,2
67,59,127,0
70,99,127,1
68,55,90,0
75,55,90,0
65,55,90,0
73,55,90,0
68,55,90,0
72,55,90,0
67,50,90,0
70,15,127,2
68,48,127,1
73,64,127,0
78,64,127,0
73,64,127,0
76,27,127,3
72,60,127,0
75,60,127,0
73,56,90,0
80,56,90,0
70,55,90,0
78,55,90,0
73,56,90,0
77,56,90,0
72,54,90,0
61,23,127,3
73,51,90,0
63,64,127,2
73,64,127,0
60,64,127,0
72,64,127,0
58,64,127,0
70,64,127,0
63,64,127,0
75,64,120,0
73,59,127,0
65,24,127,2
68,59,127,0
72,59,127,0
67,59,127,0
70,59,127,0
68,64,127,0
66,64,127,0
78,64,127,0
65,64,127,0
77,64,127,0
63,64,127,0
75,64,127,1
68,69,127,1
80,69,120,0
70,64,127,0
78,64,127,0
73,64,127,0
77,59,127,0
75,59,127,0
72,59,127,0
73,96,93,2
73,64,127,0
65,64,127,0
73,64,127,0
60,64,127,1
65,64,127,0
73,64,127,0
72,64,127,1
73,64,127,0
82,64,127,2
59,37,127,3
71,57,127,0
63,58,127,0
71,58,127,0
63,58,127,0
71,58,127,0
63,58,127,0
71,58,127,0
70,58,127,0
61,64,127,0
70,64,127,0
66,73,127,0
72,73,127,0
65,77,127,0
73,77,127,0
66,88,127,0
75,88,127,0
63,75,127,0
66,75,127,0
61,64,127,0
65,84,127,2
70,64,127,0
58,64,127,0
66,64,127,0
61,70,127,0
65,70,127,0
60,64,127,0
63,64,127,0
61,64,127,0
73,64,127,0
60,65,127,0
72,65,127,0
70,68,127,0
58,68,127,0
63,104,127,2
75,65,90,0
71,64,30,2
73,64,127,1
68,64,127,0
72,64,127,0
67,59,127,0
70,59,127,0
68,58,127,0
66,64,127,0
78,64,127,0
65,65,127,0
77,65,127,0
63,68,127,0
75,68,127,1
57,65,90,1
80,65,90,0
66,64,127,0
78,64,127,0
65,64,127,0
77,64,127,0
63,64,127,0
75,64,127,0
68,64,90,0
80,64,90,0
66,73,127,0
78,73,127,0
65,85,127,0
77,85,127,0
70,103,127,0
82,103,127,0
68,77,127,0
80,77,127,0
54,64,127,0
60,64,127,0
63,60,127,0
61,60,127,0
53,54,127,0
61,57,127,0
