note,velocity,time,anomalies
67,90,127,0
65,85,127,0
70,89,127,0
86,64,0,3
77,73,127,0
74,86,127,0
72,85,127,0
77,74,127,0
74,85,127,0
70,86,127,0
72,108,127,2
67,82,127,0
65,81,127,0
58,33,127,1
67,82,127,0
62,69,127,0
60,68,127,0
57,68,127,0
64,102,127,3
73,91,127,3
58,68,127,0
70,80,127,0
60,69,127,0
72,104,127,1
69,69,127,0
77,78,127,0
69,68,127,0
74,81,127,0
65,107,127,2
60,68,127,0
69,95,127,1
72,81,127,0
77,77,127,0
70,71,127,0
79,38,127,2
87,122,127,2
67,66,127,0
62,66,127,0
70,40,127,2
67,65,127,0
64,65,127,0
72,77,127,0
60,25,127,1
67,70,127,0
55,59,127,0
65,66,127,0
57,56,127,0
60,56,127,0
65,92,127,0
67,88,127,0
57,83,127,2
65,86,127,0
67,95,0,2
60,80,127,0
67,80,127,0
69,52,127,1
64,79,127,2
72,71,127,0
65,71,127,0
59,71,127,1
77,84,127,0
65,69,127,0
62,69,127,0
74,105,127,1
72,80,127,0
60,68,127,0
77,68,127,2
70,74,127,0
50,34,127,2
65,79,127,0
65,92,127,0
70,88,127,2
62,85,127,0
65,86,127,0
67,77,127,0
63,85,127,0
70,94,127,0
72,78,127,0
68,81,127,0
68,71,127,0
72,71,127,0
75,71,127,0
80,84,127,0
77,80,127,0
80,90,127,2
65,68,127,0
63,66,127,0
75,52,127,1
64,66,0,2
61,66,127,0
73,78,127,0
68,74,127,1
63,80,127,1
44,85,127,2
68,84,127,2
58,49,127,0
58,89,127,3
68,58,127,0
49,49,127,1
73,89,127,3
58,49,127,0
70,58,127,0
60,49,127,0
72,80,127,1
75,63,127,0
54,27,127,3
44,19,127,3
70,58,127,0
56,46,127,0
68,55,127,0
73,73,127,0
68,62,127,0
61,30,127,2
65,62,127,0
72,58,127,0
75,69,127,0
69,84,127,2
63,58,127,0
59,28,127,2
77,73,127,1
68,88,127,1
73,62,127,0
68,63,127,0
93,75,127,1
73,41,39,3
78,72,127,0
70,61,127,0
75,61,127,0
65,21,0,2
77,68,127,0
68,57,127,1
73,93,26,2
72,63,127,0
75,75,127,0
68,63,127,0
63,63,127,0
78,69,127,0
69,85,0,3
73,58,127,0
77,69,127,1
65,58,127,0
75,58,0,2
63,84,127,2
73,89,127,1
63,75,9,3
63,54,127,0
72,54,127,0
75,64,127,0
68,23,127,2
56,51,127,0
68,61,127,0
63,51,127,0
70,61,127,0
58,22,127,2
56,51,127,0
63,23,127,2
68,61,127,0
58,49,127,0
63,49,127,0
70,58,127,1
72,58,127,0
60,49,127,0
63,53,0,1
75,63,127,0
61,49,127,1
70,58,127,0
67,62,127,1
67,25,127,1
60,52,127,0
74,64,127,0
62,54,127,0
60,53,127,0
72,63,127,0
67,52,127,1
62,52,127,0
74,62,127,0
65,52,127,0
77,62,127,0
79,64,127,0
56,26,127,3
63,96,127,3
58,53,127,1
72,61,127,0
60,51,127,0
72,67,127,0
65,67,127,0
58,29,127,2
77,79,127,0
72,61,127,0
67,72,127,1
76,61,127,0
78,61,127,1
69,69,127,0
74,82,127,2
77,69,127,0
72,69,127,0
88,72,127,2
72,61,127,0
79,68,127,1
70,68,127,0
74,68,127,0
82,81,127,0
72,63,127,0
81,43,127,1
77,99,127,1
69,63,127,1
67,68,127,0
80,56,127,2
72,68,127,0
76,68,127,0
70,63,127,0
69,45,127,3
74,67,127,0
69,67,127,0
77,67,127,0
81,79,127,0
65,62,127,0
77,74,127,0
72,58,127,0
67,58,127,0
81,96,127,3
78,90,4,3
72,61,127,0
67,51,127,0
60,51,127,0
82,61,51,2
62,51,127,0
67,51,127,1
72,61,127,0
67,51,127,0
60,51,127,0
83,58,127,1
67,49,127,0
62,49,127,1
77,58,127,0
65,49,127,0
56,87,127,3
79,86,127,2
56,49,127,2
76,58,127,2
69,56,127,0
81,67,127,0
62,56,127,2
74,54,127,1
69,54,127,0
77,64,127,0
73,78,127,1
69,55,127,0
81,65,127,0
74,61,127,0
70,51,127,0
64,51,127,0
72,51,127,0
69,51,127,0
77,60,127,1
64,47,127,0
74,78,127,1
70,47,127,0
68,56,127,2
77,66,0,1
65,56,127,0
72,60,127,0
65,54,127,0
74,64,127,0
76,54,127,1
81,52,127,1
87,87,127,3
65,52,127,0
70,47,127,0
65,47,127,0
63,25,127,2
69,54,127,0
65,64,127,1
51,88,127,2
72,60,127,0
74,62,127,0
65,52,127,0
70,52,127,0
72,97,127,2
56,53,127,1
67,53,127,0
64,46,127,0
47,49,127,2
69,58,127,0
65,49,127,0
65,46,127,0
70,55,127,0
62,46,127,0
78,64,127,1
63,64,127,0
67,93,127,2
64,56,127,0
60,49,127,0
