note,velocity,time,anomalies
67,19,127,3
75,38,127,3
76,55,127,2
56,55,0,2
63,53,127,0
67,26,127,1
68,54,127,1
82,34,127,2
67,80,127,1
80,52,66,2
70,59,127,0
73,84,73,3
65,53,127,0
59,31,127,3
54,51,127,2
57,51,127,2
64,65,127,1
65,55,127,0
86,93,127,3
70,53,0,1
68,51,120,0
67,53,120,0
59,52,120,1
66,59,127,1
73,83,127,3
53,13,120,1
58,18,120,2
65,47,60,1
62,51,60,0
67,49,60,1
53,76,60,2
62,51,60,0
65,90,60,1
70,29,0,3
67,15,0,2
65,54,127,1
75,57,0,2
67,54,127,1
70,59,60,0
78,56,60,1
72,60,60,0
67,61,127,0
70,61,127,0
72,26,60,1
70,50,60,0
81,28,120,2
67,51,127,1
59,77,0,3
70,52,127,2
73,41,120,2
74,90,120,1
75,58,0,1
82,21,120,2
70,56,127,0
81,80,0,3
68,9,51,2
68,50,0,1
70,80,127,2
68,19,0,2
70,49,0,1
79,11,0,3
66,57,127,2
62,55,60,1
67,60,60,0
74,40,0,3
76,62,0,2
62,59,120,1
73,19,127,3
68,53,30,1
81,61,127,2
70,53,30,0
68,95,127,2
67,47,127,1
62,55,120,1
63,51,127,0
67,50,120,0
67,11,0,3
65,47,120,0
63,11,127,2
67,49,127,0
70,49,127,0
73,84,127,2
76,30,0,3
67,46,127,0
70,46,127,0
68,24,127,1
75,34,127,2
68,26,127,2
82,24,127,1
70,51,0,2
79,54,0,1
81,88,127,3
75,14,127,1
74,76,120,1
78,54,40,1
70,52,127,1
82,69,60,2
72,44,127,1
62,45,0,2
63,45,127,1
70,45,127,0
67,90,127,2
70,50,127,1
62,45,14,2
65,45,127,1
68,89,127,1
75,56,127,1
61,46,127,2
82,89,127,1
72,50,127,2
79,21,127,1
77,50,127,0
65,90,0,3
69,27,120,2
75,53,0,1
77,43,40,0
75,43,0,1
64,43,40,1
75,43,60,0
77,23,127,2
91,45,60,1
75,44,60,0
70,14,120,1
60,48,127,1
67,48,0,1
53,45,127,2
78,45,127,1
63,87,127,1
67,49,103,1
66,73,17,3
66,87,127,3
67,39,120,0
62,75,127,2
79,57,127,2
67,91,60,2
77,102,127,1
75,94,127,2
77,62,0,2
62,43,0,3
70,63,0,1
69,71,127,0
70,70,0,1
77,67,127,1
69,67,127,0
73,65,60,1
67,91,127,2
79,62,0,2
76,40,0,3
81,84,60,2
72,65,0,1
61,89,127,2
65,49,127,0
56,29,127,3
65,50,127,0
75,72,127,0
88,101,0,3
83,63,121,2
87,69,127,2
76,63,60,1
70,97,127,1
69,70,127,0
72,98,127,2
62,47,0,3
70,110,127,1
77,67,60,0
72,44,92,2
75,67,0,1
64,67,127,2
72,64,60,1
87,72,120,1
84,45,0,3
68,102,127,2
79,67,60,0
70,85,124,3
75,88,60,1
74,64,60,0
75,72,6,1
77,46,120,1
78,53,127,1
80,72,0,1
79,102,127,2
77,44,120,1
75,94,0,2
78,100,127,3
72,93,120,1
65,39,80,2
88,92,127,3
81,43,127,3
79,37,80,1
77,67,127,2
75,69,80,0
71,75,127,1
74,91,127,2
72,100,120,2
82,60,127,2
70,66,127,1
72,59,0,1
65,60,127,1
70,43,127,2
77,75,127,0
77,59,127,0
72,80,127,0
74,103,127,1
79,76,127,2
77,49,0,2
75,63,127,0
93,99,60,2
77,67,0,1
83,70,0,2
75,76,120,1
69,75,127,0
81,75,127,1
70,50,127,1
87,76,0,2
72,75,49,1
81,75,127,0
82,86,127,0
81,53,127,3
89,75,60,1
98,76,0,2
82,72,60,0
77,109,0,2
87,76,127,2
90,76,127,2
69,20,127,2
75,54,127,0
70,75,127,1
86,54,127,1
70,91,0,3
81,77,60,2
80,14,0,3
66,52,0,2
79,59,120,0
65,22,127,2
75,49,0,1
65,83,0,2
70,15,127,2
55,49,127,1
72,49,127,1
72,54,110,1
69,32,127,2
73,50,120,0
78,65,127,2
62,7,127,2
70,107,127,1
77,74,127,0
72,111,127,2
77,59,127,0
88,75,127,1
74,105,127,1
85,83,127,2
67,110,0,3
68,69,60,1
71,71,0,2
70,34,60,2
77,77,120,0
69,76,127,0
65,76,127,1
79,81,127,0
70,111,127,1
72,96,127,2
81,76,127,0
81,64,127,2
70,86,127,1
97,67,60,1
86,30,127,2
72,37,60,2
77,63,120,0
85,54,0,2
81,54,127,1
83,77,0,3
83,94,127,2
57,85,127,2
74,54,127,0
77,45,60,1
68,45,0,2
88,11,127,3
72,68,60,1
75,50,60,0
74,47,60,0
80,52,0,2
75,50,60,0
79,60,127,1
77,16,127,2
75,22,60,2
78,90,127,2
80,66,127,0
73,70,127,1
89,73,127,1
77,76,127,2
82,91,127,1
68,69,127,1
76,40,127,3
55,43,0,3
66,32,127,2
72,54,127,0
57,28,127,2
70,42,127,0
64,42,127,1
67,47,127,2
65,80,127,1
63,26,127,2
67,23,85,2
65,55,11,1
68,88,127,1
70,31,127,1
60,59,127,1
68,93,127,2
66,78,0,3
63,16,127,1
67,53,127,0
68,54,127,0
61,16,127,2
70,14,127,2
70,52,127,0
84,99,127,3
67,95,56,2
65,18,0,2
68,21,127,1
63,90,127,2
75,51,127,1
64,65,127,1
65,23,127,2
83,23,127,2
70,88,0,2
66,77,0,3
80,53,0,2
65,16,120,1
55,81,127,1
63,59,127,0
59,86,120,2
62,53,120,0
58,77,60,1
69,51,127,2
64,79,0,3
65,27,127,3
67,51,127,2
65,76,127,2
63,51,0,1
60,93,0,3
71,34,60,2
74,26,127,3
55,54,127,2
56,59,127,2
69,25,0,3
72,39,127,2
71,61,127,2
71,61,0,2
72,53,0,1
70,50,60,0
70,33,120,2
67,51,0,1
77,53,127,2
63,22,120,1
86,89,120,2
60,54,120,1
75,94,127,2
72,52,120,0
70,56,127,0
68,87,0,2
70,48,51,0
68,75,52,1
70,73,52,1
71,79,51,2
72,49,52,1
68,49,0,1
67,86,60,1
68,55,127,1
67,60,60,0
87,65,0,2
74,35,120,1
75,59,120,1
65,86,120,2
84,53,30,1
71,90,0,3
70,91,30,1
68,57,127,1
67,47,30,0
65,90,0,2
63,51,127,0
67,50,0,1
49,50,127,1
65,47,127,1
51,21,127,2
67,26,127,1
70,13,127,2
67,21,127,1
70,92,127,2
58,81,127,2
61,67,127,3
61,87,127,3
85,83,127,2
74,19,127,2
82,89,127,2
80,51,127,1
93,27,127,3
77,14,127,1
77,52,20,2
74,85,120,1
85,94,40,2
63,52,127,1
62,45,127,2
72,44,60,0
56,10,15,3
67,82,0,2
76,66,0,3
67,50,0,1
70,50,127,0
78,20,127,3
65,45,127,1
68,56,127,0
75,78,127,2
72,83,113,3
96,26,127,2
68,50,120,1
79,19,0,2
84,83,127,3
62,52,67,2
82,50,120,1
76,53,127,2
77,14,40,1
85,43,127,2
60,6,40,2
81,6,60,2
78,70,0,3
79,45,0,1
75,44,60,0
59,64,120,2
70,70,127,1
59,87,127,3
76,21,127,2
61,85,127,2
63,49,127,0
67,49,0,1
63,84,127,2
59,53,127,1
67,15,120,1
67,12,127,2
65,35,127,1
65,41,60,1
69,72,127,2
75,70,0,1
66,91,60,2
72,41,60,1
70,103,127,2
69,49,127,1
63,37,127,3
72,67,127,0
69,67,127,0
75,96,60,1
82,103,127,3
74,62,60,0
72,65,60,0
74,89,60,1
72,65,127,0
65,104,34,3
61,49,127,1
65,87,127,1
65,11,127,1
75,72,127,0
66,48,60,2
79,63,127,2
74,69,60,0
70,63,0,2
70,103,127,1
69,70,127,0
83,33,127,3
65,71,127,1
70,49,127,1
88,67,60,1
58,67,127,2
75,67,60,0
74,104,60,1
65,64,0,2
83,51,127,3
77,72,120,0
92,44,127,2
92,67,60,1
77,63,60,0
88,67,60,1
73,64,60,1
76,72,127,2
77,96,120,1
86,105,127,3
92,46,120,2
84,69,127,2
77,70,120,0
73,35,120,2
74,89,0,2
72,64,29,1
69,38,80,2
70,46,80,2
77,73,127,1
84,75,80,1
59,95,80,2
63,69,80,1
72,45,127,2
70,28,127,3
74,68,127,1
80,60,120,1
70,40,127,2
72,59,0,1
70,60,127,0
70,75,127,0
77,75,127,0
77,37,127,1
72,80,127,0
74,76,127,0
77,76,127,0
76,80,127,1
75,63,127,0
79,104,127,2
77,67,0,1
76,70,127,1
77,116,127,2
66,46,127,2
84,75,127,1
70,104,56,2
74,102,127,2
72,75,127,1
81,75,127,0
96,86,90,2
70,86,127,0
74,75,60,1
86,76,60,0
82,72,60,0
77,118,120,1
64,54,127,2
67,80,127,3
72,74,127,2
75,32,127,2
70,54,127,0
88,94,127,2
67,34,127,2
87,52,60,1
75,54,60,0
72,52,127,1
70,59,120,1
67,49,127,0
75,49,127,1
65,52,127,0
70,72,127,2
69,49,127,1
85,22,127,3
66,86,127,3
69,27,127,1
73,72,120,1
70,80,127,1
74,45,127,1
70,74,127,0
84,106,0,3
65,56,127,2
82,83,127,2
77,75,127,0
88,96,127,2
75,83,127,0
73,118,127,2
79,36,0,2
77,46,127,2
64,28,60,2
91,77,127,2
69,76,127,0
89,52,0,3
79,53,0,2
57,81,127,2
72,76,0,1
87,76,127,2
72,62,127,3
57,86,127,1
84,67,0,1
86,102,0,2
82,27,60,1
77,91,120,1
69,21,0,3
91,17,127,2
72,54,127,0
75,16,127,1
70,54,77,1
74,54,127,0
68,45,0,2
72,45,60,0
87,78,0,3
78,45,60,1
61,50,127,2
69,47,0,2
86,16,0,3
75,50,60,0
93,25,127,2
77,54,127,1
69,50,60,0
70,22,127,2
66,66,127,2
79,70,127,0
91,73,127,2
94,76,127,1
82,109,127,2
55,40,127,3
53,69,127,1
62,63,127,1
69,63,127,0
72,20,127,1
63,54,127,0
70,42,127,1
66,19,127,3
62,47,0,1
55,77,127,2
63,16,86,2
67,52,127,0
65,55,127,1
68,55,127,0
66,67,127,0
57,67,127,2
78,40,127,2
70,98,127,2
80,54,127,2
67,54,127,1
64,56,127,1
74,18,127,2
68,51,0,1
67,51,0,2
70,31,127,2
78,86,127,2
65,52,127,1
69,52,127,2
77,54,127,0
83,20,127,2
77,54,127,1
78,62,127,0
79,56,127,0
93,63,127,1
64,57,127,1
79,102,127,1
77,60,127,0
80,59,127,0
79,61,0,1
85,59,0,2
62,57,120,1
72,57,120,1
72,59,120,0
73,62,127,1
77,32,0,2
73,40,0,2
62,57,127,0
64,57,127,2
72,85,127,2
71,47,127,0
63,53,127,1
66,86,127,2
71,96,120,1
67,24,120,2
63,13,127,2
69,59,120,1
67,87,127,3
71,56,120,0
72,85,127,2
63,61,127,1
64,61,0,2
74,29,120,1
71,66,127,0
63,38,127,2
82,97,127,2
63,23,127,2
77,88,127,2
71,64,127,1
72,64,127,0
63,30,127,1
76,92,127,2
63,92,127,2
72,70,127,0
63,105,127,1
59,72,127,1
73,74,127,0
63,74,127,0
77,28,127,3
61,57,0,2
75,54,127,2
67,66,127,0
70,44,127,3
70,67,127,1
72,65,127,0
70,93,120,1
73,25,120,1
89,55,0,2
68,63,127,0
67,55,127,0
72,95,0,2
70,89,0,2
71,12,127,2
68,46,127,1
78,46,127,1
68,49,0,1
64,87,127,2
69,76,127,3
78,46,127,1
70,58,127,0
84,84,127,2
77,21,127,2
87,46,127,2
78,79,127,2
75,47,127,2
70,83,127,1
72,51,127,0
70,26,127,2
64,47,127,2
79,59,127,0
77,59,127,1
72,59,127,1
68,72,127,3
68,51,127,1
72,51,127,0
64,29,0,3
63,27,0,3
65,20,37,3
76,87,127,2
80,64,127,0
62,64,127,1
77,26,127,3
70,93,127,3
68,50,127,0
72,76,0,2
68,55,0,1
75,79,99,3
68,51,127,1
80,81,127,3
66,61,127,1
68,95,127,2
73,92,127,2
76,56,127,0
75,95,127,2
76,34,127,1
67,29,127,3
76,41,127,2
68,39,0,2
75,87,127,2
68,27,127,2
85,36,127,2
80,16,60,2
75,88,0,2
86,72,127,2
62,8,0,2
68,45,0,1
53,47,127,2
73,67,127,2
62,45,34,1
68,45,0,1
57,27,37,3
76,17,127,2
60,66,127,2
80,39,127,0
74,39,127,0
80,1,127,1
74,39,126,1
77,6,15,3
71,74,127,2
80,74,127,1
82,34,0,1
80,73,30,1
67,39,30,1
80,19,30,1
87,40,0,2
84,1,60,1
82,43,120,0
73,12,0,3
86,16,120,2
80,4,127,3
75,46,69,1
74,44,0,1
72,44,120,0
79,44,110,1
72,46,127,2
67,81,127,1
64,70,60,2
67,46,60,1
74,44,25,2
68,44,127,0
51,42,127,1
67,42,100,1
81,83,127,3
72,43,127,0
79,41,127,2
83,5,127,2
83,67,127,2
67,45,127,0
68,42,60,1
62,70,60,2
62,47,127,2
66,47,127,1
64,13,0,2
71,45,120,1
57,46,28,2
68,49,120,0
55,51,127,2
70,12,127,2
71,15,120,1
84,56,60,1
72,91,0,2
71,52,60,0
72,54,60,0
70,52,60,0
82,49,0,2
67,51,60,0
65,50,0,1
55,80,127,2
63,54,127,0
48,10,0,3
62,47,60,0
58,28,0,2
57,50,60,0
58,20,0,2
59,52,0,1
60,16,0,2
61,54,0,1
62,54,60,0
66,90,60,2
64,96,0,2
60,93,127,3
66,90,0,2
67,60,60,0
68,85,0,2
59,32,0,3
70,63,0,1
56,63,127,2
75,39,127,3
75,17,60,2
70,53,60,0
54,55,60,1
67,54,60,0
64,93,0,3
80,32,127,3
75,22,60,1
66,34,60,2
77,36,0,2
75,55,60,0
80,25,60,1
79,59,0,1
68,30,60,2
79,91,0,2
87,26,0,3
75,94,60,1
74,57,60,0
72,55,60,0
70,93,127,2
69,63,127,0
68,63,127,1
67,66,120,0
78,68,120,1
73,26,120,1
